end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationEmployeeStockPurchaseProgramRequisiteServicePeriodRecognition,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscriptions,CommonStockValue,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountPremiumNet,DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,DeferredIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxCreditCarryforwards,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,DeferredTaxAssetsValuationAllowance,DueFromOtherRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectiveIncomeTaxRateReconciliationTaxCredits,EmployeeBenefitsAndShareBasedCompensation,EmployeeRelatedLiabilitiesCurrent,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedShareBasedAwardsOtherThanOptions,FairValueAdjustmentOfWarrants,GeneralAndAdministrativeExpense,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,InterestExpense,InterestPaid,InterestPaidNet,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OtherAccruedLiabilitiesCurrent,OtherAssetsCurrent,OtherLiabilitiesCurrent,OtherNonoperatingIncome,PaymentsOfStockIssuanceCosts,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromWarrantExercises,RepaymentsOfNotesPayable,ResearchAndDevelopmentAssetAcquiredOtherThanThroughBusinessCombinationWrittenOff,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,RevenueFromRelatedParties,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMinimum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensationGross,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,StockIssuedDuringPeriodSharesShareBasedCompensationGross
2016-09-30,2016-11-14,10-Q,"Checkpoint Therapeutics, Inc.",CKPT,CIK0001651407,USD,4166000.0,,63520000.0,,,,,0.0,,39952000.0,39952000.0,39354000.0,,,,0.0001,50000000.0,17045876.0,17045876.0,0.0,0.0,2000.0,0.0,,,,,,,,,,,,293000.0,,-0.24,,,,,,,,,760000.0,,4500000.0,,972000.0,,,,,0.0,,,11000.0,,4459000.0,39952000.0,4459000.0,0.0,,,,,,,-5128000.0,11000.0,5685000.0,-5139000.0,,574000.0,,,,24000.0,,,,,,,4713000.0,-28030000.0,546000.0,,,,,,,,,,,,,35493000.0,,,,,,,21798280.0,,
2016-12-31,2017-03-17,10-K,"Checkpoint Therapeutics, Inc.",CKPT,CIK0001651407,USD,3355000.0,2473000.0,64736000.0,,,,,324000.0,6924169.0,35978000.0,35978000.0,35086000.0,-15332000.0,,,0.0001,50000000.0,17426876.0,17426876.0,721699.0,3919000.0,2000.0,0.0,0.0,,,12397000.0,0.0,5148000.0,733000.0,1624000.0,25000.0,12397000.0,821000.0,318000.0,,-1.42,0.0,0.35,-0.36,0.0,-0.04,-0.02,0.01,0.03,3867000.0,291000.0,4300000.0,0.0,4467000.0,,1883000.0,756000.0,-100000.0,344000.0,20000.0,20000.0,47000.0,14000.0,3673000.0,35978000.0,3673000.0,0.0,-2222000.0,-2222000.0,-3160000.0,-3160000.0,-9950000.0,-9950000.0,-30784000.0,-285000.0,33567000.0,-22164000.0,213000.0,821000.0,378000.0,,0.0,71000.0,0.0,570000.0,0.0,,2792000.0,3160000.0,20267000.0,-36353000.0,3068000.0,3867000.0,,,,,,,,60000.0,60000.0,5.43,5.43,32305000.0,3024000.0,14000.0,,,3867000.0,,21544205.0,,
2017-03-31,2017-05-10,10-Q,"Checkpoint Therapeutics, Inc.",CKPT,CIK0001651407,USD,3952000.0,,69634000.0,,,,,0.0,6923856.0,33209000.0,33209000.0,32298000.0,-2788000.0,,,0.0001,50000000.0,18218575.0,18218575.0,0.0,0.0,2000.0,,,,,,,,,,,,693000.0,356000.0,,-0.2,,,,,,,,,979000.0,,4200000.0,,1403000.0,,635000.0,-128000.0,147000.0,0.0,0.0,,31000.0,0.0,4308000.0,33209000.0,4308000.0,,0.0,0.0,,,-2788000.0,-2788000.0,-4383000.0,31000.0,5107000.0,-4414000.0,,,,31000.0,0.0,218000.0,,0.0,,,0.0,,3704000.0,-40736000.0,693000.0,979000.0,,,,,,,,0.0,60000.0,5.43,0.0,28901000.0,3919000.0,0.0,,,979000.0,,22059409.0,,
2017-06-30,2017-08-09,10-Q,"Checkpoint Therapeutics, Inc.",CKPT,CIK0001651407,USD,3815000.0,,72016000.0,,,,,,,28942000.0,28942000.0,27225000.0,,,,0.0001,50000000.0,18258575.0,18258575.0,0.0,0.0,2000.0,,,,,,,,,,,,843000.0,292000.0,,-0.28,,,,,,,,,2382000.0,,3900000.0,,1317000.0,,,,,0.0,,,24000.0,,4107000.0,28942000.0,4107000.0,,,,,,,,-6448000.0,24000.0,6823000.0,-6472000.0,,,,24000.0,,874000.0,,,,,,,5506000.0,-47184000.0,351000.0,,,,,,,,,,,,,24835000.0,,,,,,,22731154.0,,
2017-09-30,2017-11-03,10-Q,"Checkpoint Therapeutics, Inc.",CKPT,CIK0001651407,USD,5347000.0,,72926000.0,,,,,,,25660000.0,25660000.0,23418000.0,,,,0.0001,50000000.0,18368575.0,18368575.0,0.0,0.0,2000.0,,,,,,,,,,,,350000.0,496000.0,,-0.26,,,,,,,,,910000.0,,3500000.0,,1344000.0,,,,,0.0,,,22000.0,,5843000.0,25660000.0,5843000.0,,,,,,,,-5928000.0,22000.0,6299000.0,-5950000.0,,,,22000.0,,1892000.0,,,,,,,4955000.0,-53112000.0,349000.0,,,,,,,,,,,,,19817000.0,,,,,,,22801229.0,,
2017-12-31,2018-03-16,10-K,"Checkpoint Therapeutics, Inc.",CKPT,CIK0001651407,USD,5762000.0,3645000.0,71772000.0,,,,,0.0,6997671.0,21413000.0,21413000.0,19225000.0,-15861000.0,19225000.0,,0.0001,60000000.0,18512429.0,18512429.0,591836.0,2296000.0,2000.0,,,,0.0,19022000.0,0.0,10662000.0,905000.0,1839000.0,11000.0,19022000.0,,610000.0,,-1.26,0.0,0.35,-0.3,-0.27,-0.04,0.0,0.11,0.02,3117000.0,405000.0,2900000.0,0.0,5419000.0,6200000.0,2699000.0,-490000.0,1786000.0,0.0,,0.0,98000.0,0.0,6372000.0,21413000.0,6372000.0,,0.0,,-400000.0,,-15461000.0,,-28595000.0,98000.0,30771000.0,-22775000.0,246000.0,331000.0,1466000.0,21000.0,0.0,1857000.0,0.0,0.0,0.0,,0.0,400000.0,19081000.0,-59030000.0,2057000.0,3117000.0,,,,,,,,0.0,60000.0,5.43,0.0,15041000.0,3919000.0,,,,3117000.0,,22618931.0,,
2018-03-31,2018-05-10,10-Q,"Checkpoint Therapeutics, Inc.",CKPT,CIK0001651407,USD,7000000.0,,96690000.0,,,2167000.0,,,7388785.0,36429000.0,36429000.0,34863000.0,15638000.0,,,0.0001,50000000.0,25015088.0,25015088.0,0.0,0.0,3000.0,,,,,,,,,,,,,530000.0,,-0.35,,,,,,,,,1137000.0,,4300000.0,,2194000.0,,1158000.0,13000.0,-635000.0,,,,18000.0,641000.0,7530000.0,36429000.0,7530000.0,,20845000.0,,,,-5207000.0,,-8765000.0,18000.0,9126000.0,-8783000.0,,344000.0,,18000.0,2167000.0,1222000.0,,23012000.0,,,,,6932000.0,-67795000.0,343000.0,1137000.0,,,,,,,,0.0,60000.0,5.43,0.0,28899000.0,2296000.0,,,,1137000.0,,24751550.0,,
2018-06-30,2018-08-07,10-Q,"Checkpoint Therapeutics, Inc.",CKPT,CIK0001651407,USD,5988000.0,,96734000.0,,,,,,,28959000.0,28959000.0,28304000.0,,28304000.0,,0.0001,60000000.0,25107864.0,25107864.0,0.0,0.0,3000.0,,,,,,,,,,,,,667000.0,,-0.23,,,,,,,,,72000.0,,4000000.0,,1352000.0,,,,,,,,39000.0,,6655000.0,28959000.0,6655000.0,,,,,,,,-6639000.0,39000.0,6805000.0,-6678000.0,,127000.0,,39000.0,,528000.0,,,,,,,5453000.0,-74434000.0,127000.0,,,,,,,,,,60000.0,5.43,,22304000.0,,,,,72000.0,,29044962.0,,
2018-09-30,2018-11-02,10-Q,"Checkpoint Therapeutics, Inc.",CKPT,CIK0001651407,USD,8118000.0,,105793000.0,,,,,,,30801000.0,30801000.0,29600000.0,,29600000.0,,0.0001,60000000.0,26996238.0,26996238.0,0.0,0.0,3000.0,,,,,,,,,,,,,664000.0,,-0.32,,,,,,,,,1127000.0,,3400000.0,,1544000.0,,,,,,,,43000.0,,8782000.0,30801000.0,8782000.0,,,,,,,,-9344000.0,43000.0,9392000.0,-9387000.0,,5000.0,,43000.0,,1196000.0,,,,,,,7848000.0,-83778000.0,5000.0,,,,,,,,,,,,,22019000.0,,,,,1127000.0,,29249035.0,,
2018-12-31,2019-03-18,10-K,"Checkpoint Therapeutics, Inc.",CKPT,CIK0001651407,USD,12317000.0,9750000.0,105451000.0,,,,,,7273078.0,24899000.0,24899000.0,21995000.0,2770000.0,21995000.0,2770000.0,0.0001,60000000.0,27076154.0,27076154.0,960428.0,1748000.0,3000.0,,,,,25052000.0,0.0,17056000.0,1938000.0,1674000.0,6000.0,25052000.0,,776000.0,,-1.6400000000000001,0.0,0.21,-0.17,0.0,-0.01,0.0,0.04,0.03,1994000.0,439000.0,3000000.0,,6592000.0,,6721000.0,1201000.0,-485000.0,,,,148000.0,815000.0,13093000.0,24899000.0,13093000.0,,28575000.0,,0.0,,-25805000.0,,-47986000.0,373000.0,55169000.0,-36740000.0,377000.0,1532000.0,1751000.0,498000.0,2184000.0,1372000.0,,23012000.0,,,,0.0,33654000.0,-95397000.0,6537000.0,1994000.0,,,,,,,,,,,,11806000.0,2296000.0,,,,1994000.0,,28553711.0,,
