end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostsAndExpenses,DebtInstrumentFaceAmount,DebtInstrumentInterestRateDuringPeriod,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInRestrictedCashForOperatingActivities,InterestExpense,InterestExpenseRelatedParty,InterestPaid,InterestPaidNet,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NoninterestExpense,NotesIssued1,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccruedLiabilitiesCurrent,OtherLoansPayable,OtherNonoperatingIncomeExpense,OtherNotesPayableCurrent,OtherReceivablesNetCurrent,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromCollectionOfLoansReceivable,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromOtherDebt,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RepaymentsOfConvertibleDebt,RepaymentsOfOtherDebt,RestrictedCashAndCashEquivalentsAtCarryingValue,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,Revenues,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,DueToRelatedPartiesCurrentAndNoncurrent,NotesPayableRelatedPartiesClassifiedCurrent
2016-09-30,2016-11-09,10-Q,MED SPA VACATIONS INC.,MDVP,CIK0001671077,USD,,4829.0,,10000.0,,7250.0,7250.0,,7196.0,,,0.001,100000000.0,10000000.0,10000000.0,10000.0,,,,,,,,0.0,,,,1493.0,,,,,,,,,,,,,,,,,,,4829.0,7250.0,4829.0,,,,,-2297.0,,,,2297.0,-2297.0,,,,,,,0.001,25000000.0,0.0,0.0,,,,,,,,804.0,,,,,54.0,-17579.0,,0.0,2421.0,,,,10000000.0,,,,
2016-12-31,2017-03-29,10-K,MED SPA VACATIONS INC.,MDVP,CIK0001671077,USD,,6753.0,,49150.0,49150.0,44889.0,44889.0,,44797.0,26792.0,26792.0,0.001,100000000.0,14350000.0,14350000.0,14350.0,,,,8624.0,0.0,8624.0,0.0,0.0,0.34,0.34,,6374.0,,,0.0,0.0,,6753.0,,,,,,,92.0,,,,0.0,,6753.0,44889.0,6753.0,43500.0,,-16708.0,,-23369.0,,,,23369.0,-23369.0,25364.0,,,,,,0.001,25000000.0,0.0,0.0,,,,43500.0,,,,16995.0,,,,,92.0,-25364.0,,0.0,38136.0,4350000.0,43500.0,43500.0,10250820.0,,,,
2017-03-31,2017-05-01,10-Q,MED SPA VACATIONS INC.,MDVP,CIK0001671077,USD,,1243.0,,,49150.0,28317.0,28317.0,,27195.0,-17602.0,,0.001,100000000.0,14350000.0,14350000.0,14350.0,,,,,,,,0.0,,,,700.0,,,,0.0,,-5510.0,,,,,818.0,,212.0,,,,0.0,,1243.0,28317.0,1243.0,0.0,0.0,-17602.0,-17602.0,-11062.0,,,,11062.0,-11062.0,,,,,,818.0,0.001,25000000.0,0.0,0.0,,,,,,,,10362.0,,,,,304.0,-36426.0,,0.0,27074.0,,,,14350000.0,,,,
2017-06-30,2017-08-04,10-Q,MED SPA VACATIONS INC.,MDVP,CIK0001671077,USD,,3516.0,,49150.0,,10551.0,10551.0,,10247.0,,,0.001,100000000.0,14350000.0,14350000.0,14350.0,,,,,,,,0.0,,,,1426.0,,,,,,,,,,,,,,,,,,,3516.0,10551.0,3516.0,,,,,-20039.0,,,,20039.0,-20039.0,,,,,,,0.001,25000000.0,0.0,0.0,,,,,,,,18613.0,,,,,304.0,-56465.0,,0.0,7035.0,,,,14350000.0,,,,
2017-09-30,2019-04-22,10-Q,MED SPA VACATIONS INC.,MDVP,CIK0001671077,USD,,2000.0,,60255.0,,33692.0,33692.0,,27025.0,,,0.001,100000000.0,14350000.0,14350000.0,14350.0,,,,,,,37900.0,0.0,,,,9567.0,,,,,,,,,,,,,,,,,,,39900.0,33692.0,39900.0,,,,,-24348.0,,,,24348.0,,,,,,,,0.001,25000000.0,0.0,0.0,,6667.0,,,,,,14781.0,,,,,,-80813.0,,0.0,-6208.0,,,,14350000.0,,,,
2017-12-31,2019-04-22,10-K,MED SPA VACATIONS INC.,MDVP,CIK0001671077,USD,,3838.0,,60255.0,,25000.0,25000.0,,25000.0,-19797.0,,0.001,100000000.0,14350000.0,14350000.0,14350.0,,,,19182.0,0.0,19182.0,37900.0,0.0,0.21,,,11718.0,,,0.0,0.0,,-2915.0,,,,,,,-92.0,,,,0.0,,41738.0,25000.0,41738.0,49005.0,,-68802.0,,-65979.0,,,,65979.0,-65979.0,91343.0,,,,,,0.001,25000000.0,0.0,0.0,,,,,,,49005.0,54261.0,,,,,,-91343.0,,0.0,-16738.0,,,,14350000.0,,,,
2018-03-31,2019-04-22,10-Q,MED SPA VACATIONS INC.,MDVP,CIK0001671077,USD,,338.0,,60255.0,,21500.0,21500.0,,21500.0,-3500.0,,0.001,100000000.0,14350000.0,14350000.0,14350.0,,,,,,,37900.0,,,,,,,,,0.0,,-3500.0,-3500.0,,,,,,,,,,0.0,,38238.0,21500.0,38238.0,0.0,0.0,-3500.0,,0.0,,,,,,,,,,,,0.001,25000000.0,0.0,0.0,,,,,,,,,,,,,,-91343.0,0.0,0.0,-16738.0,,,,14350000.0,,,,
2018-06-30,2019-04-22,10-Q,MED SPA VACATIONS INC.,MDVP,CIK0001671077,USD,,338.0,,60255.0,,21500.0,21500.0,,21500.0,,,0.001,100000000.0,14350000.0,14350000.0,14350.0,,,,,,,37900.0,,,,,,,,0.0,,,,,,,,,,,,,,,,38238.0,21500.0,38238.0,,,,,0.0,,,,,,,,,,,,0.001,25000000.0,0.0,0.0,,,,,,,,,,,,,,-91343.0,0.0,0.0,-16738.0,,,,14350000.0,,,,
2018-09-30,2019-04-22,10-Q,MED SPA VACATIONS INC.,MDVP,CIK0001671077,USD,,338.0,,60255.0,,21500.0,21500.0,,21500.0,,,0.001,100000000.0,14350000.0,14350000.0,14350.0,,,,,,,37900.0,,,,,,,,0.0,,,,,,,,,,,,,,,,38238.0,21500.0,38238.0,,,,,0.0,,,,0.0,0.0,,,,,,,0.001,25000000.0,0.0,0.0,,,,,,,,0.0,,,,,,-91343.0,,0.0,-16738.0,,,,14350000.0,,,,
2018-12-31,2019-04-22,10-K,MED SPA VACATIONS INC.,MDVP,CIK0001671077,USD,1213.0,1213.0,,60255.0,,21500.0,21500.0,,21500.0,-3500.0,,0.001,100000000.0,14350000.0,14350000.0,14350.0,,,,19366.0,0.0,-19366.0,37900.0,0.0,0.21,,,875.0,,,0.0,0.0,0.0,-2625.0,,,,,,,,,,,0.0,,39113.0,21500.0,39113.0,,,-3500.0,,-875.0,,,,875.0,-875.0,-92218.0,,,,,,0.001,25000000.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,-92218.0,,,-17613.0,,,,14350000.0,,,,
2019-03-31,2019-05-15,10-Q,MED SPA VACATIONS INC.,MDVP,CIK0001671077,USD,32823.0,,,60255.0,,21500.0,21500.0,,21500.0,0.0,,0.001,100000000.0,14350000.0,14350000.0,14350.0,,,,,,,37900.0,0.0,,,,,,,0.0,0.0,,31610.0,31610.0,,,,,,,,,,0.0,,70723.0,21500.0,70723.0,,,0.0,,-31610.0,,,,31610.0,-31610.0,,,,,,,0.001,25000000.0,0.0,0.0,,,,,,,,31610.0,,0.0,,,,-123828.0,0.0,,-49223.0,,,,14350000.0,,,,
2019-06-30,2019-08-14,10-Q,MED SPA VACATIONS INC.,MDVP,CIK0001671077,USD,875.0,,,272445.0,,,,,0.0,,,0.001,100000000.0,14350000.0,14350000.0,14350.0,,,,,,,33447.0,-0.01,,,212190.0,,,,0.0,,,,,,,,,,,,,,,,875.0,,875.0,,,,,-163842.0,,,,163842.0,-163842.0,,,,,,,0.001,25000000.0,0.0,0.0,,,,,,,,163842.0,,,,,,-287670.0,0.0,,-875.0,,,,14350000.0,,,,
2019-09-30,2020-06-08,10-Q,MED SPA VACATIONS INC.,MDVP,CIK0001671077,USD,875.0,,,272445.0,,0.0,0.0,,0.0,,,0.001,100000000.0,14350000.0,14350000.0,14350.0,,,,,,,18561.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,19436.0,0.0,19436.0,,,,,-18561.0,,,,18561.0,-18561.0,,,,,,,0.001,25000000.0,0.0,0.0,,,,,,,,18561.0,,,,,,-306231.0,,,-19436.0,,,,14350000.0,,,,
