end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccruedProfessionalFeesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedDepreciationDepletionAndAmortizationSaleOfPropertyPlantAndEquipment1,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentForAmortization,AllowanceForLoanAndLeaseLossesForeignCurrencyTranslation,AmortizationOfIntangibleAssets,AssetImpairmentCharges,Assets,AssetsCurrent,AssetsNoncurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ConvertibleNotesPayableCurrent,CostOfRevenue,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentFaceAmount,DeferredTaxAssetsValuationAllowance,Deposits,DepositsAssetsCurrent,Depreciation,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DueFromRelatedPartiesCurrent,DueToAffiliateNoncurrent,DueToOfficersOrStockholdersCurrent,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToOfficersOrStockholdersNoncurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,FiniteLivedTrademarksGross,GainLossOnDispositionOfAssets1,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDeposits,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToOfficersAndStockholders,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInOperatingLeaseLiability,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,InventoryFinishedGoods,InventoryNet,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableRelatedPartiesNoncurrent,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseExpense,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OperatingLeaseRightOfUseAssetAmortizationExpense,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,OperatingLeaseWeightedAverageDiscountRatePercent,OperatingLossCarryforwards,OtherAccountsPayableAndAccruedLiabilities,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherIncome,OtherNonoperatingIncomeExpense,OtherOperatingIncome,OtherReceivablesNetCurrent,PaymentsForRent,PaymentsToAcquireIntangibleAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfOtherLongTermDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentDisposals,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ReceivablesNetCurrent,RelatedPartyTransactionAmountsOfTransaction,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SellingAndMarketingExpense,SellingGeneralAndAdministrativeExpense,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,UtilitiesOperatingExpenseMaintenanceOperationsAndOtherCostsAndExpenses,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,LesseeOperatingLeaseLiabilityPaymentsDueNextRollingTwelveMonths
2019-04-30,2019-06-13,10-Q,MU GLOBAL HOLDING LIMITED,MUGH,CIK0001746119,USD,62633.0,,,4213.0,46962.0,,,900554.0,,,,,1296430.0,1009271.0,287159.0,895442.0,,895442.0,554424.0,0.0001,600000000.0,58505000.0,58505000.0,5851.0,-228423.0,779125.0,6986.0,1.0,779125.0,22549.0,,16386.0,,,26104.0,,,,,,88101.0,207000.0,,-0.0004,,1721.0,,,,,,219554.0,8609.0,,-230765.0,,,8524.0,,,257.0,-40201.0,,,35220.0,-4727.0,4252.0,,,,,,,,,,,929859.0,1296430.0,929859.0,,779125.0,-8988.0,-217434.0,-230765.0,,,,,,,,,,57702.0,57702.0,57702.0,57702.0,41395.0,,128563.0,58420.0,,2342.0,,,,53.0,8524.0,,,8988.0,0.0001,200000000.0,,,105305.0,16702.0,779125.0,,,,,,,335359.0,287159.0,,,-563696.0,15595.0,,19873.0,,,366571.0,,,,,58505000.0,
2019-07-31,2019-10-25,10-K,MU GLOBAL HOLDING LIMITED,MUGH,CIK0001746119,USD,92855.0,,25728.0,30000.0,72444.0,,8727.0,1830300.0,,,,,1038642.0,632579.0,406063.0,394403.0,,394403.0,287986.0,0.0001,600000000.0,59434838.0,59434838.0,5943.0,-937553.0,,13191.0,,,50377.0,32202.0,16144.0,72444.0,,72444.0,,,,,,44611.0,258000.0,,0.0,,8261.0,,,,,,886589.0,25714.0,-239891.0,-946280.0,,,18803.0,32203.0,,,,43946.0,,83855.0,18803.0,167473.0,43946.0,43946.0,230808.0,57702.0,,57702.0,57702.0,57702.0,,,169668.0,1038642.0,169668.0,,1745769.0,-478044.0,-988000.0,-946280.0,,,,,,,,250100.0,,,,,,,,239891.0,25728.0,22127.0,8727.0,,3390.0,,3390.0,18803.0,4860.0,,478044.0,0.0001,200000000.0,,,175427.0,159283.0,,929841.0,23929.0,,-8001.0,,,478044.0,406063.0,,,-975996.0,38905.0,,88795.0,,,868974.0,868974.0,779125.0,150713.0,975384.0,58716526.0,
2019-10-31,2019-12-13,10-Q,MU GLOBAL HOLDING LIMITED,MUGH,CIK0001746119,USD,63676.0,,,3000.0,101194.0,,,1830300.0,,,,,855753.0,390505.0,465248.0,170100.0,,170100.0,-224303.0,0.0001,600000000.0,59434838.0,59434838.0,5943.0,-204274.0,,2069.0,,,55732.0,46019.0,44433.0,28412.0,,,10460.0,,42631.0,,,38727.0,27755.0,,0.0,,-1590.0,,,,,,,25101.0,-8500.0,-192336.0,,,-277.0,13817.0,10460.0,,-5884.0,4640.0,,-29179.0,,-32594.0,48586.0,48586.0,230808.0,57702.0,,57702.0,57702.0,57702.0,,,191053.0,855753.0,191053.0,,42631.0,-97945.0,-167399.0,-192336.0,,-192336.0,,,,,,250100.0,,,,,,,,265391.0,,43176.0,-11938.0,,3721.0,,3721.0,18526.0,,,97945.0,0.0001,200000000.0,,,142833.0,15902.0,,,42631.0,,42631.0,,,575989.0,465248.0,,,-1168332.0,27170.0,,,,,664700.0,664700.0,,,221158.0,59434838.0,
2020-01-31,2020-04-27,10-Q,MU GLOBAL HOLDING LIMITED,MUGH,CIK0001746119,USD,41656.0,,,1500.0,141127.0,,,1830300.0,,,,,1077734.0,308464.0,743756.0,74560.0,,74560.0,,0.0001,600000000.0,59434838.0,59434838.0,5943.0,-115972.0,,5296.0,,,58220.0,38544.0,16055.0,,,,17922.0,,115324.0,,,39285.0,72930.0,,-0.0019,,,-880.0,26394.0,25514.0,25514.0,,166542.0,59845.0,,-119761.0,,,,,,,,,,,,,49286.0,49286.0,,,17673.0,68100.0,63493.0,59127.0,28143.0,2494.0,529006.0,1077734.0,349496.0,179510.0,,,,-119761.0,,,,,236536.0,57026.0,179510.0,235635.0,14465.0,,,,,,0.0415,277237.0,19750.0,16856.0,3789.0,,,1551.0,1551.0,23491.0,16959.0,,,0.0001,200000000.0,,,143205.0,127150.0,,,,,,,,652326.0,508121.0,,,-1288093.0,65141.0,,14615.0,,,548728.0,548728.0,,,,59434838.0,
2020-04-30,2020-06-15,10-Q,MU GLOBAL HOLDING LIMITED,MUGH,CIK0001746119,USD,88695.0,5599.0,,3000.0,181981.0,,,1830300.0,,,,,953127.0,246367.0,681906.0,15574.0,,15574.0,-58986.0,0.0001,600000000.0,59434838.0,59434838.0,5943.0,-187611.0,,4977.0,,,63802.0,47735.0,16513.0,,,55207.0,30164.0,,136224.0,,,38581.0,121075.0,,-0.0003,,-435.0,-1540.0,26394.0,24854.0,24854.0,,178832.0,-2761.0,,-181663.0,,5599.0,,9191.0,12242.0,,-704.0,-883.0,,47039.0,-421.0,-14049.0,48403.0,48403.0,,,17356.0,66879.0,62355.0,58067.0,13891.0,218548.0,592010.0,953127.0,430492.0,161518.0,20124.0,-2693.0,-75982.0,-181663.0,,,,,57030.0,57030.0,161518.0,217065.0,,,,,,,0.0415,303818.0,20160.0,58435.0,-5948.0,,,1698.0,1698.0,23070.0,16870.0,,2693.0,0.0001,200000000.0,,,129156.0,112643.0,,,20899.0,,,,,656705.0,464841.0,,,-1469756.0,2216.0,,1768.0,,,361117.0,,,,,59434838.0,
2020-07-31,2020-10-30,10-K,MU GLOBAL HOLDING LIMITED,MUGH,CIK0001746119,USD,57643.0,,38643.0,5000.0,220001.0,,,1830300.0,,,2359.0,20810.0,843598.0,190044.0,653554.0,11670.0,,11670.0,-382733.0,0.0001,600000000.0,59434838.0,59434838.0,5943.0,-680996.0,,10718.0,,,16563.0,42624.0,66388.0,147557.0,,192151.0,12920.0,,138443.0,274636.0,136193.0,85142.0,94080.0,,0.0,,-3975.0,,,25779.0,25779.0,,737170.0,87760.0,-78874.0,-668908.0,,,193.0,,12920.0,,41076.0,7851.0,,-35756.0,-18804.0,-44167.0,51798.0,51798.0,,58796.0,,17574.0,67719.0,63138.0,,4863.0,655620.0,843598.0,507189.0,148431.0,224836.0,-210463.0,-393131.0,-668908.0,,,33523.0,,207227.0,58796.0,148431.0,198514.0,,,,,,,0.0415,78874.0,38643.0,,-12088.0,,,6170.0,6170.0,193.0,24695.0,28138.0,182325.0,0.0001,200000000.0,,,113463.0,47075.0,,,,176097.0,48739.0,,,656705.0,429261.0,193.0,94080.0,-1644904.0,98478.0,,25668.0,,,187978.0,,,,,59434838.0,
2020-10-31,2020-12-18,10-Q,MU GLOBAL HOLDING LIMITED,MUGH,CIK0001746119,USD,146109.0,,,6250.0,260272.0,,,1830300.0,15925.0,-1497.0,639.0,,809698.0,192297.0,617401.0,10925.0,,10925.0,-745.0,0.0001,600000000.0,59434838.0,59434838.0,5943.0,-93724.0,,1711.0,,,1263.0,40422.0,68573.0,40671.0,15925.0,,14960.0,,196433.0,,,40721.0,13850.0,,0.0,,-288.0,,,,,2463.0,,19984.0,-6015.0,-96601.0,,,196.0,,2040.0,,,484.0,-18611.0,42389.0,2017.0,-1738.0,52281.0,52281.0,,,,,,,,6953.0,715444.0,809698.0,576645.0,,17057.0,4760.0,-22274.0,-96601.0,,,18611.0,16945.0,201192.0,62393.0,138799.0,192007.0,56596.0,,,,,,0.0415,6015.0,122309.0,,2877.0,,,4666.0,4666.0,2017.0,16945.0,,,0.0001,200000000.0,,,111724.0,43151.0,,,2065.0,14992.0,2065.0,4760.0,,653834.0,400254.0,390.0,,-1741505.0,21695.0,,,121251.0,,94254.0,,,,121251.0,59434838.0,
2021-01-31,2021-03-17,10-Q,MU GLOBAL HOLDING LIMITED,MUGH,CIK0001746119,USD,114929.0,,,7500.0,238548.0,,,1830300.0,,,,,540693.0,206219.0,,43603.0,,43603.0,,0.0001,600000000.0,59434838.0,59434838.0,5943.0,-141916.0,,7845.0,,,281527.0,39332.0,60347.0,,,,16530.0,,275395.0,,,42412.0,15100.0,,-0.0023,,,,,334474.0,24500.0,,173023.0,11536.0,,-141166.0,,,,,,,,,,,,,46678.0,46678.0,,,,,,,,18068.0,588355.0,540693.0,580451.0,7904.0,,,,-141166.0,,,,,10164.0,10164.0,7904.0,18068.0,2476.0,,,,,,0.0415,351909.0,86329.0,,-750.0,,,20321.0,,,2476.0,,,0.0001,200000000.0,,,99408.0,39061.0,,,,,,,,500745.0,291906.0,,,-1882671.0,19381.0,,,,,-47662.0,,,,,59434838.0,
2021-04-30,2021-06-16,10-Q,MU GLOBAL HOLDING LIMITED,MUGH,CIK0001746119,USD,107640.0,,,1250.0,269871.0,,,1830300.0,,,,,456513.0,166746.0,,10659.0,,10659.0,,0.0001,600000000.0,59434838.0,59434838.0,5943.0,-68209.0,,51.0,,,21315.0,35807.0,57089.0,,,,14024.0,,274369.0,,,42094.0,41825.0,,-0.0011,,,,,289767.0,23781.0,,78879.0,5449.0,,-68203.0,,,,,,,,,,,,,46206.0,46206.0,,,,,,,,15450.0,568809.0,456513.0,563552.0,5257.0,,,,-68203.0,,,,,10193.0,10193.0,5257.0,15450.0,,,,,,,0.0415,26644.0,102840.0,,3567.0,,,5227.0,,,2618.0,,,0.0001,200000000.0,,,95857.0,38768.0,,,,,,,,496082.0,250536.0,,,-1950874.0,5500.0,,,,,-112296.0,,,,,59434838.0,
2021-07-31,2021-11-15,10-K,MU GLOBAL HOLDING LIMITED,MUGH,CIK0001746119,USD,22092.0,,2942.0,5150.0,307197.0,4771.0,,1830300.0,,,3066.0,75029.0,427469.0,170718.0,256751.0,20231.0,,20231.0,8561.0,0.0001,600000000.0,59434838.0,59434838.0,5943.0,-378885.0,,17218.0,,,40915.0,33701.0,60187.0,167873.0,,193447.0,10425.0,85895.0,138443.0,274636.0,136193.0,95453.0,95453.0,52620.0,0.0,,983.0,5425.0,29563.0,24116.0,,16695.0,463641.0,47733.0,-51144.0,-386944.0,,,-193.0,,-2495.0,,,-17549.0,,-14405.0,,-16416.0,38374.0,38374.0,12966.0,10319.0,,,,2647.0,,,618376.0,427469.0,341021.0,277355.0,157363.0,6795.0,-156580.0,-386944.0,52620.0,,25733.0,,12966.0,10319.0,2647.0,12966.0,7331.0,,,,,,0.0415,51144.0,,2942.0,8059.0,,,36144.0,,,2656.0,1286.0,19965.0,0.0001,200000000.0,0.0,0.0,101688.0,41501.0,,,,88492.0,68871.0,28065.0,16141.0,521052.0,219669.0,,58760.0,-2031848.0,64951.0,,7180.0,,,-190907.0,,,,,59434838.0,
