end,filed,form,Name,Ticker,CIK,Currency,AccountsAndNotesReceivableNet,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetCurrent,AccruedInvestmentIncomeReceivable,AccruedLiabilitiesCurrent,AccruedPayrollTaxesCurrent,AdditionalPaidInCapital,AdjustmentOfWarrantsGrantedForServices,AmortizationOfDebtDiscountPremium,AmortizationOfIntangibleAssets,AssetImpairmentCharges,Assets,AssetsCurrent,BusinessCombinationAcquisitionRelatedCosts,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleDebt,ConvertibleDebtCurrent,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentRate,DebtInstrumentAnnualPrincipalPayment,DebtInstrumentCarryingAmount,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentInterestRateIncreaseDecrease,DebtInstrumentUnamortizedDiscount,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositsAssetsCurrent,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DerivativeLiabilities,DerivativeLiabilitiesCurrent,DisposalGroupIncludingDiscontinuedOperationCostsOfGoodsSold,DisposalGroupIncludingDiscontinuedOperationRevenue,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsNet,GainLossOnDispositionOfAssets,GainLossOnDispositionOfAssets1,GainLossOnSaleOfOtherAssets,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,Goodwill,GoodwillImpairmentLoss,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationOtherReconcilingItems,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeposits,IncreaseDecreaseInDerivativeLiabilities,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherEmployeeRelatedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestAndOtherIncome,InterestExpense,InterestExpenseOther,InterestExpenseRelatedParty,InterestIncomeExpenseNet,InterestIncomeOther,InterestPayableCurrent,InventoryNet,InventoryWriteDown,IssuanceOfStockAndWarrantsForServicesOrClaims,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesAssumed1,LiabilitiesCurrent,LiabilityForUncertainTaxPositionsCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1,NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired1,NoncurrentAssets,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesReceivableRelatedParties,NotesReceivableRelatedPartiesCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssets,OtherAssetsNoncurrent,OtherGeneralAndAdministrativeExpense,OtherNonoperatingIncomeExpense,OtherOperatingIncome,PaymentsToAcquireIntangibleAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfWarrants,ProceedsFromNotesPayable,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromSalesOfAssetsInvestingActivities,ProceedsFromWarrantExercises,ProfitLoss,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfConvertibleDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,SellingExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedNumberOfShares,SharePrice,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,UnrealizedGainLossOnDerivatives,WarrantsAndRightsOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2015-06-30,2015-07-22,10-Q,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,,16575.0,,26800.0,,,,335926.0,,,,,233700.0,227879.0,,201079.0,,201079.0,,0.001,75000000.0,14306666.0,14306666.0,14307.0,,,,,1255.0,1255.0,,,,,,,,,,,529.0,,,,,,,-0.01,,,,,,,,71709.0,,,,-107388.0,,,,,,,,,,,,,,,,,,,,,,28.0,-28.0,,,,28.0,,,,,,32575.0,233700.0,,32575.0,,,,,-107388.0,,,,,,,,,142216.0,,,,5821.0,69252.0,,28.0,,,,,,,,,,,,,,,,-107388.0,,,-149108.0,34800.0,34800.0,,,,,,,,,,,,,201125.0,,,,,,,,,14306666.0
2015-09-30,2015-11-16,10-Q,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,,16250.0,,25000.0,,,,591234.0,,,,,279840.0,274549.0,,112918.0,,112918.0,,0.001,75000000.0,14556666.0,14556666.0,14557.0,,,,,,38065.0,,,,,,,,,,,,,,,,,,-0.02,,,,,,,0.0,170422.0,,,-13050.0,-218472.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,41629.0,279840.0,,41629.0,,,,,-218472.0,,,,,,,,,243487.0,,,,5291.0,35000.0,0.0,,,,,,,,,136631.0,,,,,,,,-218472.0,,,-367580.0,25015.0,25015.0,,,,,,,,,,,,,238211.0,,,,,,,0.0,6997500.0,14314818.0
2015-12-31,2016-03-30,10-K,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,12260.0,12892.0,,44000.0,,,,766802.0,257949.0,,,,155123.0,150360.0,,1536.0,,,803.0,0.001,75000000.0,14731666.0,14731666.0,14732.0,,0.0,,,,46626.0,,,,,,,,160800.0,160800.0,,,1588.0,,0.0,,,0.0,-0.05,0.34,887.0,2663.0,,,,,386601.0,,,,,,,,,,160800.0,,-248500.0,87700.0,12892.0,,-44000.0,,,,,12260.0,,,,-7664.0,,,,,61.0,,0.0,,,355110.0,,25152.0,155123.0,,25152.0,,505000.0,-6350.0,-497847.0,-730872.0,,,,0.0,,0.0,,,846484.0,-730933.0,479000.0,4763.0,,413257.0,,61.0,,,,,,,,104824.0,,480000.0,,,,,25000.0,-730872.0,,,-750372.0,,115551.0,,,0.43,7146250.0,7096250.0,0.25,0.5,0.37,4796250.0,3697500.0,,129971.0,,-50000.0,,,,,380000.0,,98809.0,14134180.0
2016-03-31,2016-05-16,10-Q,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,5977.0,12078.0,,39000.0,,,,983596.0,209448.0,10062.0,,,95309.0,91861.0,,46395.0,,,44859.0,0.001,75000000.0,15225849.0,15225849.0,15226.0,,54062.0,,,,11603.0,,,,,,,,,,,,233.0,,,,,6169.0,-0.02,,0.0,1581.0,2663.0,2663.0,,,298422.0,,,,,,,,,,,,,,-814.0,6169.0,5000.0,,,,,-6283.0,1403.0,,,1198.0,,,,,-11964.0,,1403.0,,,,,79689.0,95309.0,,79689.0,,149000.0,-1581.0,-102560.0,-331639.0,,,,,,,,,358675.0,,,3448.0,,48650.0,,-11964.0,,,,,,,,6466.0,144000.0,,,,,,5000.0,-331639.0,,,-1082011.0,,39000.0,,,,,,,,,,,,15620.0,,,,,,,,,98809.0,15054797.0
2016-06-30,2016-08-10,10-Q,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,11940.0,4000.0,,41250.0,,,,1016031.0,,,,,75899.0,72817.0,,26019.0,,,,0.001,75000000.0,15350849.0,15350849.0,15290.0,,88740.0,,,,,,,,,,,,,,,,,,,,,799.0,-0.01,,132.0,1449.0,,,,,62675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,44371.0,,,-44371.0,,5100.0,,,,,123376.0,75899.0,,123376.0,,,,,-108796.0,,,,12797.0,,,,,105675.0,,,3082.0,,43000.0,,-44371.0,,,,,,,,5548.0,,,,,,,,-108796.0,,,-1190807.0,,41250.0,,,,,,,,,,,,-47477.0,,,,,,,,,112009.0,15291243.0
2016-09-30,2016-11-22,10-Q,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,11881.0,0.0,,53500.0,,,,1636225.0,,,,,134850.0,132132.0,,74001.0,,,,0.001,75000000.0,16656276.0,16656276.0,16656.0,,144607.0,,,,5231.0,,,,,,,,,,,,,,245523.0,,,5799.0,-0.06,,264.0,1318.0,,,,-47969.0,244931.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,574114.0,,210.0,-574114.0,,7217.0,,,,,449616.0,134850.0,,,0.0,,,,-875649.0,,,,19379.0,,15000.0,,,294162.0,,,2718.0,,44000.0,-623987.0,-623987.0,,,,,,,,4631.0,,,,,,,,-875649.0,,,-2066456.0,,42500.0,,,,,,,,,,,,-314766.0,,,,,,,,-1694.0,98809.0,15668614.0
2016-12-31,2017-04-17,10-K,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,6111.0,4000.0,19799.0,66000.0,,,,1744732.0,315019.0,,,,146183.0,143830.0,,24102.0,,,22566.0,0.001,2500000000.0,17156276.0,17156276.0,17156.0,,,405097.0,,,26933.0,,,,,,,,408700.0,408700.0,,,1329.0,2038952.0,,,,15000.0,-0.21,0.34,395.0,1186.0,2664.0,,,-47969.0,758427.0,,,135817.0,,,,,,,247900.0,931900.0,-1179800.0,931900.0,-8892.0,19799.0,-9500.0,,513.0,,,-6149.0,16130.0,,,-1407.0,,,,513.0,-1072978.0,,16130.0,,,355110.0,,2505602.0,146183.0,,2505602.0,,607500.0,-47876.0,-537058.0,-3370935.0,,,,,,,,46295.0,961577.0,-825760.0,1179800.0,2353.0,,203150.0,,-2545175.0,,,0.001,75000000.0,0.0,0.0,0.0,7433.0,485000.0,,274920.0,35000.0,,,37500.0,-3370935.0,46295.0,,-4121307.0,,162750.0,,,,,,,,,,3697500.0,,-2359419.0,,,,,435925.0,,380000.0,-1423715.0,,15685685.0
2017-03-31,2017-05-25,10-Q,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,11990.0,36429.0,24299.0,66500.0,,,,3125619.0,,,,,171653.0,169666.0,,31618.0,,,7516.0,0.001,75000000.0,22207327.0,22207327.0,22207.0,,,199423.0,,,3000.0,,,,,,,,,,,,365.0,1342288.0,,,,15000.0,-0.03,,527.0,1054.0,,,,-52977.0,331770.0,,,39000.0,,,,,,,,,,,32429.0,4500.0,-500.0,,296.0,,,5879.0,3079.0,,,2180.0,,,,296.0,-1272493.0,,13059.0,,,,,1643297.0,171653.0,,1643297.0,,252750.0,-20000.0,-225234.0,-498163.0,,,,,,,,66295.0,388270.0,,,1987.0,,56500.0,,-148893.0,,,,,,,,5253.0,439000.0,,,,,,,-498163.0,20000.0,186250.0,-4619470.0,42000.0,42000.0,,,,,,,,,,,,-1471644.0,,,,,,,,1176873.0,,18909688.0
2017-06-30,2017-08-18,10-Q,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,11940.0,39554.0,23799.0,51500.0,,,,3374799.0,,,,,172442.0,169631.0,,33588.0,,,,0.001,500000000.0,25319573.0,25319573.0,25320.0,,,349062.0,,,14659.0,,,,,,,,,,,,,1063298.0,,,,10000.0,-1.38,,659.0,2111.0,,,,-123476.0,118879.0,,,22841.0,,,,,,,,,,,,,,,,,,,,,,,,,,289.0,-285591.0,,24521.0,,,,,1523272.0,172442.0,,1523272.0,,,,,-131479.0,,,,,,,,79295.0,171379.0,,,2811.0,,52500.0,,17059.0,,,0.001,75000000.0,0.0,0.0,0.0,5248.0,,,,,,,,-131479.0,,,-4750949.0,37500.0,37500.0,,,,,,,,,,,,-1350830.0,,,,,,,,426415.0,,95205.0
2017-09-30,2017-11-15,10-Q,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,11874.0,35641.0,26369.0,47000.0,791.0,,,3810221.0,,,,,198156.0,195808.0,,63478.0,,,,0.001,500000000.0,59996539.0,59996539.0,59997.0,,,439489.0,,,12000.0,,,,,,,,,,,,,2038605.0,,,,10000.0,-11.63,,890.0,1881.0,,,,-35072.0,47925.0,,,22500.0,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,-249629.0,,35089.0,,,,,2598367.0,198156.0,,2598367.0,,,,,-1519480.0,,,,,,,,79295.0,96425.0,,,2348.0,,48500.0,,1445555.0,,,0.001,75000000.0,0.0,0.0,,5244.0,,,,,,,,-1519480.0,,,-6270429.0,34500.0,34500.0,,,,,,,,,,,,-2400211.0,,,,,,,,-1160652.0,,130601.0
