end,filed,form,Name,Ticker,CIK,Currency,AccountsAndOtherReceivablesNetCurrent,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AdditionalPaidInCapital,AllocatedShareBasedCompensationExpense,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AreaOfRealEstateProperty,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleNotesPayableCurrent,DebtConversionConvertedInstrumentAmount1,DebtInstrumentUnamortizedDiscountCurrent,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositsAssets,DerivativeAssetFairValueGrossLiability,DerivativeLiabilities,DerivativeLiabilitiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationIssues,FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationSettlements,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInCustomerAdvances,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInDeposits,IncreaseDecreaseInDerivativeLiabilities,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInInventories,InterestExpense,InterestPaid,InterestPaidNet,InventoryNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpenseNet,OtherNoncashExpense,OtherNonoperatingIncomeExpense,PaymentsForCapitalImprovements,PreferredStockNoParValue,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromRelatedPartyDebt,ProfessionalFees,RetainedEarningsAccumulatedDeficit,RevenueFromRelatedParties,Revenues,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,StockholdersEquity,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2016-02-29,2017-02-21,10-Q,"HEMP NATURALS, INC.",HPMM,CIK0001664038,USD,,,0.0,13199.0,,0.0,,60.0,60.0,60.0,60.0,-40.0,,0.0001,500000000.0,12200000.0,12200000.0,1220.0,,,,,,,,,,,0.0,,,,,,,,40.0,,,,,0.0,-3099.0,,,,,,0.0,,0.0,,,0.0,60.0,0.0,,-40.0,-40.0,,,,,,,,0.0001,20000000.0,0.0,0.0,0.0,,3099.0,,,,,0.0,-14359.0,,0.0,0.0,,,,,,,60.0,,,,,,12200000.0
2016-05-31,2017-02-21,10-Q,"HEMP NATURALS, INC.",HPMM,CIK0001664038,USD,,,0.0,70078.0,,,,48646.0,48646.0,46117.0,46117.0,,0.0,0.0001,500000000.0,14005983.0,14005983.0,1401.0,,,,,,,1530.0,,,,0.0,,,,,,,,8474.0,,,,,,,,,,,,,,,,999.0,0.0,48646.0,0.0,,,-8474.0,,,,,,,,0.0001,20000000.0,0.0,0.0,0.0,,,,,,,6350.0,-22833.0,,0.0,0.0,8474.0,,,,,,48646.0,,,,,,13684644.0
2016-08-31,2017-02-21,10-Q,"HEMP NATURALS, INC.",HPMM,CIK0001664038,USD,,,0.0,80078.0,,,,48595.0,48595.0,46066.0,46066.0,,,0.0001,500000000.0,14005983.0,14005983.0,1401.0,,,,,,,1530.0,,,,0.0,,,,,,,,10051.0,,,,,,,,,,,,,,,,999.0,0.0,48595.0,,,,-10051.0,,10051.0,-10051.0,,,,,0.0001,20000000.0,0.0,0.0,0.0,,,,,,,0.0,-32884.0,,0.0,0.0,10051.0,,,,,,48595.0,,,,,,14005983.0
2016-11-30,2017-02-21,10-K,"HEMP NATURALS, INC.",HPMM,CIK0001664038,USD,,,2765.0,95078.0,0.0,0.0,,48586.0,48586.0,46017.0,46017.0,45917.0,,0.0001,500000000.0,14005983.0,14005983.0,1401.0,,,,0.0,17237.0,17237.0,1530.0,,,,0.0,0.0,0.34,-0.34,,,,,,,,,,0.0,-334.0,,,-1530.0,,,999.0,,0.0,,999.0,2765.0,48586.0,2765.0,56710.0,-10793.0,-36379.0,,36379.0,,,,,,0.0001,20000000.0,0.0,0.0,0.0,0.0,28449.0,,55030.0,,1680.0,9115.0,-50698.0,1680.0,,,,0.0,,,,,45781.0,,,,55030.0,,13476181.0
2017-02-28,2017-05-18,10-Q,"HEMP NATURALS, INC.",HPMM,CIK0001664038,USD,,,515.0,120228.0,,0.0,,6182.0,6182.0,4652.0,,-41365.0,,0.0001,500000000.0,14005983.0,14005983.0,1401.0,,,,,,,1530.0,,,,0.0,,,,,,,,65264.0,,-65264.0,,0.0,0.0,-2250.0,,,,,,-999.0,,0.0,0.0,0.0,515.0,6182.0,515.0,0.0,-41365.0,-65264.0,,65264.0,,,,,-25150.0,0.0001,20000000.0,0.0,0.0,0.0,,0.0,,,,,14180.0,-115962.0,,0.0,0.0,65264.0,0.0,,,,,5667.0,,,,,0.0,14005983.0
2017-05-31,2017-06-22,10-Q,"HEMP NATURALS, INC.",HPMM,CIK0001664038,USD,,,765.0,136763.0,,,,3270.0,3270.0,1740.0,,,,0.0001,500000000.0,14005983.0,14005983.0,1401.0,,,,,,,1530.0,,,,0.0,,,,0.0,,,,19697.0,,-19697.0,,0.0,,,,,,,,,0.0,,,0.0,765.0,3270.0,765.0,,,-19697.0,,19697.0,,,,0.0,,0.0001,20000000.0,0.0,0.0,0.0,,,,,,,,-135659.0,,,,19697.0,,,,,,2505.0,,,,,,14005983.0
2017-08-31,2017-10-02,10-Q,"HEMP NATURALS, INC.",HPMM,CIK0001664038,USD,,,765.0,154789.0,,,,1542.0,1542.0,12.0,,,,0.0001,500000000.0,14005983.0,14005983.0,1401.0,,,,,,,1530.0,,,,0.0,,,,,,,,19754.0,,-19754.0,,,,,,,,,,,,,,0.0,765.0,1542.0,765.0,,,-19754.0,,19754.0,,,,,,0.0001,20000000.0,0.0,0.0,0.0,,,,,,,,-155413.0,,,,19754.0,,,,,,777.0,,,,,,14005983.0
2017-11-30,2018-08-08,10-K,"HEMP NATURALS, INC.",HPMM,CIK0001664038,USD,,9074.0,9074.0,7709151.0,3600000.0,0.0,,3720736.0,3720736.0,11.0,11.0,-46006.0,,0.0001,500000000.0,266125983.0,266125983.0,26613.0,0.0,,0.0,0.0,1368195.0,1368195.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.34,-0.34,,,,,3973404.0,-3973404.0,,-3973404.0,0.0,0.0,6308.0,,,1530.0,,,-999.0,,0.0,,0.0,9074.0,3720736.0,9074.0,118286.0,-164292.0,-3973404.0,,3973404.0,,,,,,0.0001,20000000.0,0.0,0.0,0.0,3720725.0,0.0,,42500.0,,75786.0,,-4024102.0,,,,,3800275.0,,,,,3711622.0,,,7521000.0,42500.0,3900000.0,45180120.0
2018-02-28,2018-08-17,10-Q,"HEMP NATURALS, INC.",HPMM,CIK0001664038,USD,,,8709.0,19328443.0,,,,14186695.0,14186695.0,3549.0,,3538.0,,0.0001,500000000.0,324125983.0,324125983.0,32413.0,,,,,,,,,,,0.0,,,,,,,,,,-1158767.0,,0.0,0.0,-365.0,,,,,,0.0,,,0.0,,8709.0,14186695.0,8709.0,5100.0,-1562.0,-1158767.0,,1158767.0,,,,,-19991.0,0.0001,20000000.0,0.0,0.0,0.0,14183146.0,5100.0,,,,,,-5182870.0,,,,1158767.0,1137579.0,,,,,14177986.0,,,,,11600000.0,295770427.0
2018-05-31,2018-09-25,10-Q,"HEMP NATURALS, INC.",HPMM,CIK0001664038,USD,,7203.0,,19344393.0,,,,12369233.0,12369233.0,16444.0,,,,0.0001,500000000.0,324125983.0,324125983.0,32413.0,19688.0,,59062.0,,,,,,171598.0,171598.0,-0.01,,,,-40419.0,,,,1910656.0,,-2023192.0,,0.0,,,,,,,,,72117.0,,,,198489.0,12369233.0,198489.0,,,-2023192.0,,1910656.0,,,,-112536.0,,0.0001,20000000.0,0.0,0.0,0.0,12352789.0,,,,,,,-7206062.0,,,,,,,,,,12170744.0,,,,,,324125983.0
