end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccretionExpense,AccruedLiabilitiesCurrent,AccruedRentCurrent,AdditionalPaidInCapital,AdvertisingExpense,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AssetManagementFees,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockOtherSharesOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ConversionOfStockAmountConverted1,ConvertibleDebtCurrent,ConvertibleDebtFairValueDisclosures,CostOfServicesLicensesAndServices,CurrentFederalTaxExpenseBenefit,DebtConversionOriginalDebtAmount1,DebtInstrumentCarryingAmount,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentDecreaseForgiveness,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountCurrent,DeferredFederalIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpenseOther,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,DeferredTaxAssetsValuationAllowance,DueToOfficersOrStockholdersCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectOfExchangeRateOnCash,EmbeddedDerivativeFairValueOfEmbeddedDerivativeNet,EmbeddedDerivativeLossOnEmbeddedDerivative,ExtinguishmentOfDebtGainLossNetOfTax,FederalIncomeTaxExpenseBenefitContinuingOperations,FeesAndCommissionsTransferAgent,ForeignCurrencyTransactionGainLossRealized,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccountsAndNotesReceivable,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToOfficersAndStockholdersCurrent,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InterestPayableCurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LicensesRevenue,ManagementFeeExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherGeneralAndAdministrativeExpense,OtherNoncashIncome,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,PrepaidExpense,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromOtherDebt,ProceedsFromRelatedPartyDebt,ProfessionalAndContractServicesExpense,ProfessionalFees,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RepaymentsOfConvertibleDebt,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,RestatementOfPriorYearIncomeNetOfTax,RetainedEarningsAccumulatedDeficit,RevenueFromEnrollmentAndRegistrationFeesExcludingHospitalityEnterprises,Revenues,SaleOfStockConsiderationReceivedPerTransaction,StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,StockholdersEquity,StockholdersEquityBeforeTreasuryStock,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteSubscriptionsReceivable,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensation,TranslationAdjustmentFunctionalToReportingCurrencyIncreaseDecreaseGrossOfTax,UnrecognizedTaxBenefitsResultingInNetOperatingLossCarryforward,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2012-12-31,2013-03-13,10-Q,CANTABIO PHARMACEUTICALS INC.,CTBO,CIK0001550518,USD,,,,,597.0,,22500.0,43.0,,,,13431.0,,,3431.0,3431.0,,0.001,100000000.0,2500000.0,2500000.0,,2500.0,,,,,,,,,,,,,,,,4608.0,,,,,-4608.0,,,1387.0,,0.0,,,,,,,,,,,,,,,,707.0,,0.0,0.0,,,,597.0,,,,,,-10000.0,,0.0,,,,1984.0,13431.0,,-3745.0,0.0,26387.0,-22956.0,,-15802.0,,,15802.0,-15802.0,,,,,,10000.0,,,,,25000.0,,,1387.0,,11307.0,,,,,,-13553.0,0.0,0.0,,,11447.0,,,,,,,,,,,,,,,,,13500.0,,2500000.0,
2013-03-31,2013-06-28,10-K,CANTABIO PHARMACEUTICALS INC.,CTBO,CIK0001550518,USD,,,,,6633.0,,113467.0,,,,,4567.0,,16654.0,16654.0,,,0.001,100000000.0,4850000.0,3650000.0,,4850.0,,,,,9038.0,,,,,,,,,,,16901.0,0.0,,,,16901.0,,,0.0,,-0.01,,,,,,,,,,,,0.0,,,,,,0.0,,,1000.0,,,,,,,-1000.0,,,,,,,6633.0,4567.0,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-120383.0,-3233.0,,,,-2066.0,,14467.0,1000.0,,,,1150000.0,1100000.0,,,23000.0,23000.0,,,,,33533.0,,2570137.0,
2013-06-30,2013-08-13,10-Q,CANTABIO PHARMACEUTICALS INC.,CTBO,CIK0001550518,USD,,,,,2621.0,,56700.0,0.0,,,-10000.0,15260.0,,5260.0,5260.0,-11394.0,,0.001,100000000.0,4300000.0,4300000.0,,4300.0,,,,,5500.0,,,,,,,,,,,16901.0,0.0,,,,-16901.0,,,1387.0,,0.0,,,,,,,,,,,,0.0,,,,219.0,,0.0,0.0,,,,-11679.0,,,,,,-2500.0,,0.0,,,,4008.0,15260.0,,0.0,10000.0,14000.0,-25394.0,,-16215.0,,,16215.0,-16215.0,,,,,,,,10000.0,,,14000.0,,,0.0,,2412.0,,,,,,-49748.0,-3584.0,0.0,,,11252.0,,11252.0,,,,,650000.0,650000.0,,,-14000.0,13000.0,,,,,49748.0,,3798113.0,
2013-09-30,2013-11-08,10-Q,CANTABIO PHARMACEUTICALS INC.,CTBO,CIK0001550518,USD,,,,,525.0,,67150.0,0.0,,,,18396.0,,12146.0,12146.0,,,0.001,100000000.0,4850000.0,4850000.0,,4850.0,,,,,,,,,,,,,,,,23951.0,0.0,,,,23951.0,,,1387.0,,-0.01,,,,,,,,,,,,,,,,223.0,,0.0,,,,,,,,,,,,,,,,,16842.0,18396.0,,0.0,15000.0,,,,-20698.0,,,20698.0,-20698.0,,,,,,,,6250.0,,,,,,,,1725.0,,,,,,-70446.0,-3750.0,0.0,,,1554.0,,1554.0,,,,,,,,,,,,,,,70400.0,,4536957.0,
2013-12-31,2014-02-13,10-Q,CANTABIO PHARMACEUTICALS INC.,CTBO,CIK0001550518,USD,,,,,16980.0,,67150.0,0.0,,,,10521.0,,8021.0,8021.0,,,0.001,100000000.0,4850000.0,4850000.0,,4850.0,,,,,,,,,,,,,,,,32201.0,0.0,,,,-32201.0,,,16317.0,,-0.01,,,,,,,,,,,,,,,,85.0,,0.0,,,,,,,,,,,,,,,,,33297.0,10521.0,,0.0,15000.0,,,,-24331.0,,,24331.0,-24331.0,,,,,,,,2500.0,,,,,,,,9246.0,,,,,,-94776.0,-5466.0,0.0,,,-22776.0,,22776.0,,,,,,,,,,,,,,,94776.0,,4465818.0,
2014-03-31,2014-07-11,10-K,CANTABIO PHARMACEUTICALS INC.,CTBO,CIK0001550518,USD,,,,,6633.0,,113467.0,0.0,,,,4567.0,4567.0,4567.0,30.0,-12087.0,,0.001,100000000.0,4850000.0,4850000.0,,4850.0,,,,,9038.0,,,,,46317.0,,,,-9038.0,,40930.0,0.0,40930.0,,,-40930.0,,,0.0,,-0.02,,0.34,,,,,,,,,,0.0,15000.0,,,650.0,-86850.0,0.0,0.0,-29529.0,-1000.0,,22333.0,,,,,1000.0,12500.0,,0.0,,,,6633.0,4567.0,6633.0,0.0,55000.0,38930.0,-51017.0,,-86850.0,,,86850.0,-86850.0,,16132.0,,,,,,0.0,46317.0,,24000.0,,,14930.0,5500.0,15068.0,,,,,,-120383.0,-16132.0,0.0,,29529.0,-2066.0,,-2066.0,0.0,,,,1200000.0,,,,24000.0,24000.0,,,,,120383.0,,4563836.0,
2014-06-30,2014-08-19,10-Q,CANTABIO PHARMACEUTICALS INC.,CTBO,CIK0001550518,USD,,,,,950.0,,113467.0,,,,,1069.0,,0.0,0.0,-4567.0,,0.001,100000000.0,4850000.0,,,4850.0,,,,,5500.0,,,,,46317.0,,,,-5500.0,,41955.0,0.0,,,,41955.0,,,5200.0,,0.0,,0.34,,,,,,,,,,0.0,,,,209.0,-3015.0,0.0,0.0,,,,-5683.0,,,,,,-1069.0,,0.0,,,,6150.0,1069.0,,0.0,0.0,5200.0,-9767.0,,-3015.0,,,3015.0,-3015.0,,2806.0,,,,,,1069.0,,,,,,5200.0,,2806.0,,,,,,-123398.0,0.0,0.0,,,-5081.0,,,,,,,,,,,0.0,,,,,,123398.0,,4850000.0,
2014-09-30,2014-11-19,10-Q,CANTABIO PHARMACEUTICALS INC.,CTBO,CIK0001550518,USD,,,,,13436.0,,113467.0,,,,,0.0,,0.0,0.0,,,0.001,100000000.0,4850000.0,,,4850.0,,,,,,,,,,,,,,,,46802.0,0.0,,,,46802.0,,,5900.0,,0.0,,,,,,,,,,,,,,,,12.0,-14255.0,0.0,,,,,,,,,,,,,,,,,19336.0,0.0,,0.0,0.0,,,,-14255.0,,,14255.0,-14255.0,137653.0,,,,,,,,,,,,,,,14243.0,,,,,,-137653.0,0.0,0.0,,,-19336.0,,,,,,,,,,,,,,,,,,,4850000.0,
2014-12-31,2015-02-23,10-Q,CANTABIO PHARMACEUTICALS INC.,CTBO,CIK0001550518,USD,,,,,15786.0,,113467.0,,,,,,,,46.0,,,0.001,100000000.0,4850000.0,,,4850.0,,,,,,,,,,,,,,,,,,,,,,,,5900.0,,0.0,,,,,,,,,,,,,,22235.0,,6063.0,-6063.0,,,,,,,,,,,,,,,,,,21686.0,17270.0,21686.0,,,,,,18125.0,,6063.0,2350.0,-2350.0,,,1953.0,,24188.0,,,,,,,,,,,2350.0,,,,,,-122733.0,,,,,-4416.0,,,,,,,,,,,,,,,,,,,26129594.0,
2015-03-31,2015-08-10,10-K,CANTABIO PHARMACEUTICALS INC.,CTBO,CIK0001550518,USD,214.0,214.0,,,18584.0,214745.0,113467.0,,,,,209.0,209.0,209.0,209.0,179.0,,0.001,250000000.0,14824324.0,14824324.0,,14824.0,,,,,,,,,,,,,,,,,,66000.0,,,-66000.0,3706.0,,8804.0,,0.01,,,0.34,-0.398,,0.0,0.058,,,,,,,71288.0,,15659.0,-29681.0,,,-8609.0,,,-72001.0,,-6121.0,,,,,,,,,,218665.0,209.0,218665.0,,,8804.0,179.0,,78303.0,,29681.0,25322.0,,146000.0,,1953.0,34744.0,107985.0,,,,,,,,,8804.0,,25101.0,,,,14022.0,,-233280.0,,,,8609.0,-218456.0,,,,,,,,,,,,,,,,,,,14824324.0,
