end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdvertisingExpense,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AssetImpairmentCharges,Assets,AssetsCurrent,BankOverdrafts,BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashFDICInsuredAmount,CashUninsuredAmount,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CompensatingBalanceAmount,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CurrentForeignTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtConversionConvertedInstrumentRate,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentConvertibleThresholdPercentageOfStockPriceTrigger,DebtInstrumentFaceAmount,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositsAssetsNoncurrent,DerivativeGainLossOnDerivativeNet,DerivativeLiabilities,DerivativeLiabilitiesCurrent,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedShareBasedAwardsOtherThanOptions,FairValueAssumptionsExpectedDividendRate,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxReconciliationNondeductibleExpenseImpairmentLosses,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncomeTaxReconciliationTaxContingencies,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncrementalCommonSharesAttributableToConversionOfDebtSecurities,InterestExpense,InterestPaid,InvestmentIncomeInterest,LeaseAndRentalExpense,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFourAndFiveYears,OperatingLeasesFutureMinimumPaymentsDueInTwoAndThreeYears,OperatingLossCarryforwards,OtherExpenses,OtherNonoperatingIncome,PaymentsToAcquireIntangibleAssets,PreferredStockLiquidationPreferenceValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,ProceedsFromDebtNetOfIssuanceCosts,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProfessionalFees,RentalIncomeNonoperating,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,SalariesAndWages,SaleOfStockPricePerShare,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfExercisableOptions,SharePrice,StockGrantedDuringPeriodValueSharebasedCompensationGross,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensationGross,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationRepatriationOfForeignEarnings,IncreaseDecreaseInPrepaidExpense,PrepaidExpenseNoncurrent
2013-03-31,2013-05-15,10-Q,"WALLY WORLD MEDIA, INC.",WLYW,CIK0001555214,USD,33169.0,,596403.0,,,,,198289.0,189889.0,,,,157052.0,,250000.0,0.0,0.0001,500000000.0,23330000.0,23330000.0,2333.0,,,,,,,,,,,,,8400.0,,,,443195.0,,9579.0,,-0.01,,,,,,,11307.0,,,,,,,,,,,,,,168.0,6063.0,,,198289.0,42748.0,,,,-172161.0,168.0,172329.0,,,,,,,,,,,0.0001,50000000.0,,,32837.0,,,,,,30686.0,,,,,124273.0,,,,,,,,,,,,,,,,,155541.0,,,,,,,,,,,23191111.0,,,,,
2013-06-30,2013-08-12,10-Q,"WALLY WORLD MEDIA, INC.",WLYW,CIK0001555214,USD,48630.0,,630369.0,,,,,77791.0,69391.0,,,,51641.0,,250000.0,,0.0001,500000000.0,23670000.0,23670000.0,2367.0,,,,,,,,,,,,,8400.0,,,,643575.0,,5000.0,,-0.01,,,,,,,21421.0,,,,,,,,,,,,,,45.0,770.0,,,77791.0,88630.0,,,,-200380.0,45.0,200425.0,,,,,,,,,,,0.0001,50000000.0,,,17750.0,15150.0,,,,,50125.0,,,,,128109.0,,,,,,,,,,,,,,,,,-10839.0,,,,,,,,,,,23584505.0,,,,,
2013-09-30,2013-12-23,10-K,"WALLY WORLD MEDIA, INC.",WLYW,CIK0001555214,USD,30189.0,,912087.0,450.0,,,35000.0,101263.0,92863.0,,,,87663.0,3823.0,,,0.0001,500000000.0,26490000.0,26490000.0,2649.0,,,,-255046.0,-67512.0,,,,,,284487.0,284487.0,8400.0,,,,851337.0,,7675.0,,-0.03,,0.34,,,,,63211.0,,15050.0,29240.0,-67512.0,-255046.0,29882.0,,,8400.0,3063.0,0.0,,,452.0,14462.0,,,101263.0,37864.0,667542.0,-35000.0,-628719.0,-750138.0,452.0,750590.0,,63000.0,25200.0,12600.0,25200.0,647134.0,,,35000.0,,0.0001,50000000.0,,,5200.0,15150.0,,673000.0,7488.0,,137806.0,,12946.0,0.0,-851337.0,500111.0,,43000.0,,,,,,,,,,,,,,,63399.0,25000.0,,,,68000.0,673000.0,,,278268.0,,23578230.0,,,,,
2013-12-31,2014-02-11,10-Q,"WALLY WORLD MEDIA, INC.",WLYW,CIK0001555214,USD,60261.0,,1277222.0,15300.0,,,,270865.0,262465.0,,,,246665.0,159002.0,250000.0,,0.0001,500000000.0,30145000.0,30145000.0,3014.0,,,,,,,,,,,,,8400.0,,,,1074632.0,,5000.0,,-0.01,,,,,,,48958.0,,,,,,30072.0,,,,10600.0,,,,20.0,11812.0,,,270865.0,65261.0,353825.0,,-194823.0,-223295.0,20.0,223315.0,,56700.0,25200.0,6300.0,25200.0,,,,,,0.0001,50000000.0,,,15800.0,15150.0,,356500.0,,,32797.0,,2675.0,,,129748.0,0.1,9000.0,,,,,,,,,,,,,,,205604.0,,3565000.0,,356500.0,9000.0,356500.0,,,,,27366758.0,,,,,
2014-03-31,2014-05-12,10-Q,"WALLY WORLD MEDIA, INC.",WLYW,CIK0001555214,USD,26508.0,,2147609.0,,,,,449533.0,441133.0,,,,278362.0,,250000.0,,0.0001,500000000.0,37950000.0,37950000.0,3795.0,28000.0,,,,,,,,,,,,8400.0,,,,1733379.0,,5000.0,-0.02,-0.02,-0.02,,,,333239.0,,73499.0,,,,,,,,,,,,,,109.0,6394.0,,,449533.0,31508.0,,,,-658747.0,109.0,658856.0,,50400.0,25200.0,,25200.0,,,,,,0.0001,50000000.0,,,162771.0,,,,,,180163.0,,,,,405194.0,0.1,,,,0.09,,,,239085.0,4650000.0,,,,,,,418208.0,,4750000.0,,475000.0,,,,,,35413390.0,35413390.0,35413390.0,,,,
2014-06-30,2014-08-11,10-Q,"WALLY WORLD MEDIA, INC.",WLYW,CIK0001555214,USD,39855.0,,2458308.0,,,,,292909.0,284509.0,,,,103259.0,,250000.0,,0.0001,500000000.0,38600000.0,38600000.0,3860.0,,,,,,,,,,,,,8400.0,,,,,,5000.0,,-0.01,,,,,252619.0,,47399.0,,,,,,,,,,,,,,,6453.0,,,292909.0,44855.0,,,,-480735.0,,480735.0,,44100.0,25200.0,,18900.0,,,,,,0.0001,50000000.0,,,181250.0,,,,,,189227.0,,,,-2214114.0,237656.0,0.1,,,,0.09,,,,,3900000.0,0.83,,,,,,248054.0,,,,,,,,,,,38500000.0,,,,,
2014-09-30,2014-12-23,10-K,"WALLY WORLD MEDIA, INC.",WLYW,CIK0001555214,USD,62473.0,,2548224.0,56144.0,,,,23782.0,15382.0,1016.0,,,,-87663.0,250000.0,,0.0001,500000000.0,38600000.0,38600000.0,3860.0,,,,-593454.0,-157091.0,,,,,0.0,694430.0,694430.0,8400.0,,,,,,5000.0,,-0.05,,0.34,1.0,99720.0,,,186365.0,,,340602.0,,,32284.0,,,,-3568.0,3850000.0,837.0,837.0,213.0,31209.0,,,23782.0,68489.0,829841.0,,-917504.0,-1745454.0,-624.0,1744830.0,,37800.0,25200.0,,12600.0,953356.0,,,,,0.0001,50000000.0,,,15382.0,,,831500.0,,1016.0,557946.0,,2675.0,0.0,-2596791.0,969310.0,,276848.0,,,0.09,0.26,-850000.0,4700000.0,,3850000.0,0.83,0.83,0.73,1925000.0,,,-44707.0,224000.0,,,,305000.0,831500.0,224000.0,276848.0,409943.0,3850000.0,34955535.0,,,,,
2014-12-31,2015-02-23,10-Q,"WALLY WORLD MEDIA, INC.",WLYW,CIK0001555214,USD,71420.0,3527.0,2627991.0,170.0,60659.0,,,64955.0,56555.0,,,,56555.0,56555.0,250000.0,,0.0001,500000000.0,38600000.0,38600000.0,3860.0,,190000.0,60659.0,,,0.1,0.005,0.75,30000.0,,,,8400.0,-6091101.0,701836.0,6505494.0,,,5000.0,,-0.17,,,,9694.0,,0.0,22905.0,,,,,,8947.0,,-3527.0,,-1632.0,,64503.0,,11.0,6585.0,10000.0,,64955.0,6646100.0,178984.0,,-122429.0,-6616205.0,-6389986.0,226219.0,,31500.0,25200.0,,6300.0,,234393.0,,,,0.0001,50000000.0,,,,,180000.0,,,-1016.0,27555.0,,,,-9212996.0,169174.0,,79767.0,,,,0.25,-850000.0,,,3000000.0,1.0,1.0,,2250000.0,0.02,,-6581145.0,,,,,,,,79767.0,,296999360.0,38600000.0,,,,,
2015-03-31,2015-05-20,10-Q,"WALLY WORLD MEDIA, INC.",WLYW,CIK0001555214,USD,92261.0,8498.0,2647669.0,,,,,10381.0,1981.0,,,,1981.0,,250000.0,,0.0001,500000000.0,38761290.0,38761290.0,3876.0,,205000.0,160256.0,,,,0.005,,30000.0,,,,8400.0,1775603.0,505536.0,4769976.0,,,5000.0,0.04,,0.01,,,,,,30133.0,,,,,,,,,,,,104755.0,,2.0,,,,10381.0,5035991.0,,,,1535841.0,1654041.0,118200.0,,25200.0,25200.0,,,,25085.0,8276.0,,,0.0001,50000000.0,,,,,,,,,18656.0,,,,-7677155.0,69411.0,,,,,,,,,,3000000.0,1.0,,,3000000.0,0.02,,-5025610.0,,,,,,,,,,243097182.0,,38759498.0,,,,
2020-09-30,2021-09-27,10-K,"WALLY WORLD MEDIA, INC.",WLYW,CIK0001555214,USD,,,2681671.0,,,,,,,,,,,,,,0.0001,500000000.0,40413033.0,40413033.0,4041.0,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0001,50000000.0,0.0,0.0,,,,,,,,,,,-2685712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40413033.0,,,,,
