end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesNoncurrent,AccountsPayableCurrent,AccumulatedOtherComprehensiveIncomeLossOtherThanTemporaryImpairmentNotCreditLossNetOfTaxAvailableforsaleDebtSecurities,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsAndShortTermInvestments,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashFDICInsuredAmount,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,CommitmentsAndContingencies,CommonStockOtherSharesOutstanding,CommonStockOtherValueOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,CommonStockValueOutstanding,ConvertibleDebtCurrent,ConvertibleDebtNoncurrent,ConvertibleNotesPayable,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfOtherPropertyOperatingExpense,CostOfRevenue,CostsAndExpenses,CostsAndExpensesRelatedParty,CurrentStateAndLocalTaxExpenseBenefit,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentDecreaseForgiveness,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountCurrent,DebtInstrumentUnamortizedDiscountNoncurrent,DebtSecuritiesUnrealizedGainLoss,DeferredIncomeTaxesAndOtherTaxReceivableCurrent,DeferredRevenueAndCreditsNoncurrent,DeferredSalesInducementsAmortizationExpense,DeferredTaxAssetsGross,DeferredTaxAssetsValuationAllowance,DepositsAssetsCurrent,Depreciation,DepreciationAndAmortization,DerivativeFairValueOfDerivativeNet,DerivativeGainLossOnDerivativeNet,DerivativeLiabilitiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EmployeeRelatedLiabilitiesCurrent,FinanceLeaseInterestExpense,GainLossFromComponentsExcludedFromAssessmentOfFairValueHedgeEffectivenessNet,GainLossOnSaleOfDerivatives,GainLossOnSaleOfPropertyPlantEquipment,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseDebt,InterestPaid,InterestPayableCurrent,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LiabilitiesOtherThanLongtermDebtNoncurrent,LoansAndLeasesReceivableGrossCarryingAmount,LoansPayableCurrent,LossContingencyAccrualCarryingValuePeriodIncreaseDecrease,LossContingencyLossInPeriod,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossFromContinuingOperationsAvailableToCommonShareholdersBasic,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherNonrecurringIncomeExpense,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromContributionsFromAffiliates,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfLoansAndLeasesHeldForInvestment,ProceedsFromSaleOfLoansHeldForInvestment,ProceedsFromSaleOfLoansReceivable,ProceedsFromSaleOfOtherProductiveAssets,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SalesRevenueServicesNet,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsGranted,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsOutstandingNumber,SharebasedCompensationArrangementBySharebasedPaymentAwardEquityInstrumentsOtherThanOptionsAggregateIntrinsicValueOutstanding,SharesIssued,SharesIssuedPricePerShare,SharesOutstanding,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockIssuedDuringPeriodValueStockDividend,TreasuryStockCommonValue,TreasuryStockShares,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,GainLossOnDispositionOfAssets1,IncreaseDecreaseInDueFromRelatedParties,InterestIncomeInterestEarningAsset,ConvertibleLongTermNotesPayable,ConvertibleNotesPayableCurrent,DebtInstrumentConvertibleThresholdConsecutiveTradingDays1
2018-10-31,2018-11-30,10-Q,"FACT, INC",FCTI,CIK0001714379,USD,,,,,,900.0,,,,,,,2494.0,,1444.0,1444.0,,,,,,,,,,,75000000.0,2600000.0,2600000.0,,2600.0,,,,,,1200.0,1200.0,1200.0,,,0.0,,,,,,,,,2000.0,,,,,,,,,,,9853.0,0.0,,,,,,,4040.0,800.0,-3240.0,,-3240.0,,,,,,,,,,,,,11853.0,2494.0,,,,,,,,,,,,-3240.0,,,4040.0,-3240.0,,4040.0,,,,,,,,,,,,,,1050.0,,-12859.0,,2000.0,2000.0,,,,,,0.01,,9359.0,-9359.0,,,,,,1000.0,,,,,,2564130.0,,2564130.0,,,,,,
2019-01-31,2019-03-29,10-K,"FACT, INC",FCTI,CIK0001714379,USD,,2750.0,2750.0,,26372.0,26372.0,250.0,,26372.0,,,,24231.0,23281.0,23281.0,23281.0,18811.0,23281.0,23281.0,,,,0.0,,878334.0,,75000000.0,3478.0,3478334.0,,0.001,3478334.0,,,,6150.0,6150.0,,6150.0,7750.0,2500.0,0.0,,,,,,,,3828.0,,,,-3828.0,,250.0,250.0,,,,,9863.0,-0.01,,,,,,,1769.0,4100.0,-17149.0,,-17149.0,0.0,2750.0,2750.0,,,,,,,0.0,,15030.0,11618.0,24231.0,12613.0,12613.0,,,9863.0,,,,34160.0,-1200.0,-14149.0,-22522.0,,,21249.0,-17149.0,,21249.0,-1200.0,,,6810.0,,27350.0,,,6810.0,,,19480.0,-17149.0,950.0,950.0,-18232.0,,10250.0,10250.0,,,,,0.01,0.03,,11618.0,11618.0,,1000.0,26350.0,978334.0,,26350.0,,,,,,2596296.0,,2596296.0,,,,,,
2019-04-30,2019-05-28,10-Q,"FACT, INC",FCTI,CIK0001714379,USD,,,,,,26372.0,100.0,,,,,,17213.0,,16363.0,16363.0,-6918.0,,,,,,,,,,75000000.0,3478334.0,3478334.0,,3478.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,100.0,100.0,,,,,9863.0,0.0,,,,,,,4268.0,0.0,-4268.0,,-4268.0,0.0,-2750.0,-2750.0,,,,,,,0.0,,,9863.0,17213.0,,,,,,,,,0.0,0.0,-6918.0,-4268.0,,,4268.0,-4268.0,,4268.0,,,,,,,,0.0,,,,,-4268.0,850.0,,-22500.0,,0.0,,,,,,,,,7350.0,7350.0,,,,,,,,,,,,3478334.0,,3478334.0,,,,,,
2019-07-31,2019-08-27,10-Q,"FACT, INC",FCTI,CIK0001714379,USD,,,0.0,23657.0,26372.0,,,,,,,,16056.0,15306.0,15306.0,15306.0,,,,,,,0.0,,,,75000000.0,3478.0,3478334.0,,0.001,,,,,2700.0,,2700.0,,,,0.0,,,,,,,,,,,,,8960.0,,,,,,,,0.0,,,,,,,2957.0,1800.0,-1157.0,,-1157.0,,,,,,,,,,,,,16056.0,6193.0,9863.0,9863.0,9863.0,,9863.0,,,,,,,-1157.0,,,,-1157.0,,,,,,,,,,,,,,,-1157.0,,750.0,-23657.0,,4500.0,,,,,,,,3478334.0,6193.0,,,,,,,,,,,,,3478334.0,,,,,,,,
2019-10-31,2019-11-29,10-Q,"FACT, INC",FCTI,CIK0001714379,USD,,,4.0,36415.0,26372.0,,,,,,,,3302.0,2652.0,2652.0,2652.0,,,2652.0,,,,0.0,,,,75000000.0,3478.0,3478334.0,,0.001,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,8960.0,,,,,,,,0.0,,,,,,,12758.0,0.0,-12758.0,,-12758.0,,,,,,,,,,,,,3302.0,-6565.0,9867.0,9867.0,9863.0,,9863.0,,,,,,,-12758.0,,,,-12758.0,,,,,,,,,,,,,,,,,650.0,-36415.0,,0.0,,,,,,,,3478334.0,-6565.0,,,,,,,,,,,,,3478334.0,69566680.0,,,,,,,
2020-01-31,2020-03-19,10-K,"FACT, INC",FCTI,CIK0001714379,USD,,,0.0,,26372.0,-39717.0,,,,,,,596.0,46.0,46.0,46.0,-23235.0,46.0,46.0,-23235.0,,,0.0,,,0.001,150000000.0,69566680.0,69566680.0,,69567.0,3478334.0,,,,2700.0,,,,,4500.0,0.0,,,,,,,,8823.0,,,8824.0,8824.0,11860.0,400.0,400.0,,,,12763.0,,0.0,0.21,12763.0,,,,,11785.0,1800.0,-23785.0,-23785.0,-23785.0,0.0,-2750.0,-2750.0,,,,,,,0.0,,13050.0,12763.0,596.0,12763.0,12763.0,,,12763.0,,,,2900.0,0.0,-26135.0,-23785.0,,,25585.0,-23785.0,42017.0,,0.0,,,,,0.0,2900.0,,2900.0,,,13800.0,-23785.0,,550.0,-42017.0,4500.0,4500.0,,,,,,,,,-12167.0,,,,,,,,,,,,,3478334.0,69566680.0,,,,,,,
2020-04-30,2020-06-02,10-Q,"FACT, INC",FCTI,CIK0001714379,USD,,,,,26372.0,,,,,,,,599.0,149.0,149.0,149.0,103.0,,149.0,103.0,,,0.0,,,,75000000.0,3478.0,3478334.0,,0.001,,,,,,,,,,,0.0,,,,,,,,,,,,,16413.0,100.0,100.0,,,,,,0.0,,,,,,,3647.0,,-3647.0,-3647.0,-3647.0,0.0,0.0,,,,,,,,0.0,,,-15814.0,599.0,16413.0,16413.0,,,16413.0,,,,3650.0,,-3547.0,-3647.0,,,3647.0,-3647.0,,,,,,,,,3650.0,3650.0,,,,3647.0,-3647.0,,450.0,-45664.0,,,,,,,,3478334.0,,,-15814.0,,,,,,,,,,,,,3478334.0,69566680.0,,,,,,,
2020-07-31,2020-08-27,10-Q,"FACT, INC",FCTI,CIK0001714379,USD,,,,,26372.0,,,,,,,,439.0,89.0,89.0,89.0,,,89.0,,,,0.0,,,,75000000.0,3478.0,3478334.0,,0.001,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,18413.0,,,,,2160.0,,,-2160.0,-2160.0,,,,,,,,,,,,,439.0,-17975.0,18413.0,18413.0,,18413.0,,,,,,,,-2160.0,,,2160.0,-2160.0,,,,,,,,,,,,,,,-2160.0,,350.0,-47824.0,,0.0,,,,,,3478334.0,,,-17974.0,,,,,,,,,,,,,3478334.0,69566680.0,,,,,,,
2020-10-31,2020-12-23,10-Q,"FACT, INC",FCTI,CIK0001714379,USD,,,,,,-19054.0,,,,,,,29.0,29.0,,29.0,,,29.0,,,,0.0,,,0.001,150000000.0,69566580.0,69566580.0,,69567.0,,,,,,,,,,,,,20663.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,2660.0,,,-2660.0,-2660.0,,,,,,,,,,,,,0.0,29.0,0.0,,,,,,,,,,,-2660.0,,,2660.0,-2660.0,,,,,,,,,,,,,,,,,0.0,-50484.0,,,,,,,,,,,29.0,,,,,,,,,,,,,,69566680.0,,,,,,,
2021-01-31,2021-09-24,10-K,"FACT, INC",FCTI,CIK0001714379,USD,63665.0,,,,,576266.0,,,,145000.0,125028.0,830363.0,12237.0,12237.0,9945.0,9945.0,,,9945.0,9899.0,,1.1,,,,0.001,150000000.0,54216680.0,54216680.0,,54217.0,,125028.0,,,,,,,,,,,38133.0,,145915.0,234972.0,0.0,352386.0,,,367500.0,273569.0,273569.0,,300.0,,498301.0,28712.0,469589.0,0.0,,-0.02,0.21,,710801.0,,323674.0,,37907.0,,,-1260691.0,,,,63665.0,,,6200.0,2292.0,,131228.0,,6200.0,,664482.0,12237.0,664482.0,,,,,,,176873.0,445350.0,,-435451.0,-1260691.0,,-813317.0,447374.0,-447374.0,1302708.0,,,2292.0,,,250000.0,50000.0,25370.0,,,,,70094.0,,,,-1302708.0,,,,,291775.0,291775.0,29178.0,,,,-652245.0,,105000.0,,,,,50000.0,367500.0,,,,,,68257639.0,,,,,,125028.0,
