end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationAndExerciseOfStockOptions,AmortizationOfDebtDiscountPremium,AmortizationOfIntangibleAssets,AssetImpairmentCharges,Assets,AssetsCurrent,BusinessAcquisitionPercentageOfVotingInterestsAcquired,CapitalizedContractCostAccumulatedAmortization,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscriptions,CommonStockValue,ContractWithCustomerLiabilityCurrent,ConvertibleDebtNoncurrent,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtorReorganizationItemsWriteOffOfDeferredFinancingCostsAndDebtDiscounts,DeferredTaxAssetsCapitalLossCarryforwards,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DerivativeFairValueOfDerivativeLiability,DerivativeLiabilitiesCurrent,DueFromRelatedParties,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EmployeeServiceShareBasedCompensationCashFlowEffectCashUsedToSettleAwards,ExtinguishmentOfDebtAmount,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSales,GainLossOnSaleOfOtherInvestments,GainsLossesOnSalesOfAssets,GeneralAndAdministrativeExpense,GoodwillAndIntangibleAssetImpairment,GoodwillImpairmentLoss,GrossProfit,ImpairmentOfIntangibleAssetsExcludingGoodwill,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDerivativeLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInIntangibleAssetsCurrent,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherOperatingCapitalNet,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidInsurance,IndefiniteLivedIntangibleAssetsExcludingGoodwill,IntangibleAssetsNetExcludingGoodwill,InterestExpense,InterestPaid,InterestPayableCurrent,InventoryNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NoncashOrPartNoncashAcquisitionPayablesAssumed1,NonoperatingIncomeExpense,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherNoncashExpense,PaymentsForPurchaseOfOtherAssets1,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireMachineryAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidInsurance,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromRelatedPartyDebt,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOwnedAccumulatedDepreciation,RepaymentsOfConvertibleDebt,RetainedEarningsAccumulatedDeficit,Revenues,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockIssuedDuringPeriodValueShareBasedCompensation,StockRepurchasedDuringPeriodValue,TreasuryStockValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic,AmortizationOfLeasedAsset,EffectiveIncomeTaxRateContinuingOperations,IncreaseDecreaseInOperatingLeaseLiability,NoncashOrPartNoncashAcquisitionOtherLiabilitiesAssumed1,NoncashOrPartNoncashAcquisitionValueOfLiabilitiesAssumed1,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OperatingLeaseRightOfUseAssetAmortizationExpense,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,StockIssuedDuringPeriodValueAcquisitions
2014-03-31,2014-07-15,10-K,"Rapid Therapeutic Science Laboratories, Inc.",RTSL,CIK0001575659,USD,,,,,,,,,,,,,,,18557.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,2015-02-12,10-Q,"Rapid Therapeutic Science Laboratories, Inc.",RTSL,CIK0001575659,USD,,,,,,,,,,,,,,,11481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1500.0,,,,,,,1500.0,-1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2710000.0,,,,,,,,,,,,,,,,,
2015-03-31,2015-07-14,10-K,"Rapid Therapeutic Science Laboratories, Inc.",RTSL,CIK0001575659,USD,,,,,49465.0,,,,,,10731.0,10731.0,,,9981.0,-8576.0,,0.001,200000000.0,2710000.0,2710000.0,,,2710.0,,,,,,,,,,,4306.0,,4306.0,-4306.0,,,,,,0.0,,,,,,,,,12303.0,,,,,,,,,,,,,,,,,,,,3727.0,,,,,,,,,10731.0,,,,,-8576.0,,-12303.0,,,,,,,12303.0,-12303.0,,,,,,,,,,,,750.0,,,,,,,,,,,-41444.0,,,,10731.0,,,,,,,,,,,,,,,2710000.0,,,,,,,,,,,,,,,,,
2015-06-30,2015-08-18,10-Q,"Rapid Therapeutic Science Laboratories, Inc.",RTSL,CIK0001575659,USD,,,,,,,,,,,,,,,7831.0,-2150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,3573.0,,,,,,,,1423.0,,,,,,,,,,,,,,,,,,,,,,,,,,-2150.0,,-3573.0,,,,,,,3573.0,-3573.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2710000.0,,,,,,,,,,,,,,,,,
2015-09-30,2015-11-20,10-Q,"Rapid Therapeutic Science Laboratories, Inc.",RTSL,CIK0001575659,USD,,,,,,,,,,,,,,,4813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1595.0,,,,,,,1595.0,-1595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2710000.0,,,,,,,,,,,,,,,,,
2015-12-31,2016-02-04,10-Q,"Rapid Therapeutic Science Laboratories, Inc.",RTSL,CIK0001575659,USD,,,,,49465.0,,,,,,2263.0,2263.0,,,1513.0,,,0.001,200000000.0,2710000.0,2710000.0,,,2710.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,3300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2263.0,,,,,,,-3300.0,,,,,,,3300.0,-3300.0,,,,,,,,,,,,750.0,,,,,,,,,,,-49912.0,,,,2263.0,,,,,,,,,,,,,,,2710000.0,,,,,,,,,,,,,,,,,
2016-03-31,2016-06-17,10-K,"Rapid Therapeutic Science Laboratories, Inc.",RTSL,CIK0001575659,USD,,1277.0,,,49465.0,,,,,,9988.0,9988.0,,,9238.0,-743.0,,0.001,200000000.0,2710000.0,2710000.0,,,2710.0,,,,,,,,,,,4207.0,,4207.0,-4207.0,,,,10000.0,10000.0,0.0,,-0.35,0.35,,,,,,12020.0,,,,,,,,1277.0,,,,,,,,,,,,,,,,,,,,11277.0,9988.0,11277.0,,10000.0,,-10743.0,,-12020.0,,,,,,,12020.0,-12020.0,53464.0,,,,,,,,,,,750.0,,,,,,10000.0,,,,,-53464.0,,,,-1289.0,-1289.0,,,,,,,,,,,,,,2710000.0,,,,,,,,,,,,,,,,,
2016-06-30,2016-08-15,10-Q,"Rapid Therapeutic Science Laboratories, Inc.",RTSL,CIK0001575659,USD,,750.0,,,49465.0,,,,,,2780.0,2780.0,,,2030.0,-7208.0,,0.001,200000000.0,2710000.0,2710000.0,,,2710.0,,,,,,,,,,,,,,,,,,,10000.0,0.0,,,,,,,,,6681.0,,,,,,,,-527.0,,,,,,,,,,,,,,,,,,,,10750.0,2780.0,10750.0,,,,-7208.0,,-6681.0,,,,,,,6681.0,-6681.0,,,,,,,,,,,,750.0,,,,,,,,,,,-60145.0,,,,-7970.0,,,,,,,,,,,,,,,2710000.0,,,,,,,,,,,,,,,,,
2016-09-30,2016-10-13,10-Q,"Rapid Therapeutic Science Laboratories, Inc.",RTSL,CIK0001575659,USD,,2500.0,,,49465.0,,,,,,11165.0,11165.0,,,10415.0,,,0.001,200000000.0,2710000.0,2710000.0,,,2710.0,,,,,,,,,,,,,,,,,,,20000.0,0.0,,,,,,,,,3365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22500.0,11165.0,22500.0,,,,,,-3365.0,,,,,,,3365.0,-3365.0,,,,,,,,,,,,750.0,,,,,,,,,,,-63510.0,,,,-11335.0,,,,,,,,,,,,,,,2710000.0,,,,,,,,,,,,,,,,,
2016-12-31,2017-02-01,10-Q,"Rapid Therapeutic Science Laboratories, Inc.",RTSL,CIK0001575659,USD,,750.0,,,49465.0,,,,,,6615.0,6615.0,,,5865.0,,,0.001,200000000.0,2710000.0,2710000.0,,,2710.0,,,,,,,,,,,,,,,,,,,20000.0,0.0,,,,,,,,,2800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20750.0,6615.0,20750.0,,,,,,-2800.0,,,,,,,2800.0,-2800.0,,,,,,,,,,,,750.0,,,,,,,,,,,-66310.0,,,,-14135.0,,,,,,,,,,,,,,,2710000.0,,,,,,,,,,,,,,,,,
