end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesNoncurrent,AccountsPayableCurrent,AccretionExpense,AccruedAdvertisingCurrent,AccruedLiabilitiesCurrent,AccruedProfessionalFeesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,Assets,AssetsCurrent,AssetsNoncurrent,CapitalizedComputerSoftwareGross,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsAndShortTermInvestments,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,CommonStockValueOutstanding,CostOfRevenue,CurrentStateAndLocalTaxExpenseBenefit,DeferredTaxAssetsNet,DeferredTaxAssetsNetCurrent,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationAndAmortization,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EmployeeRelatedLiabilitiesCurrent,FinancialLiabilitiesFairValueDisclosure,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxesPaid,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,InsuranceSettlementsReceivableCurrent,InterestPaid,InterestRateCashFlowHedgeGainLossReclassifiedToEarningsNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LossContingencyAccrualCarryingValuePeriodIncreaseDecrease,LossContingencyAccrualPayments,LossContingencyLossInPeriod,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesAndLoansReceivableNetCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesIncomeStatementCarryingAmountAtLeaseInceptionExceedsFairValue,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAmortizationOfDeferredCharges,OtherAssetsCurrent,OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodNetOfTax,OtherNonrecurringIncomeExpense,PaymentsForProceedsFromProductiveAssets,PaymentsForRepurchaseOfCommonStock,PaymentsToAcquireLoansReceivable,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockSharesOutstanding,ProceedsFromCollectionOfLoansReceivable,ProceedsFromCollectionOfOtherReceivables,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleOfLoansReceivable,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ReceivablesNetCurrent,RetainedEarningsAccumulatedDeficit,Revenues,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingPeriodIncreaseDecrease,SharesIssued,SharesIssuedPricePerShare,SharesOutstanding,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockRepurchasedAndRetiredDuringPeriodValue,TemporaryEquityLiquidationPreferencePerShare,TreasuryStockCommonValue,ValuationAllowanceDeferredTaxAssetChangeInAmount,ValuationAllowancesAndReservesBalance,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,IncreaseDecreaseInDueToRelatedPartiesCurrent
2019-02-28,2019-03-07,10-Q,UNEX HOLDINGS INC.,UNEX,CIK0001700844,USD,500.0,,,,,,,4170.0,,,4024.0,,,,3206.0,3206.0,-9697.0,,,,,75000000.0,2330000.0,2330000.0,,2330.0,,0.0,0.0,,,,,,,,9217.0,0.0,,,4589.0,0.0,,-4589.0,,,0.0,,500.0,,,,0.0,,9717.0,4024.0,,,,,-11179.0,,1800.0,-950.0,-10547.0,-4589.0,,4589.0,-4589.0,,,,132.0,,,4589.0,-950.0,0.0,,,,0.0,,,1800.0,,,,-4589.0,818.0,,,-12193.0,0.0,,,,,-7493.0,-5693.0,,,,,,,,,,,2273555.0,,2273555.0,
2019-05-31,2019-06-12,10-Q,UNEX HOLDINGS INC.,UNEX,CIK0001700844,USD,,,,,,,,,,,,,,,9939.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,2996.0,,,-2996.0,,,,,,,,,,,,,,,,,,,,,,-2996.0,,,,,,,,,,,,,,,,,,,,,,,-2996.0,,,,,,,,,,1461.0,,,,11250.0,,,,,,,,2524728.0,,,
2019-08-31,2019-10-25,10-K,UNEX HOLDINGS INC.,UNEX,CIK0001700844,USD,,0.0,290.0,,,11500.0,22730.0,,,0.0,18200.0,17540.0,660.0,,15740.0,15740.0,2837.0,,15740.0,,,75000000.0,2970.0,2970000.0,,0.001,,,0.0,0.0,3510.0,-3510.0,290.0,,,,,-0.01,9217.0,,15703.0,,,-15703.0,,-15703.0,0.0,-21.0,0.0,,,1800.0,0.0,-21.0,18200.0,8983.0,9217.0,9217.0,,,-15703.0,,21000.0,-950.0,-17213.0,-15703.0,1800.0,,,,3510.0,,290.0,660.0,0.0,,-950.0,0.0,,,2000000.0,,-1800.0,,21000.0,,,0.0,-15703.0,,660.0,1800.0,-16717.0,,,2970000.0,,2970000.0,7183.0,,,,20300.0,,,,0.0,2000.0,21.0,3510.0,2439095.0,,,
2019-11-30,2020-01-03,10-Q,UNEX HOLDINGS INC.,UNEX,CIK0001700844,USD,,,79.0,,,,24615.0,,,,,14469.0,15050.0,,14469.0,14469.0,-1271.0,,,,,75000000.0,3035.0,3035000.0,,0.001,3035000.0,,0.0,,,,79.0,,,,,0.0,9217.0,,5100.0,,,-5100.0,,-5100.0,0.0,,0.0,,,,0.0,,15050.0,5833.0,9217.0,9217.0,,,-5100.0,,1950.0,0.0,-3221.0,-5100.0,0.0,,,,,,79.0,581.0,,,0.0,0.0,0.0,,,1800.0,1800.0,,1950.0,,,,-5100.0,,581.0,,-21817.0,,,1950.0,0.03,,5833.0,,,,1950.0,1950.0,,,,,,,3028901.0,,,
2020-02-29,2020-03-27,10-Q,UNEX HOLDINGS INC.,UNEX,CIK0001700844,USD,,780.0,,,,,22730.0,,,,11262.0,10760.0,,,10760.0,10760.0,,,10760.0,,,75000000.0,2970.0,2970000.0,,0.001,,,0.0,,,,,,,,,0.0,9217.0,,4568.0,,,-4568.0,-4568.0,,,,,,,,,,11262.0,-685.0,11947.0,11947.0,,,,,,,,-4568.0,0.0,,,,,,,502.0,,,,,,,,,,,,,,,-4568.0,,502.0,,-26385.0,,,2970000.0,,,-685.0,,,,,,,-1950.0,1950.0,,,,3005330.0,3005330.0,,
2020-05-31,2020-06-12,10-Q,UNEX HOLDINGS INC.,UNEX,CIK0001700844,USD,,,,,,,22730.0,,,,8392.0,7970.0,,,7970.0,7970.0,,,10760.0,,,75000000.0,2970.0,2970000.0,,0.001,,,0.0,,,,,,,,,0.0,9217.0,,2090.0,,,-2090.0,-2090.0,,,,,,,,,,8392.0,-2775.0,11167.0,11167.0,,,,,,,,-2090.0,,,,,,,,422.0,,,,,,,,,,,,,,,-2090.0,,422.0,0.0,-28475.0,,,2970000.0,,,-2775.0,,,,,,,,1950.0,,,,2970000.0,2970000.0,,
2020-08-31,2020-09-16,10-K,UNEX HOLDINGS INC.,UNEX,CIK0001700844,USD,,233.0,317.0,,,,22730.0,22730.0,,0.0,6019.0,5676.0,343.0,,5676.0,5676.0,-10064.0,,5676.0,-10064.0,0.001,75000000.0,2970000.0,2970000.0,,2970.0,,,0.0,0.0,6527.0,-6527.0,317.0,,9450.0,,,0.0,9217.0,9217.0,14364.0,,,,-14364.0,-14364.0,0.0,,233.0,,,0.0,0.0,-21.0,11400.0,6019.0,11400.0,11400.0,,,-14364.0,,1800.0,0.0,-11864.0,-14364.0,,14364.0,,,6527.0,31081.0,,,0.0,,0.0,1950.0,,,,,1800.0,,1950.0,,,0.0,-14364.0,,343.0,,-31081.0,,,2970000.0,0.03,,-5381.0,,1950.0,,-1950.0,1950.0,,-1950.0,,,21.0,,2993429.0,3001962.0,,
2020-11-30,2020-12-11,10-Q,UNEX HOLDINGS INC.,UNEX,CIK0001700844,USD,,0.0,79.0,0.0,,,22730.0,,,,763.0,499.0,264.0,,499.0,499.0,-5177.0,,499.0,-5177.0,,75000000.0,2970.0,2970000.0,,0.001,,,0.0,,,,79.0,,,,,0.0,9967.0,9967.0,5773.0,,,,-5773.0,-5773.0,0.0,,233.0,,,0.0,0.0,,763.0,-11154.0,11917.0,11917.0,,,-5773.0,,750.0,,-5927.0,-5773.0,,,,,,,,,,,,0.0,750.0,,,,0.0,,750.0,,,,-5773.0,,264.0,,-36854.0,,,2970000.0,,,-11154.0,,,,,,,,,,,,2970000.0,2970000.0,,-233.0
2021-02-28,2021-04-19,10-Q,UNEX HOLDINGS INC.,UNEX,CIK0001700844,USD,,6.0,,,,,,36022.0,,,0.0,,,,,,,,,,0.001,75000000.0,2970000.0,2970000.0,,2970.0,,,,,,,,,,,,0.0,,,2144.0,,,,-2144.0,,,,,,,,,,6.0,0.0,6.0,,,,,,,,,-2144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-38998.0,,,,,,-6.0,,,,,,,,,,,,,2970000.0,,
2021-05-31,2021-07-20,10-Q,UNEX HOLDINGS INC.,UNEX,CIK0001700844,USD,,,,,3530.0,,,36022.0,,,,,,,,,,,,,0.001,75000000.0,2970000.0,2970000.0,,2970.0,,,,,,,,,,25610.0,,-0.01,,,29134.0,,,,-29134.0,,,,,,,,,,29140.0,,29140.0,,,,,,,,,-29134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-68132.0,,,,,,-29140.0,,,,,,,,,,,,,2970000.0,,
2021-08-31,2021-11-29,10-K,UNEX HOLDINGS INC.,UNEX,CIK0001700844,USD,,,,,9500.0,,,36022.0,,,,,,,,,,,,-5676.0,0.001,75000000.0,2970000.0,2970000.0,,2970.0,,,,,,,343.0,,44134.0,44134.0,,-0.02,,,61545.0,,,,-61545.0,,,,,9500.0,,,,,53634.0,,53634.0,,,,,,47976.0,,-53652.0,-61545.0,,61545.0,,,100000.0,,,,,,,,,,,,,,,47976.0,,,,,,,-92626.0,,,,,,-53634.0,,,,,,,,,,,,,2970000.0,,
2021-11-30,2022-01-18,10-Q,UNEX HOLDINGS INC.,UNEX,CIK0001700844,USD,,,,,12000.0,,,36022.0,,,,,,,,,,,,,0.001,75000000.0,2970000.0,2970000.0,,2970.0,,,,,,,,,,45134.0,,0.0,,,3500.0,,,,-3500.0,,,,,,,,,,57134.0,,57134.0,,,,,,,,,-3500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-96126.0,,,,,,-57134.0,,,,,,,,,,,,,2970000.0,,3500.0
