end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableOtherCurrent,AccountsReceivableNetCurrent,AccountsReceivableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AccruedProfessionalFeesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AllowanceForDoubtfulOtherReceivablesCurrent,AssetImpairmentCharges,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashUninsuredAmount,CommonStockDiscountOnShares,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfRevenue,DebtInstrumentFaceAmount,DebtInstrumentInterestRateStatedPercentage,DeferredTaxAssetsValuationAllowance,Deposits,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EquityMethodInvestmentOwnershipPercentage,GainsLossesOnExtinguishmentOfDebt,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDeposits,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseOther,InterestExpenseRelatedParty,InterestIncomeOther,InterestIncomeRelatedParty,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherLiabilitiesCurrent,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherReceivablesNetCurrent,PaymentsForRepurchaseOfCommonStock,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,ProvisionForDoubtfulAccounts,RelatedPartyDepositLiabilities,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromRelatedParties,Revenues,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensationForfeited,StockRepurchasedAndRetiredDuringPeriodShares,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,InterestPayableCurrent,NotesPayableCurrent
2017-03-31,2017-05-22,10-Q,"MS YOUNG ADVENTURE ENTERPRISE, INC",MSYN,CIK0001693687,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,-789.0,,,,,,,789.0,,,,,,,,,,,,,,,-789.0,,789.0,-789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0,,
2017-06-30,2017-07-31,10-Q,"MS YOUNG ADVENTURE ENTERPRISE, INC",MSYN,CIK0001693687,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,-250.0,,,,,,,,,,,,,,,,,,,,,,-250.0,,250.0,-250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0,,
2017-09-30,2017-11-20,10-Q,"MS YOUNG ADVENTURE ENTERPRISE, INC",MSYN,CIK0001693687,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,-250.0,,,,,,,,,,,,,,,,,,,,,,-250.0,,250.0,-250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0,,
2017-12-31,2018-04-02,10-K,"MS YOUNG ADVENTURE ENTERPRISE, INC",MSYN,CIK0001693687,USD,1776.0,,,,1776.0,1776.0,3801.0,,,,6000.0,,0.0,,,,,0.0,600.0,0.0001,100000000.0,6500000.0,6500000.0,650.0,,,,,,0.0,17329.0,0.0,,,,,-13644.0,-13644.0,776.0,,776.0,,,,,,6000.0,,,,,,,19105.0,6000.0,,17329.0,,-17329.0,-13644.0,,13644.0,-13644.0,16956.0,,,,0.0,,0.0001,20000000.0,,,6000.0,,17329.0,,,,,,,-16956.0,,,,-13105.0,,600.0,,,,,,,,,,18430137.0,,
2018-03-31,2018-07-24,10-Q,"MS YOUNG ADVENTURE ENTERPRISE, INC",MSYN,CIK0001693687,USD,845.0,50.0,,600.0,845.0,795.0,3801.0,,,,254212.0,,250612.0,250612.0,250612.0,,,612.0,,0.0001,100000000.0,6000000.0,6000000.0,600.0,,,,,,,71703.0,-0.01,,,,,-31281.0,-31281.0,-931.0,,,,,,-931.0,,-3000.0,,,,,,,298048.0,254212.0,,279824.0,,-29212.0,-31281.0,,31281.0,-31281.0,,,,,,50.0,0.0001,20000000.0,,,3000.0,225500.0,54374.0,,,,,,,-48237.0,,,,181064.0,,,,,,,,,,50.0,,6166667.0,,
2018-06-30,2018-08-14,10-Q,"MS YOUNG ADVENTURE ENTERPRISE, INC",MSYN,CIK0001693687,USD,9710.0,,,,,,3801.0,,,,277427.0,,241835.0,,,241835.0,,0.0,,0.0001,100000000.0,6000000.0,6000000.0,600.0,,,,,,,82072.0,0.0,,,,,3981.0,3981.0,,,,,,,,,,,,,,,,317282.0,277427.0,,,,,3981.0,20000.0,16019.0,-16019.0,,,20000.0,20000.0,35592.0,,0.0001,20000000.0,,,,,,,,,,,,-44256.0,,,,-39855.0,,,,,600.0,,,,,,,6000000.0,,
2018-09-30,2018-11-14,10-Q,"MS YOUNG ADVENTURE ENTERPRISE, INC",MSYN,CIK0001693687,USD,5145.0,,,,,,3801.0,,,,332007.0,,277033.0,,,277033.0,,27033.0,,0.0001,100000000.0,6000000.0,6000000.0,600.0,,,,,15000.0,30250.0,135567.0,0.0,,,,,-19364.0,-19364.0,,,,,,,,,,,,,,,,391227.0,332007.0,,,,,-19364.0,,19364.0,-19364.0,,,,,24724.0,,0.0001,20000000.0,,,,,,,,,,10015.0,,-63620.0,,,,-59219.0,,,,,,,,,,,,6000000.0,,
2018-12-31,2019-03-28,10-K,"MS YOUNG ADVENTURE ENTERPRISE, INC",MSYN,CIK0001693687,USD,12845.0,,,,,,238446.0,,,,249089.0,,244089.0,244089.0,244089.0,244089.0,244089.0,0.0,,0.0001,100000000.0,6731667.0,6731667.0,673.0,2550.0,,,37275.0,21000.0,0.0,120218.0,-0.02,0.21,,,13365.0,-127137.0,,11069.0,,,,21000.0,,,,-1000.0,9218.0,9218.0,,,,,154063.0,249089.0,,328939.0,,-84850.0,-127137.0,10782.0,151284.0,-137919.0,144093.0,,20000.0,20000.0,0.0,50.0,0.0001,20000000.0,,,5000.0,226100.0,102889.0,,102889.0,,33408.0,,,-144093.0,15915.0,10015.0,5900.0,95026.0,,,,,226100.0,226100.0,,,,50.0,33714.0,6209178.0,,
2019-03-31,2019-05-14,10-Q,"MS YOUNG ADVENTURE ENTERPRISE, INC",MSYN,CIK0001693687,USD,4940.0,,,,,,240750.0,,,,169595.0,,17720.0,,-226369.0,17720.0,-226369.0,0.0,,0.0001,100000000.0,6731667.0,6731667.0,673.0,,,,,2400.0,0.0,153626.0,-0.01,,,,18600.0,-55293.0,,-7906.0,,,,-18600.0,,,,-5000.0,2304.0,2304.0,,1875.0,,,160966.0,169595.0,,-151875.0,,-74495.0,-55293.0,-429.0,73464.0,-54864.0,,,,,,,0.0001,20000000.0,,,,,,,-151875.0,,,,,-232794.0,18600.0,,18600.0,8629.0,,,,,,,,,,,,6731667.0,,
2019-06-30,2019-08-07,10-Q,"MS YOUNG ADVENTURE ENTERPRISE, INC",MSYN,CIK0001693687,USD,22645.0,,,,,,243055.0,,,,155100.0,,1350.0,,,1350.0,,0.0,,0.0001,100000000.0,6731667.0,6731667.0,673.0,,,,,,0.0,153626.0,0.0,,,,3400.0,-32105.0,,,,,,,,,,,2305.0,2305.0,,1875.0,,,176271.0,155100.0,,,,,-32105.0,-430.0,35075.0,-31675.0,,,,,0.0,,0.0001,20000000.0,,,,,,,,,,,,-264899.0,3400.0,,3400.0,-21171.0,,,,,,,,,,,,6731667.0,,
