end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AmortizationOfIntangibleAssets,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AreaOfLand,Assets,AssetsCurrent,AssetsNoncurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,CostOfGoodsSold,CurrentIncomeTaxExpenseBenefit,DeferredOtherTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOther,DeferredTaxAssetsValuationAllowance,DepositLiabilityCurrent,Depreciation,DepreciationAndAmortization,DueFromRelatedPartiesCurrent,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,FiniteLivedIntangibleAssetsAccumulatedAmortization,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInNotesReceivables,IncreaseDecreaseInOtherLoans,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsNetIncludingGoodwill,InterestExpense,InterestExpenseOther,InventoryNet,LeaseIncentiveReceivableCurrent,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LoansPayable,LongTermDebtCurrent,LongTermLoansPayable,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OriginationOfNotesReceivableFromRelatedParties,OtherAssetsCurrent,OtherCostAndExpenseOperating,OtherDepreciationAndAmortization,OtherGeneralExpense,OtherLiabilitiesCurrent,OtherNonoperatingIncomeExpense,OtherNonrecurringIncomeExpense,OtherNotesPayableCurrent,OtherSellingGeneralAndAdministrativeExpense,PaymentOfFinancingAndStockIssuanceCosts,PaymentsForProceedsFromDepositOnLoan,PaymentsForSoftware,PaymentsOfLoanCosts,PaymentsOfStockIssuanceCosts,PaymentsToAcquireInProcessResearchAndDevelopment,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireOtherProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquireReceivables,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,PrepaidExpenseNoncurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProductWarrantyExpense,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentExcludingLessorAssetUnderOperatingLeaseAccumulatedDepreciation,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ReceivableFromShareholdersOrAffiliatesForIssuanceOfCapitalStock,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RelatedPartyTransactionRate,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,RoyaltyExpense,SalesRevenueServicesNet,SellingAndMarketingExpense,SellingGeneralAndAdministrativeExpense,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,AccountsReceivableNetCurrent,EmployeeRelatedLiabilitiesCurrent,IncreaseDecreaseInEmployeeRelatedLiabilities,NotesPayable,ProvisionForDoubtfulAccounts,DepreciationDepletionAndAmortization,StockholdersEquityPeriodIncreaseDecrease,InvestmentCompanyInvestmentIncomeLossPerShare
2017-03-31,2017-07-06,10-K,OMNIA WELLNESS INC.,OMWS,CIK0001676852,USD,,,,,,,,,,,,,,,,4625.0,3869.0,,3869.0,870.0,,,0.001,75000000.0,3000000.0,3000000.0,3000.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,-2086.0,,,,,,,,,,,,,,,,4309.0,4625.0,,,,,,4309.0,3310.0,1000.0,-3440.0,-1684.0,,,14034.0,-1684.0,3310.0,,0.0,330.0,,,,14034.0,,,,,,,,,,1000.0,,,,,,,,,,,,,,,,,-1684.0,,756.0,,,,,0.0,,,-2684.0,,12350.0,,12350.0,,,,,316.0,,3000000.0,,,,,,,,,,
2017-06-30,2017-08-03,10-Q,OMNIA WELLNESS INC.,OMWS,CIK0001676852,USD,,,,,,,,14820.0,,,,,,,,11392.0,10704.0,,10704.0,6835.0,,,0.001,75000000.0,3780000.0,3780000.0,3780.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,3809.0,11392.0,,,,,,3809.0,15100.0,,-8294.0,-8430.0,,,8430.0,-8430.0,-500.0,,0.0,136.0,,,,8430.0,,,,,,,,,,,,,,,,,,-500.0,15600.0,,,,,,,,-8430.0,,688.0,,,,,0.0,,,-11017.0,,,,,,,,,7583.0,,3683585.0,,,,,,,,,,
2017-09-30,2017-12-13,10-Q,OMNIA WELLNESS INC.,OMWS,CIK0001676852,USD,,,,,,,,25778.0,,,,,,,,21157.0,20537.0,,20537.0,,,,0.001,75000000.0,4357000.0,4357000.0,4357.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,3809.0,21157.0,,,,,,3809.0,,,,-1770.0,,,1770.0,-1770.0,,,0.0,,,,,1770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.0,,,,,,,,-12787.0,,,,,,,,,17348.0,,4200550.0,,,,,,,,,,
2017-12-31,2018-03-15,10-Q,OMNIA WELLNESS INC.,OMWS,CIK0001676852,USD,,,,,,,,25778.0,,,,,,,,6661.0,6109.0,,6109.0,,,,0.001,75000000.0,4356750.0,4356750.0,4357.0,,,,0.0,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,0.0,3809.0,6661.0,,,,,,3809.0,,,,-14496.0,,,14496.0,-14496.0,,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.0,,,,,,,,-27282.0,,0.0,,,,14496.0,,,2853.0,,4200550.0,,4200550.0,,,,,,,,
2018-03-31,2018-06-25,10-K,OMNIA WELLNESS INC.,OMWS,CIK0001676852,USD,,0.0,,,0.0,,,25778.0,,,,,,,,3676.0,3191.0,,3191.0,-678.0,3191.0,,0.001,75000000.0,4356750.0,4356750.0,4357.0,,,,0.0,,,,,,,,,,,,0.0,,,26436.0,,,,,,,0.0,,,,,,,,,,,,,3809.0,3676.0,,,,,,3809.0,26635.0,,-27313.0,-27584.0,,,27584.0,-27584.0,-500.0,0.0,0.0,271.0,757.0,,,120.0,,,,,,,,,,,,,,,,,,,27135.0,,,,,,,,-27584.0,,485.0,,2700.0,,,0.0,,,-30268.0,,0.0,,,271.0,,,-133.0,-133.0,,4356750.0,,,,,,,,,,
2018-06-30,2018-07-17,10-Q,OMNIA WELLNESS INC.,OMWS,CIK0001676852,USD,,,,,,,,25778.0,,,,,,,,1563.0,1145.0,,1145.0,-2046.0,1145.0,-2046.0,0.001,75000000.0,4356750.0,4356750.0,4357.0,,,,0.0,,,,,,,,68.0,,,,0.0,,,4114.0,,-4114.0,,,,,,,,,,,,,,,,,,5809.0,1563.0,,,,,,5809.0,2000.0,,-4046.0,-4114.0,,,4114.0,-4114.0,,,0.0,68.0,,,,4114.0,,,,,,,,,,,,,,,,,,2000.0,,,,,2000.0,,,,-4114.0,,418.0,,,,,0.0,,,-34381.0,,,,,,,,,4246.0,,4200550.0,4200550.0,,,,,,,,,
2018-09-30,2018-11-29,10-Q,OMNIA WELLNESS INC.,OMWS,CIK0001676852,USD,,99.0,,,1500.0,,,25778.0,,,,,,,,350.0,0.0,,-412.0,,-412.0,,0.001,75000000.0,4356750.0,4356750.0,4357.0,,,,0.0,,,,,,,,,,,,0.0,,,3723.0,,-3723.0,,,,,,,,,,,,,,,,,,8320.0,350.0,,,,,,6309.0,,,,-3723.0,,,3723.0,-3723.0,,,0.0,,,412.0,,3723.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.0,,,,,,,,-38105.0,,,,,,,,,7970.0,,4200550.0,4200550.0,,,,,,,,,
2018-12-31,2019-03-11,10-Q,OMNIA WELLNESS INC.,OMWS,CIK0001676852,USD,,99.0,,,1500.0,,,25778.0,,,,,,,,528.0,246.0,,246.0,,246.0,,0.001,75000000.0,4356760.0,4356750.0,4357.0,,,,0.0,,,,,,,,,,,,0.0,,,1611.0,,-1611.0,,,,,,,,,,,,,,,,,0.0,10108.0,528.0,,,,,,8509.0,,,,-1611.0,,,1611.0,-1611.0,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.0,,0.0,,,,,,-39715.0,,0.0,,,,1611.0,,,-9580.0,,,4200550.0,4356750.0,,,,,,,,
2019-03-31,2019-05-14,10-K,OMNIA WELLNESS INC.,OMWS,CIK0001676852,USD,,791.0,,,3000.0,,,-24923.0,,,,,,,,1268.0,1053.0,,1053.0,-2138.0,1053.0,-2138.0,0.001,75000000.0,55058006.0,55058006.0,55058.0,,,,0.0,,,,,,,940.0,270.0,,11509.0,11509.0,0.0,,,13899.0,,-13899.0,,791.0,,,3000.0,,,,,,,,,,,,,15300.0,1268.0,15300.0,,,,,11509.0,7700.0,,-9838.0,-13899.0,,,13899.0,-13899.0,7700.0,,1350.0,270.0,162.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,7700.0,,,-13899.0,,215.0,215.0,,,,0.0,,,-44167.0,,0.0,,,270.0,,,-14032.0,-14032.0,,4356750.0,55058006.0,,,,,,,,,
2019-06-30,2019-08-19,10-Q,OMNIA WELLNESS INC.,OMWS,CIK0001676852,USD,,49.0,,,3500.0,974.0,,40477.0,,,14699.0,,,,,148.0,,,,,,-1053.0,0.001,75000000.0,4356750.0,4356750.0,4357.0,,,,,,,,,,,68.0,68.0,,,,0.0,,,4068.0,,-4068.0,,-743.0,,,500.0,,,,,,,,,,,,,,148.0,3549.0,,,,,,,,-4243.0,-4068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3190.0,3190.0,,,,,,148.0,,,,,,,-48235.0,,,,,,,,-3401.0,,,,55058006.0,,,,,,,,,
