end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapitalCommonStock,AllocatedShareBasedCompensationExpense,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashFDICInsuredAmount,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountConverted1,ConvertibleNotesPayableCurrent,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionConvertedInstrumentWarrantsOrOptionsIssued1,DebtInstrumentUnamortizedDiscountCurrent,DeferredTaxAssetsValuationAllowance,DepositLiabilitiesAccruedInterest,Depreciation,DepreciationAndAmortization,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,FairValueAdjustmentOfWarrants,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsNet,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExaminationPenaltiesAndInterestAccrued,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InvestmentIncomeNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseCost,LiabilitiesAndStockholdersEquity,LiabilitiesAssumed1,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingLossCarryforwards,OtherAssets,OtherIntangibleAssetsNet,OtherLiabilitiesCurrent,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireMachineryAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromStockOptionsExercised,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedNumberOfShares,SharePrice,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesRestrictedStockAwardNetOfForfeitures,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValuePurchaseOfAssets,StockIssuedDuringPeriodValueStockOptionsExercised,UnrecognizedTaxBenefits,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AccruedSalariesCurrent,AssetImpairmentCharges,CapitalizedComputerSoftwareImpairments1,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CurrentFederalStateAndLocalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DeferredFederalStateAndLocalTaxExpenseBenefit,DeferredTaxAssetsOperatingLossCarryforwards,EffectiveIncomeTaxRateContinuingOperations,EquipmentExpense,FiniteLivedIntangibleAssetsGross,InterestPaidNet,MachineryAndEquipmentGross,PreferredStockDividendRatePercentage,ProceedsFromRelatedPartyDebt,RestrictedStockSharesIssuedNetOfSharesForTaxWithholdings,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfExercisableOptions,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions,SharesIssued,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodValue,TemporaryEquityParOrStatedValuePerShare,TemporaryEquitySharesIssued,VariableLeasePayment
2017-06-30,2017-08-29,10-Q,"AVRA Medical Robotics, Inc.",AVMR,CIK0001676163,USD,1494.0,149736.0,369.0,413667.0,,,178077.0,130724.0,129556.0,,,0.0001,100000000.0,19192438.0,19192438.0,1919.0,,480000.0,,,,,304059.0,,,,,,-0.01,,34513.0,,,43548.0,173764.0,-187376.0,,,,,,,,9000.0,,12.0,,,178077.0,,631230.0,,,,,,,-187376.0,-8988.0,178388.0,868739.0,,,,,,0.0001,5000000.0,0.0,0.0,,,,,,,,4174.0,3805.0,,4624.0,-868739.0,,,,,,,,,,-453153.0,,,,,,,,,,19192438.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,2017-11-14,10-Q,"AVRA Medical Robotics, Inc.",AVMR,CIK0001676163,USD,1450.0,187716.0,580.0,1564707.0,,,569679.0,522537.0,520855.0,,,0.0001,100000000.0,20644746.0,20644746.0,2064.0,,,,,,,367083.0,,,,,,-0.01,,22419.0,,,43548.0,165008.0,-180067.0,,,,,,,,9000.0,,8.0,,,569679.0,,189166.0,,,,,,,-180067.0,-8992.0,171075.0,1048808.0,,,,,,0.0001,5000000.0,0.0,0.0,,,,,,,,4174.0,3594.0,,6067.0,-1105073.0,,,,1.25,1.25,,,1.25,,380513.0,81185.0,,,,,,,,,19249637.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,2018-03-29,10-K,"AVRA Medical Robotics, Inc.",AVMR,CIK0001676163,USD,6073.0,118046.0,789.0,1621800.0,21429.0,,509962.0,463029.0,452572.0,204353.0,0.0,0.0001,100000000.0,20644746.0,20644746.0,2064.0,267598.0,,,,,,278374.0,,789.0,789.0,,,-0.05,0.21,36651.0,,,43548.0,939637.0,-1037723.0,0.0,,,,49418.0,-9991.0,9991.0,27000.0,,84.0,,,509962.0,315187.0,408869.0,655383.0,655383.0,-4174.0,-4174.0,-446856.0,-446856.0,-1037723.0,-26916.0,1010807.0,1325590.0,43548.0,,284750.0,,4174.0,0.0001,5000000.0,0.0,0.0,,,677260.0,,-21877.0,,,4174.0,3385.0,,71170.0,-1522771.0,677260.0,,265901.0,1.25,,,,,,101093.0,81185.0,,,480000.0,,,,0.0,145605.0,19538325.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,2018-05-17,10-Q,"AVRA Medical Robotics, Inc.",AVMR,CIK0001676163,USD,6564.0,176745.0,1141.0,1924009.0,37731.0,,410479.0,326501.0,314672.0,-137900.0,,0.0001,100000000.0,20862746.0,20862746.0,2086.0,39000.0,,,,,,326007.0,,,2352.0,,,-0.01,0.21,27128.0,,2000.0,43548.0,226378.0,-238404.0,,,,,79590.0,,-1372.0,,,26.0,,,410479.0,18000.0,245559.0,,,-17797.0,,-120103.0,,-238404.0,26.0,238430.0,1552416.0,,36000.0,62250.0,14400.0,3397.0,0.0001,5000000.0,0.0,0.0,,,,,,,-238404.0,7571.0,6430.0,,12052.0,-1761175.0,,,37731.0,1.25,,97639.0,,,,164920.0,81185.0,,,,225500.0,,,,47633.0,20719835.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,2018-08-13,10-Q,"AVRA Medical Robotics, Inc.",AVMR,CIK0001676163,USD,5890.0,228426.0,1634.0,1931059.0,7050.0,,284777.0,203522.0,191693.0,,0.0,0.0001,100000000.0,20862746.0,20862746.0,2086.0,,,,,,,358731.0,,,,,,-0.01,,20049.0,,5000.0,43548.0,201298.0,-205509.0,,,,,,,,,,18.0,,,284777.0,,318316.0,,,,,,,-205509.0,18.0,205527.0,1708243.0,74548.0,36000.0,84000.0,,,0.0001,5000000.0,0.0,0.0,,,,,,,-205509.0,8341.0,6707.0,,4229.0,-1966684.0,,,,1.25,,,,,,-33539.0,,,,,,,,,,20862746.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,2018-11-13,10-Q,"AVRA Medical Robotics, Inc.",AVMR,CIK0001676163,USD,4000.0,274494.0,5738.0,1977664.0,46605.0,,216413.0,106011.0,100182.0,,0.0,0.0001,100000000.0,20878746.0,20878746.0,2086.0,,,,,,,408064.0,,,,,,-0.01,,128908.0,,8000.0,43548.0,294621.0,-297272.0,,0.0,,,,,,,,9.0,,,216413.0,,480619.0,,,,,,,-297272.0,9.0,297281.0,1943160.0,71548.0,36000.0,202125.0,,,0.0001,5000000.0,0.0,0.0,,,,,,,-297272.0,44592.0,38854.0,,2660.0,-2263956.0,20000.0,,,1.25,,,,,,-264206.0,,,,,,,,,,20878746.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,2019-04-16,10-K,"AVRA Medical Robotics, Inc.",AVMR,CIK0001676163,USD,10020.0,10626.0,9252.0,2176643.0,76005.0,,145434.0,41546.0,35716.0,-416856.0,0.0,0.0001,100000000.0,21007446.0,21007446.0,2101.0,39000.0,15000.0,,,,0.0,583894.0,,,19463.0,15000.0,15000.0,-0.05,0.06,113903.0,,11000.0,43548.0,404188.0,-960322.0,0.0,,,,-84249.0,-4627.0,,,,58.0,501188.0,,145434.0,,368471.0,50000.0,,-23568.0,,-443288.0,,-960322.0,58.0,960380.0,2268430.0,68548.0,36000.0,81313.0,14400.0,9168.0,0.0001,5000000.0,0.0,0.0,15000.0,20000.0,20000.0,,15000.0,,-960322.0,44592.0,35340.0,,27125.0,-2483093.0,20000.0,,76005.0,1.25,,,2243250.0,,,-223037.0,,30000.0,,,419875.0,31250.0,,0.0,195023.0,20863980.0,317825.0,,,-416856.0,583894.0,-35913.0,-159110.0,583894.0,,,43548.0,,44592.0,0.0,15000.0,,,0.02,,,,501187.0,,0.0001,70050.0,
2019-03-31,2019-05-15,10-Q,"AVRA Medical Robotics, Inc.",AVMR,CIK0001676163,USD,32102.0,392362.0,12766.0,2333297.0,-3369.0,901.0,164734.0,67360.0,61530.0,25814.0,0.0,0.0001,100000000.0,21122496.0,21122496.0,2112.0,,94680.0,,,,15320.0,479125.0,,,6514.0,32500.0,,-0.01,0.21,98787.0,32442.0,14000.0,43548.0,285504.0,-310718.0,0.0,,,,85994.0,,,1155.0,254.0,3.0,,,164734.0,,623136.0,133500.0,,,,-107686.0,,-310718.0,-1152.0,309566.0,2281548.0,65548.0,36000.0,71492.0,,,0.0001,5000000.0,0.0,0.0,95000.0,,,,17500.0,21000.0,-310718.0,44592.0,31826.0,,24062.0,-2793811.0,,,109623.0,1.25,,,,,,-458402.0,,,,,143813.0,,16221.0,0.0,41641.0,21118618.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,2019-08-07,10-Q,"AVRA Medical Robotics, Inc.",AVMR,CIK0001676163,USD,105414.0,459323.0,20298.0,2504979.0,13415.0,5406.0,207228.0,45386.0,39095.0,,0.0,0.0001,100000000.0,21427546.0,21427546.0,2143.0,,100086.0,,,,9914.0,541630.0,,,,,122500.0,-0.02,,98787.0,,17000.0,43548.0,355693.0,-389997.0,0.0,,,,,,,6493.0,,1.0,,,207228.0,,883914.0,,,,,,,-389997.0,-6492.0,383505.0,2579192.0,62548.0,36000.0,96591.0,,,0.0001,5000000.0,,,,,,,,,-389997.0,119592.0,99294.0,,27812.0,-3183808.0,,,,,,,,,,-676686.0,,,,,43813.0,,39485.0,0.0,,21424194.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,2019-11-13,10-Q,"AVRA Medical Robotics, Inc.",AVMR,CIK0001676163,USD,93047.0,527762.0,27626.0,3372113.0,17612.0,5406.0,187893.0,36257.0,29967.0,,0.0,0.0001,100000000.0,22107218.0,22107218.0,2211.0,,105492.0,,,,4508.0,,480000.0,,,,272500.0,-0.05,,112060.0,,20000.0,43548.0,1060673.0,-1071665.0,,0.0,,,,,,6494.0,,2.0,,,187893.0,,1069042.0,,,,,,,-1071665.0,-6492.0,1065173.0,,59670.0,36122.0,70241.0,,,0.0001,5000000.0,,,,,,,,,-1071665.0,119592.0,91966.0,,4500.0,-4255473.0,,,,,,,,,,-881149.0,,,,,849590.0,,,,,21728957.0,,,,,,,,,,,,,,,,,,,,,,,,,,
