end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableCurrent,AccountsReceivableFromSecuritization,AccruedLiabilities,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AdvertisingExpense,AllowanceForDoubtfulAccountsReceivableCurrent,Assets,AssetsCurrent,AssetsNoncurrent,CapitalizedComputerSoftwareGross,CapitalLeasedAssetsGross,CapitalLeaseObligationsCurrent,CapitalLeaseObligationsNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,DeferredCostsCurrentAndNoncurrent,DeferredIncomeTaxLiabilities,DeferredRevenueCurrent,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DepreciationExpense,DueFromAffiliates,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCashAndCashEquivalents,ForeignCurrencyTransactionGainLossBeforeTax,GainLossOnDispositionOfAssets,GainLossOnDispositionOfAssets1,GainLossOnSaleOfPropertyPlantEquipment,ImpairedFinancingReceivableRelatedAllowance,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeferredCharges,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInReceivables,InterestExpense,InterestPaid,InterestPaidNet,InvestmentIncomeInterest,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LoansPayableCurrent,LoansReceivableNet,LongTermDebt,LongTermDebtNoncurrent,LongTermLoansPayable,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesAndLoansPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherAssets,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossBeforeReclassificationAndTax,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherIncome,OtherLoansPayableCurrent,OtherLongTermDebtCurrent,OtherNonoperatingIncomeExpense,OtherSalesRevenueNet,PaymentsToAcquireLoansReceivable,PaymentsToAcquireMachineryAndEquipment,PaymentsToAcquireProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockSharesAuthorized,PreferredStockSharesOutstanding,ProceedsFromCollectionOfLoansHeldForSale,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromRepaymentsOfDebt,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleOfProductiveAssets,ProceedsFromSaleOfPropertyHeldForSale,ProceedsFromSaleOfPropertyPlantAndEquipment,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOther,ReceivablesNetCurrent,RestrictedCashAndCashEquivalentsAtCarryingValue,RetainedEarningsAccumulatedDeficit,Revenues,SellingGeneralAndAdministrativeExpense,ShortTermBankLoansAndNotesPayable,ShortTermBorrowings,ShortTermNonBankLoansAndNotesPayable,StockholdersEquity,UnsecuredDebtCurrent,ValuationAllowanceAmount,WeightedAverageNumberOfSharesOutstandingBasic
2010-06-30,2010-08-26,10-Q,EARN-A-CAR INC.,AFDG,CIK0001486297,USD,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,2010-11-04,10-Q,EARN-A-CAR INC.,AFDG,CIK0001486297,USD,,,,,,,,,,,,,,,,,,,,2565.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,-2583.0,,,,2583.0,-2583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4183333.0
2010-12-31,2011-03-31,10-K,EARN-A-CAR INC.,AFDG,CIK0001486297,USD,0.0,,,6590.0,6590.0,,,19999.0,,,,68.0,,,,,,,,68.0,,,0.0,100000000.0,4675000.0,4675000.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15753.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-42435.0,,,,,,-15685.0,,,
2011-06-30,2011-08-15,10-Q,EARN-A-CAR INC.,AFDG,CIK0001486297,USD,,,,,0.0,,,19999.0,,,,745.0,,,,,,,,745.0,,,0.0,100000000.0,4675000.0,4675000.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21913.0,745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-47918.0,,,,,,-21168.0,,,
2011-09-30,2011-11-10,10-Q,EARN-A-CAR INC.,AFDG,CIK0001486297,USD,0.0,,,0.0,,,,19999.0,,,,2464.0,,,,,,,,2464.0,,,0.0,100000000.0,4675000.0,4675000.0,1.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,28879.0,2464.0,,,,,,,,,,,,-5247.0,,,,5247.0,-5247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-53165.0,0.0,,,,,-26415.0,,,4675000.0
2012-02-29,2012-06-13,10-K,EARN-A-CAR INC.,AFDG,CIK0001486297,USD,,292447.0,15312.0,,51747.0,-1046649.0,-29542.0,5423.0,5374.0,16494.0,164259.0,3358260.0,271075.0,15312.0,5649.0,17757.0,593533.0,741582.0,171354.0,171354.0,101874.0,171354.0,0.0,250000000.0,112250000.0,112250000.0,11.0,-23750.0,75571.0,324449.0,,,,,516119.0,516119.0,,522591.0,0.0,0.0,1000.0,0.0,0.01,-23750.0,-23750.0,69010.0,,69010.0,264189.0,60792.0,,0.0,0.0,72045.0,30713.0,-75571.0,324449.0,-60760.0,218903.0,218903.0,,1680.0,2883809.0,3358260.0,1414419.0,1469390.0,152243.0,15312.0,1469390.0,1469390.0,726808.0,4028709.0,382279.0,-1193452.0,936797.0,60792.0,,26546.0,1000.0,2138866.0,59112.0,,,,,,,379175.0,90883.0,,,-29486.0,,,60792.0,11273.0,252488.0,60285.0,,11273.0,,-1196591.0,-11401.0,,20000000.0,0.0,14540.0,5374.0,0.0,-96879.0,-288144.0,-96879.0,0.0,,,60792.0,23406.0,14242.0,0.0,99721.0,171354.0,498559.0,2197978.0,537333.0,0.0,104373.0,104373.0,474451.0,90257.0,0.0,41435997.0
2012-05-31,2012-07-13,10-Q,EARN-A-CAR INC.,AFDG,CIK0001486297,USD,,202386.0,,,60757.0,,-128153.0,5423.0,0.0,,,2829635.0,126102.0,14063.0,,,530881.0,633306.0,,103005.0,-68349.0,103005.0,0.0,250000000.0,112250000.0,112250000.0,11.0,-65316.0,,,,,,,174924.0,174924.0,174924.0,,,,,0.0,0.0,-65316.0,,-59.0,,59.0,,53709.0,,0.0,0.0,-90061.0,9010.0,846.0,-4595.0,76624.0,64226.0,64226.0,64226.0,0.0,2145472.0,2829635.0,936663.0,1208809.0,142639.0,14063.0,,,575503.0,,-332836.0,133215.0,131272.0,53709.0,59.0,,,604377.0,53650.0,,,,,,,,,,-92875.0,,-92875.0,,29899.0,1936.0,,,,1936.0,,-188464.0,-1463.0,,,,1249.0,0.0,0.0,-160908.0,-93715.0,-1000.0,,321834.0,,53709.0,,15704.0,,23097.0,,806882.0,658027.0,110350.0,,,,684163.0,,,112250000.0
2012-08-31,2012-10-15,10-Q,EARN-A-CAR INC.,AFDG,CIK0001486297,USD,,313137.0,14319.0,,49023.0,-1230683.0,-144472.0,5423.0,,34615.0,,5184423.0,1252674.0,,5043.0,27059.0,234561.0,243878.0,,1063690.0,,,0.0,250000000.0,112250000.0,112250000.0,11.0,-11875.0,,,,,,,205753.0,,,,,0.0,,0.0,,,-11875.0,847.0,847.0,,14218.0,234007.0,333638.0,0.0,,,,,,,109719.0,,,18888.0,4182941.0,5184423.0,1254962.0,,658241.0,14319.0,,2927979.0,2684101.0,5124198.0,,,,234007.0,,23716.0,0.0,752938.0,214272.0,,,,,,,,14319.0,-16319.0,,,,,,,83504.0,56787.0,,1452.0,,,,,,,,,,,,,,,,,32102.0,23915.0,,188984.0,1063690.0,1140520.0,967210.0,126126.0,2964439.0,65218.0,77531.0,1001482.0,59289.0,,112250000.0
2012-11-30,2013-01-11,10-Q,EARN-A-CAR INC.,AFDG,CIK0001486297,USD,,329326.0,18032.0,,17100.0,-1267187.0,-201296.0,5423.0,,,,5836495.0,1382636.0,,4840.0,30379.0,453116.0,762324.0,,791103.0,,,0.0,250000000.0,112250000.0,112250000.0,11.0,-28412.0,,,,,,,284613.0,,,,,0.0,0.0,0.0,,,-28412.0,-6056.0,-6056.0,,228627.0,-183867.0,,0.0,,,,,,,85411.0,,,2380.0,4634355.0,5836495.0,1510278.0,,710736.0,18032.0,3124077.0,,2361753.0,5675646.0,,,,-183867.0,,22744.0,,654679.0,-180191.0,,,,,,,379175.0,18032.0,,,,,,257482.0,,204317.0,28087.0,-3676.0,2076.0,,,,,,,,,,,,,,,,,35219.0,27368.0,,591533.0,791103.0,1398002.0,474488.0,142857.0,2606034.0,43781.0,,1202140.0,56859.0,0.0,112250000.0
2013-02-28,2013-06-13,10-K,EARN-A-CAR INC.,AFDG,CIK0001486297,USD,,510994.0,7037.0,,51154.0,-1354132.0,-214695.0,5423.0,0.0,84087.0,14359.0,6058626.0,1100803.0,,2368.0,23353.0,714948.0,634885.0,682096.0,682096.0,510742.0,,0.0,250000000.0,112250000.0,112250000.0,11.0,-185153.0,67283.0,569876.0,569876.0,0.0,524559.0,0.0,511799.0,511799.0,,,,,4000.0,0.005,,-185153.0,-185153.0,,,0.0,7444.0,524559.0,,0.0,0.0,218547.0,-593.0,8288.0,245427.0,-318986.0,406680.0,406680.0,,28032.0,5244769.0,6058626.0,2578243.0,,731271.0,7037.0,2666526.0,2666526.0,2031641.0,6212677.0,1897579.0,-2390725.0,1189041.0,524559.0,,22625.0,,3001825.0,496527.0,,,,,,,524559.0,74320.0,,,,,,524559.0,,68027.0,27943.0,,20327.0,,-2388284.0,-10716.0,,20000000.0,0.0,8275.0,,,-1000.0,1951055.0,,,,,524559.0,34385.0,24958.0,8664.0,418707.0,682096.0,1023118.0,3498352.0,949260.0,2356765.0,41008.0,,813857.0,56562.0,0.0,112250000.0
