end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossBeforeTax1,AcquisitionCostsCumulative,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdvanceRoyalties,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AssetImpairmentCharges,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockDividendsShares,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesSubscriptions,CommonStockValueOutstanding,ComprehensiveIncomeNetOfTax,ConversionOfStockAmountConverted1,ConvertibleDebtCurrent,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostsAndExpenses,DebtConversionConvertedInstrumentAmount1,DebtInstrumentCarryingAmount,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentFaceAmount,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentUnamortizedDiscount,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOther,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DividendsCommonStock,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EquityMethodInvestmentAggregateCost,EquityMethodInvestmentOwnershipPercentage,EquityMethodInvestmentSummarizedFinancialInformationAssets,EquityMethodInvestmentSummarizedFinancialInformationCurrentAssets,EquityMethodInvestmentSummarizedFinancialInformationCurrentLiabilities,EquityMethodInvestmentSummarizedFinancialInformationEquity,EquityMethodInvestmentSummarizedFinancialInformationLiabilitiesAndEquity,EquityMethodInvestmentSummarizedFinancialInformationRevenue,EquityMethodInvestments,ExplorationCosts,ExplorationExpenseMining,GainLossOnInvestments,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeLossFromEquityMethodInvestments,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPayableCurrent,InterestRevenueExpenseNet,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToParentDiluted,NotesPayableRelatedPartiesClassifiedCurrent,NotesReduction,OfficersCompensation,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherExpenses,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,PaymentsToAcquireInterestInJointVenture,PaymentsToAcquireRoyaltyInterestsInMiningProperties,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLoans,ProceedsFromNotesPayable,ProfitLoss,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,SharesIssued,ShortTermBorrowings,StockholdersEquity,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,WeightedAverageNumberOfDilutedSharesOutstanding,CashEquivalentsAtCarryingValue,CommitmentsAndContingencies,CommonStockSharesOutstanding,CommonStockValue,DueToOtherRelatedPartiesClassifiedCurrent,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,NonoperatingIncomeExpense,OperatingExpenses,ProceedsFromRelatedPartyDebt,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,ShareBasedCompensation,StockIssuedDuringPeriodValueIssuedForServices
2012-09-30,2012-11-19,10-Q,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,,17.0,,,,,-15000.0,,,,,,0.0,,,,,,,,,0.001,50000000.0,30000000.0,,30000.0,,,,,,9498.0,,,,,,,,,,,,,2011.0,0.0,,,,,,,,,,,,,,,,9498.0,,,,,,,,,,,336.0,-21.0,,,0.0,82455.0,,,,,,,-9519.0,,1675.0,,,-9498.0,,,21.0,,,,,,,,,,,,,-97455.0,0.0,,,80427.0,-82455.0,,,,30000000.0,,,,,,,,,,,,
2013-03-31,2013-05-20,10-Q,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,,685.0,,,,,-15000.0,,,,,,0.0,,,,,,,,,0.001,50000000.0,30000000.0,,30000.0,,,,,,3161.0,,,,,,,,,,,,,2052.0,0.0,,,,,,,,,,,,,,,,3161.0,-3182.0,,,-1001.0,-980.0,,,21.0,,,377.0,-21.0,,,0.0,90327.0,,4162.0,4162.0,,-4162.0,-4162.0,-3182.0,,1675.0,,,-3161.0,,,21.0,,,,,,,,,4162.0,,-3182.0,,-105327.0,,,,87590.0,-90327.0,,,,30000000.0,,,,,,,,,,,,
2013-06-30,2013-08-12,10-Q,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,,190.0,,,,25000.0,-15000.0,,,,,,0.0,,,,,,,,,0.001,50000000.0,30000000.0,,30000.0,,,,,,13368.0,,,,,,,,,,,,,2073.0,0.0,,,,,,,,,,,,,,,,13368.0,,,,,,,,,,,398.0,-21.0,,,0.0,103716.0,,,,,,,-13389.0,,1675.0,,,-13368.0,,,21.0,,-21.0,,,,,,,,,,,-118716.0,,,,101453.0,-103716.0,,,,30000000.0,,,,,,,,,,,,
2013-09-30,2013-11-12,10-Q,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,,1679.0,,419.0,,,-15000.0,,,,,,0.0,,,,,,,,,0.001,50000000.0,30000000.0,,30000.0,,,,,,6572.0,,,,,,,,,,,,,2094.0,0.0,,,,,,,,,,,,,,,,6572.0,,,,,,,,,,,419.0,-21.0,,,0.0,110309.0,,,,,,,-6593.0,,1675.0,,,-6572.0,,,21.0,,-21.0,,,,,,,,,,,-125309.0,,,,106536.0,-110309.0,,,,30000000.0,,,,,,,,,,,,
2013-12-31,2014-03-26,10-K,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,23347.0,18634.0,440.0,,,,582247.0,,,,,,103477.0,103477.0,26778.0,26778.0,26778.0,,,,,0.001,500000000.0,43038212.0,,48038.0,,,,,,447926.0,,,,,,,,,187100.0,,550155.0,60000.0,,-0.01,,,,,,,,,,,,,,,,151177.0,-448010.0,,,,17032.0,,,,-76699.0,,440.0,-84.0,,,103477.0,23347.0,,534455.0,534455.0,,-507677.0,-507677.0,-448010.0,,1675.0,,,-447926.0,550155.0,,,,-84.0,,,76699.0,,150000.0,,384455.0,,-448010.0,296749.0,-550155.0,,,,2598.0,80130.0,,150000.0,465285.0,86899164.0,,,,,,,,,,,,
2014-03-31,2014-05-20,10-Q,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,22678.0,,,,,,761823.0,,,,,,6044.0,6044.0,6044.0,6044.0,-20734.0,,,,,0.001,500000000.0,48461741.0,,48462.0,,,,,,281016.0,,,,,,,,,,,831192.0,,,-0.01,,,,,,,,,,,,,,,,50919.0,-281037.0,,,,3604.0,,,,76699.0,,461.0,-21.0,,,6044.0,26951.0,,180000.0,180000.0,,-200734.0,-200734.0,-281037.0,,1675.0,,,-281016.0,,,,,-21.0,,,,,180000.0,,,,-281037.0,230097.0,,,,,2598.0,-20907.0,,180000.0,,48297035.0,,,,,,,,,,,,
2014-06-30,2014-08-19,10-Q,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,,11444.0,6161.0,,,,786768.0,,,,,,2359.0,2359.0,2359.0,2359.0,,,,,,0.001,500000000.0,48517297.0,,48517.0,,,,,,112058.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,75515.0,,,36543.0,,,,,,,,,,,482.0,-69.0,,,2359.0,34878.0,,,,,,,-112127.0,,14675.0,,,-112058.0,,,,,-69.0,,,,,,,,,,75515.0,-867804.0,,,,2598.0,-32519.0,,,,48506427.0,,,,,,,,,,,,
2014-09-30,2014-11-10,10-Q,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,,9163.0,6211.0,,,,1005270.0,,,,,,,108240.0,108240.0,108240.0,,,,,,0.001,500000000.0,49615297.0,,49615.0,,,,,,98415.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,45734.0,,,,,,,,,,,503.0,-73.0,,,108240.0,19647.0,,,,,,,-98488.0,,1675.0,,,-98415.0,,,,,-73.0,,,,,,,,,,52681.0,-966292.0,,,,2598.0,88593.0,,,,48814474.0,,,,,,,,,,,,
2014-12-31,2015-04-14,10-K,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,17418.0,,5445.0,,,,1005270.0,,,,,,4423.0,4423.0,4423.0,4423.0,-22355.0,,,,,0.001,500000000.0,49615297.0,,49615.0,,,,,,610402.0,13100.0,,,,,,,,406300.0,,,,,-0.01,,,,,,,,,,,,,,,,169579.0,,,,,-5389.0,5005.0,,,76699.0,,79.0,-268.0,,,4423.0,110363.0,20000.0,512000.0,,,-534355.0,,-610670.0,,,,,-610402.0,1160825.0,,,,-268.0,,,,13000.0,479000.0,,20000.0,,-610670.0,440823.0,-1160825.0,,,,,-105940.0,,411500.0,13100.0,48825572.0,,,,,,,,,,,,
2015-03-31,2015-05-18,10-Q,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,29163.0,,15063.0,,,,1005270.0,,,,,,5338.0,5338.0,5338.0,5338.0,915.0,,,,,0.001,500000000.0,49614797.0,,49615.0,,,,,,40014.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,40014.0,,,,,11745.0,9618.0,,,,,,-434.0,,,5338.0,151726.0,40000.0,20000.0,,,-19085.0,,-40448.0,,,,,-40014.0,,,,,-434.0,,,,,,,20000.0,,-40448.0,,-1201273.0,,,,,-146388.0,,,,49614797.0,,,,,,,,,,,,
