end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableGrossCurrent,AccountsReceivableNetCurrent,AccruedProfessionalFeesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentForAmortization,Assets,AssetsCurrent,AssetsNoncurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,CostOfRevenue,DebtInstrumentInterestRateEffectivePercentage,DeferredTaxAssetsValuationAllowance,DepositsAssetsCurrent,Depreciation,DepreciationAndAmortization,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,EquityMethodInvestmentOwnershipPercentage,GainLossOnSaleOfPropertyPlantEquipment,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInDeposits,IncreaseDecreaseInInventories,IncreaseDecreaseInOperatingLiabilities,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInReceivables,InterestIncomeOther,InventoryFinishedGoods,InventoryNet,LesseeOperatingLeaseDiscountRate,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingIncomeLoss,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OperatingLeaseRightOfUseAssetAmortizationExpense,OperatingLeaseWeightedAverageDiscountRatePercent,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherIncome,OtherOperatingIncome,OtherOperatingIncomeExpenseNet,OtherReceivablesNetCurrent,PaymentsToAcquireInterestInSubsidiariesAndAffiliates,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PrepaidExpenseCurrent,ProceedsFromDivestitureOfBusinessesAndInterestsInAffiliates,ProceedsFromDivestitureOfInterestInSubsidiariesAndAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromLeasePayments,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,PropertyPlantAndEquipmentNet,ReceivablesNetCurrent,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,SharesIssuedPricePerShare,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,TaxesPayableCurrent,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2018-12-31,2019-03-29,10-K,Wiseman Global Ltd,WISM,CIK0001756640,USD,9179.0,3284.0,,,,,,,,,,24975.0,20654.0,4321.0,16987.0,,16987.0,16987.0,0.0001,800000000.0,50000000.0,50000000.0,5000.0,,4287.0,,10478.0,3667.0,,,,59063.0,0.0,0.0,0.25,,0.05,,,,52350.0,797.0,-51551.0,,,2410.0,,3284.0,,,,,,9179.0,,3667.0,,,,,,,,,,71526.0,24975.0,71526.0,,64063.0,-4321.0,-42755.0,-51551.0,-51551.0,,,,,,0.0,9179.0,,,2.0,,,,,4321.0,0.0001,200000000.0,,,,5000.0,,,59063.0,4321.0,3667.0,,-51551.0,5084.0,,,0.0001,-46551.0,,,,,,,41071428.0
2019-03-31,2019-05-15,10-Q,Wiseman Global Ltd,WISM,CIK0001756640,USD,,3284.0,,,,,,216.0,,259480.0,,251467.0,247362.0,4105.0,209652.0,192665.0,209652.0,192665.0,0.0001,800000000.0,55200000.0,55200000.0,5520.0,,55742.0,,13609.0,,216.0,216.0,,,0.0,0.0,0.25,-0.0825,0.58,,,,15743.0,20385.0,4661.0,,,-2710.0,,-34043.0,16646.0,,,,,-5354.0,,,,,,,,,,,,44302.0,251467.0,44302.0,,209788.0,,-17123.0,4661.0,4661.0,,,,,,0.0,,,4661.0,19.0,19.0,,,,,0.0001,200000000.0,,,,260000.0,,,-50212.0,4105.0,37710.0,,-57835.0,76127.0,,,,218110.0,,,,260000.0,,,52600000.0
2019-06-30,2019-08-19,10-Q,Wiseman Global Ltd,WISM,CIK0001756640,USD,70971.0,68203.0,60934.0,,12318.0,12318.0,7530.0,,-119.0,726760.0,,814431.0,810542.0,3889.0,396016.0,,396016.0,,0.0001,800000000.0,102400000.0,102400000.0,10240.0,,336608.0,,24740.0,103667.0,,,149.0,,0.0,,,,,,,,126609.0,101061.0,-14734.0,,,,,,,,,,,,,,33.0,39084.0,39084.0,,,,,,,139174.0,814431.0,139174.0,,,,,-14734.0,-14767.0,,,,,,0.0,2507.0,-119.0,-14853.0,10781.0,,,61230.0,,,0.0001,200000000.0,198078.0,,,,,,,3889.0,362975.0,,-61624.0,437669.0,,,,675257.0,,,,,472000.0,,74909890.0
2019-09-30,2019-11-19,10-Q,Wiseman Global Ltd,WISM,CIK0001756640,USD,320370.0,3283.0,315370.0,505.0,84098.0,84098.0,,4521.0,-22217.0,726760.0,,2474809.0,1210906.0,1263903.0,308560.0,,308560.0,,0.0001,800000000.0,102400000.0,102400000.0,10240.0,,1168887.0,,26004.0,100000.0,4089.0,,149.0,,0.0,,,,,,,,159322.0,640483.0,495840.0,28292.0,,,,,,,,,,,,,43.0,426079.0,426079.0,0.0513,1160000.0,240000.0,,920000.0,16850.0,1354102.0,2474809.0,516884.0,837218.0,,,,467548.0,495797.0,1029944.0,192726.0,837218.0,1029944.0,,0.0513,5000.0,-22098.0,445450.0,14636.0,,,280861.0,,,0.0001,200000000.0,11159.0,,,,,,,233959.0,392020.0,,405924.0,1809370.0,,,,1120707.0,,,,,,,102400000.0
2019-12-31,2020-05-12,10-K,Wiseman Global Ltd,WISM,CIK0001756640,USD,296430.0,31181.0,258398.0,518.0,1216773.0,1216773.0,,16469.0,-9464.0,726760.0,78435.0,3139660.0,1930884.0,1208776.0,362771.0,,362771.0,345784.0,0.0001,800000000.0,50000000.0,50000000.0,10240.0,846025.0,3865556.0,,40653.0,100000.0,16469.0,,,2872.0,0.01,-0.28,0.25,,-0.04,-1690.0,0.66,,537477.0,1669266.0,1180710.0,325221.0,319.0,7526.0,295177.0,28171.0,1227402.0,,,144813.0,-78435.0,586295.0,205050.0,205050.0,130.0,143559.0,143559.0,0.0513,1100000.0,240000.0,860000.0,860000.0,44795.0,1608186.0,3139660.0,820709.0,787477.0,675834.0,-237519.0,-90841.0,855489.0,1180580.0,982682.0,195205.0,787477.0,982682.0,78435.0,0.05125,38032.0,-9464.0,846025.0,48791.0,,48791.0,46002.0,724.0,238331.0,0.0001,200000000.0,61779.0,,1536.0,732000.0,100000.0,,-56166.0,226094.0,146002.0,,803938.0,5534822.0,5502179.0,1061117.0,,1531474.0,,,,260000.0,472000.0,294503.0,83396164.0
2020-03-31,2020-06-29,10-Q,Wiseman Global Ltd,WISM,CIK0001756640,USD,279407.0,12951.0,188242.0,1215.0,861773.0,861773.0,,28771.0,-26286.0,726760.0,57220.0,3033158.0,1816815.0,1216343.0,345166.0,,345166.0,-17605.0,0.0001,800000000.0,102400000.0,102400000.0,10240.0,-96174.0,57098.0,,51211.0,100000.0,12310.0,,,11921.0,0.0,0.0,0.25,,0.06,-3758.0,0.66,,197439.0,44583.0,-79352.0,,,4369.0,-19838.0,-17910.0,-338594.0,,,47343.0,-57220.0,-12186.0,217057.0,217057.0,33.0,188020.0,188020.0,0.051,1110623.0,235830.0,,874793.0,107903.0,1597858.0,3033158.0,830968.0,766890.0,9097.0,,-22944.0,-79352.0,-79385.0,1002720.0,235830.0,766890.0,1002720.0,57220.0,5.0996,38032.0,-16822.0,-96174.0,73471.0,,73471.0,83514.0,,,0.0001,200000000.0,238342.0,,,,50200.0,,9097.0,213623.0,421856.0,,724586.0,101681.0,101681.0,77157.0,,1435300.0,,,,,,289644.0,102400000.0
2020-06-30,2020-08-14,10-Q,Wiseman Global Ltd,WISM,CIK0001756640,USD,288583.0,,172096.0,1218.0,592566.0,592566.0,,41078.0,-23836.0,726760.0,,2990623.0,1749767.0,1240856.0,87585.0,,87585.0,,0.0001,800000000.0,102400000.0,102400000.0,10240.0,,17728.0,,61549.0,100000.0,,,,16928.0,0.0,,,,,,0.66,,228707.0,16823.0,-83670.0,3014.0,,,,,,,,,,,,,35.0,484600.0,484600.0,0.0507,1137618.0,182683.0,954935.0,,98056.0,1639557.0,2990623.0,921457.0,718100.0,,,,-86684.0,-83705.0,1036562.0,321462.0,718100.0,1039519.0,,0.0507,30146.0,2450.0,-84234.0,128179.0,,,100004.0,,,0.0001,200000000.0,385012.0,,,,,,,201337.0,585016.0,,637902.0,34551.0,,,,1351066.0,,,,,,293266.0,102400000.0
2020-09-30,2020-11-16,10-Q,Wiseman Global Ltd,WISM,CIK0001756640,USD,221725.0,162.0,112469.0,1268.0,350987.0,350987.0,,3212.0,9788.0,726760.0,,1655330.0,1566513.0,88817.0,257800.0,,257800.0,,0.0001,800000000.0,102400000.0,102400000.0,10240.0,,87019.0,,70043.0,,,,,56758.0,0.0,,,,,,0.66,,424622.0,18756.0,-391566.0,,,,,,,,,,,,,,35.0,631038.0,631038.0,0.0475,78787.0,22090.0,56697.0,,1493.0,662206.0,1655330.0,662206.0,,,,,-391566.0,-391601.0,77294.0,77294.0,,77206.0,,0.0475,14500.0,33624.0,-357942.0,14265.0,,,77540.0,,,0.0001,200000000.0,249148.0,,,,,,,11611.0,326688.0,,246336.0,105775.0,,,,993124.0,,,,,,304999.0,102400000.0
2020-12-31,2021-04-15,10-K,Wiseman Global Ltd,WISM,CIK0001756640,USD,204910.0,,44312.0,,188360.0,188360.0,,4075.0,41692.0,726760.0,,1643161.0,1555713.0,87448.0,67777.0,,67777.0,-294994.0,0.0001,800000000.0,102400000.0,102400000.0,10240.0,-539629.0,326978.0,0.07,70641.0,1654.0,26126.0,,290.0,53635.0,-0.01,0.01,0.25,,0.11,2450.0,0.66,-189356.0,1100724.0,225800.0,-587771.0,3014.0,,66229.0,-147696.0,-31509.0,-1051078.0,123427.0,,296791.0,,-98932.0,472946.0,,122.0,466363.0,466363.0,0.0475,77168.0,68897.0,8271.0,,138.0,651316.0,1643161.0,643190.0,8126.0,50974.0,-719.0,-347699.0,-590785.0,-587893.0,75520.0,67532.0,8126.0,75520.0,179398.0,0.0475,99329.0,51156.0,,,,287031.0,19088.0,,719.0,0.0001,200000000.0,230279.0,,,,147605.0,,50974.0,11928.0,473979.0,,213153.0,552778.0,519834.0,142989.0,,991845.0,,,,,,317113.0,102400000.0
2021-03-31,2021-05-17,10-Q,Wiseman Global Ltd,WISM,CIK0001756640,USD,214635.0,,97631.0,,82701.0,82701.0,,4881.0,39324.0,726760.0,,1539044.0,1477435.0,61609.0,145691.0,,145691.0,77914.0,0.0001,800000000.0,102400000.0,102400000.0,10240.0,-82329.0,2827.0,0.07,76557.0,1648.0,3128.0,,289.0,55852.0,0.0,0.0,0.25,,0.01,-1165.0,0.66,,122372.0,34441.0,-79962.0,,,831.0,-19990.0,,-106050.0,90013.0,,-7515.0,,2672.0,-129751.0,,12.0,457209.0,457209.0,0.0475,51521.0,43280.0,8241.0,,,629528.0,1539044.0,623827.0,5701.0,2200.0,,76879.0,-79962.0,-79974.0,50714.0,45013.0,5701.0,50530.0,22659.0,0.0475,48330.0,-2367.0,,,,7957.0,24052.0,,,0.0001,200000000.0,220629.0,,,,71049.0,,2200.0,11079.0,307849.0,,133192.0,37268.0,3668.0,50530.0,,909516.0,,,,,,308327.0,102400000.0
