end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableTradeCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AmortizationOfAcquisitionCosts,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ConvertibleLongTermNotesPayable,ConvertibleNotesPayableCurrent,CostsAndExpenses,DebtInstrumentUnamortizedDiscountCurrent,DebtInstrumentUnamortizedDiscountNoncurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositLiabilitiesAccruedInterest,DepositsAssetsNoncurrent,DueFromOtherRelatedPartiesCurrent,DueFromRelatedPartiesCurrent,DueFromRelatedPartiesNoncurrent,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,FairValueAdjustmentOfWarrants,GeneralAndAdministrativeExpense,ImpairmentOfIntangibleAssetsFinitelived,IncreaseDecreaseDueFromOfficersAndStockholders,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseOther,InterestExpenseRelatedParty,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,ManagementFeeExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetsCurrent,OtherExpenses,OtherNonoperatingIncomeExpense,PaymentsForDeposits,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfInitialPublicOffering,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireInvestments,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfessionalFees,RelatedPartyTransactionDueFromToRelatedParty,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockNumberOfSharesIssuedInTransaction,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMinimum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsExercised,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsExpirations,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsGranted,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharebasedCompensationArrangementBySharebasedPaymentAwardEquityInstrumentsOtherThanOptionsAggregateIntrinsicValueVested,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedOptionsForfeitedNumberOfShares,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedInPeriodFairValue1,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedNumberOfShares,SharesIssuedPricePerShare,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensationForfeited,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,StockIssuedDuringPeriodSharesIssuedForServices
2014-12-31,2015-02-13,10-Q,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,,35000.0,0.0,807.0,54.0,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,2271.0,,,39525.0,,,,,,,,,,,,0.0,,,,,39525.0,,,,,,,,,,,807.0,,,,,,40816.0,0.0,40816.0,,0.0,0.0,0.0,-40332.0,,,,,807.0,,,,,,,,,,,,,,,,5009.0,,,-43141.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-40816.0,,,,,,,,,22710192.0,
2015-03-31,2015-05-06,10-Q,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,,,0.0,,54.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,2271.0,,,3800.0,,,,,,,,,,,,0.0,,,,,3800.0,,,,,,,,,,,66.0,,,,,,40816.0,0.0,44682.0,,,,,-3866.0,,,,,66.0,,,,,,,,,,,,,,,,,,,-47007.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-44682.0,,,,,,,,,22710192.0,
2015-06-30,2015-09-15,10-K,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,,40000.0,,1756.0,54.0,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,2271.0,,,46675.0,,,,,,,,,,,,0.0,,,,,46675.0,,,,,,-55.0,1756.0,,,,1765.0,,,1756.0,,,48915.0,0.0,48915.0,,46730.0,0.0,-46730.0,-48440.0,,,,,1765.0,,,,,,,,,,,,0.0,,,7159.0,7159.0,,,-51240.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-48915.0,,,,,,,,,22710192.0,
2015-09-30,2015-10-14,10-Q,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,,42500.0,,,54.0,,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,2271.0,,,5424.0,,,,,,,,,,,,0.0,,,,,5424.0,,,,,,,1060.0,,,,1060.0,,,,,,55399.0,0.0,55399.0,,5224.0,0.0,-5424.0,-6484.0,,,,,1060.0,,,,,,,,,,,,,,,10083.0,,,,-57724.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-55399.0,,,,,,,,,22710192.0,
2015-12-31,2016-02-04,10-Q,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,,45000.0,,,54.0,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,2271.0,,,3350.0,,,,,,,,,,,,0.0,,,,,3350.0,,,,,,,,,,,1127.0,,,3943.0,,,59876.0,0.0,59876.0,,8774.0,0.0,-8774.0,-4477.0,,,,,1127.0,,,,,,,,,,,,,,,,,,,-62201.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-59876.0,,,,,,,,,22710192.0,
2016-03-31,2016-04-13,10-Q,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,,47500.0,,5139.0,54.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,2271.0,,,4048.0,,,,,,,,,,,,0.0,,,,,4048.0,,,,,,,,,,,1196.0,,,,,,65120.0,0.0,65120.0,,,,,-5244.0,,,,,1196.0,,,,,,,,,,,,,,,,12481.0,,,-67445.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-65120.0,,,,,,,,,22710192.0,
2016-06-30,2016-09-28,10-K,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,,50000.0,,6392.0,54.0,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,2271.0,,,16352.0,,,,,6392.0,,13511.0,,,,,0.0,,,,,16352.0,,,,,,0.0,4636.0,,,,4636.0,,,,,,69903.0,0.0,69903.0,,16352.0,0.0,-16352.0,-20988.0,,,,,4636.0,,,,,,,,,,,,,,,,13511.0,,,-72228.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-69903.0,,,,,,,,,19011562.0,
2016-09-30,2016-10-19,10-Q,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,,52500.0,,,54.0,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,,2271.0,,,5330.0,,,,,7765.0,,,,,,,0.0,,,,,5330.0,,,,,,,1373.0,,1373.0,,1373.0,,,,,,76606.0,0.0,76606.0,,5330.0,0.0,-5330.0,-6703.0,,,,,1373.0,,,,,,,,,,,,,5330.0,,,16341.0,,,-78931.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-76606.0,,,,,,,,,22710192.0,
2016-12-31,2017-02-06,10-Q,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,,55000.0,,,54.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,2271.0,,,3350.0,,,,,9205.0,,,,,,,0.0,,,,,3350.0,,,,,,,,,,,1440.0,,,,,,81396.0,0.0,81396.0,,,,,-4790.0,,,,,1440.0,,,,,,,,,,,,,,,,,,,-83721.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-81396.0,,,,,,,,,22710192.0,
2017-03-31,2017-05-04,10-Q,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,,57500.0,,10679.0,54.0,,,,,,,0.0,0.0,0.0,1975.0,,,,,,,,,,,2271.0,,,3800.0,,,,,,,18491.0,,,,,-0.003,,,,,6025.0,,,,,,,,,,,1474.0,,,,,,86670.0,0.0,86670.0,,,,,-67221.0,67221.0,,,,1474.0,,,,,,,,,,,,,,,,,,61196.0,-88995.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-86670.0,,,,,,,,,24000000.0,
