end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedIncomeTaxesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,AdditionalPaidInCapital,Assets,AssetsCurrent,AssetsNoncurrent,BuildingsAndImprovementsGross,CapitalUnitsAuthorized,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,CostOfGoodsSold,CurrentFederalTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DeferredIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsValuationAllowance,Depreciation,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationMinorityInterestIncomeExpense,EffectiveIncomeTaxRateReconciliationOtherAdjustments,FranchiseRevenue,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedIncomeTaxesPayable,InterestAndOtherIncome,InterestPaid,InvestmentIncomeInterest,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LimitedPartnersCumulativeNetIncome,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionDueFromToRelatedParty,RetainedEarningsAccumulatedDeficit,Revenues,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions,SharesIssued,SharesIssuedPricePerShare,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,TaxesPayableCurrent,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,ConvertibleNotesPayableCurrent,ProceedsFromContributedCapital
2015-06-30,2015-09-01,10-Q,Nine Alliance Science & Technology Group,JMKJ,CIK0001624140,USD,,,375.0,,,15013.0,4888.0,10125.0,10500.0,,4888.0,,,,0.001,75000000.0,4000000.0,4000000.0,4000.0,,25126.0,,,,,,,,,125.0,300.0,-0.0021,,,,30379.0,19080.0,5253.0,,-13827.0,,-3469.0,,,,,,,,,,2603.0,15013.0,,,15980.0,,,,-10357.0,,,19080.0,,,,,,,,,,2055.0,,,,,8411.0,30379.0,,,,12411.0,,,,,2303.0,5000000.0,,
2015-09-30,2015-12-09,10-K,Nine Alliance Science & Technology Group,JMKJ,CIK0001624140,USD,,,500.0,,39960.0,15098.0,5098.0,10000.0,10500.0,,5098.0,5098.0,4865.0,,0.001,75000000.0,5000000.0,5000000.0,4040.0,,81389.0,,,,703.0,-36155.0,,,,500.0,720.0,-0.0074,,,,112115.0,66882.0,30727.0,,-36155.0,,703.0,,,,,,,,,,3023.0,15098.0,,31925.0,,40520.0,,-35655.0,-36858.0,,,66882.0,,,,,,,,40000.0,520.0,,,,,,-31925.0,112115.0,,,,12075.0,,40000.0,,,703.0,5000000.0,,
2015-12-31,2016-01-22,10-Q,Nine Alliance Science & Technology Group,JMKJ,CIK0001624140,USD,,,625.0,,39960.0,11814.0,1939.0,9875.0,10500.0,,1939.0,,-3160.0,,0.001,75000000.0,5000000.0,5000000.0,4040.0,,14992.0,,,,,-3285.0,,,,125.0,720.0,-0.0007,0.17,0.17,,30497.0,18790.0,15506.0,,-3285.0,,,,,,,,,0.0,,,3023.0,11814.0,,,,,,-3160.0,-3285.0,,,18790.0,,,,,,,,,,,,,,,-35209.0,30497.0,,,,8791.0,,,,,2303.0,5000000.0,,
2016-03-31,2016-05-13,10-Q,Nine Alliance Science & Technology Group,JMKJ,CIK0001624140,USD,,,750.0,,39000.0,10542.0,792.0,9750.0,10500.0,,792.0,792.0,,,0.001,75000000.0,5000000.0,5000000.0,5000.0,,31383.0,,,,,-1271.0,,,,125.0,720.0,0.0,,,,33294.0,3183.0,1911.0,-1272.0,-1271.0,,,0.0,0.0,,,,,,,,3023.0,10542.0,,,,,,,-1272.0,,0.0,3183.0,,,,,,,,,,0.0,,,,0.0,-36481.0,33294.0,,,,7519.0,,,,,2303.0,5000000.0,,
2016-06-30,2016-07-21,10-Q,Nine Alliance Science & Technology Group,JMKJ,CIK0001624140,USD,,,875.0,,39000.0,10161.0,536.0,9625.0,10500.0,,536.0,536.0,,,0.001,75000000.0,5000000.0,5000000.0,5000.0,,25126.0,,,,,-381.0,,,,125.0,720.0,0.0,,,,31299.0,18955.0,5253.0,-13827.0,-381.0,,,,3469.0,,,,,,,,3023.0,10161.0,,,,,,,-10358.0,,0.0,19080.0,,,,,,,,,,0.0,,,,0.0,-36862.0,30379.0,,,,7138.0,,,,,2303.0,5000000.0,,
2016-09-30,2016-11-18,10-K,Nine Alliance Science & Technology Group,JMKJ,CIK0001624140,USD,,,-1000.0,,39000.0,10506.0,1006.0,9500.0,10500.0,,1006.0,1006.0,-4092.0,,0.001,75000000.0,5000000.0,5000000.0,5000.0,5000.0,102703.0,-4593.0,,,,-4592.0,,,,500.0,720.0,-0.0009,,,,124959.0,26848.0,22255.0,-4593.0,-4592.0,,0.0,,,,,,,,,1.0,3023.0,10506.0,,36517.0,,,,-4092.0,-4592.0,720.0,,26848.0,,,,,,,,,,,,10500.0,,,-36517.0,124959.0,,,,7483.0,,,,,2303.0,5000000.0,,
2016-12-31,2017-01-31,10-Q,Nine Alliance Science & Technology Group,JMKJ,CIK0001624140,USD,,,1125.0,,39000.0,9573.0,198.0,9375.0,10500.0,,198.0,198.0,-808.0,,0.001,75000000.0,5000000.0,5000000.0,5000.0,,26230.0,,,,,-933.0,,,,125.0,720.0,-0.0002,0.34,0.17,,28332.0,3034.0,2101.0,,-933.0,,,,,,,,,0.0,,,3023.0,9573.0,,,,,,-808.0,-933.0,,,3034.0,,,,,,,,,,,,,,,-37450.0,28332.0,0.0,,,6550.0,,,,,2303.0,5000000.0,,
2017-03-31,2017-05-19,10-Q,Nine Alliance Science & Technology Group,JMKJ,CIK0001624140,USD,,,-1125.0,125.0,39000.0,9375.0,0.0,,,,0.0,0.0,,,0.001,75000000.0,5000000.0,5000000.0,,5000.0,4702.0,-331159.0,,,,,,,,,,-0.07,,,,,702.0,3037.0,-331159.0,,,,0.0,0.0,,,,,,,,333983.0,9375.0,,,,,,,-331159.0,331680.0,-720.0,334196.0,,,,,,,,,,1814.0,,10500.0,,331680.0,-368608.0,7739.0,,,,-324608.0,,,,,2303.0,5000000.0,,
2017-06-30,2017-08-25,10-Q,Nine Alliance Science & Technology Group,JMKJ,CIK0001624140,USD,,,-1250.0,,39000.0,9250.0,0.0,,,,0.0,0.0,,,0.001,75000000.0,5000000.0,5000000.0,,5000.0,0.0,,,,,,,,,125.0,,0.0,,,,,1550.0,0.0,-10343.0,,,,,0.0,,,,,,,,344201.0,9250.0,,,,,,,-10343.0,341898.0,-845.0,10343.0,,,,,,,,,,8668.0,,10500.0,,341898.0,-378951.0,0.0,,,,-334951.0,,,,,2303.0,5000000.0,,
2021-09-30,2021-11-03,10-K,Nine Alliance Science & Technology Group,JMKJ,CIK0001624140,USD,6847.0,2303.0,,,38500.0,0.0,,,,,,,,,0.0001,290000000.0,75000000.0,75000000.0,7500.0,,,16862.0,2000.0,70000000.0,,,80293.0,28103.0,28103.0,,25143.0,0.0,,,0.21,,2151.0,,,,17308.0,,,,-16862.0,-3675.0,20983.0,,,,,34293.0,0.0,34293.0,,,,,,-17308.0,,,17308.0,-17308.0,80293.0,,0.0001,10000000.0,0.0,0.0,,,15157.0,-17308.0,,,,-80293.0,,,,,-34293.0,,,,2000.0,,75000000.0,,
2021-12-31,2022-02-07,10-Q,Nine Alliance Science & Technology Group,JMKJ,CIK0001624140,USD,5270.0,2303.0,,,52194.0,0.0,,,,,,,,,0.0001,290000000.0,225000000.0,225000000.0,22500.0,,,17795.0,28694.0,150000000.0,,,84738.0,29658.0,29658.0,,2471.0,0.0,0.35,,0.21,,2297.0,,,,4445.0,,,,-17795.0,-1577.0,-22672.0,,,,,10044.0,0.0,10044.0,,,28694.0,,-28694.0,-4445.0,,,4445.0,-4445.0,84738.0,,0.0001,10000000.0,0.0,0.0,,,2148.0,-4445.0,,,,-84738.0,,,,,-10044.0,,,,28694.0,,225000000.0,,28694.0
