end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccrualForTaxesOtherThanIncomeTaxesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,AdvertisingExpense,AllowanceForDoubtfulAccountsReceivableCurrent,Assets,AssetsCurrent,AssetsNoncurrent,BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashFDICInsuredAmount,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockOtherSharesOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConcentrationRiskPercentage1,ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangesIssuanceOfEquityBySubsidiaryToNoncontrollingInterests,CostOfGoodsAndServicesSold,CostsAndExpenses,DeferredIncomeTaxAssetsNet,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilitiesCurrent,Depreciation,DividendIncomeSecuritiesOperatingTaxable,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,ExchangeFees,FeesAndCommissions,FloorBrokerageExchangeAndClearanceFees,GainLossOnInvestments,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInEquitySecuritiesFvNi,IncreaseDecreaseInInventories,IncreaseDecreaseInNotesReceivableCurrent,IncreaseDecreaseInNotesReceivables,IncreaseDecreaseInOtherCurrentLiabilities,IncreaseDecreaseInPrepaidExpense,InterestAndDividendIncomeOperating,InterestIncomeExpenseNet,InterestIncomeOther,InterestPayableCurrentAndNoncurrent,InterestReceivableCurrent,InventoryNet,InventoryWriteDown,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAllocatedToGeneralPartners,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossAttributableToParentDiluted,NetRealizedOrUnrealizedGainLossOnTradingSecurities,NoninterestExpenseCommissionExpense,NoninterestExpenseTransferAgentAndCustodianFees,NonoperatingIncomeExpense,NotesAndLoansReceivableNetCurrent,NotesReceivableNet,OperatingExpenses,OperatingIncomeLoss,OtherExpenses,OtherGeneralAndAdministrativeExpense,OtherGeneralExpense,OtherIncome,OtherLiabilitiesCurrent,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,PaymentsForBrokerageFees,PaymentsForRepurchaseOfCommonStock,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromCollectionOfNotesReceivable,ProceedsFromContributedCapital,ProceedsFromContributionsFromParent,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoanOriginations1,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfShortTermInvestments,ProceedsFromShortTermDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RealizedInvestmentGainsLosses,RelatedPartyTransactionRate,RetailRelatedInventoryMerchandise,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SaleOfStockPercentageOfOwnershipAfterTransaction,ShortTermInvestments,StockholdersEquity,StockholdersEquityAttributableToParentNotAllowableForNetCapital,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAdjustedBalance1,StockIssued1,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockRepurchasedAndRetiredDuringPeriodShares,StockRepurchasedAndRetiredDuringPeriodValue,TaxesAndLicenses,TaxesOther,TaxesPayableCurrent,TradingSecuritiesUnrealizedHoldingGainLoss,TreasuryStockCommonShares,TreasuryStockValue,VariableInterestEntityOwnershipPercentage,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2016-12-31,2017-01-24,10-Q,Landbay Inc,LNBY,CIK0001672572,USD,1000.0,,,2395.0,,,,,,3792.0,,,,1395.0,-57.0,,,250000.0,,,0.0,99900000000.0,0.0,0.0,,,,,1064.0,,,,,,,,,,,,,,,7.0,,,64.0,,,,-1758.0,,,1000.0,,,,,,,,,,,,,,,,,,,,3792.0,3000.0,2000.0,2000.0,,-2057.0,-1299.0,,,,,49.0,,,,,,-1299.0,,,,,,,,,,,,,,,,,,,,2000.0,,,,1000.0,-235.0,,,,,,,-1603.0,,,1.0,2397.0,11492.0,,,,,,,,,,,,,-193.0,,,,
2017-03-31,2017-06-27,10-K,Landbay Inc,LNBY,CIK0001672572,USD,,,,3324.0,,,,,18492.0,18492.0,,,,12489.0,10551.0,,,250000.0,,99875000000.0,0.0,99900000000.0,99900000000.0,99875000000.0,9990.0,,,,1923.0,,,,,,,,,,,,,,,25.0,,97.0,177.0,,,,-5947.0,,,,,,,,,,,,,,,,,,,,,,,18492.0,7000.0,7000.0,18119.0,,-7568.0,-1621.0,,,,,4.0,173.0,,,,,-1621.0,,23.0,,,,,,,,,,,,,,,,1129.0,9990.0,7000.0,,,,1000.0,302.0,,,,,,,-1822.0,,,1.0,6003.0,11492.0,,,,,11119.0,,,25000000.0,,,,,184.0,,,,
2017-06-30,2017-07-19,10-Q,Landbay Inc,LNBY,CIK0001672572,USD,,,,67003.0,,,,,,102458.0,,,,58079.0,45590.0,,,250000.0,,,0.0,999000000.0,999000000.0,999000000.0,9990.0,,,,331.0,,,,,,,,,,,,,,,,,10.0,76.0,,,,-38376.0,,,,,,,,,,,,,,,,,,,,,,,102458.0,27000.0,27000.0,83680.0,,-38090.0,286.0,,,,,,36.0,,,,,286.0,,,,,,,,2.0,,,,,,,,,,63680.0,,20000.0,,,,,617.0,,,,,,,-1535.0,,,,44379.0,75458.0,,,,,,,,,,,,,605.0,,,,
2017-09-30,2017-11-06,10-Q,Landbay Inc,LNBY,CIK0001672572,USD,,,,66965.0,,,,,,74792.0,,,,33735.0,-24344.0,,,250000.0,,,0.0,999000000.0,999000000.0,999000000.0,9990.0,,,,453.0,,,,,,,,2.0,,,,,,120.0,6.0,139.0,1004.0,36.0,,,,3322.0,,,,,,,,,,,,,,,,,,,,,,,74792.0,,,-27038.0,,2694.0,-628.0,,,,,,108.0,,,,,-628.0,,,,,,,,,,,,,,,,,,-38.0,,-27000.0,,,,,-175.0,,,,,,,-2163.0,,,,41057.0,74792.0,,,,,,,,,,50.0,,,-1185.0,,,,
2017-12-31,2018-02-12,10-Q,Landbay Inc,LNBY,CIK0001672572,USD,351.0,,,66936.0,,,,,76620.0,66620.0,10000.0,,,33735.0,,,,250000.0,,963895000.0,0.0,999000000.0,999000000.0,999000000.0,9990.0,,,,75.0,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,76620.0,351.0,,,,,1858.0,,,,,929.0,,,,10000.0,,1858.0,,,,,,,,,,,,,,,,,,,,,,,,,1933.0,,,,,,,-306.0,,,,55798.0,76269.0,,,76620.0,,,,,,,,,,2773.0,,351.0,,
2018-03-31,2018-06-29,10-K,Landbay Inc,LNBY,CIK0001672572,USD,,,,67639.0,,64313.0,,,67383.0,42383.0,,,,1496.0,-10993.0,,,250000.0,989010000.0,9638650.0,0.001,999000000.0,9990000.0,9638650.0,9990.0,,,,781.0,,,,,,,,,,,,,,,11.0,,1533.0,365.0,,,,-34884.0,,,,,,,,,,,25000.0,,,,645.0,,,,,,,,67383.0,,,31962.0,,-42955.0,-8071.0,,,,,1447.0,146.0,,,25000.0,,-8071.0,,,,,,,,11.0,351.0,,,,,,,,,64313.0,64313.0,-32000.0,,,,,-7290.0,,,,,0.0,,-9895.0,,,,40887.0,67384.0,67383.0,,67383.0,,,,,351350.0,-351.0,270.0,50.0,,-8032.0,351350.0,351.0,,
2018-06-30,2018-08-13,10-Q,Landbay Inc,LNBY,CIK0001672572,USD,,,,89061.0,,21424.0,,,119120.0,75120.0,,,,8417.0,6921.0,,,250000.0,,9638650.0,0.001,999000000.0,9990000.0,9638650.0,9990.0,,,,6489.0,,,,,,,,,,,,,,,,,39444.0,124.0,,,,-25816.0,,,,,,,,,,,19000.0,,,,1102.0,,,,,,,,119120.0,,,2424.0,,4497.0,30313.0,,,,,356.0,90.0,,,44000.0,,30313.0,,,,,,,,,,,,,,,,,,21424.0,,,,,,6275.0,36802.0,,,,,,,20420.0,,,,66703.0,119120.0,,,119120.0,,,,,351350.0,,,,,-3388.0,351350.0,351.0,,
2018-09-30,2018-11-07,10-Q,Landbay Inc,LNBY,CIK0001672572,USD,,,,89018.0,,,,,170152.0,122552.0,,,,28042.0,,,,250000.0,,9638650.0,0.001,999000000.0,9990000.0,9638650.0,9990.0,,,,10060.0,,,,,,9205.0,,,,,,,,,,,30756.0,48.0,,21787.0,-687.0,,16960.0,,,,,,,,,,,,,,1299.0,,,,,,,,170152.0,29347.0,,,,,21100.0,,,,,287.0,18.0,,,47600.0,,50447.0,,,,,,,,,,,,,,,,,,,,,,,,9875.0,60507.0,,,,,,,38967.0,,,,94510.0,140805.0,137624.0,3181.0,140176.0,,,,,,,64.0,,20142.0,28739.0,351350.0,351.0,,
2018-12-31,2019-02-27,10-Q,Landbay Inc,LNBY,CIK0001672572,USD,,,,89018.0,,,,,110337.0,62737.0,,,,1150.0,,,,250000.0,,9638650.0,0.001,999000000.0,9990000.0,9638650.0,9990.0,,,,22769.0,1381.0,,,,,,,,,,,,,,,,2784.0,102.0,,-40601.0,-888.0,,-12297.0,,,,,,,,,,,,,,1195.0,,,,,,,,110337.0,9442.0,,,,,-41489.0,,,,,168.0,140.0,,,47600.0,,-62774.0,,1727.0,,,,,,,,,,,,,,,,,,,,,,20800.0,-40005.0,,,,,,,996.0,,,,60206.0,100895.0,99653.0,1242.0,,,,,,,,,,9442.0,-43816.0,351350.0,351.0,,
2019-03-31,2019-07-15,10-K,Landbay Inc,LNBY,CIK0001672572,USD,,,,145938.0,,,1200.0,27555.0,59748.0,59748.0,,,,6085.0,4589.0,6085.0,,250000.0,,9638650.0,0.001,999000000.0,9990000.0,9638650.0,9990.0,,,,46370.0,11761.0,22619.0,,108057.0,22619.0,,,,,,,-0.01,,,,,-14231.0,71195.0,,,,-83969.0,10602.0,12228.0,,,12230.0,12228.0,-11761.0,,,,21000.0,,,,6259.0,,,,,,,12228.0,59748.0,12228.0,,379.0,62969.0,-58380.0,-111206.0,,,1072.0,,1471.0,59.0,,18445.0,46000.0,71145.0,-106571.0,14790.0,150.0,,,,,,,,,,,,,,,78300.0,21379.0,,-21000.0,,,,44558.0,27273.0,,,27555.0,,,,-108057.0,,,,35218.0,47520.0,,,,,,,,351350.0,,64.0,,12228.0,-58955.0,351350.0,351.0,,9990000.0
