end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccruedSalariesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AmortizationOfDebtDiscountPremium,AreaOfLand,AssetImpairmentCharges,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ConversionOfStockAmountIssued1,ConversionOfStockSharesConverted1,ConvertibleDebt,ConvertibleNotesPayableCurrent,DebtConversionOriginalDebtAmount1,DebtInstrumentDecreaseForgiveness,DebtRelatedCommitmentFeesAndDebtIssuanceCosts,DeferredCompensationShareBasedArrangementsLiabilityCurrent,DeferredFederalIncomeTaxExpenseBenefit,DeferredIncomeTaxesAndTaxCredits,DeferredRevenueCurrent,DeferredRevenueRevenueRecognized1,DeferredTaxAssetsGross,DeferredTaxAssetsOtherLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EmployeeRelatedLiabilitiesCurrent,FederalIncomeTaxExpenseBenefitContinuingOperations,GainLossOnSalesOfAssetsAndAssetImpairmentCharges,GeneralAndAdministrativeExpense,GoodwillImpairmentLoss,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationDeductionsOther,IncomeTaxReconciliationNondeductibleExpenseAmortization,IncomeTaxReconciliationNondeductibleExpenseOther,IncomeTaxReconciliationOtherAdjustments,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDeferredCompensation,IncreaseDecreaseInDeferredLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestIncomeExpenseNet,InterestPaidNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LaborAndRelatedExpense,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NondebtorReorganizationItemsNetGainLossOnSettlementOfOtherClaims1,NonoperatingIncomeExpense,NotesIssued1,NotesReduction,OperatingExpenses,OperatingIncomeLoss,OtherAccruedLiabilitiesCurrent,OtherExpenses,OtherIncome,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromRelatedPartyDebt,ProceedsFromShortTermDebt,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfShortTermDebt,RetainedEarningsAccumulatedDeficit,Revenues,ShareBasedCompensation,ShortTermBorrowings,StockholdersEquity,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,TaxAdjustmentsSettlementsAndUnusualProvisions,ValuationAllowancesAndReservesBalance,ValuationAllowancesAndReservesPeriodIncreaseDecrease,ValuationAllowancesAndReservesRecoveries,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AdditionalPaidInCapitalCommonStock,BusinessCombinationContingentConsiderationLiabilityCurrent,Cash,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,ContractWithCustomerLiabilityCurrent,DebtInstrumentPeriodicPayment,DebtInstrumentPeriodicPaymentInterest,DebtInstrumentPeriodicPaymentPrincipal,DebtInstrumentUnamortizedDiscount,DueFromRelatedPartiesCurrent,GainsLossesOnExtinguishmentOfDebt,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncreaseDecreaseInContractWithCustomerLiability,InterestPayableCurrentAndNoncurrent,LoansPayable,NotesPayable,OfficersCompensation,RevenueFromContractWithCustomerExcludingAssessedTax,StockIssued1
2017-06-30,2017-08-21,10-Q,Crank Media Inc,CRKM,CIK0001700357,USD,1821.0,,58800.0,,,,,1219.0,1219.0,1262.0,,,,0.001,100000000.0,4831612.0,4831612.0,,4832.0,,,,,,,,,,,11296.0,,,,,,,0.0,,18750.0,,,7816.0,,-7359.0,,,,,,,,,,,,,,,,,,182.0,,,,,,42688.0,1219.0,,10821.0,,,-7359.0,,-182.0,,,7816.0,-7177.0,,,,56.0,,,,,,,-105101.0,639.0,,,-41469.0,,,,,,,,,,,4831201.0,,,,,,,,,,,,,,,,,,,,
2017-09-30,2017-11-15,10-Q,Crank Media Inc,CRKM,CIK0001700357,USD,2189.0,,58800.0,,,,,3137.0,3137.0,3137.0,,,,0.001,100000000.0,4831612.0,4831612.0,,4832.0,,,,,,,,,,,10656.0,,,,,,,0.0,,18750.0,,,6049.0,,-5485.0,,,,,,,,,,,,,,,,,,76.0,,,,,,50491.0,3137.0,,18896.0,,,-5485.0,,-76.0,,,6049.0,-5409.0,,,,,,,,,,,-110986.0,640.0,,,-47354.0,,,,,,,,,,,4831201.0,,,,,,,,,,,,,,,,,,,,
2017-12-31,2018-04-02,10-K,Crank Media Inc,CRKM,CIK0001700357,USD,99.0,,783100.0,25000.0,,,,18163.0,18163.0,18163.0,17147.0,,,0.001,100000000.0,5131612.0,5131612.0,,5132.0,,,,,25000.0,,,,,,10017.0,,12110.0,,12110.0,,,-0.09,0.21,,159110.0,,34313.0,,-757666.0,-57666.0,,,,,,,-700000.0,,-2178.0,910.0,-2557.0,,,910.0,25000.0,-5000.0,910.0,,,700000.0,725000.0,,49664.0,18163.0,49664.0,39548.0,48638.0,-31491.0,-757666.0,,-910.0,,25000.0,759313.0,-756756.0,,,,,,10000.0,,42638.0,,4000.0,-819733.0,2557.0,,,-31501.0,,,,,700000.0,10000.0,-147000.0,28786.0,12110.0,12110.0,4935996.0,,,,,,,,,,,,,,,,,,,,
2018-03-31,2018-05-15,10-Q,Crank Media Inc,CRKM,CIK0001700357,USD,5776.0,,783100.0,,,,,13678.0,13678.0,13678.0,-4485.0,,,0.001,100000000.0,5131612.0,5131612.0,,5132.0,,,,,,,,112500.0,,,9378.0,,,,,,,-0.02,,,,,8849.0,,-122023.0,,,,,,,,,,5677.0,,-639.0,,,,,,1313.0,,,112500.0,112500.0,,167202.0,13678.0,,39548.0,,-4485.0,-122023.0,,-1313.0,,,121349.0,-120710.0,,,,,,,,,,,-941756.0,639.0,,,-153524.0,,,,,,,,,,,5131612.0,,,,,,,,,,,,,,,,,,,,
2018-06-30,2018-08-09,10-Q,Crank Media Inc,CRKM,CIK0001700357,USD,3793.0,,783100.0,,,,,2921.0,2921.0,2921.0,,,,0.001,100000000.0,5131612.0,5131612.0,,5132.0,,,,,,,,225000.0,,,8738.0,,,,,,,-0.02,,,,,8857.0,,-121697.0,,,,,,,,,,,,,,,,,,980.0,,,,112500.0,,278142.0,2921.0,,40611.0,,,-121697.0,,-980.0,,,121357.0,-120717.0,,,,,,,,,,,-1063453.0,640.0,,,-275221.0,,,,,,,,,,,5131612.0,,,,,,,,,,,,,,,,,,,,
2018-09-30,2018-11-16,10-Q,Crank Media Inc,CRKM,CIK0001700357,USD,5540.0,,783100.0,,,,,214.0,214.0,214.0,,,,0.001,100000000.0,5131612.0,5131612.0,,5132.0,,,,,,,,337500.0,,,8099.0,,,,,,,-0.02,,,,,3453.0,,-116315.0,,,,,,,,,,,,,,,,,,1001.0,,,,112500.0,,391750.0,214.0,,40611.0,,,-116315.0,,-1001.0,,,115953.0,-115314.0,,,,,,,,,,,-1179768.0,639.0,,,-391536.0,,,,,,,,,,,5131612.0,,,,,,,,,,,,,,,,,,,,
2018-12-31,2019-04-01,10-K,Crank Media Inc,CRKM,CIK0001700357,USD,6786.0,450000.0,783100.0,,,,,214.0,214.0,214.0,-17949.0,214.0,,0.001,100000000.0,5131612.0,5131612.0,,5132.0,,,,,,25000.0,,450000.0,,,7460.0,,5119.0,,5119.0,2781.0,-0.09,-0.07,0.21,,100531.0,,26532.0,,-478717.0,-24375.0,,,,4342.0,,,-450000.0,,6687.0,450000.0,-2557.0,,,,,,4342.0,,,,450000.0,,,214.0,510432.0,43405.0,6638.0,-24587.0,-478717.0,,-4742.0,,,476532.0,-473975.0,,400.0,,,,,2781.0,3857.0,,,-1298450.0,2557.0,,,-510218.0,,,,,,,-95412.0,33905.0,-5119.0,5119.0,5581612.0,,,,,,,,,,,,,,,,,,,,
2019-03-31,2019-05-15,10-Q,Crank Media Inc,CRKM,CIK0001700357,USD,6380.0,,783100.0,,,,,214.0,214.0,214.0,,,,0.001,100000000.0,5131612.0,5131612.0,,5132.0,,,,,,,,562500.0,,,6820.0,,,,,2781.0,,-0.02,,,,,6825.0,,-119860.0,,,,,,,,,,-406.0,,-640.0,,,,,,1174.0,,,112500.0,112500.0,,,214.0,630292.0,51811.0,8406.0,-8406.0,-119860.0,,-1174.0,,,119325.0,-118686.0,,,,,,,,8406.0,,,-1418310.0,639.0,,,-630078.0,,,,,,,,,,,5131612.0,,,,,,,,,,,,,,,,,,,,
2019-06-30,2019-08-13,10-Q,Crank Media Inc,CRKM,CIK0001700357,USD,8863.0,,1345600.0,562500.0,,,,214.0,214.0,214.0,,214.0,,0.001,100000000.0,5131612.0,5131612.0,,5132.0,,,,,,,,112500.0,,,6181.0,,,,,2781.0,,-0.02,,,,,8615.0,,-121863.0,,,,,,,,,,,,,,,,,,1388.0,-1388.0,,,112500.0,,,214.0,189655.0,59330.0,,,-121863.0,,-1388.0,,,121115.0,-120475.0,,,,,,,,,,,-1540173.0,640.0,,,-189441.0,,,,,,,,,,,5131612.0,,,,,,,,,,,,,,,,,,,,
2019-09-30,2019-11-15,10-Q,Crank Media Inc,CRKM,CIK0001700357,USD,7340.0,,1345600.0,,,,,214.0,214.0,214.0,,214.0,,0.001,100000000.0,5131612.0,5131612.0,,5132.0,,,,77759.0,,,,225000.0,,,5542.0,,,,,2781.0,,-0.03,,,,,33437.0,,-162810.0,,,,,,,,,,,,,,,,,,17512.0,-17512.0,,,112500.0,,,214.0,352465.0,34043.0,,,-162810.0,,-17512.0,,,145937.0,-145298.0,,,,,,,,,,,-1702983.0,639.0,,,-352251.0,,,,,,,,,,,5131612.0,,,,,,,,,,,,,,,,,,,,
