end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockDiscountOnShares,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,CommonStockValueOutstanding,CostOfRevenue,CostsAndExpenses,CostsAndExpensesRelatedParty,DebtInstrumentInterestRateStatedPercentage,DepositsAssetsCurrent,Depreciation,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,ExtinguishmentOfDebtGainLossNetOfTax,GainLossOnDispositionOfAssets,GainLossOnSaleOfProperty,GainsLossesOnExtinguishmentOfDebt,GainsLossesOnSalesOfAssets,GeneralAndAdministrativeExpense,GrossProfit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInventories,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestAndOtherIncome,InterestExpense,InterestIncomeExpenseNet,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,InventoryNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LinesOfCreditCurrent,LoansPayableCurrent,LongTermDebtNoncurrent,LongTermLineOfCredit,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetImpairmentCharges,OtherLongTermDebtCurrent,OtherLongTermDebtNoncurrent,PaymentsToAcquireOtherPropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromContributionsFromParent,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromRepurchaseOfRedeemablePreferredStock,ProceedsFromSaleOfPropertyPlantAndEquipment,ProfessionalAndContractServicesExpense,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RestrictedCash,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,ChangeInUnrealizedGainLossOnFairValueHedgingInstruments1,DebtInstrumentConvertibleBeneficialConversionFeature,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepreciationAndAmortization,DerivativeFairValueOfDerivativeLiability,DerivativeLiabilities,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,IncomeTaxExpenseBenefit,IncomeTaxReconciliationNondeductibleExpenseOther,InventoryGross,OtherComprehensiveIncomeLossDerivativeExcludedComponentIncreaseDecreaseAdjustmentsTax,OtherGeneralExpense,PaymentsToAcquireOilAndGasPropertyAndEquipment,ProceedsFromConvertibleDebt,ProceedsFromRepaymentsOfDebt,RepaymentsOfConvertibleDebt,AdministrativeFeesExpense,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,EquityMethodInvestmentOwnershipPercentage,IncreaseDecreaseDueFromOtherRelatedParties,OfficersCompensation,RepaymentsOfLinesOfCredit
2015-01-31,2015-03-18,10-Q,YUENGLINGâ€™S ICE CREAM CORPORATION,ARSN,CIK0001624517,USD,,,,,21870.0,,,,37391.0,18391.0,18391.0,-14334.0,,,0.001,100000000.0,,8430000.0,,,8430.0,,10931.0,,,15000.0,,23452.0,,0.0,,,,,,,10931.0,,,,,,,597.0,,,4000.0,,,,,,,,,37391.0,23452.0,,,,,597.0,,-14931.0,-10931.0,,,10931.0,,,,,,,,,,,,4000.0,,,,597.0,,,,,-10931.0,,,,,,-16361.0,,13939.0,,,,126450000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,2015-06-15,10-Q,YUENGLINGâ€™S ICE CREAM CORPORATION,ARSN,CIK0001624517,USD,,,,,21870.0,,,,22684.0,6084.0,6084.0,,,,0.001,150000000.0,,8430000.0,,,8430.0,,15304.0,,,15000.0,,24049.0,,0.0,,,,,,,15304.0,,,,,,,,,,,,,,,,,,,22684.0,24049.0,,,,,,,,-15304.0,,,15304.0,,,,,,,,,,,,1600.0,,,,,,,,,,,,,,,-31665.0,,-1365.0,,,,126450000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-31,2015-09-14,10-Q,YUENGLINGâ€™S ICE CREAM CORPORATION,ARSN,CIK0001624517,USD,,,,,21870.0,,,,17679.0,1879.0,1879.0,,,,0.001,150000000.0,,8430000.0,,,8430.0,,6062.0,,,15000.0,,25106.0,,0.0,,,,,,,6062.0,,,,,,,,,,,,,,,,,,,17679.0,25106.0,,,,,,,,-6062.0,,,,,,,,,,,,,,,800.0,,,,,,,,,,,,,,,-37727.0,,-7427.0,,,,8430000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-31,2016-07-01,10-K,YUENGLINGâ€™S ICE CREAM CORPORATION,ARSN,CIK0001624517,USD,8115.0,,175.0,,22320.0,-95700.0,,2172.0,,,924.0,-31801.0,,,0.001,150000000.0,126450000.0,126450000.0,,126450.0,,,,,,,,24656.0,24656.0,-0.01,1.0,,,,,,61094.0,,,8115.0,,175.0,,,,,1248.0,,,,,,175.0,,52946.0,2172.0,,,,,,21801.0,,-53602.0,-76094.0,,20000.0,76094.0,,76094.0,15000.0,,,,,,,,,1248.0,450.0,,20000.0,1801.0,,,,,,,,,,,-81524.0,,-50774.0,,,,8430000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-31,2016-07-18,10-Q,YUENGLINGâ€™S ICE CREAM CORPORATION,ARSN,CIK0001624517,USD,19115.0,,962.0,,,-95700.0,,1517.0,,,518.0,-406.0,,,0.001,150000000.0,126450000.0,126450000.0,,126450.0,,,,,0.717,,,24656.0,24656.0,0.0,,,,,,,31706.0,,,11000.0,,786.0,,,,,-250.0,,736.0,,,,579.0,,84733.0,1517.0,,,,,,20000.0,,-20406.0,-32442.0,,40000.0,31706.0,,,,,,,,,,,,999.0,,,20000.0,,,,,,,,,,,,-113966.0,,-83216.0,,,,126450000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-30,2016-07-18,10-Q,YUENGLINGâ€™S ICE CREAM CORPORATION,ARSN,CIK0001624517,USD,4115.0,,1922.0,,,-95700.0,,7091.0,,,1978.0,,,,0.001,150000000.0,126450000.0,126450000.0,,126450.0,,,,,0.717,,,24656.0,24656.0,0.0,,,,,,,19425.0,,,,,,,,,,,,960.0,,,,973.0,,90693.0,7091.0,,,,,,,,,-385.0,,60000.0,19425.0,,,,,,,,,,,,5113.0,,,,,,,,,,,,,,,-114352.0,,-83602.0,,,,126450000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30,2021-07-20,10-Q,YUENGLINGâ€™S ICE CREAM CORPORATION,ARSN,CIK0001624517,USD,173985.0,5438.0,,0.0,389161.0,,,299441.0,269141.0,112530.0,,,,801917.0,0.001,1500000000.0,1260180555.0,1260180555.0,,1260181.0,,20600.0,,80000.0,,,,4250.0,4250.0,0.0,,,0.0,,33536.0,,16366.0,-20370.0,,,,,,,,,,372.0,19824.0,,,50108.0,,151173.0,2200777.0,299441.0,1350670.0,764000.0,191206.0,814107.0,36000.0,,,,-121852.0,14084.0,,115566.0,-135936.0,,,167121.0,,,0.001,10000000.0,5000000.0,5000000.0,5000.0,,,,,,,,,19200.0,,,30300.0,,,50000.0,-3224111.0,230.0,-1901336.0,,10000.0,54600.0,1160180555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-31,2021-09-17,10-Q,YUENGLINGâ€™S ICE CREAM CORPORATION,ARSN,CIK0001624517,USD,215037.0,5483.0,,0.0,435062.0,,33401.0,293421.0,263121.0,106465.0,,,,801917.0,0.001,1500000000.0,1260180555.0,1260180555.0,,1260181.0,,0.0,,0.0,,,,25945.0,25945.0,0.0,,,,,83300.0,0.0,16713.0,0.0,,,,,,,,,,0.0,,-15878.0,,36705.0,,151173.0,2141382.0,293421.0,1291275.0,764000.0,102467.0,,36000.0,,,,12974.0,67422.0,,54448.0,-54448.0,,,147121.0,814107.0,,0.001,10000000.0,5000000.0,5000000.0,5000.0,,,,,,,,,37735.0,,30300.0,30300.0,,,50000.0,-3211137.0,0.0,-1847961.0,,,7000.0,1260180555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-31,2022-01-31,10-K,YUENGLINGâ€™S ICE CREAM CORPORATION,ARSN,CIK0001624517,USD,195822.0,0.0,,0.0,565465.0,,,437417.0,407117.0,350905.0,,,238671.0,701917.0,0.001,,1535180555.0,1535180555.0,,1535181.0,,148014.0,,85000.0,,,0.0,,,0.0,,151418.0,1000.0,,151418.0,1000.0,90223.0,-144564.0,0.0,,-5586.0,,-146513.0,,-5468.0,9716.0,,738.0,,-176157.0,0.0,38166.0,,56212.0,1981611.0,437417.0,1825111.0,800000.0,659002.0,,,655472.0,0.0,-416801.0,-602452.0,-110973.0,,346915.0,-491479.0,,,132121.0,156500.0,,0.001,10000000.0,5000000.0,5000000.0,5000.0,,,540000.0,114582.0,,30570.0,168600.0,0.0,171692.0,-602452.0,30300.0,30300.0,142391.0,30570.0,50000.0,-3550773.0,3450.0,-1982044.0,,78401.0,540000.0,1187413432.0,0.0,93750.0,3070821710.0,14875.0,,371200.0,371200.0,0.0,14875.0,14875.0,0.21,0.05,0.0,,56211.0,130403.0,30750.0,0.0,86250.0,-93750.0,111569.0,,350905.0,0.05,,,
2022-01-31,2022-03-14,10-Q,YUENGLINGâ€™S ICE CREAM CORPORATION,ARSN,CIK0001624517,USD,190706.0,5500.0,,,620465.0,,,214123.0,183823.0,122111.0,,,-228794.0,725917.0,0.001,,1765180555.0,1765180555.0,,1765181.0,,0.0,,,,,,,,0.0,,0.0,0.0,,,,37624.0,0.0,0.0,,0.0,,0.0,,-5116.0,2547.0,,174.0,,-20532.0,0.0,40713.0,,56212.0,1821430.0,214123.0,1664930.0,693799.0,620591.0,,,-100940.0,0.0,-127854.0,-119785.0,-20358.0,,99427.0,-99427.0,,,119121.0,156500.0,,0.001,10000000.0,5000000.0,5000000.0,5000.0,,,96000.0,,,0.0,-39328.0,0.0,43803.0,-119785.0,30300.0,30300.0,51411.0,,,-3670558.0,0.0,-2005829.0,,,96000.0,1664854468.0,,,3530890717.0,,,,,0.0,,,,,,,,,,,,,,10000.0,122111.0,,5500.0,18000.0,106201.0
