end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccretionExpense,AccruedProfessionalFeesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalOther,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockOtherSharesOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConcentrationRiskPercentage1,ConvertibleNotesPayableCurrent,CostOfRevenue,CostsIncurredDevelopmentCosts,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentUnamortizedDiscountCurrent,DeferredFinanceCostsOwnshareLendingArrangementIssuanceCostsNet,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositAssetsPresentValueOfExpectedRecoveries,Depreciation,DepreciationDepletionAndAmortization,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,FairValueAdjustmentOfWarrants,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInSecurityDeposits,InterestExpense,InterestExpenseOther,InterestExpenseRelatedParty,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,InventoryNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,MineralRights,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesNoncurrent,NotesReceivableRelatedPartiesCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OriginationOfNotesReceivableFromRelatedParties,OtherAccruedLiabilitiesCurrent,OtherGeneralAndAdministrativeExpense,OtherNoncashExpense,OtherNonoperatingExpense,OtherNonoperatingIncomeExpense,OtherSellingGeneralAndAdministrativeExpense,PaymentsToAcquireMachineryAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfNotesPayable,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,SellingGeneralAndAdministrativeExpense,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,SharesIssuedPricePerShare,SharesOutstanding,StockholdersEquity,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,AccruedLiabilitiesCurrent,ConvertibleDebt,DebtConversionConvertedInstrumentWarrantsOrOptionsIssued1,DebtInstrumentFaceAmount,DueFromRelatedParties,InterestAndDividendsPayableCurrent,LesseeFinanceLeaseDiscountRate,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,NetIncomeLossAvailableToCommonStockholdersBasic,OperatingLeaseCost,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,PaymentsForLoans,ProFormaWeightedAverageSharesOutstandingDiluted,ProfitLoss,RepaymentsOfConvertibleDebt
2014-06-30,2014-09-30,10-K,GLOBAL WHOLEHEALTH PARTNERS CORPORATION,GWHP,CIK0001598308,USD,36384.0,0.0,,,33758.0,,150000.0,,,,,,224754.0,5874.0,5874.0,5874.0,,,,,0.001,60000000.0,23400000.0,23400000.0,23400.0,,,,,,,,,,,,,,,6833.0,,,,,,,,,,,,,,,,,,,,,,,,,2626.0,,,,,186217.0,224754.0,115217.0,71000.0,165000.0,,,,,,72000.0,0.0,71000.0,53880.0,,,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,400.0,,,,,,,,,,,-134863.0,,,,,,,38537.0,0.0,400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,2014-11-14,10-Q,GLOBAL WHOLEHEALTH PARTNERS CORPORATION,GWHP,CIK0001598308,USD,24559.0,2499.0,,,18308.0,,233655.0,,,,,0.0,167320.0,2320.0,2320.0,2320.0,-3554.0,,,,0.001,60000000.0,24245000.0,24245000.0,24245.0,,,,,,,,,,,,,,,8234.0,-0.005,,-0.005,,,,-125010.0,0.0,0.0,,,-11825.0,,-53880.0,1401.0,,,,,2527.0,,,0.0,,3752.0,,,,,170793.0,167320.0,99793.0,71000.0,165000.0,78000.0,0.0,-81554.0,-125010.0,,67000.0,,71000.0,0.0,122483.0,-122483.0,,0.0,,,,2527.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,,83000.0,0.0,,,,,,,5000.0,,-259873.0,0.0,,122483.0,,0.1,,-3473.0,1500.0,845000.0,,,,,23895435.0,,23895435.0,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,2015-02-23,10-Q,GLOBAL WHOLEHEALTH PARTNERS CORPORATION,GWHP,CIK0001598308,USD,48238.0,16042.0,,,27358.0,,268008.0,,,,,,179251.0,1785.0,1785.0,1785.0,,,,,0.001,60000000.0,24592000.0,24592000.0,24592.0,,,,,,,,,,,,,,,9666.0,0.0,,0.0,,,,-49380.0,0.0,,,,,,,,,,,,2518.0,,,,,4838.0,,,,,195904.0,179251.0,195904.0,0.0,165000.0,,,,-49380.0,,67000.0,71000.0,0.0,12466.0,46862.0,-46862.0,,,,,,2518.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,,,,,,,,,-309253.0,0.0,0.1,46862.0,,,,-16653.0,,,,,,,24408739.0,,24408739.0,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,2015-05-20,10-Q,GLOBAL WHOLEHEALTH PARTNERS CORPORATION,GWHP,CIK0001598308,USD,48238.0,16042.0,,,27358.0,,404628.0,,,,,,177481.0,15.0,15.0,15.0,,,,,0.001,60000000.0,26172000.0,26172000.0,26172.0,,,,,,,,,,,,,,,9666.0,0.0,,0.0,,,,-1770.0,,,,,,,,,,,,,0.0,,,,,4838.0,,,,,57904.0,177481.0,57904.0,,165000.0,,,,-1770.0,,0.0,0.0,,12466.0,1770.0,-1770.0,,,,,,0.0,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,-311223.0,,0.1,1770.0,,,,119577.0,,,,,,,25408739.0,,25408739.0,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,2020-02-20,10-Q,GLOBAL WHOLEHEALTH PARTNERS CORPORATION,GWHP,CIK0001598308,USD,1372.0,,,,,,444784.0,,,,,,23469.0,23469.0,,97.0,,97.0,,,0.001,400000000.0,58116358.0,58116358.0,58116.0,,,,,,,,,,,,,,,52175.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,23372.0,,,53547.0,23469.0,53547.0,,,,,,-51098.0,,,,,,51098.0,-51098.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,,,21400.0,,,,,,-532978.0,,,29698.0,,0.01,,-30078.0,,,,,20000.0,20000.0,,57804029.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,2020-05-07,10-Q,GLOBAL WHOLEHEALTH PARTNERS CORPORATION,GWHP,CIK0001598308,USD,1372.0,,,,,,444784.0,,,443750.0,,,24040.0,24040.0,,668.0,,668.0,,,0.001,400000000.0,58116358.0,58116358.0,58116.0,,,,,,,,,,,,,,,1500.0,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,23372.0,,,65747.0,24040.0,65747.0,,,,,,-455379.0,,,62875.0,,,455379.0,-455379.0,,,,,,,443750.0,,,0.001,10000000.0,0.0,0.0,,,,,,,,,9000.0,,,,,443750.0,-544607.0,,,2629.0,,0.01,,-41707.0,,,,,,,,58116358.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,2020-09-28,10-K,GLOBAL WHOLEHEALTH PARTNERS CORPORATION,GWHP,CIK0001598308,USD,46321.0,,0.0,17075.0,,0.0,4628908.0,0.0,42224.0,443750.0,17075.0,,181708.0,181708.0,,14497.0,,14497.0,-5421.0,,0.001,400000000.0,59966358.0,59966358.0,59966.0,0.876,69851.0,150588.0,,,25149.0,0.0,34974.0,0.0,166545.0,34974.0,,,0.0,4306.0,,-0.07,,0.21,,91036.0,,,0.0,26084.0,899961.0,46321.0,0.0,,4206.0,-152147.0,0.0,-15064.0,,2857.0,,1316.0,,0.0,,,152147.0,3700000.0,,241443.0,181708.0,241443.0,,,679715.0,0.0,-685136.0,-4285527.0,-19932.0,0.0,120965.0,,,4356631.0,-4265595.0,166545.0,,0.0,2269656.0,,,,1512422.0,0.0,0.001,10000000.0,0.0,0.0,0.0,15064.0,95000.0,20000.0,,0.0,564715.0,0.0,61550.0,0.0,0.0,,0.0,20563.0,-4748609.0,241624.0,,3782078.0,,0.01,,-59735.0,,,,,3700000.0,20000.0,,57804167.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-30,2020-11-12,10-Q,GLOBAL WHOLEHEALTH PARTNERS CORPORATION,GWHP,CIK0001598308,USD,8356.0,,,41050.0,,194.0,4752739.0,,123831.0,,41050.0,,353079.0,349768.0,,132614.0,,132614.0,118117.0,,0.001,400000000.0,59966358.0,59966358.0,59966.0,0.911,149070.0,10544.0,135000.0,,116930.0,,,,,,,194.0,194.0,1845.0,,0.0,,,,4841.0,,,0.0,,,-37965.0,,,-961.0,-62456.0,0.0,12513.0,,4906.0,,411.0,,0.0,,,214603.0,,,196146.0,353079.0,196146.0,,,416410.0,-3505.0,-294788.0,-247163.0,-45956.0,,36875.0,,,206048.0,-201207.0,,,,,,,,7653.0,3505.0,0.001,10000000.0,0.0,0.0,,2551.0,162000.0,340000.0,,,24410.0,-110000.0,33775.0,3505.0,3311.0,,0.0,700.0,-4995772.0,15385.0,,25610.0,,,,156933.0,,,,,340000.0,340000.0,,59979728.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,2021-02-16,10-Q,GLOBAL WHOLEHEALTH PARTNERS CORPORATION,GWHP,CIK0001598308,USD,24388.0,,651.0,59326.0,,485.0,4752739.0,,,,59326.0,2388629.0,246512.0,243492.0,,6825.0,,6825.0,,,0.001,400000000.0,59966358.0,59966358.0,59966.0,,135396.0,17588.0,55000.0,,57604.0,,,,,,,291.0,,2062.0,,0.0,,,,4487.0,,,,,,,,,,,,,,217.0,3771.0,30968.0,,,,500.0,209598.0,,,185233.0,246512.0,185233.0,,,,,,-185654.0,-90294.0,,23387.0,,,99847.0,-95360.0,,,,,,,,2551.0,,0.001,10000000.0,0.0,0.0,,26418.0,,,,,,,13450.0,3505.0,3020.0,,,10000.0,-5181426.0,22075.0,,18846.0,,,,61279.0,,,,,90000.0,,,60249492.0,,,,2000000.0,,,,,,,,,,,-185654.0,,,,,,,60249492.0,-185654.0,
2021-03-31,2021-05-24,10-Q,GLOBAL WHOLEHEALTH PARTNERS CORPORATION,GWHP,CIK0001598308,USD,17650.0,,651.0,57604.0,,776.0,13508797.0,,,,,,711265.0,708536.0,,829.0,,829.0,,,0.001,400000000.0,72992236.0,72992236.0,72992.0,,85000.0,54540.0,,,0.0,521865.0,,,,,,291.0,,631.0,,-0.12,,,,-52080.0,,,,,,,,,,,,,,760553.0,,,,,,,155058.0,,,272519.0,711265.0,272519.0,,,,,,-7961617.0,-5298157.0,77061.0,92177.0,,,2611380.0,-2663460.0,,,,,,,,2544000.0,,0.001,10000000.0,0.0,0.0,,30133.0,,,,,,,14400.0,3505.0,2729.0,,,10000.0,-13143043.0,2460.0,,22980.0,,,,438746.0,,,55650.0,2544000.0,,,,65856044.0,,,,,,,,,,,,,,,,,,,,,,,,
