end,filed,form,Name,Ticker,CIK,Currency,AccountsAndOtherReceivablesNetCurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AccruedProfessionalFeesCurrent,AccruedProfessionalFeesCurrentAndNoncurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,Assets,AssetsCurrent,AssetsNoncurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ConcentrationRiskPercentage1,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentAnnualPrincipalPayment,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentFaceAmount,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentPeriodicPayment,DeferredTaxAssetsGross,DeferredTaxAssetsValuationAllowance,Depreciation,DueToAffiliateCurrent,DueToAffiliateCurrentAndNoncurrent,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCash,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,FiniteLivedIntangibleAssetsNet,ForeignCurrencyExchangeRateTranslation1,GainLossOnSaleOfPropertyPlantEquipment,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfIntangibleAssetsFinitelived,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherReceivables,IntangibleAssetsNetExcludingGoodwill,InterestExpense,InterestExpenseDebt,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,InventoryFinishedGoods,InventoryNet,LeaseAndRentalExpense,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LoansPayableToBank,LoansPayableToBankCurrent,LongTermDebtCurrent,LongTermLoansFromBank,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NumberOfOperatingSegments,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseExpense,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,OperatingLeasesRentExpenseNet,OperatingLeaseWeightedAverageDiscountRatePercent,OperatingLossCarryforwards,OtherAccruedLiabilitiesCurrent,OtherAccruedLiabilitiesCurrentAndNoncurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,OtherIncome,OtherOperatingIncome,OtherOperatingIncomeExpenseNet,PaymentOfFinancingAndStockIssuanceCosts,PaymentsForRent,PaymentsToAcquireIntangibleAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PrepaidExpenseCurrent,ProceedsFromBankDebt,ProceedsFromContributedCapital,ProceedsFromContributionsFromAffiliates,ProceedsFromConvertibleDebt,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ReceivablesNetCurrent,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionDueFromToRelatedParty,RepaymentsOfBankDebt,RepaymentsOfConvertibleDebt,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromRelatedParties,Revenues,SaleOfStockConsiderationReceivedPerTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPricePerShare,SalesRevenueNet,SharesIssuedPricePerShare,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,UtilitiesOperatingExpenseDepreciationAndAmortization,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2016-03-31,2016-05-16,10-Q,RITO GROUP CORP.,RTTO,CIK0001646576,USD,1549.0,24391.0,7422.0,,0.0,,,,,,-4969.0,19.0,147448.0,474771.0,453027.0,21744.0,432760.0,,,,,,,,,5052.0,,,909565.0,882119.0,,,,,,0.25,,,0.08,,90641.0,-90641.0,1944.0,4695.0,4695.0,,26347.0,26347.0,0.0,,,,10900.0,7.75,,169021.0,,,-181439.0,,,,,,,,,,,10900.0,-12420.0,,,,,,,,13121.0,,,,,,,,,972420.0,474771.0,62855.0,,,,,,,,,-181439.0,,-169019.0,,,,,,,,,,,,,,90641.0,,,,,2.0,,,,,,,,18718.0,,,,,,,,,,,,15813.0,10844.0,,,53342.0,,,,-650168.0,,,,,,,,,-497649.0,,,,,,,,50520000.0
2016-06-30,2016-09-27,10-K,RITO GROUP CORP.,RTTO,CIK0001646576,USD,,,5044.0,,,,,,,,,19.0,436749.0,493078.0,493078.0,,449328.0,378550.0,,,0.0001,30000.0,600000000.0,50712880.0,50712880.0,5071.0,-834052.0,,937126.0,888410.0,,3086.0,,,,0.25,,48716.0,0.08,,140874.0,140874.0,,,,,,,-0.02,1.0,,,,7.75,,787183.0,2792.0,10900.0,-834052.0,,128634.0,2282.0,,,48716.0,,-13750.0,16724.0,,,49661.0,,945.0,945.0,,,,,41347.0,,,,,,,,,986051.0,493078.0,48925.0,,,,,,1177730.0,,-799180.0,-834052.0,,-784391.0,,,,,,,1507.0,,,,,,,140874.0,43881.0,,,,,,,,,,0.0001,200000000.0,13750.0,,,,888410.0,289320.0,289320.0,,,,,,,,,,94399.0,,,,-934812.0,,788.0,5878.0,,20000.0,,,1.5,-492973.0,,192880.0,,289320.0,289320.0,,,50534048.0
2016-09-30,2016-11-10,10-Q,RITO GROUP CORP.,RTTO,CIK0001646576,USD,,,4661.0,,,14315.0,,,,,,19.0,500644.0,330155.0,,,302090.0,-147238.0,,,0.0001,,600000000.0,50755480.0,50755480.0,5076.0,-265488.0,,954887.0,888410.0,,13533.0,,,,0.25,,-18802.0,0.08,,189379.0,189379.0,,,,,,,-0.01,1.0,,,,7.75,,247468.0,782.0,,-265488.0,,48505.0,-383.0,-383.0,14315.0,,,,21287.0,,,18802.0,18802.0,1041.0,1041.0,66477.0,,,,3871.0,,,,,,,,,1024716.0,330155.0,69829.0,,,,,,62859.0,,-210097.0,-265488.0,,-246686.0,,,,,,,,,,,,,,,65168.0,,,,,,,,,,0.0001,200000000.0,13750.0,,,,,63900.0,,,,,,,,,,,5801.0,,1041.0,,-1200300.0,,,14315.0,,,,,1.5,-694561.0,,42600.0,,,,,189379.0,50742334.0
2016-12-31,2017-02-14,10-Q,RITO GROUP CORP.,RTTO,CIK0001646576,USD,,,,,,,,,,,,19.0,1524274.0,200935.0,,,184984.0,,,,0.0001,,600000000.0,54555956.0,54555956.0,5456.0,-196498.0,,25776.0,25161.0,,,,,,0.25,,,,,235430.0,235430.0,,,,,,,0.0,,,,,7.75,,183848.0,,,-196498.0,,,,,,,,,,,,12650.0,,,,615.0,,,,,,,,,,,,,67984.0,200935.0,42208.0,,,,,,,,,-196498.0,,-183848.0,,,,,,,23226.0,15484.0,,7742.0,,,,,42208.0,,,,,,,,,,0.0001,200000000.0,15951.0,,,,,,,,,,,,,,,,35993.0,,,,-1396798.0,,,,,,1.5,,1.5,132951.0,,,,,,,,50026728.0
2017-03-31,2017-05-12,10-Q,RITO GROUP CORP.,RTTO,CIK0001646576,USD,,,,,,,,,,,,19.0,1629267.0,177833.0,,,152333.0,,,,0.0001,,600000000.0,54625956.0,54625956.0,5463.0,-125753.0,,26293.0,25161.0,,26013.0,,,,0.25,,,,,258570.0,258570.0,,,,,,,0.0,,,,,7.75,,147165.0,21930.0,,-125753.0,,,,,,,,,,,,518.0,,,,1132.0,,,,,,,,,,,,,65635.0,177833.0,39342.0,,,,,,,,,-125753.0,,-125235.0,,,,,,,32516.0,18581.0,,13935.0,,,,,39342.0,,,,,,,,,,0.0001,200000000.0,13749.0,,,,,,,,,,,,,,,,45676.0,,,,-1522551.0,,,47943.0,,,1.5,,1.5,112198.0,,,,,,,,54569734.0
2017-06-30,2017-10-06,10-K,RITO GROUP CORP.,RTTO,CIK0001646576,USD,,,9109.0,,,9767.0,,,,7021.0,,29.0,1629267.0,91554.0,91554.0,,80487.0,-368841.0,80487.0,,0.0001,,600000000.0,54625956.0,54625956.0,5463.0,-704300.0,,26910.0,25161.0,26910.0,71755.0,932345.0,932345.0,,0.25,,35286.0,,,283350.0,283350.0,,,,,8161.0,,-0.01,1.0,10.0,,,7.75,,724466.0,47355.0,,-704310.0,,142476.0,4065.0,,9767.0,32586.0,,-1300.0,14252.0,12450.0,,32586.0,,,3420.0,1749.0,,,,,,,,,,,,,95917.0,91554.0,95917.0,26910.0,,,,,251873.0,,-620724.0,-704310.0,,-671724.0,,,,,,,27871.0,,,,,,,,51737.0,28716.0,10.0,5387.0,,,,,,,0.0001,200000000.0,1300.0,,,,,,258900.0,258900.0,1765.0,,,,,,9767.0,57938.0,57215.0,,,,-1639122.0,,,119110.0,90000.0,20000.0,1.5,,1.5,-4363.0,172600.0,42600.0,,63900.0,63900.0,,283350.0,52980416.0
2017-09-30,2017-11-13,10-Q,RITO GROUP CORP.,RTTO,CIK0001646576,USD,,,,,,,,,,,,19.0,1716334.0,232132.0,167628.0,64504.0,139068.0,58581.0,,,0.0001,,600000000.0,54774284.0,54774284.0,5477.0,-213936.0,,,,,6390.0,,932345.0,,0.25,25000.0,,,,322105.0,322105.0,,,,,,,-0.01,1.0,-10.0,,,7.75,,215334.0,2361.0,,-213936.0,,132726.0,-9109.0,,-1368.0,801.0,,-18861.0,259930.0,18861.0,,963.0,801.0,,630.0,,2082.0,,,,,,,,,,,,363359.0,232132.0,327333.0,,43531.0,-7505.0,7505.0,36026.0,102901.0,-64504.0,20194.0,-213936.0,,-212973.0,,,,,,,23226.0,,18581.0,4645.0,,4465.0,,,319828.0,,,,,,,,,64504.0,0.0001,200000000.0,20517.0,45032.0,,,,60000.0,60000.0,60000.0,,,,,64504.0,64504.0,8043.0,8623.0,8623.0,2131.0,,,-1853057.0,,,8751.0,,,,,1.5,-131227.0,40000.0,,,,,,322105.0,54659333.0
2017-12-31,2018-02-14,10-Q,RITO GROUP CORP.,RTTO,CIK0001646576,USD,,,,,,,,,,,,19.0,2041812.0,467817.0,346039.0,121778.0,254114.0,,,,0.0001,,600000000.0,54991284.0,54991284.0,5500.0,-170832.0,,,,,14537.0,,,,,,,,,351689.0,351689.0,,,,,,,0.0,,,,,7.75,,173693.0,5221.0,,-170832.0,,,,,,,,,,,,2398.0,,,,,,,,,,,,,,,,,444377.0,467817.0,414438.0,29939.0,42731.0,12792.0,,29939.0,,,,-170832.0,,-168434.0,,,,,,,18581.0,18581.0,,,,4645.0,,,401646.0,,,38.0,,,,,,,0.0001,200000000.0,54126.0,,,,,,,,,,,,121778.0,121778.0,37799.0,,,,,,-2023891.0,,,,,,,,1.5,23440.0,,,,,,,,54811806.0
2018-03-31,2018-05-14,10-Q,RITO GROUP CORP.,RTTO,CIK0001646576,USD,,,5577.0,,,,,71538.0,,,,21.0,2607274.0,900318.0,720554.0,,714789.0,,,,0.0001,,600000000.0,55368284.0,55368284.0,5538.0,-201334.0,,,,,29841.0,,,,0.25,,,,,357248.0,357248.0,,,,,207549.0,,0.0,,,,,,,229747.0,30219.0,,-201336.0,,,,,,,,,,,,1808.0,,,,,,,,,,,,,,,,,512712.0,900318.0,478558.0,,41176.0,7022.0,,34154.0,,,,-201336.0,,-199528.0,,,,,,,13937.0,13937.0,,,,4644.0,,,465959.0,,2.0,,,,,,,,0.0001,200000000.0,5765.0,,,,,,565500.0,,,,,,179764.0,179764.0,,,,,,,-2225227.0,,,60060.0,,,1.5,,1.5,387606.0,377000.0,,,,,,,55142928.0
2018-06-30,2018-09-27,10-K,RITO GROUP CORP.,RTTO,CIK0001646576,USD,,,,231129.0,,23837.0,287866.0,,4106.0,4106.0,2217.0,-1281.0,3327227.0,1349173.0,1126999.0,,1066636.0,986149.0,1066636.0,986149.0,0.0001,,600000000.0,55848284.0,55848284.0,5585.0,-823462.0,,,,,153143.0,6771.0,,,0.25,,1749.0,,,397759.0,397759.0,2217.0,,,,151488.0,,-0.01,,-1310.0,-1310.0,,,,902844.0,79454.0,,-822152.0,,114409.0,-9109.0,,14070.0,-1749.0,-19080.0,,236129.0,16146.0,,6752.0,,,,,,19080.0,19080.0,,,,,,,,,,478916.0,1349173.0,446748.0,,39562.0,7394.0,,32168.0,1855810.0,-224391.0,-643960.0,-822152.0,,-815400.0,,,,,,,,9290.0,,,,18580.0,,,34631.0,34631.0,-1310.0,7990.0,,,,,,224391.0,0.0001,200000000.0,17446.0,45033.0,,,,,1671000.0,1672921.0,143327.0,,,,224391.0,222174.0,,38147.0,,5471.0,,-143327.0,-2461274.0,232597.0,,232597.0,15000.0,,,,1.5,870257.0,1114000.0,1114000.0,,,1671000.0,2217.0,397759.0,55193321.0
2018-09-30,2018-11-13,10-Q,RITO GROUP CORP.,RTTO,CIK0001646576,USD,,,7476.0,,,55219.0,,,,,29552.0,-1201.0,3617211.0,1364765.0,1118744.0,,1025076.0,-41560.0,1025076.0,-41560.0,0.0001,,600000000.0,56000784.0,56000784.0,5601.0,-270746.0,,,,,113217.0,,,,,,,,,442615.0,442615.0,27335.0,,,,150764.0,,-0.01,,80.0,-80.0,,,,260175.0,-13642.0,,-270666.0,,44856.0,-7476.0,,31382.0,,,,-8865.0,1923.0,,,,,1488.0,,,,19080.0,,,,,,,,,,475094.0,1364765.0,445007.0,,37853.0,7766.0,,30087.0,287567.0,-51182.0,-278025.0,-270666.0,,-270666.0,,4644.0,,,,,4645.0,,,,4645.0,4645.0,,,279001.0,,-80.0,3151.0,,,,,,51182.0,0.0001,200000000.0,19369.0,,,,,,,290000.0,,,-724.0,,275574.0,246021.0,,6174.0,,1709.0,,724.0,-2731940.0,99575.0,,,,,,,,889671.0,,,,,,27335.0,442615.0,55310495.0
2018-12-31,2019-02-13,10-Q,RITO GROUP CORP.,RTTO,CIK0001646576,USD,,,,,,32258.0,,,,,54284.0,11950.0,3707206.0,920459.0,697879.0,,622632.0,,622632.0,,0.0001,,600000000.0,56045784.0,56045784.0,5605.0,-242103.0,,,,,69527.0,,,,,,,,,483127.0,483127.0,,,,,61855.0,,0.0,,,,,,,275630.0,36086.0,,-242092.0,,,,,,,,,,,,2861.0,,,,,,,19079.0,,,,,,,,,,169729.0,920459.0,141816.0,,36051.0,8138.0,,27913.0,,,,-242092.0,,-239231.0,,,,,,,66193.0,,,24387.0,41806.0,10451.0,,,71823.0,,-13151.0,313.0,,,,,,,0.0001,200000000.0,23910.0,,,,,,,,,,,,276864.0,222580.0,,,,,,,-2974031.0,105613.0,,,,,,,,750730.0,,,,,,,,56008855.0
2019-03-31,2019-05-14,10-Q,RITO GROUP CORP.,RTTO,CIK0001646576,USD,,,,,,97819.0,,,,,76542.0,11930.0,4028600.0,783596.0,583274.0,,422398.0,,422398.0,,0.0001,,600000000.0,56206489.0,56206489.0,5621.0,-395946.0,,,,,49909.0,,,,,,,,,549167.0,549167.0,,,,,10390.0,,-0.01,,,,,,,460768.0,64039.0,,-395926.0,,,,,,,,,,,,1275.0,,,,,,,19080.0,,,,,,,,,,107403.0,783596.0,81757.0,,34156.0,8510.0,,25646.0,,,,-395926.0,,-394651.0,,,,,,,41806.0,,,10451.0,31354.0,10451.0,,,62857.0,,-20.0,2078.0,,,,,,,0.0001,200000000.0,43977.0,,,,,,,,,,,,276864.0,200322.0,,,,,,,-3369958.0,113948.0,,113948.0,,,,,,676193.0,,,,,,22258.0,,56119461.0
2019-06-30,2019-09-17,10-K,RITO GROUP CORP.,RTTO,CIK0001646576,USD,,,,,,123289.0,111621.0,,3473.0,,97615.0,-1193.0,4508577.0,693369.0,503719.0,189650.0,349080.0,,349080.0,-717556.0,0.0001,,600000000.0,56446489.0,56446489.0,5645.0,-1512340.0,,,,,303664.0,,,,,,,,,650017.0,650017.0,95397.0,,,10255.0,10255.0,,-0.03,,,88.0,,,,1639979.0,121588.0,,-1512428.0,-5395.0,252258.0,,,99452.0,5395.0,-19080.0,,-176245.0,13903.0,,5395.0,,,5395.0,,,,,,,,,,,,,,154042.0,693369.0,130758.0,,32166.0,8882.0,,23284.0,1027385.0,-62873.0,-1682156.0,-1512428.0,,-1507033.0,,9290.0,,,,,,,,,,9290.0,,,86148.0,,88.0,11358.0,,11358.0,,,,62873.0,0.0001,200000000.0,31350.0,-5395.0,,,,,,1181410.0,,,-141235.0,,287265.0,189650.0,,46895.0,,7395.0,,141235.0,-3973702.0,425252.0,,,,,,,,539327.0,,,,,,95397.0,650017.0,56114212.0
2019-09-30,2019-11-12,10-Q,RITO GROUP CORP.,RTTO,CIK0001646576,USD,,,,,,153756.0,104464.0,,,,115237.0,-2550.0,4508577.0,476987.0,304959.0,,127376.0,,127376.0,-221704.0,0.0001,,600000000.0,56446489.0,56446489.0,5645.0,-236605.0,,,,,60579.0,,,,,,,,,689309.0,689309.0,17622.0,,,27306.0,12755.0,,,,,-1357.0,,,,269297.0,35130.0,,-235248.0,,39292.0,,,30467.0,1083.0,,,-7157.0,-7523.0,,1083.0,,,1083.0,,,,,,64275.0,,,,,44503.0,19772.0,,174265.0,476987.0,151248.0,,29740.0,6723.0,,23017.0,26297.0,,-246644.0,-235248.0,,-234165.0,,19772.0,,,,,,,,,,,,,,,-1357.0,2.0,,,,,,,0.0001,200000000.0,23827.0,,,,,,,,12755.0,,17051.0,,287265.0,172028.0,,-1760.0,,2426.0,,,-4208950.0,95709.0,,,,,,,,302722.0,,,,,,17622.0,689309.0,56446489.0
