end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdvertisingExpense,AllowanceForDoubtfulAccountsReceivable,AllowanceForDoubtfulAccountsReceivableWriteOffs,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfRevenue,CurrentFederalStateAndLocalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtInstrumentIncreaseAccruedInterest,DeferredRentCreditCurrent,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,DeferredTaxAssetsOther,DeferredTaxAssetsValuationAllowanceCurrent,Depreciation,DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicAndDilutedShare,DiscontinuedOperationTaxEffectOfDiscontinuedOperation,DisposalGroupIncludingDiscontinuedOperationAccountsNotesAndLoansReceivableNet,DisposalGroupIncludingDiscontinuedOperationCashAndCashEquivalents,DisposalGroupIncludingDiscontinuedOperationInventoryCurrent,DisposalGroupIncludingDiscontinuedOperationOtherIncome,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,FinanceLeaseRightOfUseAsset,FixturesAndEquipmentGross,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInIncomeTaxes,IncreaseDecreaseInInventories,IncreaseDecreaseInNotesReceivables,IncreaseDecreaseInOtherRegulatoryAssets,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseLesseeAssetsUnderCapitalLease,InterestExpenseRelatedParty,InterestIncomeOther,InterestPaid,InventoryNet,InvestmentIncomeInterest,LaborAndRelatedExpense,LeaseAndRentalExpense,LeaseDepositLiability,LesseeOperatingLeaseDiscountRate,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesAssumed1,LiabilitiesCurrent,LongTermDebtPercentageBearingFixedInterestRate,MarketingExpense,NetCashProvidedByUsedInDiscontinuedOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsDueThereafter,OtherAssetsCurrent,OtherGeneralExpense,OtherLiabilitiesCurrent,OtherNonoperatingExpense,OtherNonoperatingIncomeExpense,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfNotesPayable,ProfitLoss,PropertyPlantAndEquipmentNet,ReceivablesNetCurrent,RepaymentsOfOtherDebt,RepaymentsOfOtherLongTermDebt,RetainedEarningsAccumulatedDeficit,Revenues,RightOfUseAssetObtainedInExchangeForFinanceLeaseLiability,SalariesAndWages,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsExercised,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesShareBasedCompensation,StockIssuedDuringPeriodValueIssuedForServices,StockRepurchasedAndRetiredDuringPeriodValue,TaxesOther,TaxesPayableCurrent,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2019-06-30,2019-08-16,10-Q,"Mycotopia Therapies, Inc.",TPIA,CIK0001763329,USD,,1432559.0,1431152.0,6806.0,26246.0,20134.0,0.0,,,,2156457.0,2139710.0,,639723.0,,639723.0,,0.001,100000000.0,12425420.0,12425420.0,12425.0,3744773.0,,,,2312.0,,,,,,,60920.0,0.0,0.0,,,,,,,,0.0,,16199.0,,13261.0,162958.0,-21583.0,-21583.0,0.0,,60920.0,0.0,,,,,,,,,,,,,,,,0.0,,,4703.0,,12881.0,4702.0,13025.0,,13887.0,,1455564.0,2156457.0,,1441677.0,,4841.0,,,,,,4703.0,26286.0,-26286.0,,2312.0,13887.0,16199.0,,,,,,,,47147.0,,,,23078.0,,0.001,5000000.0,,,0.0,5307.0,,,,39337.0,548.0,3500.0,,,662222.0,3907731.0,,,,,,,,,,,,,700893.0,,,,,5018.0,0.0,12425420.0
2019-09-30,2019-11-14,10-Q,"Mycotopia Therapies, Inc.",TPIA,CIK0001763329,USD,,738102.0,665790.0,12638.0,26246.0,200.0,0.0,,,,1511191.0,1495005.0,,754418.0,,754418.0,,0.001,100000000.0,12425420.0,12425420.0,12425.0,3399083.0,,,,2358.0,,,,,,,94590.0,0.01,0.0,,,,,,,,0.0,,15638.0,,43642.0,157250.0,-50670.0,-50670.0,0.0,,94590.0,0.0,,,,,,,,,,,,,,,,8.0,,,4696.0,,13393.0,4697.0,11724.0,,13280.0,0.08,766378.0,1511191.0,,753098.0,,7953.0,,,,,,4696.0,55366.0,-55366.0,15638.0,2358.0,13280.0,15638.0,23100.0,1050.0,4200.0,4200.0,4200.0,4200.0,5250.0,52538.0,0.0,,,3660.0,,0.001,5000000.0,,,0.0,6366.0,,,,43920.0,548.0,2500.0,,,706142.0,3556333.0,,,,,,,,,,,,,744813.0,,,,,4784.0,0.0,12425420.0
2019-12-31,2020-03-30,10-K,"Mycotopia Therapies, Inc.",TPIA,CIK0001763329,USD,,0.0,,55967.0,26246.0,,0.0,30880.0,,,1215133.0,1214585.0,946715.0,209164.0,0.0,0.0,97667.0,0.001,100000000.0,12425420.0,12425420.0,12425.0,0.0,13093.0,4307.0,,,0.0,0.0,0.0,0.0,0.0,646.0,550850.0,0.04,34800.0,446715.0,500000.0,0.0,0.0,,,,0.0,0.284,,,375294.0,0.0,-506444.0,-506444.0,-0.04,-258025.0,516050.0,17400.0,0.0,0.0,13093.0,0.0,4307.0,,,52729.0,,,,,4500.0,,-1547.0,16.0,1468.0,,,8.0,,32506.0,119298.0,1682.0,,0.08,563230.0,1215133.0,0.0,563230.0,,,297290.0,,-1000.0,98667.0,,-3008.0,503436.0,-503436.0,,,,,,,,,,,,50100.0,0.0,507263.0,80000.0,44502.0,,0.001,5000000.0,,,0.0,7606.0,,,-4500.0,9606.0,548.0,1000.0,40000.0,-3500.0,613232.0,0.0,,212500.0,0.0,,,,,,,,,,280.0,,,,,8844.0,0.0,24850840.0
2020-03-31,2020-05-18,10-Q,"Mycotopia Therapies, Inc.",TPIA,CIK0001763329,USD,,,,0.0,26246.0,,0.0,0.0,,,609805.0,609805.0,500000.0,55851.0,,124970.0,124970.0,0.001,100000000.0,12425420.0,12425420.0,12425.0,,,,127.0,,,,,,,548.0,-20325.0,0.0,0.0,0.0,500000.0,,,,,,0.0,,,,0.0,,-22293.0,-157.0,0.0,20325.0,-20325.0,0.0,0.0,,,,,,,-54574.0,,,,,,,-6906.0,157.0,,,,0.0,,,1378.0,,,,520.0,609805.0,,520.0,,,,125000.0,-2154.0,-30.0,-157.0,1549.0,23842.0,0.0,,,,,,,,,,,,48932.0,,520.0,,,,0.001,5000000.0,,,0.0,5022.0,,125000.0,,-42618.0,0.0,0.0,40000.0,2154.0,570614.0,,,,,,,,,,,,,,123.0,,,,,,,12425420.0
2020-06-30,2020-08-19,10-Q,"Mycotopia Therapies, Inc.",TPIA,CIK0001763329,USD,,10798.0,,0.0,26246.0,,0.0,,,,548483.0,548483.0,500000.0,194.0,,123864.0,,0.001,100000000.0,12425420.0,12425420.0,12425.0,,,,,,,,,,,,-34321.0,0.0,0.0,0.0,500000.0,,,,,,-0.01,,,,1105.0,,-37279.0,-1650.0,0.0,,-34321.0,0.0,,,,,,,,,,,,,,,,545.0,,,314.0,,,,0.0,,,,10798.0,548483.0,,10798.0,,,,,,,-1650.0,314.0,1105.0,-1105.0,,,,,,,,,,,,45778.0,,0.0,,,,0.001,5000000.0,,,0.0,2511.0,,,,-71600.0,0.0,0.0,,,499014.0,,,,,,,,,,,,,,-1527.0,,,,,,,12425420.0
2020-09-30,2020-11-16,10-Q,"Mycotopia Therapies, Inc.",TPIA,CIK0001763329,USD,,,,1149.0,50746.0,,,,,,484777.0,484777.0,384807.0,51874.0,,117933.0,,0.001,100000000.0,12925420.0,12925420.0,12925.0,,,,,,,,,,,,-30324.0,0.0,0.0,0.0,384807.0,,,,,,-0.01,,,,5932.0,,-48733.0,-6484.0,0.0,,-30324.0,0.0,,,,,,,,,,,,,,,,545.0,,552.0,280.0,,,,0.0,,,,1149.0,484777.0,,1149.0,,,,,,,-6484.0,280.0,5932.0,-5932.0,,,,,,,,,,,,48096.0,25000.0,0.0,,,,0.001,5000000.0,,,0.0,0.0,,,,-79057.0,0.0,0.0,,,419957.0,,,,25000.0,,,,,,,,,,-8011.0,,500000.0,,,,,12425420.0
2020-12-31,2021-04-15,10-K,"Mycotopia Therapies, Inc.",TPIA,CIK0001763329,USD,220.0,0.0,,1776.0,0.0,,0.0,0.0,,,110747.0,110747.0,34806.0,110747.0,350000.0,110747.0,-651805.0,0.001,100000000.0,12925420.0,12925420.0,12925.0,0.0,0.0,0.0,,,68355.0,50112.0,13053.0,5190.0,68355.0,1096.0,-84970.0,-0.01,0.0,0.0,34806.0,,0.0,0.0,125000.0,125000.0,-0.02,0.284,,0.0,134449.0,0.0,-314470.0,-157235.0,-0.01,84970.0,-169940.0,0.0,0.0,68355.0,-54229.0,,-14126.0,,,-54818.0,,,,,0.0,,-9610.0,0.0,,,,0.0,,2214.0,,,,,126996.0,110747.0,,1996.0,,,-145518.0,,-349000.0,-302805.0,,2214.0,159449.0,-159449.0,,,,,,,,,,,,48096.0,25000.0,0.0,0.0,0.0,,0.001,5000000.0,0.0,0.0,0.0,0.0,,,,-484410.0,0.0,0.0,,,-29174.0,0.0,,57766.0,5392.0,,,,,,,,0.0,,-16249.0,,500000.0,,,,,12651447.0
2021-03-31,2021-05-20,10-Q,"Mycotopia Therapies, Inc.",TPIA,CIK0001763329,USD,,,,220.0,0.0,,,,,,103045.0,103045.0,,103045.0,,103045.0,-7702.0,0.001,100000000.0,12925420.0,12925420.0,12925.0,,,,538.0,,,,,,,,,,,,,,,125000.0,,0.0,,,,,7702.0,,,-8240.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,538.0,,,,0.0,,,,,,,127534.0,103045.0,,127534.0,0.0175,,,0.0,,-7702.0,-8240.0,,,-7702.0,,,,,,,,,,,,,,,,,,0.001,5000000.0,0.0,0.0,0.0,,,0.0,,,,,,,-37414.0,,,,,,,,,,,,,,-24489.0,,,,,,,12925420.0
2021-06-30,2021-08-20,10-Q,"Mycotopia Therapies, Inc.",TPIA,CIK0001763329,USD,,15786.0,,220.0,0.0,,,,,,513934.0,513934.0,,513934.0,,513934.0,,0.001,100000000.0,12925420.0,12925420.0,12925.0,,,,,,,,,,,,,,,,,,,125000.0,625000.0,500000.0,,,,,104896.0,,,-107409.0,-0.01,,,0.0,,,,,,,,,,,,,,,,2513.0,,,,,,,,,,,645832.0,513934.0,,145832.0,0.0175,,,,,,-107409.0,,104896.0,-104896.0,,,,,,,,,,,,,,,,,,0.001,5000000.0,0.0,0.0,0.0,,,,,,,,,,-144823.0,,,,,,,,,,,,,,-131898.0,,,,,,,12925420.0
2021-09-30,2021-11-19,10-Q,"Mycotopia Therapies, Inc.",TPIA,CIK0001763329,USD,58694.0,,,7583.0,2750992.0,,,,,,950141.0,947395.0,,947395.0,,947395.0,,0.001,100000000.0,13933537.0,13933537.0,13933.0,,,,,,,,,,,,,,,,,,,125000.0,625000.0,500000.0,,,,2746.0,2354600.0,,,-2386204.0,-0.17,,,0.0,,,,,,,,,,,,,,,,2513.0,,31604.0,,,,,,,,,716243.0,950141.0,,216243.0,0.0175,,,,,,-2386204.0,,2354600.0,-2354600.0,,,,,,,,,,,,,,,,,,0.001,5000000.0,0.0,0.0,0.0,,,,,,,,,,-2531027.0,,,,,1.5,,,,555000.0,,,,,233898.0,,,2267000.0,,,,13643369.0
