end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableCurrentAndNoncurrent,AccountsPayableOtherCurrentAndNoncurrent,AccountsReceivableNetCurrent,AccountsReceivableRelatedParties,AccountsReceivableRelatedPartiesCurrent,AccruedEmployeeBenefitsCurrentAndNoncurrent,AccruedLiabilitiesCurrentAndNoncurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalMarkToMarket,AdjustmentsToAdditionalPaidInCapitalOther,AllowanceForDoubtfulAccountsReceivableCurrent,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ConcentrationRiskPercentage1,ContractWithCustomerLiability,CostOfRevenue,DeferredIncomeTaxAssetsNet,DeferredRevenue,DeferredTaxAssetsValuationAllowance,DepositLiabilityCurrent,Depreciation,DepreciationAndAmortization,DueFromOfficersOrStockholders,DueFromRelatedPartiesCurrent,DueToOfficersOrStockholdersCurrent,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncreaseDecreaseDueFromOtherRelatedParties,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInOperatingLeaseLiability,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherReceivables,InterestExpense,InterestExpenseOther,InterestIncomeExpenseNet,InterestIncomeOther,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfAdoptionQuantification,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseExpense,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OperatingLeaseWeightedAverageDiscountRatePercent,OperatingLossCarryforwardsValuationAllowance,OtherAccountsPayableAndAccruedLiabilities,OtherAssets,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossNetOfTax,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherOperatingIncome,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseAndOtherAssets,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfOtherDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,ReceivableWithImputedInterestNetAmount,RelatedPartyCosts,RepaymentsOfOtherDebt,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromRelatedParties,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,StockholdersEquity,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,TaxesPayableCurrent,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2019-03-31,2019-07-10,10-Q,Ezagoo Limited,EZOO,CIK0001752372,USD,33508.0,33508.0,,23722.0,,,,,2799.0,42974.0,774007.0,,,,795044.0,702745.0,618073.0,618073.0,-177545.0,0.0001,600000000.0,95000000.0,95000000.0,9500.0,-206267.0,0.85,,50958.0,,,,,62.0,,,14668.0,58096.0,,1211815.0,0.0,,21179.0,,-23242.0,,-192691.0,,,22939.0,-25329.0,,,,,,35.0,,,,,413.0,106259.0,,,58443.0,47817.0,3939.0,1465535.0,795044.0,1423716.0,-52037.0,,-146687.0,-192691.0,-10626.0,413.0,169862.0,-182478.0,14260.0,14260.0,39633.0,39633.0,41819.0,35605.0,0.0435,,,5395.0,-13576.0,-13576.0,,413.0,,,0.0001,200000000.0,,,46282.0,,40887.0,,1185.0,,1185.0,,605.0,,,,,53222.0,-1496972.0,27716.0,,15939.0,-670491.0,,,,67709068.0
2019-06-30,2019-08-15,10-Q,Ezagoo Limited,EZOO,CIK0001752372,USD,14448.0,14448.0,,,,,,,4368.0,66310.0,774007.0,,,,368559.0,255305.0,224599.0,224599.0,,0.0001,600000000.0,95000000.0,95000000.0,9500.0,-353997.0,,,38727.0,,,,,,,,,67564.0,,1178480.0,-0.01,,,,-37026.0,,-377333.0,,,,,,,,,,,,,,,321.0,87840.0,,,56838.0,31002.0,2801.0,1391205.0,368559.0,1360595.0,,,,-377333.0,1842.0,321.0,340628.0,-377654.0,,,68053.0,58119.0,9934.0,61062.0,0.0435,,,2388.0,23336.0,23336.0,,321.0,,,0.0001,200000000.0,,,30706.0,,28318.0,,,,,,37005.0,,,,,,-1872463.0,1701.0,,,-1022646.0,,,,67709068.0
2019-09-30,2019-11-13,10-Q,Ezagoo Limited,EZOO,CIK0001752372,USD,16087.0,16087.0,,2101.0,,,,,6581.0,75043.0,1270648.0,,,0.0,699387.0,604885.0,547879.0,547879.0,,0.0001,600000000.0,119956826.0,119956826.0,11996.0,-171508.0,,,31906.0,29.0,,,,,,,,22693.0,,1243450.0,0.0,,,,-28072.0,,-180241.0,,,,,,,,,,,,,,,59.0,69918.0,54936.0,,54936.0,14982.0,1865.0,1392613.0,699387.0,1382679.0,,,,-180241.0,1791.0,94.0,152263.0,-180335.0,,,68053.0,58119.0,9934.0,61062.0,0.0435,,,,8733.0,8733.0,59.0,35.0,,,0.0001,200000000.0,,,54905.0,,54905.0,,,,,,33411.0,,,,,,-2050913.0,3834.0,,,-693226.0,499137.0,,4.0,107158454.0
2019-12-31,2020-04-14,10-K,Ezagoo Limited,EZOO,CIK0001752372,USD,14254.0,14254.0,11463.0,0.0,63444.0,63444.0,1676.0,,9159.0,56550.0,1308646.0,37998.0,,2140.0,1282447.0,1201174.0,1106420.0,1106420.0,310802.0,0.0001,600000000.0,119956826.0,119956826.0,11996.0,-849745.0,0.1,,163308.0,,,534378.0,476911.0,6484.0,9159.0,63444.0,,23127.0,,1466120.0,-0.01,0.21,-4311.0,847069.0,37072.0,-21841.0,-849695.0,,,4180.0,-44954.0,5611.0,,,,,-44127.0,,39757.0,,,,56289.0,56289.0,,,,1205.0,2054284.0,1282447.0,2054284.0,650204.0,-37464.0,-297627.0,-849695.0,,,,-809938.0,54922.0,54922.0,55083.0,55083.0,,49455.0,0.0435,,490050.0,,-50.0,-50.0,,,59.0,37464.0,0.0001,200000000.0,,,31310.0,,31310.0,499137.0,,-84224.0,235291.0,40977.0,31818.0,2140.0,,,,84224.0,-2148979.0,,162832.0,61406.0,-771837.0,499137.0,,5650.0,110384345.0
2020-03-31,2020-06-15,10-Q,Ezagoo Limited,EZOO,CIK0001752372,USD,30029.0,30029.0,6543.0,,25847.0,,3668.0,,11391.0,81046.0,1308646.0,,,,707799.0,643264.0,606174.0,606174.0,-500246.0,0.0001,600000000.0,119956826.0,119956826.0,11996.0,-210392.0,1.0,,33577.0,,,,499629.0,2412.0,2412.0,,,22838.0,,1063142.0,0.0,,-4158.0,,-28259.0,,-210392.0,,-38539.0,16232.0,,-5639.0,,,38539.0,14778.0,33315.0,,16636.0,,-16636.0,,40283.0,,,,40283.0,650.0,1665482.0,707799.0,1665482.0,-391934.0,,-104154.0,-210392.0,,-16636.0,165497.0,-193756.0,13791.0,13791.0,39633.0,39633.0,,35605.0,0.0435,,509840.0,,,24546.0,,,,,0.0001,200000000.0,,,11243.0,,11243.0,,,,-386616.0,,28930.0,,16149.0,0.0,5318.0,386616.0,-2359371.0,5318.0,,15106.0,-957683.0,,,,119956826.0
2020-06-30,2020-08-14,10-Q,Ezagoo Limited,EZOO,CIK0001752372,USD,26379.0,26379.0,66059.0,,,,,,13798.0,78924.0,1308646.0,,,,663358.0,613745.0,578088.0,578089.0,,0.0001,600000000.0,119956826.0,119956826.0,11996.0,-201888.0,,,26292.0,,,,447356.0,,,,,22876.0,,1235201.0,0.0,,,,12734.0,,-197143.0,,,,,,,,,,,,16887.0,,-16887.0,2881.0,25230.0,,,,25230.0,272.0,1822829.0,663358.0,,,,,-197143.0,,-14006.0,195871.0,-183137.0,,,24958.0,24958.0,,22435.0,0.0435,,513415.0,,-4745.0,-2222.0,2881.0,,,,0.0001,200000000.0,,,35657.0,,35657.0,,,,,,27178.0,,33551.0,,,,-2559037.0,39026.0,,,-1159471.0,,,,119956826.0
2020-09-30,2020-11-16,10-Q,Ezagoo Limited,EZOO,CIK0001752372,USD,41141.0,41141.0,100096.0,,,,,,16836.0,26013.0,1308646.0,,,,733800.0,700266.0,666846.0,666846.0,,0.0001,600000000.0,119956826.0,119956826.0,11996.0,-239319.0,,,33022.0,,,,437727.0,,,,,23597.0,,1519686.0,0.0,,,,31459.0,,-187981.0,,,,,,,,,,,,,,-17396.0,3023.0,10500.0,,,,10500.0,57.0,2132690.0,733800.0,,,,,-187981.0,,-14373.0,205067.0,-173608.0,,,10443.0,10443.0,,9393.0,0.0435,,537823.0,,-51338.0,-52811.0,3023.0,,,,0.0001,200000000.0,,,33420.0,,33420.0,,,,,,24141.0,,50154.0,,,,-2745545.0,64481.0,,,-1398890.0,,,,119956826.0
2020-12-31,2021-04-13,10-K,Ezagoo Limited,EZOO,CIK0001752372,USD,18534.0,18534.0,157448.0,0.0,689427.0,,28676.0,28676.0,20202.0,-61928.0,1308646.0,,,0.0,1555530.0,1533400.0,824733.0,824733.0,-281687.0,0.0001,600000000.0,119956826.0,119956826.0,11996.0,-802269.0,,1585905.0,102759.0,,1585905.0,703311.0,336594.0,11043.0,11043.0,689427.0,,35107.0,35107.0,,-0.01,0.21,-118433.0,775288.0,131915.0,-71205.0,-683841.0,,,4280.0,,-5646.0,,1585905.0,,,172985.0,,46659.0,,,,,,,,,,3129636.0,1555530.0,3129636.0,-1158844.0,-1355.0,996945.0,-683841.0,,,,-637182.0,51126.0,51126.0,,,,,0.0435,0.0,522718.0,,-118428.0,-118428.0,,,,1355.0,0.0001,200000000.0,0.0,0.0,19240.0,19240.0,19240.0,,,1214.0,-1124730.0,42332.0,22130.0,,,,,,-2832820.0,,33755.0,56807.0,-1574106.0,,,,119956826.0
2021-03-31,2021-05-24,10-Q,Ezagoo Limited,EZOO,CIK0001752372,USD,11895.0,11895.0,210306.0,,886801.0,,,7176.0,22810.0,-59071.0,1304064.0,,-4582.0,,1929954.0,1445330.0,533332.0,533332.0,-291401.0,0.0001,600000000.0,119956826.0,119956826.0,11996.0,86697.0,,1298997.0,179343.0,,1298997.0,,275825.0,2608.0,2608.0,886801.0,,35036.0,35036.0,,0.0,,2857.0,,272911.0,,83840.0,,197374.0,-6639.0,,,,1298997.0,,449608.0,52858.0,,,,4475.0,,495179.0,190759.0,,167974.0,136446.0,26278.0,3421945.0,1929954.0,3076544.0,-1424828.0,,1130570.0,83840.0,,9630.0,198701.0,74210.0,14675.0,0.0,468901.0,123500.0,345401.0,465102.0,4.35,,493307.0,,2857.0,2857.0,5155.0,,,,0.0001,200000000.0,,,25197.0,25197.0,,,,,,42332.0,19522.0,,,161806.0,933482.0,486764.0,-2748980.0,452254.0,,14728.0,-1491991.0,,,,119956826.0
2021-06-30,2021-08-16,10-Q,Ezagoo Limited,EZOO,CIK0001752372,USD,11767.0,11767.0,105758.0,,489429.0,,,7176.0,25863.0,-76853.0,1304881.0,,817.0,,1888486.0,1439178.0,878745.0,878745.0,,0.0001,600000000.0,119956826.0,119956826.0,11996.0,-1081.0,,1073708.0,138722.0,,1073708.0,,247874.0,,,489429.0,,35316.0,35316.0,,0.0,,,,301560.0,,16701.0,,,,,,,,,,,,,,-10734.0,,458048.0,193541.0,,170424.0,94083.0,21833.0,3380741.0,1888486.0,3030302.0,,,,16701.0,,-10724.0,274135.0,27425.0,,,436215.0,85776.0,350439.0,432839.0,0.0435,,393207.0,,-17782.0,-17782.0,10.0,,,,0.0001,200000000.0,0.0,0.0,71004.0,71004.0,,,,,,42332.0,16469.0,,,123056.0,,,-2732279.0,440282.0,,,-1492255.0,,,,119956826.0
