end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableTradeCurrent,AccountsReceivableNetCurrent,AccountsReceivableRelatedPartiesCurrent,AccruedIncomeTaxesCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulAccountsReceivable,Assets,AssetsCurrent,BusinessAcquisitionsPurchasePriceAllocationYearOfAcquisitionNetEffectOnIncome,BusinessCombinationStepAcquisitionEquityInterestInAcquireePercentage,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ContractWithCustomerLiabilityCurrent,CostOfRevenue,CurrentFederalTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DeferredRevenueCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInIncomeTaxes,IncreaseDecreaseInInventories,IncreaseDecreaseInOperatingLiabilities,IncreaseDecreaseInPrepaidExpense,InterestPaidNet,InventoryNet,InvestmentIncomeNet,LesseeOperatingLeaseDiscountRate,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingLeaseExpense,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OperatingLeaseRightOfUseAssetAmortizationExpense,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLossCarryforwards,OtherCostOfOperatingRevenue,PaymentsForRent,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProfitLoss,RetainedEarningsAccumulatedDeficit,RevenueFromRelatedParties,Revenues,SalesCommissionsAndFees,SellingExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedNumberOfShares,StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,StockGrantedDuringPeriodValueSharebasedCompensation,StockholdersEquity,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueOther,StockOptionPlanExpense,TaxesAndLicenses,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AccrualForTaxesOtherThanIncomeTaxesCurrent,AdditionalCollateralAggregateFairValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,ClassOfWarrantOrRightOutstanding,CustomerRefundLiabilityCurrent,DeferredTaxLiabilities,IncomeTaxesPaid,IncomeTaxReceivable,IncreaseDecreaseDueFromOtherRelatedParties,IncreaseDecreaseInIncomeTaxesReceivable,IncreaseDecreaseInOperatingLeaseLiability,LeaseholdImprovementsGross,OperatingIncomeLoss,ProceedsFromIssuanceOfCommonStock,ProceedsFromWarrantExercises,RestrictedCash,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableAggregateIntrinsicValue,SharebasedCompensationArrangementBySharebasedPaymentAwardEquityInstrumentsOtherThanOptionsAggregateIntrinsicValueOutstanding,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueStockOptionsExercisedNetOfTaxBenefitExpense,ValuationAllowanceDeferredTaxAssetChangeInAmount,AdditionalPaidInCapitalCommonStock,AllowanceForDoubtfulAccountsReceivableCurrent,DeferredRevenueLeasesAccumulatedAmortization,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,SharePrice
2019-01-31,2019-04-25,10-Q,"KAIVAL BRANDS INNOVATIONS GROUP, INC.",KAVL,CIK0001762239,USD,,,,,,,,9750.0,-563779.0,,,0.0,,,,,,,,0.001,1000000000.0,572364574.0,572364574.0,572365.0,,,,,,,,,,,0.0,,,13960.0,,,,,,,,,,6750.0,,,,,,,,,,,,9750.0,0.0,9750.0,,,,-13960.0,,13960.0,,,,,,,,,,,,,,,,0.001,5000000.0,,,,,7210.0,-13960.0,-18336.0,,,,,,,,,,,,,,,,,,,572364574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-30,2019-06-12,10-Q,"KAIVAL BRANDS INNOVATIONS GROUP, INC.",KAVL,CIK0001762239,USD,,,,,,,,9025.0,-558829.0,,,0.0,,,,,0.0,,,0.001,1000000000.0,572364574.0,572364574.0,572365.0,,0.0,,,,,,,,,0.0,,,4225.0,0.0,-4225.0,0.0,,,,,,,,,,,,,,,,,,,9025.0,0.0,9025.0,,,,-4225.0,,4225.0,,,,,,,,,,,,,,,,0.001,5000000.0,,,,,,-4225.0,-22561.0,0.0,0.0,,0.0,,,,,,,,,-9025.0,,,,,,572364574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-31,2019-09-10,10-Q,"KAIVAL BRANDS INNOVATIONS GROUP, INC.",KAVL,CIK0001762239,USD,,,,,,,,30650.0,-553319.0,,,0.0,,,,,,,,0.001,1000000000.0,572364574.0,572364574.0,572365.0,,,,,,,,,,,0.0,,,27135.0,,-27135.0,,,,,,,,,,,,,,,,,,,,30650.0,0.0,30650.0,,,,-27135.0,,27135.0,,,,,,,,,,,,,,,,0.001,5000000.0,,,,,,-27135.0,-49696.0,,,,,,,,,,,,,-30650.0,,,,,,572364574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-31,2020-01-27,10-K,"KAIVAL BRANDS INNOVATIONS GROUP, INC.",KAVL,CIK0001762239,USD,44886.0,0.0,0.0,,0.0,0.0,0.0,44886.0,-544026.0,,,0.0,0.0,,,0.0,0.0,,,0.001,1000000000.0,572364574.0,572364574.0,572365.0,,,,,,,15377.0,0.0,15377.0,15377.0,0.0,,0.35,68849.0,,-68849.0,,,,,,,,41886.0,,,,,,,,,0.0,,,44886.0,0.0,44886.0,,,,-68849.0,,68849.0,,,,,,,,,,,,,15377.0,,,0.001,5000000.0,0.0,0.0,0.0,,26963.0,,-73225.0,,,,,0.0,,,,,,,,-44886.0,,,,,,572364574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,2020-03-16,10-Q,"KAIVAL BRANDS INNOVATIONS GROUP, INC.",KAVL,CIK0001762239,USD,,,,,,,,31647.0,-517569.0,,,285.0,285.0,,,285.0,285.0,285.0,,0.001,1000000000.0,572364574.0,572364574.0,572365.0,,,,,,,,,,,0.0,,0.35,12933.0,,-12933.0,,,,,,,,-13239.0,,,,,,,,,,,,31647.0,285.0,31647.0,,,285.0,-12933.0,,12933.0,,,,,,,,,,,,,,,,0.001,5000000.0,,,,,26457.0,-12933.0,-86158.0,,,,,,,,,,,,,,,,,,,572364574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-30,2020-05-27,10-Q,"KAIVAL BRANDS INNOVATIONS GROUP, INC.",KAVL,CIK0001762239,USD,,19493.0,1259145.0,,3213920.0,5070.0,,1162282.0,-516869.0,,,5206091.0,5206091.0,,,1970682.0,1970682.0,,,0.001,1000000000.0,572364574.0,572364574.0,572365.0,,18301800.0,,,,,,0.0,,0.0,0.0,,,198092.0,4204354.0,3746264.0,950431.0,,,,,,,,,,,,,,,,16419.0,,,2440920.0,5206091.0,2440920.0,259998.0,,,2795833.0,,458090.0,,,,,,,,,,,,,0.0,,,0.001,5000000.0,0.0,0.0,0.0,,,1128987.0,2709675.0,32480.0,22506154.0,,259998.0,,,,,,,,,1098325.0,,,,,,572364574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-31,2020-09-14,10-Q,"KAIVAL BRANDS INNOVATIONS GROUP, INC.",KAVL,CIK0001762239,USD,27811.0,,4283852.0,,7033361.0,19910.0,1396919.0,,-200844.0,,0.0,9732078.0,9732078.0,,,2669450.0,2669450.0,,,0.001,1000000000.0,576495148.0,576495148.0,576496.0,,27976013.0,,,,,,0.0,,0.0,0.05,,,704737.0,4399296.0,2925425.0,320410.0,,,,,,,,,,,,,,,,9357.0,,,5708582.0,9732078.0,5708582.0,769134.0,,,2605015.0,,1473871.0,,,,,,,,,,,,,0.0,115868.0,,,5000000.0,,,0.0,,,2605015.0,3647844.0,54040.0,32375309.0,769134.0,,,,,,,,,320156.0,4023496.0,,,,,101724.0,47978837.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-31,2021-02-12,10-K,"KAIVAL BRANDS INNOVATIONS GROUP, INC.",KAVL,CIK0001762239,USD,,,1409561.0,,1401562.0,15360.0,1331856.0,1062105.0,618904.0,769437.0,13773.0,8915139.0,8845006.0,3000000.0,,7421701.0,7421701.0,7421701.0,,0.001,1000000000.0,23106886.0,23106886.0,23107.0,623096.0,54255236.0,1249525.0,1514781.0,82331.0,623096.0,,737148.0,,15377.0,0.09,0.0446,0.35,2355971.0,10059143.0,5360603.0,-1514781.0,182925.0,,,1409561.0,1401562.0,15360.0,1017219.0,1331856.0,,623096.0,1331856.0,6383.0,-2836.0,,,6383.0,1048.0,0.045,4497531.0,8915139.0,4438327.0,2343617.0,-179922.0,7601623.0,3845822.0,1048.0,4699588.0,3000.0,70913.0,11709.0,59204.0,70133.0,3616.0,72600.0,12300.0,13500.0,18000.0,15300.0,13500.0,15377.0,273885.0,1000.0,0.001,5000000.0,,,3000.0,,27157.0,,3772597.0,233955.0,64314379.0,,,769437.0,,,,,,265256.0,,4417608.0,,,,,662297.0,43017745.0,1331856.0,,7421701.0,,,,,182925.0,,,,-2836.0,,1800000.0,,,,,,,,,,0.0,,,,,,
2021-01-31,2021-03-16,10-Q,"KAIVAL BRANDS INNOVATIONS GROUP, INC.",KAVL,CIK0001762239,USD,,,,,,,,,,1111296.0,,,,3000000.0,,,1963854.0,-5457847.0,,0.001,1000000000.0,279671677.0,279671677.0,,,32565121.0,87756.0,,18629.0,,,0.0,,0.0,0.01,0.0446,0.21,3418339.0,4796398.0,417887.0,106386.0,0.0,0.0,,4838321.0,11262976.0,3215.0,95390.0,106385.0,,-623096.0,,1722.0,-3169.0,0.0,0.0,,330.0,0.045,,,,960502.0,-30511.0,-5427336.0,311501.0,330.0,4378841.0,6000.0,68071.0,,,,3949.0,72600.0,12300.0,13500.0,18000.0,15300.0,13500.0,0.0,86021.0,1000.0,0.001,5000000.0,,,,,,311501.0,,50300.0,37361519.0,,,9449421.0,0.0,,,,,,1034596.0,,,,,0.0,58748.0,23187561.0,,,1963854.0,,,,,,,,,-3196.0,,1800000.0,,,,,,,,,,,,,,,,
2021-04-30,2021-06-21,10-Q,"KAIVAL BRANDS INNOVATIONS GROUP, INC.",KAVL,CIK0001762239,USD,,,38001633.0,272509.0,18136147.0,765.0,,1600029.0,9114243.0,,,49164611.0,49101729.0,,,2140667.0,2140667.0,,,0.001,1000000000.0,282803708.0,282803708.0,282804.0,,11862600.0,,,,,,0.0,,0.0,-0.02,,,9558009.0,6286479.0,-4072169.0,186758.0,,,,,,,,,,,,,,,,28794150.0,46.0,0.045,39939393.0,49164611.0,39886534.0,800685.0,,,-4258927.0,46.0,10358694.0,,65222.0,12363.0,52859.0,62882.0,,72600.0,12300.0,13500.0,18000.0,15300.0,13500.0,0.0,70247.0,,0.001,5000000.0,,,3000.0,30000.0,,-4258927.0,-174829.0,11245.0,18149079.0,,,,,,,0.0,,,6494555.0,9225218.0,,,,,614252.0,282143504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
