end,filed,form,Name,Ticker,CIK,Currency,AccountsAndOtherReceivablesNetCurrent,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AccretionExpense,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ConstructionInProgressGross,ConversionOfStockAmountConverted1,ConversionOfStockSharesIssued1,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,DebtConversionConvertedInstrumentAmount1,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountCurrent,DebtInstrumentUnamortizedDiscountNoncurrent,DeferredTaxAssetsGoodwillAndIntangibleAssets,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsPropertyPlantAndEquipment,DeferredTaxAssetsValuationAllowance,DerivativeAssetFairValueGrossLiability,DerivativeLiabilitiesCurrent,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,GainLossOnDispositionOfIntangibleAssets,GainLossOnSaleOfDebtInvestments,GainLossOnSaleOfDerivatives,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationOtherReconcilingItems,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestIncomeDebtSecuritiesOperating,InterestPaidNet,InterestPayableCurrent,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,LongTermDebtNoncurrent,MarketingAndAdvertisingExpense,MinorityInterest,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossAttributableToParentDiluted,NonoperatingGainsLosses,NonoperatingIncomeExpense,NotesIssued1,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossTaxPortionAttributableToNoncontrollingInterest,OtherLoansPayableCurrent,PaymentOfFinancingAndStockIssuanceCosts,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssets,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfConvertiblePreferredStock,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromLoanOriginations1,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfConvertibleDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,SalariesAndWages,SecuredDebtCurrent,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesConversionOfUnits,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic,CashAndCashEquivalentsAtCarryingValue,DeferredTaxAssetsNet,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,ForeignCurrencyTransactionGainLossBeforeTax,IncomeLossAttributableToParent,IncreaseDecreaseInAccountsPayable,InterestAndDebtExpense,IssuanceOfStockAndWarrantsForServicesOrClaims,LoansPayable,LongTermLoansPayable,OtherAssetImpairmentCharges,ProceedsFromIssuanceOfMediumTermNotes,RepaymentsOfRelatedPartyDebt,AccruedSalesCommissionCurrent,ComprehensiveIncomeNetOfTax,StockIssued1
2019-06-30,2019-08-19,10-Q,PHARMAGREEN BIOTECH INC.,PHBI,CIK0001435181,USD,13263.0,850132.0,815932.0,,,,41703.0,3666857.0,,595619.0,47942.0,12889.0,,,0.001,500000000.0,74671835.0,74671835.0,,74672.0,-107017.0,547677.0,,,1293.0,,,,,,27717.0,,,,,,,,,57291.0,410170.0,,,49722.0,,,,,,13635.0,-58554.0,-58554.0,-802.0,,,,,,,,,,,,241.0,,34200.0,1545.0,1318886.0,595619.0,1317593.0,,,,-1239.0,,,,-57295.0,-457.0,,,-241.0,,,58313.0,-58313.0,,,,,,,,,,,,21790.0,,,,,,,15052.0,-57752.0,547677.0,,,-32655.0,-4505260.0,4549.0,,,-722028.0,-723267.0,,,,,,,,,74671845.0,,,,,,,,,,,,,,,,
2019-09-30,2019-12-30,10-K,PHARMAGREEN BIOTECH INC.,PHBI,CIK0001435181,USD,10639.0,855766.0,829942.0,,1296.0,,47824.0,3772781.0,,630272.0,189177.0,62682.0,-89187.0,,0.001,500000000.0,75646835.0,75646835.0,,75647.0,-758435.0,441095.0,,,1599.0,,75105.0,,,,27321.0,2895.0,27321.0,,1567688.0,-66141.0,1501547.0,,0.0,56634.0,475666.0,,-0.01,-9102.0,-8056.0,,,,,99081.0,-768811.0,,,,584621.0,-401110.0,-177541.0,-5970.0,-5970.0,21126.0,231082.0,4696.0,-101380.0,3783.0,1296.0,,25824.0,3758.0,1464770.0,630272.0,1463171.0,,,,-1274.0,432828.0,-196127.0,-317832.0,-767537.0,-1274.0,,,-126633.0,,,642178.0,-642178.0,,,,,,196127.0,,,,,,115856.0,75000.0,,,,,247467.0,81090.0,-768811.0,441095.0,59352.0,,3956.0,-4729476.0,17908.0,,,-834498.0,-834498.0,,,,,390.0,294054.0,,364850535.0,74061724.0,62682.0,,,,,,,,,,,,,,,
2019-12-31,2020-02-18,10-Q,PHARMAGREEN BIOTECH INC.,PHBI,CIK0001435181,USD,1009.0,886027.0,853728.0,,,,35425.0,3772781.0,,605648.0,155041.0,35678.0,-27004.0,,0.001,500000000.0,75646835.0,75646835.0,,75647.0,-218420.0,450607.0,,,1968.0,,145933.0,,,427.0,26952.0,,,,,,,,107494.0,,419325.0,,,12399.0,-23188.0,,-37295.0,,,24896.0,,,,,,,,,,9630.0,30261.0,5303.0,,,,,32299.0,909.0,1658602.0,605648.0,1656634.0,,,,-1310.0,68106.0,,-71922.0,-206057.0,-36.0,,,-88941.0,,,117116.0,-117116.0,,-12399.0,,,5000.0,,,,,,,118354.0,134750.0,,,,,,25630.0,-206057.0,450607.0,,,,-4935497.0,4612.0,40000.0,,-1052954.0,-1052954.0,,,,,,,,,75646835.0,,,,,,,,,,,,,,,,
2020-03-31,2020-05-19,10-Q,PHARMAGREEN BIOTECH INC.,PHBI,CIK0001435181,USD,899.0,549387.0,502964.0,,,,66950.0,3793780.0,,804500.0,393075.0,37105.0,,,0.001,500000000.0,75724899.0,75724899.0,,75725.0,28015.0,411425.0,,,2417.0,,134709.0,,,,,566191.0,26504.0,,,,,,678104.0,,351038.0,,,-31525.0,,,-122703.0,,-122703.0,37179.0,,-3627.0,,,,,,,,,,,,,,,46423.0,-7.0,1808479.0,804500.0,1806062.0,,,,-1427.0,,,,-3627.0,-117.0,,,146975.0,,,150602.0,-150602.0,,31525.0,,,,,,,,,,355071.0,,,,,,,24217.0,-3510.0,411425.0,,,,-4939007.0,4535.0,40000.0,,-1003979.0,-1003979.0,,,,,21077.0,,,,75652840.0,,,,,,,,,,,,,,,,
2020-06-30,2020-08-19,10-Q,PHARMAGREEN BIOTECH INC.,PHBI,CIK0001435181,USD,790.0,558699.0,505138.0,54877.0,,11927.0,49869.0,3920690.0,,817194.0,388026.0,34582.0,,,0.001,500000000.0,91145003.0,91145003.0,,91145.0,-1377795.0,441095.0,,,2888.0,,57894.0,,,,,459006.0,24632.0,,,,,,1759925.0,,425674.0,-0.02,-0.02,-17081.0,,,-1187033.0,-31898.0,-1187033.0,28704.0,-1360722.0,,,,,,,,,,,,,0.0,,,53561.0,30108.0,3056646.0,817194.0,3024370.0,167075.0,29388.0,,-1435.0,,,,-1360722.0,8.0,-1360714.0,,-1273808.0,,,86914.0,-86914.0,,-17081.0,-1377795.0,,,,,,,,,352654.0,,,,,,,40068.0,-1360722.0,429168.0,,,,-6299721.0,3858.0,,,-2239452.0,-2239452.0,,,,,142330.0,,,,82854083.0,,,,,,,,,,,,,,,,
2020-09-30,2021-01-08,10-K,PHARMAGREEN BIOTECH INC.,PHBI,CIK0001435181,USD,295.0,539663.0,455310.0,-328333.0,7150.0,,36679.0,3967261.0,23619.0,266245.0,266245.0,12196.0,-50486.0,-50486.0,0.001,2000000000.0,95806289.0,95806289.0,,95806.0,-2449504.0,,301087.0,4000000.0,3448.0,3448.0,641077.0,61500.0,,3421.0,,182012.0,23619.0,,1691669.0,52954.0,1744623.0,1380957.0,1380957.0,,508874.0,,-0.03,11634.0,5472.0,-5472.0,1149450.0,-33087.0,-1149450.0,63711.0,-2482612.0,,0.0,0.0,243076.0,,-531798.0,,288722.0,10344.0,-85798.0,80694.0,-137898.0,298942.0,,4601.0,84353.0,893.0,3200350.0,266245.0,3166874.0,40000.0,30028.0,,-46505.0,562620.0,,-607634.0,-2482612.0,-44742.0,,-434601.0,-1996856.0,,40000.0,485756.0,-485756.0,6509481.0,,-2449504.0,30028.0,5000.0,,0.001,1000000.0,0.0,0.0,0.0,253754.0,691578.0,570078.0,0.0,30028.0,30028.0,96059.0,179015.0,-2482612.0,,,25000.0,,-7167346.0,17438.0,,,-2934105.0,-2887600.0,,,6750000.0,,343859.0,10780.0,40000.0,388372556.0,82072080.0,12196.0,0.0,0.21,11634.0,-2437870.0,292557.0,343942.0,0.0,40000.0,30028.0,434601.0,40000.0,143545.0,,,
2020-12-31,2021-02-22,10-Q,PHARMAGREEN BIOTECH INC.,PHBI,CIK0001435181,USD,,,,-72376.0,,,,,,,,,,17568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,42455.0,,-38708.0,,468032.0,-674912.0,24412.0,,-417110.0,,0.0,,,,,,498.0,93862.0,37759.0,0.0,,,0.0,,,,,,,,,,60656.0,,-4380.0,-417110.0,,,,-315486.0,,,101624.0,-101624.0,,-42455.0,,,,,,,,,,,,,10.0,,,,33508.0,,,,,,,4670.0,,,-1753252.0,-1753252.0,,,,,1612053.0,1355.0,27000.0,,157102642.0,29764.0,,,-42455.0,-417109.0,,36230.0,,,,,27000.0,0.0,,-459564.0,
2021-03-31,2021-05-24,10-Q,PHARMAGREEN BIOTECH INC.,PHBI,CIK0001435181,USD,261.0,578497.0,515364.0,,,,-18520.0,8565956.0,,13776.0,13776.0,13515.0,,,0.001,2000000000.0,348168019.0,348168019.0,,348168.0,-3154134.0,,,,5192.0,,190834.0,,,,,,21875.0,,,,,,399719.0,,578752.0,,-0.01,12744.0,,,,,-2509926.0,19248.0,,-3141434.0,,,,,,,,,,,,626807.0,,,63133.0,,1884444.0,13776.0,1847443.0,40000.0,31809.0,,-46550.0,,,,-3141434.0,-44.0,,,-3004485.0,,,136949.0,-136949.0,,-12744.0,,,,,0.001,1000000.0,10000.0,10000.0,10.0,,,,,,,,59451.0,-3141390.0,,,,,-10725845.0,4998.0,,,-1870668.0,-1870668.0,,,,,2933217.0,7320.0,96225.0,,307043543.0,,,,,,,,,,,,,,,,
2021-06-30,2021-08-18,10-Q,PHARMAGREEN BIOTECH INC.,PHBI,CIK0001435181,USD,88.0,624461.0,550871.0,1179.0,,,-31735.0,8628541.0,,19306.0,,19218.0,,,0.001,2000000000.0,355129269.0,355129269.0,56000.0,355129.0,,,,,6371.0,6371.0,190834.0,,,,,0.0,20696.0,,,,,298301.0,298301.0,,607827.0,,0.0,-13215.0,,,,0.0,101418.0,20716.0,,,,,,,,,,,,,,10087.0,,,73590.0,190794.0,1860484.0,19306.0,1821873.0,,,,-46633.0,,,,-142228.0,83.0,-142145.0,,90152.0,,40000.0,232380.0,-232380.0,,-13215.0,-155360.0,32240.0,,,0.001,1000000.0,10000.0,10000.0,10.0,0.0,,,,,,,18829.0,,,,,,-10867990.0,5085.0,,0.01,-1841178.0,-1794545.0,,,,,,,63433.0,,351763390.0,,,,,,,,,,,,,,,,
2021-09-30,2021-12-29,10-K,PHARMAGREEN BIOTECH INC.,PHBI,CIK0001435181,USD,290.0,659437.0,579851.0,-88264.0,4386.0,,-8378.0,9680572.0,19233.0,373081.0,,25300.0,,13104.0,0.001,2000000000.0,381171269.0,381171269.0,,381171.0,,,4166076.0,,7834.0,7834.0,190834.0,,,,,0.0,19233.0,,1877243.0,52954.0,1930197.0,472003.0,472003.0,,605019.0,,-0.02,,,-38313.0,3257122.0,237940.0,-3257122.0,79422.0,,-4532071.0,0.0,0.0,185574.0,,-965087.0,,779513.0,5.0,147658.0,106383.0,-343737.0,,,0.0,79586.0,0.0,2065781.0,373081.0,2026415.0,40000.0,,,46658.0,257498.0,,-206081.0,-4532224.0,,,0.0,-3788160.0,,,744064.0,-744064.0,7329575.0,,-4577128.0,,0.0,,0.001,1000000.0,0.0,0.0,10.0,347491.0,,0.0,10.0,0.0,,,127352.0,-4532224.0,,,0.0,,-11699417.0,19433.0,,,-1692700.0,-1646042.0,,,,,4923276.0,627674.0,267726.0,326045132.0,293706579.0,25300.0,0.0,0.21,45057.0,-4532071.0,,680714.0,347491.0,31532.0,31532.0,0.0,267726.0,43884.0,,,
