end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableCurrent,AccountsPayableInterestBearingInterestRate,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,BankOverdrafts,BankOwnedLifeInsuranceIncome,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountConverted1,ConversionOfStockAmountIssued1,ConversionOfStockSharesConverted1,ConversionOfStockSharesIssued1,ConvertibleNotesPayable,ConvertibleSubordinatedDebtNoncurrent,CostOfRevenue,CurrentIncomeTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentUnamortizedDiscount,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Deposits,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EquityMethodInvestments,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeposits,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MarketableSecuritiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,PaymentsForDeposits,PaymentsForLoans,PaymentsToAcquireAvailableForSaleSecuritiesDebt,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PreferredStockValueOutstanding,PrepaidExpenseAndOtherAssets,PrepaidExpenseCurrent,ProceedsFromCollectionOfAdvanceToAffiliate,ProceedsFromCollectionOfLongtermLoansToRelatedParties,ProceedsFromContributedCapital,ProceedsFromContributionsFromAffiliates,ProceedsFromConvertibleDebt,ProceedsFromDebtNetOfIssuanceCosts,ProceedsFromIssuanceOfWarrants,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,RepaymentsOfBankDebt,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SharesIssued,SharesOutstanding,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesStockSplits,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueNewIssues,TreasuryStockShares,TreasuryStockValue,TreasuryStockValueAcquiredCostMethod,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2010-04-30,2010-08-06,10-K,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,10950.0,,4228856.0,,90000.0,,7808.0,7808.0,,,7808.0,,4060.0,,,,,0.0,0.0001,100000000.0,995083.0,995083.0,100.0,,,,,,,,,,,,,,,,,,,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30950.0,7808.0,30950.0,,,,,,-103350.0,,,,,,,,,0.0001,10000000.0,0.0,,0.0,,,,,,,,,,,,,,,,-4199144.0,,,0.0,-17851.0,-17851.0,,,,400000.0,,,24142.0,52954.0,,,
2010-07-31,2010-09-09,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,,,,,,,,,,,,,8224.0,4164.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,-0.01,,,,,,,4994.0,0.0,,,0.0,,,,,,-10842.0,,,,,,,0.0,,,,,,20000.0,,,-15836.0,,,4994.0,-4994.0,,,,,,,,,,,,,,,,,,,,20000.0,,,-4994.0,,,,0.0,,,,,,,,,,,,,,,
2010-10-31,2010-12-10,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,,,,,,,,,,,,,4521.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,3704.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3704.0,-3704.0,,,,,,,,,,,,,,,,,,,,,,,-3704.0,,,,0.0,,,,,,,,,,,,,,,
2011-01-31,2011-03-11,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,,,,,,,,,,,,,4716.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,-0.01,,,,,,,13936.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13936.0,-13936.0,,,,,,,,,,,,,,,,,,,,,,,-13936.0,,,,0.0,,,,,,,,,,,,,,,
2011-04-30,2011-07-27,10-K,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,10950.0,,4228856.0,,40000.0,,7808.0,7808.0,,,7808.0,,7808.0,3748.0,,,,0.0,,100000000.0,995074.0,995074.0,100.0,,,,,,,0.0,0.0,,,,,,,,,,,20000.0,,-0.05,,,,,,,45291.0,0.0,,,0.0,,,,,,-10961.0,,,,,,,0.0,,30950.0,7808.0,30950.0,,60000.0,,0.0,-56252.0,-45291.0,,45291.0,-45291.0,,,,,,,,0.0,,0.0,,,,,,,,,,40000.0,20000.0,,-45291.0,,,-4199144.0,0.0,,0.0,-23142.0,-23142.0,,,0.0,,,,24142.0,52954.0,,,994729.0
2011-07-31,2011-09-12,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,10150.0,,4228856.0,,,,1124.0,1124.0,,,1124.0,,1124.0,-6684.0,,,,0.0,0.0001,100000000.0,995083.0,995083.0,100.0,,,,,,,0.0,0.0,,,,,,,,,,,20000.0,,-0.01,,,,,,,5884.0,0.0,,,0.0,,,,,,-800.0,,,,,,,0.0,,30150.0,1124.0,30150.0,,0.0,,,-6684.0,,,5884.0,-5884.0,0.0,,,,,0.0001,10000000.0,0.0,,0.0,,,,,,,,,,0.0,,,-5884.0,,,-4205028.0,0.0,,,,-29026.0,,,,,,,24142.0,52954.0,,,995083.0
2011-10-31,2011-12-08,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,5574.0,,4268717.0,,,,10413.0,10413.0,,,10413.0,,10413.0,,,,,,0.0001,100000000.0,2390083.0,995083.0,239.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,6135.0,0.0,,,,,,,,,,,,,,,,,,5574.0,10413.0,5574.0,,,,,,,,6135.0,-6135.0,,,,,,0.0001,10000000.0,0.0,,0.0,,,,,,,,,,,,,-6135.0,,,-4211163.0,0.0,,,,4839.0,,,,,,,24142.0,52954.0,,,1616759.0
2012-01-31,2012-03-15,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,10761.0,,4228717.0,,,,6861.0,6861.0,,,6861.0,,6861.0,,,,,0.0,0.0001,100000000.0,2390083.0,995074.0,239.0,,,,,,,0.0,0.0,,,,,,,,,,,40000.0,,0.0,,,,,,,8738.0,0.0,,,,,,,,,,,,,,,,,,50761.0,6861.0,50761.0,,,,,,-8738.0,,8738.0,-8738.0,,,,,,0.0001,10000000.0,0.0,,0.0,,,,,,,,,,,,,-8738.0,,,-4219902.0,0.0,,,,-43900.0,,,,,,,24142.0,52954.0,,,2390083.0
2012-04-30,2012-07-27,10-K,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,14044.0,,4228717.0,,,,4343.0,4343.0,,,4343.0,,4343.0,-3465.0,,,,0.0,0.0001,100000000.0,2390083.0,2390083.0,239.0,,155000.0,,,,,0.0,0.0,,,,,,,,,,175200.0,40000.0,,-0.01,0.0,0.35,-0.4,,0.05,,26559.0,0.0,,,0.0,,,,3094.0,,3094.0,,,,,,,0.0,,54044.0,4343.0,54044.0,,20000.0,,0.0,-23465.0,-26559.0,,26559.0,-26559.0,0.0,,,,,0.0001,10000000.0,0.0,,0.0,,,,,,,,,,0.0,20000.0,,-26559.0,,,-4050503.0,0.0,,0.0,-49701.0,-49701.0,,0.0,0.0,,0.0,,24142.0,52954.0,,,1848853.0
2012-07-31,2012-09-12,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,10574.0,,4228717.0,,,,14320.0,14320.0,,,14320.0,,14320.0,9977.0,,0.0,,,0.0001,100000000.0,2390083.0,2390083.0,239.0,,,,,,,,,,,,,,,,,,,60000.0,,0.0,,,,,,,6553.0,,,,,,,,-3470.0,,-3470.0,,,,,,,,,,14320.0,70574.0,,20000.0,,,-10023.0,-6553.0,,,0.0,0.0,,,,,0.0001,10000000.0,,,,,,,,,,,,,,20000.0,,-6553.0,,,-4232256.0,,,,,-56254.0,,,,,,,24142.0,52954.0,,,2390083.0
