end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AmortizationOfDebtDiscountPremium,AmortizationOfIntangibleAssets,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,BankOverdrafts,CapitalizedComputerSoftwareAccumulatedAmortization,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ComprehensiveIncomeNetOfTax,ConvertibleDebtCurrent,ConvertibleNotesPayableCurrent,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtCurrent,DebtInstrumentDecreaseForgiveness,DebtInstrumentIncreaseDecreaseOtherNet,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,DepositAssets,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectOfExchangeRateOnCashAndCashEquivalents,ForeignCurrencyTransactionGainBeforeTax,ForeignCurrencyTransactionGainLossRealized,ForeignCurrencyTransactionGainLossUnrealized,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInCustomerAdvancesAndDeposits,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidRent,InterestExpense,InterestIncomeOperating,InterestPaid,InterestPaidNet,InterestPayable,InterestPayableCurrent,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LineOfCreditFacilityCommitmentFeePercentage,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesAndLoansPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssets,OtherExpenses,OtherIncome,OtherLiabilitiesCurrent,OtherNonoperatingIncomeExpense,PaymentsForLoans,PaymentsToAcquireAssetsInvestingActivities,ProceedsFromCollectionOfNotesReceivable,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromRepaymentsOfNotesPayable,ProfessionalFees,RepaymentsOfDebt,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,ShortTermBankLoansAndNotesPayable,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect
2008-05-31,2008-09-15,10-K,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27906.0,,,,,,,,,,,,,,
2009-05-31,2009-09-08,10-K,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-333982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-276286.0,,,,,,,,,,,,,,
2010-05-31,2010-09-14,10-K,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,,,,,,,,,,,,,4047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-743192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-900374.0,,,,,,,,120000.0,,,,,,
2010-08-31,2010-10-20,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,,,,,,,,,,,,,14759.0,,10712.0,,,,,,,,,-213342.0,,,,,,,,,,,,,,-0.01,,-5146.0,,-7167.0,,,12966.0,,,-12930.0,204911.0,,,,52.0,,,-3195.0,,,,,,4032.0,,,,,,30000.0,,-14142.0,-206175.0,,,,,-202980.0,,,,,,,,,,,30000.0,,,,,,,14886.0,,,116684.0,,,24412.0,,,,,,,,,,,,,,,15895109.0,
2010-11-30,2011-01-14,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,,,,,,,,,,,,,55450.0,,,,,,,,,,,-264604.0,,,,,,,,,,,,,,-0.02,,,,-16204.0,,,10034.0,,,,,,,,,,,-4256.0,,,,,,5229.0,,,,,,,,,-253400.0,,,,,-249144.0,,,,,,,,,,,,,,,,,,38542.0,,,141359.0,,,23980.0,,,,,,,,,,,,,,,15982198.0,
2011-02-28,2011-04-14,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,,,,,,,,,,,,,160574.0,,,,,,,,,,,-311614.0,,,,,,,,,,,,,,-0.02,,,,-10040.0,,,15081.0,,,,,,,,,,,-7144.0,,,,,,4217.0,,,,,,,,,-301574.0,,,,,-294430.0,,,,,,,,,,,,,,,,,,32115.0,,,186501.0,,,26516.0,,,,,,,,,,,,,,,16278036.0,
2011-05-31,2011-10-21,10-K,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,148401.0,985808.0,-2523.0,932091.0,,,,1205.0,,19297.0,,,,,-4047.0,,0.001,,75000000.0,16677500.0,,,16618.0,-1154671.0,59131.0,59131.0,,,,,,,,,,1205.0,,-0.07,,,-32261.0,-2112.0,-2112.0,,95631.0,,,14925.0,374374.0,,7851.0,,,,,-7851.0,19.0,,,9619.0,9619.0,17841.0,,1205.0,1308750.0,,,751362.0,,-755409.0,-1152559.0,,86494.0,86494.0,1112466.0,-1112466.0,,1205.0,,,,,,,,,722500.0,,,,9580.0,19282.0,,126876.0,,,649324.0,-2253731.0,,102794.0,,-1307545.0,25000.0,,,,,25000.0,,722500.0,,,,,16115014.0,
2011-08-31,2013-05-17,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,160937.0,1104964.0,-2478.0,992031.0,,,,27473.0,26268.0,,,26268.0,26268.0,,26268.0,,0.001,,75000000.0,16677500.0,,,16678.0,-160519.0,,60061.0,,,,,,,,,,1205.0,,-0.01,,-17.0,736.0,45.0,,,10241.0,,,12545.0,119194.0,,,,4287.0,,,-4287.0,,,,12976.0,,4319.0,,27473.0,1435537.0,,,50823.0,,-24538.0,-160564.0,,,96599.0,,-157061.0,,1205.0,,,,,,,,,60000.0,,,,10105.0,-19282.0,,24331.0,,,79341.0,-2414295.0,,8829.0,,-1408064.0,,,,,,,,,,,,,16677500.0,
2011-11-30,2013-05-17,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,119232.0,1126780.0,-2403.0,1066956.0,,,,4175.0,2970.0,,,2970.0,2970.0,,,,0.001,,75000000.0,16677500.0,,,16753.0,-78338.0,,61463.0,,,,,,,,,,1205.0,,0.0,,,15928.0,,,,12907.0,,,,,,,,,,,-3441.0,,,,15016.0,,4186.0,,4175.0,1415505.0,,,,,,-78338.0,,,93014.0,,-90825.0,,1205.0,,12487.0,,,,,,,,,,,,,,0.0,,,29565.0,-2492636.0,,14167.0,,-1411330.0,,,,,,,,,,,,,16677500.0,
2012-02-29,2013-05-20,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,120730.0,989990.0,-1995.0,1521072.0,,,,10596.0,9121.0,,,9121.0,9121.0,,,,0.001,,75000000.0,16677500.0,,,17207.0,-148240.0,,,,,,,,,,,,1475.0,,-0.01,,,-8739.0,-408.0,,,23382.0,,,,,,,,,,,-3704.0,,,,4060.0,,5833.0,,10596.0,1114780.0,,,,,,-147832.0,,,,,-135389.0,,1475.0,,,,,,,,,,,,,,,,0.0,,,55157.0,-2640468.0,,21017.0,,-1104184.0,,,,,,,,,,,,,17207070.0,
