end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AdministrativeFeesExpense,AdvertisingRevenue,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AreaOfLand,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,ClassOfWarrantOrRightNumberOfSecuritiesCalledByEachWarrantOrRight,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfRevenue,DebtInstrumentFaceAmount,DebtInstrumentInterestRateStatedPercentage,DeferredFederalIncomeTaxExpenseBenefit,DeferredFederalStateAndLocalTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpense,DeferredTaxAssetsValuationAllowance,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,FairValueAssetsLevel1ToLevel2TransfersAmount,FairValueAssetsLevel2ToLevel1TransfersAmount,FairValueLiabilitiesLevel1ToLevel2TransfersAmount,FairValueLiabilitiesLevel2ToLevel1TransfersAmount,FairValueMeasurementWithUnobservableInputsReconciliationLiabilityTransfersIntoLevel3,FairValueMeasurementWithUnobservableInputsReconciliationLiabilityTransfersOutOfLevel3,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersIntoLevel3,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersOutOfLevel3,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseOther,InterestIncomeExpenseNet,InterestPayableCurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LineOfCredit,LineOfCreditFacilityInterestRateDuringPeriod,LinesOfCreditCurrent,LoansPayableCurrent,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,PaymentsForRepurchaseOfCommonStock,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromLinesOfCredit,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RelatedPartyTransactionRate,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromRelatedParties,Revenues,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPricePerShare,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharePrice,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesRestrictedStockAwardGross,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,ValuationAllowanceDeferredTaxAssetChangeInAmount,WarrantsAndRightsOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,LongTermDebtPercentageBearingVariableInterestRate
2017-05-31,2017-07-14,10-Q,"BORROWMONEY.COM, INC.",BWMY,CIK0001656501,USD,,,,4650.0,218795.0,,,,,1800.0,7472.0,7472.0,7472.0,,,,,,,0.0001,,100000000.0,22053000.0,22053000.0,2205.0,2456.0,,0.04,,,,,,,,,0.0,,,,,,,,,,,,,,10514.0,,-107.0,,,,,,,2072.0,,15470.0,,7472.0,225340.0,,,,,,,,-107.0,-2072.0,,205220.0,,205220.0,12970.0,1965.0,,,0.0001,20000000.0,,,,,,,,,,,,,,-438868.0,,,14935.0,,,,,,,,,,,,-217868.0,,,,,,,,,,,,22053000.0,
2017-08-31,2017-11-28,10-K,"BORROWMONEY.COM, INC.",BWMY,CIK0001656501,USD,1500.0,,,1500.0,238793.0,,,1980.0,,1800.0,10026.0,10026.0,10026.0,778.0,10026.0,,,,,0.0001,,100000000.0,22073000.0,22073000.0,2207.0,11450.0,,0.04,31400.0,36260.0,,4860.0,185700.0,185700.0,5100.0,185700.0,0.0,,,,,,,,,,,,,,95047.0,3486.0,-99493.0,7771.0,,36260.0,,,,7932.0,,17496.0,259216.0,10026.0,18996.0,,,,,240220.0,92500.0,-91722.0,-99493.0,-7932.0,,,240220.0,240220.0,106497.0,-91561.0,484000.0,,0.0001,20000000.0,,,,,20000.0,,,,92500.0,,,,20000.0,-490190.0,,,14936.0,,,,,,,,,,,,-249190.0,,,,,,,20000.0,,,185700.0,,22057164.0,
2017-11-30,2018-01-16,10-Q,"BORROWMONEY.COM, INC.",BWMY,CIK0001656501,USD,,,,6500.0,238793.0,,,,,,18801.0,18801.0,18801.0,8775.0,18801.0,8775.0,,,,0.0001,,100000000.0,22073000.0,22073000.0,2207.0,1981.0,,0.04,,,,,,,,,0.0,,,,,,,,,,,,,,34244.0,,-38809.0,5000.0,,,2584.0,,,2584.0,,20080.0,306800.0,18801.0,26580.0,,,,,280220.0,40000.0,-31225.0,-38809.0,-2584.0,,,280220.0,280220.0,36225.0,-36225.0,,,0.0001,20000000.0,,,,,,,,,40000.0,,,,,-528999.0,,,,,,,,,,,,,,,-287999.0,,,,,,,,,,,,22073000.0,
2018-02-28,2018-04-16,10-Q,"BORROWMONEY.COM, INC.",BWMY,CIK0001656501,USD,,,,1500.0,238793.0,,,,,,6345.0,6345.0,6345.0,,6345.0,,,,,0.0001,,100000000.0,22073000.0,22073000.0,2207.0,2969.0,,0.04,,,,,,,,,0.0,,,,,,,,,,,,,,29487.0,,-35395.0,,,,,,,2939.0,,23019.0,329739.0,6345.0,24519.0,,,,,305220.0,,,-35395.0,-2939.0,,,305220.0,305220.0,32456.0,-32456.0,,,0.0001,20000000.0,,,,,,,,,,,,,,-564394.0,,,,,,,,,,,,,,,-323394.0,,,,,,,,,,,,22073000.0,
2018-05-31,2018-07-16,10-Q,"BORROWMONEY.COM, INC.",BWMY,CIK0001656501,USD,,,,2811.0,237818.0,,,,,1800.0,3156.0,3156.0,3156.0,,3156.0,,,,,0.0001,,100000000.0,21823000.0,21823000.0,2182.0,1552.0,,0.04,,,,,,,,,0.0,,,,,,,,,,,,,,15094.0,,-19764.0,,,,,,,3118.0,,26137.0,347314.0,3156.0,28948.0,,,,,318366.0,,,-19764.0,-3118.0,,,,318366.0,16646.0,-16646.0,,,0.0001,20000000.0,,,,,,,,,,,,,,-584158.0,,,,,,,,,,,,,,,-344158.0,,,,,,,,,1000.0,,,22007066.0,
2018-08-31,2018-11-13,10-K,"BORROWMONEY.COM, INC.",BWMY,CIK0001656501,USD,2599.0,,,,237818.0,,,,,1800.0,9132.0,9132.0,5132.0,-4894.0,5132.0,-4894.0,,,,0.0001,,100000000.0,21823000.0,21823000.0,2182.0,,,0.04,-41700.0,-36700.0,,5000.0,,149000.0,,149000.0,0.0,,0.21,,,,,,,,,,,,90940.0,,-100602.0,10708.0,,-36700.0,,4000.0,,9662.0,,27105.0,359924.0,9132.0,29704.0,,,,,330220.0,89000.0,-93894.0,-100602.0,-9662.0,,330220.0,330220.0,330220.0,90940.0,-90940.0,561000.0,1000.0,0.0001,20000000.0,,,,4000.0,,,,,90000.0,,,,,-590792.0,,,,,,,,,,,,,,,-350792.0,,,,,,,,,1000.0,149000.0,,21993548.0,
2018-11-30,2019-01-09,10-Q,"BORROWMONEY.COM, INC.",BWMY,CIK0001656501,USD,12318.0,,,,237818.0,,,,,1800.0,63965.0,63965.0,63965.0,58833.0,63965.0,58833.0,,,,0.0001,,100000000.0,21823000.0,21823000.0,2182.0,1609.0,,0.04,,,,,,,,,0.0,,,,,,,,,,,,,,22007.0,,-29055.0,9719.0,,,5439.0,-4000.0,5439.0,5439.0,,32544.0,443812.0,63965.0,443812.0,,,,,,68730.0,-9897.0,-29055.0,-5439.0,,398950.0,398950.0,,23616.0,-23616.0,,,0.0001,20000000.0,,,,,,,,,68730.0,,,,,-619847.0,9428.0,,,,,,,,,,,,,,-379847.0,,,,,,,,,,,,21823000.0,
2019-02-28,2019-04-15,10-Q,"BORROWMONEY.COM, INC.",BWMY,CIK0001656501,USD,2500.0,,,,237818.0,,,,,,61059.0,61059.0,61059.0,,61059.0,,,,,0.0001,,100000000.0,21823000.0,21823000.0,2182.0,2101.0,,0.04,,,,,,,,,0.0,,,,,,,,,,,,,,20967.0,,-26958.0,,,,,,3890.0,3890.0,,36434.0,467864.0,61059.0,467864.0,,,,,,,,-26958.0,-3890.0,,428930.0,428930.0,,23068.0,-23068.0,,,0.0001,20000000.0,,,,,,,,,,,,,,-646805.0,15745.0,,,,,,,,,,,,,,-406805.0,,,,,,,,,,,,21823000.0,
2019-05-31,2019-07-09,10-Q,"BORROWMONEY.COM, INC.",BWMY,CIK0001656501,USD,7388.0,,3375.0,,237818.0,,,,,,13418.0,13418.0,13418.0,,13418.0,,,,,0.0001,,100000000.0,21823000.0,21823000.0,2182.0,2255.0,,0.04,,,,,,,,,0.0,,,,,,,,,,,,,,7663.0,,-13789.0,,,,,,3871.0,3871.0,,40305.0,434012.0,13418.0,434012.0,,,,,,,,-13789.0,-3871.0,,386319.0,386319.0,,9918.0,-9918.0,,,0.0001,20000000.0,,,,,,,,,,,,,,-660594.0,5764.0,,,,,,,,,,,,,,-420594.0,,,,,,,,,,,,21823000.0,
2019-08-31,2020-01-29,10-K,"BORROWMONEY.COM, INC.",BWMY,CIK0001656501,USD,8234.0,,,,287768.0,49950.0,,,,1800.0,7647.0,7647.0,7647.0,,7647.0,2515.0,,,,0.0001,,100000000.0,21823000.0,21823000.0,2182.0,8845.0,,0.04,-18000.0,-22000.0,,-4000.0,,171000.0,,171000.0,-0.01,0.0,0.21,0.2546,-0.2546,-0.0446,,,,,,,,,134409.0,,-151870.0,23096.0,,-22000.0,,4000.0,17461.0,17461.0,,44566.0,460359.0,7647.0,460359.0,,,,,,77339.0,-74824.0,-151870.0,-17461.0,,407559.0,407559.0,,134409.0,-134409.0,645000.0,,0.0001,20000000.0,,,,,,,,,138339.0,,,0.04,61000.0,-742662.0,,,,,,,49950.0,,,,,0.0,,,,,,,,,,,,,171000.0,,21823000.0,
