end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AllocatedShareBasedCompensationExpense,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DebtInstrumentCarryingAmount,DebtInstrumentDecreaseForgiveness,DebtInstrumentDecreaseRepayments,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentUnamortizedDiscount,DepositLiabilitiesAccruedInterest,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,GainLossOnDispositionOfAssets,GainsLossesOnRecourseDebt,GeneralAndAdministrativeExpense,GrossProfit,GuaranteeObligationsLiquidationProceeds,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InventoryRealEstateHeldForSale,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayable,NotesPayableCurrent,OtherNonoperatingExpense,OtherPrepaidExpenseCurrent,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PrepaidExpenseOtherNoncurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProfitLoss,RetainedEarningsAccumulatedDeficit,Revenues,SharesOutstanding,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesConversionOfUnits,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,WeightedAverageNumberOfSharesOutstandingBasic
2009-12-31,2010-04-15,10-K,"VIDABLE, INC.",NUGL,CIK0001096768,USD,,,,,,,,2719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,-415784.0,,,,,
2010-06-30,2010-08-23,10-Q,"VIDABLE, INC.",NUGL,CIK0001096768,USD,,,,,,,,27469.0,,,,,,,0.0,,,,,,,,-0.86,,0.0,,35302.0,0.0,,,,,,119401.0,,,,,,,,,,-154703.0,,,0.0,,,,,,,,,0.0,,,,,,,,180561.0
2010-09-30,2010-11-15,10-Q,"VIDABLE, INC.",NUGL,CIK0001096768,USD,,,,,,,,25266.0,,,,,,,0.0,,,,,,,,0.0,,0.0,,83192.0,0.0,,,,,,16957.0,,,,,,,,,,-100149.0,,,0.0,,,,,,,,,0.0,,,,,,,,190263.0
2010-12-31,2011-04-15,10-K,"VIDABLE, INC.",NUGL,CIK0001096768,USD,317660.0,38132442.0,,,210517.0,4945.0,3945.0,3945.0,1226.0,0.0001,4000000000.0,200059.0,200059.0,20.0,0.0,20700.0,,,,,18893.0,,,0.0,0.0,,169084.0,0.0,684.0,0.0,131757.0,0.0,0.0,262940.0,0.0,1000.0,826887.0,4945.0,716887.0,110000.0,50000.0,0.0,-48774.0,-432708.0,369300.0,300960.0,,0.0,0.0001,50000000.0,0.0,0.0,50000.0,-432708.0,-38956455.0,0.0,0.0,-821942.0,-821942.0,0.0,,20700.0,,198712.0
2011-03-31,2011-05-23,10-Q,"VIDABLE, INC.",NUGL,CIK0001096768,USD,,,,,474.0,,,2426.0,-1519.0,,,,,,0.0,,,,,,,,,-0.18,,,19333.0,0.0,,0.0,32721.0,0.0,,17813.0,0.0,,,,,,0.0,0.0,-1519.0,-37146.0,,,,,,,,,0.0,,,0.0,,,,,,,,206059.0
2011-06-30,2011-08-22,10-Q,"VIDABLE, INC.",NUGL,CIK0001096768,USD,20250.0,38509136.0,,,,1075.0,75.0,75.0,,0.0001,4000000000.0,200059.0,200059.0,20.0,0.0,,,,,,,,2.11,,487783.0,487783.0,52057.0,0.0,,,,,,1283.0,,1000.0,49077.0,1075.0,49077.0,0.0,,,,434443.0,,0.0,0.0,,0.001,,,,,,-38559159.0,0.0,,-48002.0,,,,,,400207154.0
2011-09-30,2011-11-21,10-Q,"VIDABLE, INC.",NUGL,CIK0001096768,USD,29595.0,38471136.0,,,,3007.0,2007.0,2008.0,,0.0001,4000000000.0,400200059.0,400200059.0,40020.0,0.0,,,,,,,,0.0,,0.0,,37796.0,0.0,,,,,,844.0,,1000.0,89649.0,3007.0,89649.0,0.0,,,,-38640.0,,0.0,0.0,,0.0001,,,,,,-38597799.0,0.0,,-86642.0,,,,,,400207154.0
2011-12-31,2012-04-16,10-K,"VIDABLE, INC.",NUGL,CIK0001096768,USD,43685.0,38471136.0,275000.0,0.0,0.0,1145.0,145.0,145.0,-3800.0,0.0001,4000000000.0,400201154.0,400201154.0,40020.0,0.0,0.0,,-487783.0,210000.0,,,,,0.0,487783.0,,151139.0,0.0,0.0,0.0,83407.0,85050.0,0.0,21118.0,0.0,1000.0,130917.0,1145.0,130917.0,0.0,0.0,0.0,-3800.0,315526.0,0.0,0.0,,0.0,0.0001,50000000.0,0.0,40000.0,,315526.0,-38640929.0,0.0,0.0,-129772.0,-129772.0,,0.0,,0.0,180260704.0
2012-03-31,2012-05-15,10-Q,"VIDABLE, INC.",NUGL,CIK0001096768,USD,33296.0,38471136.0,,,0.0,13183.0,12183.0,12183.0,12038.0,0.0001,4000000000.0,400201154.0,400201154.0,40020.0,0.0,,,,,,,,,0.0,,,20530.0,0.0,,0.0,-10389.0,45141.0,,2184.0,0.0,1000.0,165669.0,13183.0,165669.0,,0.0,0.0,12038.0,-22714.0,,,,,,,,,0.0,,-38663643.0,0.0,,-152486.0,,,,,,400207154.0
2012-06-30,2012-08-14,10-Q,"VIDABLE, INC.",NUGL,CIK0001096768,USD,12192.0,38471136.0,,,,39263.0,38263.0,38263.0,,0.0001,4000000000.0,400201154.0,400201154.0,40020.0,,,,,,,,,,,,,,,,,,,,,,1000.0,217103.0,39263.0,217103.0,,,,,,,,,,,,,,,,-38688997.0,,,-177840.0,,,,,,
