end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilities,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableOtherCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentExcludingCapitalLeasedAssets,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdministrativeFeesExpense,Assets,AssetsCurrent,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilities,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,CapitalizedComputerSoftwareGross,CapitalLeasesFutureMinimumPaymentsDueCurrent,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscriptions,CommonStockValue,CommonStockValueOutstanding,ConvertibleLongTermNotesPayable,ConvertibleNotesPayableCurrent,CostOfGoodsSold,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentDecreaseForgiveness,DebtInstrumentInterestRateStatedPercentage,DebtorReorganizationItemsGainLossOnAssetSalesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationNondeductibleExpense,EffectOfExchangeRateOnCashAndCashEquivalents,EquityIssuancePerShareAmount,ExtinguishmentOfDebtGainLossNetOfTax,FurnitureAndFixturesGross,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,Goodwill,GoodwillAcquiredDuringPeriod,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromContinuingOperationsPerBasicShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInOtherCurrentLiabilities,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseDebt,InterestPaid,InterestPayableCurrent,InventoryNet,InvestmentOwnedBalancePrincipalAmount,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LongTermNotesPayable,MarketingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesAndLoansPayable,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,OperatingLossCarryforwards,OtherAccruedLiabilitiesCurrent,OtherAssets,OtherAssetsNoncurrent,OtherGeneralAndAdministrativeExpense,OtherIncome,OtherLiabilitiesCurrent,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,PaymentsForSoftware,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseCurrent,ProceedsFromCollectionOfLongtermLoansToRelatedParties,ProceedsFromCollectionOfOtherReceivables,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,RelatedPartyTransactionDueFromToRelatedParty,RepaymentsOfNotesPayable,Revenues,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,SharesIssued,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensationGross,StockRepurchasedDuringPeriodShares,TreasuryStockSharesRetired,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2008-12-31,2009-02-18,10-K,"A1 GROUP, INC.",AWON,CIK0001432290,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16944.0,,,,,,,,-136.0,,,,,3000.0,,18500.0,,,,,
2009-12-31,2010-03-23,10-K,"A1 GROUP, INC.",AWON,CIK0001432290,USD,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20948.0,,,,,,,,-21084.0,,,,,,,,,,,,
2010-06-30,2010-09-17,10-Q,"A1 GROUP, INC.",AWON,CIK0001432290,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,3929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3929.0,,,,,,,,,,,,,429.0,,,,,,,,,,,,,,,,3500.0,,,,,,,,,,,,,,,,,,,,,10620000.0
2010-12-31,2011-04-15,10-K,"A1 GROUP, INC.",AWON,CIK0001432290,USD,26090.0,,,,,14880.0,,,1.0,1.0,,,,,,,,,,1.0,,1.0,-21.0,,,,,0.001,,75000000.0,10620000.0,10620000.0,,,10620.0,10620.0,,,,,,,,,,,,,,,-66234.0,,,,,0.0,,,,,,,,1512.0,,,,,,,,,,,,5040.0,,14589.0,,,,,,,,,,,,,,40735.0,1.0,,,,,14589.0,,,,-14610.0,,-19650.0,,,,,19650.0,-19650.0,,,,,,,,,,,,,,,,,,,,,,,18138.0,-19650.0,14645.0,,,,,,,-40734.0,,,,,,,,,,,,10620000.0
2011-03-31,2011-05-20,10-Q,"A1 GROUP, INC.",AWON,CIK0001432290,USD,,,,,,,,,,,,,,,,,,,,,,11.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,96.0,,,,,,,,,,,,3500.0,,,,,,,,,,,,,,,,,,,,,,106.0,,,,-96.0,,-3596.0,,,,,3596.0,-3596.0,,,,,,,,,,,,,,,106.0,,,,,,,,3500.0,,,,,,,,,,,,,,,,,,,,,10620000.0
2011-06-30,2011-08-17,10-Q,"A1 GROUP, INC.",AWON,CIK0001432290,USD,27396.0,,,,,14880.0,,,2.0,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,10620.0,,,,,,,,,,,,,,,,-75149.0,,,,,0.0,,,,,,,,1865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,49651.0,2.0,,,,,,,,,,,-5365.0,,,,,5365.0,-5365.0,,,,,,,1865.0,,,,,,,,,,,,,,,,3500.0,,22255.0,,,,,,,-49652.0,,,,,,,,,,,,10620000.0
2011-09-30,2011-11-14,10-Q,"A1 GROUP, INC.",AWON,CIK0001432290,USD,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3692.0,,,,,3692.0,-3692.0,,,,,,,,,,,,,,,,,,,,,,,3500.0,,,,,,,,,,,,,,,,,,,,,159300000.0
2011-12-31,2012-04-16,10-K,"A1 GROUP, INC.",AWON,CIK0001432290,USD,32643.0,32643.0,,,,-133800.0,,,2.0,2.0,,,,,,,,,,2.0,,2.0,1.0,,,,,0.001,,75000000.0,159300000.0,159300000.0,,,159300.0,10620.0,,,,,,,,,,,,,,,84483.0,,,26342.0,,0.0,,,,,,,,2249.0,,,,,,,,,,,,6553.0,,11697.0,,,,,,,,,,,,,,58985.0,2.0,58985.0,,,,11697.0,,,,-11696.0,,-18249.0,,,,,18249.0,-18249.0,,,,,,,,,,,,,,,,,,,,11697.0,,,16000.0,-18249.0,26342.0,,,,,,,-58983.0,,,,,,,,,,,,159300000.0
2012-03-31,2012-05-18,10-Q,"A1 GROUP, INC.",AWON,CIK0001432290,USD,27247.0,,,,,14880.0,,,,,,,,,,,,,,,,,-2.0,,,,,0.001,,75000000.0,10620000.0,10620000.0,,,10620.0,,,,,,,,,,,,,,,,-89117.0,,,,,0.0,,,,,,,,134.0,,,,,,,,,,,,-5396.0,,,,,,,,,,,,,,,,,,63617.0,,,,10028.0,,,,-10030.0,,-4634.0,,,,,4634.0,-4634.0,,,,,,,,,,,,,,,10028.0,,,,,10028.0,,,4500.0,-4634.0,36370.0,,,,,,,-63617.0,,,,,,,,,,,,33300000.0
2012-06-30,2012-08-02,10-Q,"A1 GROUP, INC.",AWON,CIK0001432290,USD,3759.0,,,,,69622.0,,,,,,,,,,,,,,,,,,,,,0.001,0.001,,75000000.0,10620000.0,10620000.0,,,10620.0,,,,,,,,,,,10000.0,,,,,-84001.0,,,,,0.0,,,,,10000.0,,,1022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3759.0,,,,,,,,,,,,5116.0,,,,,4884.0,-4884.0,,,84001.0,,,,,,,,10000.0,,,,,,,,,,,28400.0,3862.0,,,,,,,,,-3759.0,,,,,,,,,,,,159300000.0
2012-09-30,2012-11-19,10-Q,"A1 GROUP, INC.",AWON,CIK0001432290,USD,,5795.0,,,,46942.0,,,81159.0,,,,,,,,,8050.0,,68987.0,,68987.0,,,,,,0.001,,75000000.0,33300000.0,33300000.0,,,33300.0,,,110000.0,,,,,0.1,,0.08,,,,,,118950.0,,,4072.0,,0.0,,,0.0,0.0001,0.0,4122.0,,9686.0,,,,,,,,,,,,,,,,,,,,,1278.0,,,,,,,,81159.0,119867.0,,,460.0,,,,,,,-34949.0,,28400.0,,,33671.0,-33671.0,,,118950.0,,,,,,,,-1278.0,,,,,,,,,,,,11525.0,,,,0.0,,,,,-38708.0,,,150000000.0,,10000.0,,,,,,,33300000.0
