end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableCurrentAndNoncurrent,AccountsPayableOtherCurrent,AccountsPayableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ContractualObligationDueInNextTwelveMonths,ConvertibleNotesPayableCurrent,DebtInstrumentFeeAmount,DebtInstrumentIncreaseAccruedInterest,DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,FiniteLivedIntangibleAssetsNet,ForeignCurrencyTransactionGainLossBeforeTax,GainContingencyUnrecordedAmount,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationNondeductibleExpense,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,IndefiniteLivedIntangibleAssetsExcludingGoodwill,InterestExpenseDebtExcludingAmortization,InterestExpenseRelatedParty,InterestPaid,InterestPayableCurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,LoansPayableCurrent,LossContingencyAccrualPayments,ManagementFeeExpense,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OperatingLossCarryforwards,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,OtherGeneralExpense,OtherPrepaidExpenseCurrent,OtherTaxExpenseBenefit,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfLongTermDebt,ProfessionalFees,RepaymentsOfOtherDebt,RetainedEarningsAccumulatedDeficit,Revenues,ShareBasedCompensation,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2019-06-30,2019-08-14,10-Q,"FEARLESS FILMS, INC.",FERL,CIK0001122742,USD,175268.0,,,153739.0,8480.0,396447.0,2566812.0,0.0,26775.0,26775.0,,12134.0,,,,,0.001,,500000000.0,316543317.0,316543317.0,316543.0,-76143.0,,,,0.0,,,,,0.0,,,,,,,21272.0,-97411.0,,0.0,,,,,,,,,1940.0,,,,338852.0,26775.0,338852.0,155104.0,,,,2230.0,,,,-97411.0,72962.0,,21268.0,0.0,,,0.001,20000000.0,1000000.0,1000000.0,1000.0,,14641.0,,,12128.0,,-3592879.0,0.0,,-312077.0,,,,,,,,316543317.0,316543317.0
2019-09-30,2019-11-14,10-Q,"FEARLESS FILMS, INC.",FERL,CIK0001122742,USD,216115.0,,,207857.0,10390.0,397589.0,2566812.0,0.0,5124.0,5124.0,,1124.0,,,,,0.001,,500000000.0,316543317.0,316543317.0,316543.0,-64183.0,,,,,,,,,0.0,,,,,,,9243.0,-65325.0,,0.0,,,,,,,,,1940.0,,,,381384.0,5124.0,381384.0,154879.0,,,,1042.0,,,,-65325.0,62319.0,,1142.0,0.0,,,0.001,20000000.0,1000000.0,1000000.0,1000.0,,4000.0,,,13441.0,,-3658204.0,0.0,0.0,-376260.0,,,,,,,,316543317.0,316543317.0
2019-12-31,2020-05-29,10-K,"FEARLESS FILMS, INC.",FERL,CIK0001122742,USD,417199.0,,155000.0,211698.0,24045.0,396853.0,2861700.0,1555.0,3779.0,3779.0,,2779.0,128.0,2779.0,,0.0,0.001,0.0,500000000.0,31655005.0,31655005.0,31655.0,-648540.0,,41555.0,,,50000.0,1000375.0,1000375.0,0.0,-0.02,0.0,,0.0,,,,37848.0,-646904.0,,0.0,0.0,143500.0,0.0,315702.0,11943.0,-19729.0,,,9510.0,0.0,9113.0,,822047.0,3779.0,822047.0,339248.0,,,,5573.0,248103.0,,-247975.0,-1098176.0,583974.0,4109476.0,-2372.0,300000.0,,-143500.0,0.001,20000000.0,1000000.0,1000000.0,1000.0,,1000.0,0.0,248103.0,87780.0,0.0,-4109476.0,0.0,0.0,-818268.0,,,50000.0,,,,326743317.0,31655005.0,316543317.0
2020-03-31,2020-06-29,10-Q,"FEARLESS FILMS, INC.",FERL,CIK0001122742,USD,780485.0,,455000.0,241078.0,25135.0,401529.0,2576812.0,5055.0,6530.0,6530.0,,2197.0,1540.0,,,,0.001,,500000000.0,316543317.0,316543317.0,316543.0,-393054.0,,46610.0,,,50000.0,,,,0.0,,,,,,,1408.0,-397730.0,,0.0,0.0,,,367699.0,2126.0,3610.0,,,5736.0,0.0,13602.0,,1217852.0,6530.0,1217852.0,365622.0,,,,652.0,28000.0,,-26460.0,-397730.0,388056.0,,4676.0,300000.0,,,0.001,20000000.0,1000000.0,1000000.0,1000.0,,4333.0,,28000.0,47300.0,,-4507206.0,0.0,,-1211322.0,,,50000.0,,,,,316543317.0,
2020-06-30,2020-08-19,10-Q,"FEARLESS FILMS, INC.",FERL,CIK0001122742,USD,1223486.0,,874850.0,264361.0,26921.0,396792.0,2576812.0,3390.0,13284.0,13284.0,,5701.0,,,,,0.001,555228.0,500000000.0,316543317.0,316543317.0,316543.0,-997374.0,,50000.0,,1364.0,,,,,-0.03,,,,,,,716.0,-992637.0,,0.0,,,,,,,,,5938.0,,18175.0,,1666752.0,13284.0,1666752.0,366345.0,,,,288.0,,,,-992637.0,985471.0,,-4737.0,300000.0,,,0.001,20000000.0,1000000.0,1000000.0,1000.0,,7583.0,555228.0,,644974.0,,-5499843.0,0.0,,-1653468.0,,,,555228.0,,,,31654331.0,
2020-09-30,2020-11-23,10-Q,"FEARLESS FILMS, INC.",FERL,CIK0001122742,USD,379841.0,,,268237.0,29426.0,291357.0,3308039.0,0.0,110058.0,21658.0,,10739.0,,10739.0,,,0.001,717880.0,500000000.0,322944835.0,322944835.0,322945.0,87236.0,,0.0,,,,,,,0.01,,,88400.0,98768.0,,914008.0,1376.0,192671.0,192671.0,0.0,,,,,,,,5021.0,5021.0,,22799.0,,776009.0,110058.0,776009.0,366742.0,,,39377.0,288.0,,,,192671.0,815084.0,,-105435.0,200000.0,,,0.001,20000000.0,1000000.0,1000000.0,1000.0,,10919.0,717880.0,,574331.0,,-5307172.0,0.0,,-665952.0,,,94000.0,717880.0,,88400.0,,31882087.0,
2020-12-31,2021-04-15,10-K,"FEARLESS FILMS, INC.",FERL,CIK0001122742,USD,357971.0,,,254922.0,50195.0,166667.0,3598688.0,8445.0,135419.0,47019.0,39036.0,39036.0,261998.0,39036.0,,,0.001,878353.0,500000000.0,32295157.0,32295157.0,32295.0,-1438095.0,,0.0,,,0.0,1143875.0,1143875.0,,-0.04,,,88400.0,,,,4440.0,-1207909.0,,0.0,0.0,313692.0,0.0,894994.0,25858.0,6963.0,88400.0,,20910.0,0.0,27411.0,,775801.0,135419.0,775801.0,367635.0,367635.0,,,1325.0,1461581.0,,-1199583.0,-1218122.0,2317276.0,5317385.0,-354876.0,800000.0,,-313692.0,0.001,20000000.0,1000000.0,1000000.0,1000.0,7983.0,7983.0,1433581.0,28000.0,1379146.0,,-5317385.0,0.0,,-640382.0,,,50000.0,160473.0,,88400.0,,31873167.0,
2021-03-31,2021-05-24,10-Q,"FEARLESS FILMS, INC.",FERL,CIK0001122742,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-52216.0,,,-34847.0,,,,,,,,,,,50000.0,,,,,,,-405445.0,,,,50000.0,,,,,
2021-06-30,2021-08-16,10-Q,"FEARLESS FILMS, INC.",FERL,CIK0001122742,USD,494901.0,,,39586.0,47701.0,90595.0,3869088.0,0.0,949778.0,861378.0,,5007.0,,,,,0.001,1836433.0,500000000.0,33895157.0,33895157.0,33895.0,-463629.0,,,,,,,,,-0.01,,,88400.0,,,,100.0,-422404.0,,0.0,,,,,,,,,4584.0,,36529.0,,910772.0,949778.0,910772.0,368170.0,,,,0.0,,,,-422404.0,372878.0,,-41225.0,315833.0,,,0.001,20000000.0,1000000.0,1000000.0,1000.0,,856371.0,8080.0,,41981.0,,-5792005.0,0.0,,39006.0,,,,8080.0,,,,33895157.0,
2021-09-30,2021-11-22,10-Q,"FEARLESS FILMS, INC.",FERL,CIK0001122742,USD,510614.0,,,45154.0,58168.0,171205.0,3869088.0,,666304.0,577904.0,5283.0,,,5283.0,,,0.001,,500000000.0,33895157.0,33895157.0,33895.0,-342622.0,,,,,,,,,-0.01,,,,-77619.0,,,684.0,,-423232.0,,,,,,,,88400.0,8003.0,,,,,947204.0,666304.0,947204.0,,378422.0,,15005.0,,,,,-423232.0,337610.0,,80610.0,80000.0,97204.0,,0.001,20000000.0,1000000.0,1000000.0,1000.0,572621.0,,,,38171.0,,-6215237.0,,,-280900.0,,,,22716.0,,,,33895157.0,
