end,filed,form,Name,Ticker,CIK,Currency,AccountsAndOtherReceivablesNetCurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedIncomeTaxesCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,BusinessCombinationLiabilitiesArisingFromContingenciesAmountRecognized,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsPrepaidExpenseAndOtherAssets,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLiabilities,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilities,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedLessNoncontrollingInterest,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashFDICInsuredAmount,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CostOfRevenue,CostOfServices,DeferredRevenue,DeferredRevenueAndCreditsNoncurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositsAssetsCurrent,Depreciation,DepreciationAndAmortization,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectOfExchangeRateOnCashAndCashEquivalents,FinanceLeaseImpairmentLoss,FinanceLeaseLiability,FinanceLeaseLiabilityCurrent,FinanceLeaseLiabilityNoncurrent,FinanceLeaseLiabilityPaymentsDueInNextRollingTwelveMonths,FinanceLeaseLiabilityPaymentsDueInRollingYearThree,FinanceLeaseLiabilityPaymentsDueInRollingYearTwo,ForeignCurrencyTransactionGainLossBeforeTax,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,Goodwill,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationTaxExemptIncome,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDeferredRevenueAndCustomerAdvancesAndDeposits,IncreaseDecreaseInDeposits,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestAndDividendIncomeOperating,InterestExpense,InterestIncomeExpenseNet,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LongTermNotesPayable,MinorityInterest,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossAvailableToCommonStockholdersBasic,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseRightOfUseAsset,OtherExpenses,OtherInterestAndDividendIncome,OtherLiabilitiesCurrent,OtherNoncashIncomeTaxExpense,OtherNonoperatingIncome,OtherNonrecurringIncomeExpense,PaymentsToAcquireInterestInSubsidiariesAndAffiliates,PaymentsToAcquirePropertyPlantAndEquipment,PensionContributions,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssets,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromIssuanceOfSecuredDebt,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ReceivableFromShareholdersOrAffiliatesForIssuanceOfCapitalStock,ReceivablesNetCurrent,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueServicesNet,SharesIssued,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2017-10-31,2017-12-06,10-Q,VIVIC CORP.,VIVC,CIK0001703073,USD,,,,,,,,,,5075.0,,,15277.0,,,,,,,,,,,,,9347.0,,,,75000000.0,4675000.0,4675000.0,4675.0,,2800.0,2800.0,,5000.0,,,,,,,,8903.0,0.0,,,,,,,,,,,,,,2200.0,,,,,,,,,,,,,,,,,,,,,,,13903.0,15277.0,,,,,,,,-4243.0,,,6443.0,-4243.0,,,,,,,6443.0,,,,,,,,,,200.0,,,,,,,,,,5730.0,,,,,-8376.0,5000.0,5000.0,,,1374.0,,,,,4553152.0
2018-01-31,2018-03-08,10-Q,VIVIC CORP.,VIVC,CIK0001703073,USD,,,,,,,,,,24360.0,,,33412.0,,,,,,,,,,,,,27995.0,,,,75000000.0,5340000.0,5340000.0,5340.0,,2665.0,2665.0,,,,,,,,,,9166.0,0.0,,,,,,,,,,,,-588.0,,2335.0,2923.0,,,,,,,,,,,,,,,,,,,,,,9166.0,33412.0,,,,,,,,2923.0,,,-588.0,2923.0,,,,,,,-588.0,,,,,,,,,,200.0,,,,,,,,,,5217.0,,,,,-5454.0,5000.0,5000.0,,,24246.0,,,,4876032.0,4876032.0
2018-04-30,2018-06-21,10-K,VIVIC CORP.,VIVC,CIK0001703073,USD,,,,,,,1446.0,,8340.0,24360.0,1446.0,24360.0,18910.0,14206.0,,,,,,,,,,14006.0,,14006.0,9436.0,,0.001,70000000.0,21360000.0,21360000.0,21360.0,-18910.0,9265.0,,,,,,,1446.0,1446.0,10078.0,10078.0,10078.0,0.0,0.21,,,,,,,,,,,25945.0,,7035.0,-18910.0,,,4382.0,-3971.0,411.0,,,,,,,,,,,,,,,,,10078.0,18910.0,10078.0,,,,33050.0,-6150.0,-17464.0,-18910.0,,-18910.0,25945.0,-18910.0,,,,,,,25945.0,,6150.0,,0.001,5000000.0,0.0,0.0,,,200.0,7850.0,25200.0,,,25200.0,,7850.0,,-18910.0,6150.0,4704.0,,,,-20868.0,16300.0,16300.0,5340000.0,8832.0,8832.0,,840000.0,25200.0,19252000.0,4813000.0
2018-07-31,2018-08-29,10-Q,VIVIC CORP.,VIVC,CIK0001703073,USD,,,,,,,,,,24360.0,,,12957.0,,,,,,,,,,,8291.0,,8291.0,-5715.0,,,75000000.0,5340000.0,5340000.0,5340.0,,0.0,,,,,,,513.0,513.0,,,12016.0,0.0,0.21,,,,,,,,,,,7891.0,,0.0,-7891.0,,,1657.0,-1657.0,,,,,,,,,-275.0,,,-275.0,,,,,,12016.0,12957.0,,,,,1938.0,0.0,-7653.0,-7891.0,,,7891.0,-7891.0,,,,,,,7891.0,,,,,,,,,,475.0,1938.0,,,,,,1938.0,,-7891.0,4191.0,,,,,-28759.0,0.0,,,,941.0,,,,5340000.0,5340000.0
2018-10-31,2018-11-30,10-Q,VIVIC CORP.,VIVC,CIK0001703073,USD,,,,,,,,,,24360.0,,,8899.0,,,,,,,,,,,,,4822.0,,,,75000000.0,5340000.0,5340000.0,5340.0,,0.0,,,,,,,,,,,12103.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,12103.0,8899.0,,,,,,,,,,,,-4145.0,,,,,,,4145.0,,,,,,,,,,399.0,,,,,,,,,,3678.0,,,,,-32904.0,0.0,,,,-3204.0,,,,,5340000.0
2019-01-31,2019-03-26,10-Q,VIVIC CORP.,VIVC,CIK0001703073,USD,,,4500.0,,,7655.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,12554.0,,,-12554.0,0.0,,,,,,,,,,,,,,,,,,,,,12155.0,,12155.0,,,,,,,-12554.0,,,,-12554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5340000.0,
2019-04-30,2019-08-12,10-K,VIVIC CORP.,VIVC,CIK0001703073,USD,,11255.0,,,6941.0,,,,-60075.0,,,,181519.0,181519.0,,,,,,,,,,,,,156513.0,250000.0,0.001,70000000.0,117384000.0,117384000.0,117384.0,26113.0,,,,,,,,1026.0,1026.0,99937.0,99937.0,,0.0,0.21,,,,,,,,,,3603.0,66921.0,,99975.0,33054.0,6941.0,,,6941.0,,,11255.0,,,6941.0,,,,,,,-10800.0,,,,,118133.0,181519.0,118133.0,,,,121978.0,,34535.0,26113.0,,26113.0,66921.0,33054.0,,,,,,,,,,,0.001,5000000.0,832000.0,832000.0,832.0,,11000.0,,,,,24838.0,,2025.0,99937.0,,,,,,4822.0,5245.0,99975.0,,,63386.0,,,,24838.0,29515464.0,
2019-07-31,2019-09-16,10-Q,VIVIC CORP.,VIVC,CIK0001703073,USD,,15570.0,,,57123.0,,,,27963.0,,,,530427.0,530427.0,,,,,,,,,,,,,204354.0,,0.001,70000000.0,29346000.0,29346000.0,29346.0,,,,,,,,,,,208582.0,,,,0.21,,,,,,,,,,,,,,,,,,50182.0,,,4315.0,,-99000.0,,,,3000.0,,,,,2.0,,2.0,,281275.0,530427.0,281275.0,,,,60091.0,,144263.0,,,,,,,,,,50182.0,,,,,,0.001,5000000.0,832000.0,832000.0,832.0,,8000.0,,,,,,,,60091.0,,,,99000.0,,,191011.0,,,,,,,,,,
2019-09-30,2019-11-14,10-Q,VIVIC CORP.,VIVC,CIK0001703073,USD,,8584.0,,,68514.0,,,,27963.0,,,,551366.0,551366.0,,,,,,,,,,335262.0,,,,,0.001,70000000.0,29346000.0,29346000.0,29346.0,4444.0,,,,,,,,0.0,,206194.0,,,0.0,,,,,,,,,,,,44379.0,,99000.0,54626.0,50182.0,,,,,,,,,,,,,,,,,5.0,,,,283292.0,551366.0,283292.0,,,,,,,4444.0,,4444.0,44379.0,54621.0,,5.0,,,,,,,,,0.001,5000000.0,832000.0,832000.0,832.0,,6115.0,,,,,,,,,,,,,,,209933.0,99000.0,,,268074.0,268074.0,,,,117384000.0,
2020-03-31,2020-05-20,10-Q,VIVIC CORP.,VIVC,CIK0001703073,USD,35458.0,292820.0,,,36361.0,,114518.0,3370.0,24946.0,,,,740181.0,488319.0,,,,,,,,,,325240.0,,,-237263.0,,0.001,70000000.0,32363200.0,32363200.0,32363.0,-68176.0,5158.0,,26337.0,,,25468.0,,9294.0,9294.0,,596712.0,,0.0,,8822.0,,13294.0,5072.0,8222.0,6476.0,3612.0,6476.0,4689.0,,176347.0,,106719.0,-70001.0,9329.0,9031.0,,,,8711.0,-13428.0,,-4000.0,298.0,-10504.0,,,,-11802.0,,-123621.0,17.0,390.0,,390.0,986683.0,740181.0,978461.0,,,109640.0,-21703.0,,-224382.0,-79330.0,-6465.0,-72865.0,176347.0,-69628.0,13294.0,373.0,,,,,,,,,0.001,5000000.0,832000.0,832000.0,832.0,,123621.0,,,,,,,-20468.0,-20468.0,,,251862.0,,4000.0,,-417653.0,111877.0,,,-356142.0,-246502.0,,,,32363200.0,
