end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableCurrentAndNoncurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommitmentsAndContingencies,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfRevenue,CostsAndExpenses,CostsAndExpensesRelatedParty,DebtInstrumentDecreaseForgiveness,DeferredTaxAssetsNet,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationDeductions,IncomeTaxReconciliationDeductionsOther,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInInventories,InterestPaid,InterestPaidNet,InventoryNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MarketingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OriginationOfNotesReceivableFromRelatedParties,PaymentsToFundLongtermLoansToRelatedParties,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockValue,ProceedsFromHedgeInvestingActivities,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromRelatedPartyDebt,ProductionCosts,ProfessionalFees,ProfitLoss,RepaymentsOfRelatedPartyDebt,RestrictedStockSharesIssuedNetOfSharesForTaxWithholdings,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueGoodsNet,SharesIssued,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AccruedSalariesCurrentAndNoncurrent,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,DebtInstrumentInterestRateDuringPeriod,DeferredFederalIncomeTaxExpenseBenefit,MarketingAndAdvertisingExpense,NotesReceivableRelatedParties,RecapitalizationCosts,RelatedPartyTransactionAmountsOfTransaction,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,StockIssuedDuringPeriodValueNewIssues
2017-05-31,2017-07-14,10-Q,INSTADOSE PHARMA CORP.,INSD,CIK0001697587,USD,145.0,,,,279.0,,279.0,,,,,0.001,,200000000.0,9000000.0,9000000.0,9000.0,,,,,,,,,4800.0,,0.0,,470.0,,,,,,,,,,,,,,4945.0,279.0,,,,,,-2720.0,-2720.0,-2720.0,,,,,,,,,,,,,,,2250.0,,,,-13666.0,,,,,-4666.0,,,450000000.0,,,,,,,,,,
2017-08-31,2017-10-23,10-Q,INSTADOSE PHARMA CORP.,INSD,CIK0001697587,USD,645.0,,,,13749.0,,249.0,,,,,0.001,,200000000.0,9000000.0,9000000.0,9000.0,,,,,,,,13500.0,8150.0,,0.0,,1380.0,,,,,,,,,,,,,,8795.0,13749.0,,,,,,-3880.0,-3880.0,13666.0,,,,,,,,,,,,,,,2500.0,,,,-17546.0,,,,,4954.0,,,450000000.0,,,,,,,,,,
2017-11-30,2018-03-14,10-K,INSTADOSE PHARMA CORP.,INSD,CIK0001697587,USD,1218.0,,-51000.0,,1086.0,,1086.0,-7934.0,,,,0.001,,200000000.0,75000000.0,75000000.0,75000.0,,,,,,,,,11900.0,,0.0,0.34,3397.0,,31947.0,,,,10862.0,10862.0,,1218.0,,,,,,1086.0,13118.0,11800.0,12856.0,,-20790.0,-31947.0,31947.0,,,7116.0,7116.0,,,,,,,,21856.0,12856.0,,,16750.0,,,,-33888.0,,,75000000.0,,-12032.0,2144.0,,416780822.0,,,,,,,,,,
2018-02-28,2018-04-13,10-Q,INSTADOSE PHARMA CORP.,INSD,CIK0001697587,USD,4332.0,,-51000.0,,2726.0,,1806.0,720.0,,,,0.001,,200000000.0,75000000.0,75000000.0,75000.0,,362.0,362.0,,,,,,21659.0,,0.0,,5441.0,458.0,,,,,,,,3114.0,-920.0,,,920.0,,2726.0,25991.0,,,,720.0,-11233.0,11691.0,,,,,,,,,,,,21856.0,,,,6250.0,-11233.0,,,-45121.0,820.0,820.0,75000000.0,,-23265.0,2144.0,,75000000.0,,,,,,,,,,
2018-05-31,2018-07-13,10-Q,INSTADOSE PHARMA CORP.,INSD,CIK0001697587,USD,3082.0,,-51000.0,,289.0,,289.0,,,,,0.001,,200000000.0,75000000.0,75000000.0,75000.0,-920.0,920.0,,-5979.0,,,,,23332.0,,0.0,,3079.0,975.0,,,,,,,,,,,,,,289.0,26414.0,,,,,-5004.0,-5979.0,,,,,,,,,,,,,,,1895.0,2900.0,-5004.0,,,-50125.0,,1895.0,,,-26125.0,,,75000000.0,,,,,,,,,,
2018-08-31,2018-12-04,10-Q,INSTADOSE PHARMA CORP.,INSD,CIK0001697587,USD,698.0,,-51000.0,,130.0,,130.0,,,,,0.001,2144.0,200000000.0,75000000.0,75000000.0,75000.0,,,,,,,,,29432.0,,0.0,,1125.0,,,,,,,,,,,,,,,130.0,30130.0,,,,,-3875.0,-3875.0,,,,,,,,,,,,,,,,2750.0,-3875.0,,,-54000.0,,,,,-30000.0,,,75000000.0,,,,,,,,,,
2018-11-30,2019-02-28,10-K,INSTADOSE PHARMA CORP.,INSD,CIK0001697587,USD,797.0,797.0,-51000.0,100.0,100.0,100.0,100.0,-986.0,,,0.001,0.001,,200000000.0,75000000.0,75000000.0,75000.0,-1381.0,,1381.0,,,,,,32731.0,32731.0,0.0,0.34,10224.0,1334.0,23540.0,,,,4943.0,4943.0,,-421.0,,,,,,100.0,33528.0,,2144.0,,-3130.0,-23540.0,-24874.0,,,12059.0,-12059.0,,,,,,,,24020.0,,,,14650.0,,,,-57428.0,2715.0,,,75000.0,-33428.0,,75000000.0,75000000.0,,,,,,,,,,
2019-02-28,2019-04-15,10-Q,INSTADOSE PHARMA CORP.,INSD,CIK0001697587,USD,2599.0,,-51000.0,,70.0,,70.0,-30.0,,,,0.001,,200000000.0,75000000.0,75000000.0,75000.0,,,,,,,,,40094.0,,0.0,,1695.0,,,,,,,,,1802.0,,,,,,70.0,42693.0,,,,-30.0,-9195.0,-9195.0,,,,,,,,,,,,24000.0,,,,7500.0,-9195.0,,,-66623.0,,,,,-42623.0,,75000000.0,75000000.0,,,,,,,,,,
2019-05-31,2019-07-15,10-Q,INSTADOSE PHARMA CORP.,INSD,CIK0001697587,USD,,3550.0,-51000.0,50.0,,50.0,50.0,,,,0.001,0.001,,200000000.0,75000000.0,75000000.0,,0.0,,,-4631.0,,,,,,43754.0,0.0,,1331.0,0.0,,,,,,,,,,,,,,50.0,47304.0,,,,,-4631.0,,-4631.0,,,,,,,,,,,,,,,3300.0,-4631.0,,,-71254.0,0.0,,,75000.0,-47254.0,,,75000000.0,,,,,,,,,,
2019-08-31,2019-10-11,10-Q,INSTADOSE PHARMA CORP.,INSD,CIK0001697587,USD,2847.0,,-51000.0,,20.0,,20.0,,,,,0.001,,200000000.0,75000000.0,75000000.0,75000.0,0.0,,,,,,,,49418.0,,0.0,,2191.0,0.0,,,,,,,,,,,,,,20.0,52265.0,,,,,-4991.0,-4991.0,-4991.0,,,,,,,,,,,,,,,2800.0,-4991.0,,,-76245.0,,,,,-52245.0,,,75000000.0,,,,,,,,,,
2019-11-30,2020-03-03,10-K,INSTADOSE PHARMA CORP.,INSD,CIK0001697587,USD,1037.0,,-51000.0,,0.0,,52.0,-100.0,0.0,0.0,,0.001,,500000000.0,75000000.0,75000000.0,75000.0,0.0,,,,,,0.0,,55664.0,,0.0,0.21,6274.0,0.0,-23273.0,0.0,,0.0,4887.0,-4887.0,0.0,240.0,,0.0,,,,0.0,56701.0,,25.0,,-125.0,-23273.0,-23773.0,-23733.0,,16946.0,-16946.0,0.0,25.0,,0.0,0.0,,0.0,,,25.0,,16999.0,,,,-80701.0,,,,,-56701.0,,,75000000.0,,,,,,55664.0,,,,
2020-02-29,2020-04-14,10-Q,INSTADOSE PHARMA CORP.,INSD,CIK0001697587,USD,8261.0,,-51000.0,,155.0,,155.0,155.0,,,,0.001,,200000000.0,75000000.0,75000000.0,75000.0,0.0,,,,,,,,57439.0,,0.0,,1344.0,0.0,,,,0.0,,,,7224.0,,0.0,,,,155.0,65700.0,,330.0,0.0,-175.0,-8844.0,-8844.0,-8844.0,,,,,330.0,,,,,,,,330.0,,7500.0,-8844.0,0.0,,-89545.0,,,,,-65545.0,,,75000000.0,,,,,,,,,,
2020-05-31,2020-07-20,10-Q,INSTADOSE PHARMA CORP.,INSD,CIK0001697587,USD,5028.0,,-51000.0,,125.0,,125.0,,,0.0,,0.001,,200000000.0,75000000.0,75000000.0,75000.0,0.0,,,,,,,,65404.0,,0.0,,1362.0,0.0,,,,,,,,,,,,,,125.0,70432.0,,,,,-4762.0,,-4762.0,,,,,,,,,,,,,,,3400.0,,,,-94307.0,0.0,,,,-70307.0,,,75000000.0,,,,,,,,,,
2020-08-31,2020-10-15,10-Q,INSTADOSE PHARMA CORP.,INSD,CIK0001697587,USD,6505.0,,-51000.0,,95.0,,95.0,,,0.0,,0.001,,200000000.0,75000000.0,75000000.0,75000.0,0.0,,,,,,,,68040.0,,0.0,,583.0,0.0,,,,,,,,,,,,,,95.0,74545.0,,,,,-4143.0,,-4143.0,,,,,,,0.0,0.0,,,,,,,3560.0,,,,-98450.0,,,,,-74450.0,,,75000000.0,,,,,,,,,,
2020-11-30,2021-02-25,10-K,INSTADOSE PHARMA CORP.,INSD,CIK0001697587,USD,338.0,,16500.0,65.0,65.0,0.0,65.0,117.0,65.0,0.0,,0.0001,,700000000.0,75000000.0,75000000.0,7500.0,0.0,,,,0.0,,0.0,,82085.0,,0.0,0.21,25697.0,0.0,-25657.0,0.0,,0.0,5400.0,-5388.0,0.0,-647.0,,0.0,,,,65.0,82423.0,,330.0,,-213.0,-25657.0,,-25657.0,,22334.0,-22334.0,0.0,,0.0001,1000000.0,0.0,0.0,0.0,,,330.0,,17960.0,,,,-106358.0,,,,,-82358.0,0.0,,75000000.0,0.0,117.0,0.0,-5400.0,,82085.0,,,,
2021-02-28,2021-04-14,10-Q,INSTADOSE PHARMA CORP.,INSD,CIK0001697587,USD,1122.0,,31085.0,35.0,,,35.0,-30.0,35.0,0.0,,0.001,,500000000.0,75000000.0,75000000.0,75000.0,0.0,,,,,,,,11355.0,,0.0,,2384.0,0.0,,,,0.0,,,,784.0,,0.0,,,,35.0,12477.0,,0.0,0.0,-30.0,-12169.0,,-12169.0,,,,,,,0.0,0.0,,,,,0.0,,9785.0,,82085.0,,-118527.0,,,,,-12442.0,,,75000000.0,,,,,,,,,,
