end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableGrossCurrent,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AccruedProfessionalFeesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AssetImpairmentCharges,Assets,AssetsCurrent,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAmortizedCostBasis,AvailableForSaleSecuritiesDebtSecurities,CapitalExpendituresIncurredButNotYetPaid,CapitalLeaseObligationsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ContractWithCustomerLiabilityCurrent,ContractWithCustomerLiabilityNoncurrent,DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLonger,DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12Months,DebtSecuritiesAvailableForSaleUnrealizedLossPosition,DeferredIncomeTaxLiabilities,DeferredRentCreditNoncurrent,DeferredRevenueCurrent,DeferredRevenueNoncurrent,DeferredTaxAssetsDeferredIncome,DeferredTaxAssetsGoodwillAndIntangibleAssets,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxCreditCarryforwardsResearch,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsDeferredRent,DeferredTaxAssetsValuationAllowance,Depreciation,Dividends,DividendsCommonStock,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationNondeductibleExpense,EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectiveIncomeTaxRateReconciliationTaxCreditsResearch,EmployeeRelatedLiabilitiesCurrent,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,GeneralAndAdministrativeExpense,ImpairmentOfInvestments,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,InterestIncomeExpenseNonoperatingNet,InterestPaidNet,InterestReceivable,LeaseIncentivePayableCurrent,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MarketableSecurities,MarketableSecuritiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired1,NumberOfOperatingSegments,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwardsValuationAllowance,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,OtherLiabilitiesCurrent,OtherLiabilitiesNoncurrent,OtherNonoperatingIncome,PaymentsOfStockIssuanceCosts,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireMarketableSecurities,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockDividendsIncomeStatementImpact,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromIssuanceOfRedeemableConvertiblePreferredStock,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentsOfLongTermCapitalLeaseObligations,ResearchAndDevelopmentExpense,ResearchAndDevelopmentInProcess,RestrictedCashNoncurrent,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendPayments,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueEmployeeBenefitPlan,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueRestrictedStockAwardGross,TreasuryStockShares,UnbilledReceivablesCurrent,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAccrued,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,UnrecognizedTaxBenefitsInterestOnIncomeTaxesAccrued,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,ProceedsFromRepurchaseOfRedeemablePreferredStock
2019-06-30,2019-08-26,10-Q,"FULCRUM THERAPEUTICS, INC.",FULC,CIK0001680581,USD,3081000.0,,,166000.0,2912000.0,,6453000.0,950000.0,18562481.0,,65151000.0,51366000.0,,,,,,48000.0,49628000.0,,50720000.0,,0.001,147500000.0,2768596.0,1870286.0,2000.0,-13169000.0,,,,,,,1496000.0,,,,,,,,,,,,500000.0,0.0,,-9.21,,,,,,,934000.0,10200000.0,2634000.0,,,,,,,,,325000.0,,96000.0,469000.0,22872000.0,12187000.0,,2497000.0,2424000.0,2354000.0,2285000.0,1125000.0,11696000.0,65151000.0,6343000.0,,,,,,-13169000.0,-16460000.0,,,13494000.0,-13494000.0,,211000.0,624000.0,,,58000.0,101000.0,8000.0,,,,,3291000.0,,,,,1738000.0,,,,,,,12917000.0,10005000.0,,10860000.0,,1092000.0,-118136000.0,,950000.0,,,-111681000.0,,,,,225000.0,,1432.0,,,,,1787.0,
2019-09-30,2019-11-14,10-Q,"FULCRUM THERAPEUTICS, INC.",FULC,CIK0001680581,USD,4533000.0,,,168000.0,3427000.0,,236783000.0,1179000.0,2764005.0,,115956000.0,105222000.0,,,,,,49000.0,101597000.0,,102689000.0,,0.001,200000000.0,23340419.0,22557871.0,23000.0,-16542000.0,,,,,,,1527000.0,,,,,,,,,,,,500000.0,0.0,,-0.97,,,,,,,1511000.0,13100000.0,3510000.0,,,,,,,,,464000.0,,159000.0,469000.0,22309000.0,12187000.0,,2497000.0,2424000.0,2354000.0,2285000.0,562000.0,13828000.0,115956000.0,8585000.0,,,,,,-16542000.0,-17338000.0,,,17006000.0,-17006000.0,,305000.0,59000.0,,,61000.0,78000.0,7000.0,,,,,796000.0,0.001,5000000.0,0.0,0.0,3625000.0,,,,,,,13010000.0,9583000.0,,13496000.0,,1092000.0,-134678000.0,,1179000.0,,,102128000.0,,,-165136000.0,,35000.0,,0.0,,,,,17785.0,
2019-12-31,2020-03-05,10-K,"FULCRUM THERAPEUTICS, INC.",FULC,CIK0001680581,USD,2186000.0,,,891000.0,3947000.0,,237931000.0,4224000.0,2704898.0,0.0,110439000.0,100083000.0,,,,,34000.0,50000.0,96713000.0,,97805000.0,23916000.0,0.001,200000000.0,23335514.0,22654444.0,23000.0,-82677000.0,3989000.0,6011000.0,,,,1416000.0,1559000.0,3989000.0,6011000.0,,7235000.0,45002000.0,1416000.0,30444000.0,4658000.0,1149000.0,426000.0,43586000.0,2053000.0,,,-8.13,0.21,-0.2903,-0.0067,0.0048,0.0616,0.0206,2239000.0,12200000.0,13145000.0,,,803000.0,,2949000.0,10000000.0,20000.0,2459000.0,1540000.0,7000.0,111000.0,469000.0,21747000.0,9615000.0,2285000.0,2572000.0,2497000.0,2424000.0,2354000.0,,23286000.0,110439000.0,12140000.0,,0.0,64343000.0,-944000.0,-39483000.0,-82677000.0,-89805000.0,25500000.0,1.0,84217000.0,-84217000.0,,284000.0,59000.0,,,49000.0,55000.0,29000.0,,91000.0,,853000.0,7128000.0,0.001,5000000.0,0.0,0.0,3370000.0,64173000.0,249000.0,,,,-82677000.0,13152000.0,9205000.0,45000.0,71072000.0,25591000.0,1092000.0,-150801000.0,,4224000.0,0.0,,87153000.0,,,-165136000.0,253000.0,268000.0,15000.0,0.0,,0.0,0.0,0.0,11046.0,
2020-03-31,2020-05-13,10-Q,"FULCRUM THERAPEUTICS, INC.",FULC,CIK0001680581,USD,3937000.0,,45000.0,326000.0,4341000.0,-53000.0,239914000.0,1693000.0,3402529.0,,94856000.0,84323000.0,27000.0,80000.0,55881000.0,55828000.0,163000.0,51000.0,25379000.0,25379000.0,26471000.0,-71334000.0,0.001,200000000.0,23363199.0,22793137.0,23000.0,-18505000.0,4557000.0,5018000.0,0.0,21800000.0,,,1590000.0,,,,,,,,,,,,539000.0,,,-0.81,,,,,,,781000.0,19800000.0,5064000.0,0.0,,1429000.0,325000.0,-91000.0,-425000.0,20000.0,-579000.0,344000.0,1000.0,177000.0,469000.0,21185000.0,9615000.0,,2572000.0,2497000.0,2424000.0,2354000.0,1723000.0,24225000.0,94856000.0,14182000.0,55828000.0,,274000.0,-56404000.0,-15204000.0,-18452000.0,-18452000.0,,,19546000.0,-18796000.0,,291000.0,79000.0,-53000.0,-53000.0,59000.0,31000.0,,,,55837000.0,567000.0,,0.001,5000000.0,0.0,0.0,2791000.0,,286000.0,,,0.0,-18452000.0,13703000.0,9362000.0,12000.0,14482000.0,,1092000.0,-169253000.0,750000.0,1693000.0,,,70631000.0,,,,286000.0,290000.0,4000.0,0.0,325000.0,,,,22719.0,
2020-06-30,2020-08-11,10-Q,"FULCRUM THERAPEUTICS, INC.",FULC,CIK0001680581,USD,3571000.0,,,426000.0,4895000.0,81000.0,306961000.0,2204000.0,3038672.0,,144862000.0,134784000.0,81000.0,,55939000.0,56020000.0,,43000.0,75718000.0,75718000.0,76810000.0,,0.001,200000000.0,27452872.0,27223796.0,27000.0,-15551000.0,4464000.0,3867000.0,0.0,9000000.0,,,1620000.0,,,,,,,,,,,,600000.0,,,-0.66,,,,,,,1624000.0,18200000.0,5149000.0,,,,,,,,,239000.0,,205000.0,469000.0,20620000.0,9615000.0,,2572000.0,2497000.0,2424000.0,2354000.0,1158000.0,22731000.0,144862000.0,13943000.0,56020000.0,,,,,-15685000.0,-15685000.0,,,17924000.0,-15924000.0,,208000.0,76000.0,134000.0,134000.0,78000.0,15000.0,,,,,,,0.001,5000000.0,0.0,0.0,2291000.0,,,,,0.0,,13805000.0,8910000.0,,12775000.0,,1092000.0,-184938000.0,2000000.0,2204000.0,,,122131000.0,,,,525000.0,530000.0,5000.0,0.0,755000.0,,,,23854.0,
2020-09-30,2020-11-10,10-Q,"FULCRUM THERAPEUTICS, INC.",FULC,CIK0001680581,USD,3634000.0,,,431000.0,5449000.0,31000.0,308827000.0,1776000.0,3049906.0,,142215000.0,132112000.0,31000.0,,41773000.0,41804000.0,,30000.0,85221000.0,85221000.0,86313000.0,,0.001,200000000.0,27459196.0,27277983.0,27000.0,-19012000.0,13609000.0,5965000.0,,,0.0,,1634000.0,,,,,,,,,,,,500000.0,,,-0.7,,,,,,,2255000.0,16700000.0,5312000.0,,,,,,,,,142000.0,,71000.0,469000.0,20041000.0,,2354000.0,,2572000.0,2497000.0,2424000.0,579000.0,37230000.0,142215000.0,26455000.0,41804000.0,,,,,-18962000.0,-18962000.0,,,20952000.0,-19104000.0,,72000.0,616000.0,-50000.0,-50000.0,64000.0,7000.0,,,,,,,0.001,5000000.0,0.0,0.0,4495000.0,,,,,,,13844000.0,8395000.0,,15640000.0,,1092000.0,-203900000.0,1848000.0,1776000.0,,,104985000.0,,,,87000.0,90000.0,3000.0,0.0,592000.0,,,,27261.0,
2020-12-31,2021-03-04,10-K,"FULCRUM THERAPEUTICS, INC.",FULC,CIK0001680581,USD,4079000.0,2000000.0,68000.0,196000.0,6118000.0,-2000.0,316775000.0,7350000.0,3088183.0,0.0,129577000.0,119510000.0,2000.0,4000.0,55864000.0,55862000.0,262000.0,17000.0,57052000.0,57052000.0,58144000.0,-39661000.0,0.001,200000000.0,28067402.0,27941566.0,28000.0,-70821000.0,,,3100000.0,13400000.0,,1215000.0,1649000.0,14910000.0,2971000.0,1791000.0,6722000.0,68642000.0,1215000.0,46603000.0,6842000.0,2240000.0,450000.0,67427000.0,2379000.0,,,-2.79,0.21,-0.3367,-0.0079,0.0047,0.0614,0.0257,2928000.0,16000000.0,21392000.0,0.0,2000000.0,1773000.0,-531000.0,1976000.0,7881000.0,519000.0,697000.0,792000.0,4000.0,176000.0,469000.0,19462000.0,6966000.0,2354000.0,2649000.0,2572000.0,2497000.0,2424000.0,,34396000.0,129577000.0,26725000.0,55862000.0,,71132000.0,-57138000.0,-53655000.0,-70819000.0,-70819000.0,,1.0,80434000.0,-71611000.0,23800000.0,74000.0,578000.0,-2000.0,-2000.0,44000.0,,,,,124270000.0,1342000.0,,0.001,5000000.0,0.0,0.0,4065000.0,-193000.0,1429000.0,64210000.0,,,-70819000.0,14515000.0,8397000.0,50000.0,59042000.0,,1092000.0,-221620000.0,8823000.0,7350000.0,0.0,,95181000.0,,,,1430000.0,,15000.0,0.0,531000.0,0.0,0.0,0.0,25354.0,
2021-03-31,2021-05-06,10-Q,"FULCRUM THERAPEUTICS, INC.",FULC,CIK0001680581,USD,4797000.0,,-74000.0,330000.0,6721000.0,-4000.0,366344000.0,2073000.0,4290002.0,,156476000.0,146987000.0,,4000.0,43115000.0,43111000.0,40000.0,4000.0,100745000.0,100745000.0,101837000.0,43693000.0,0.001,200000000.0,32677454.0,32594436.0,33000.0,-17001000.0,,,,13100000.0,,,1663000.0,12129000.0,1494000.0,,,,,,,,,,603000.0,,,-0.54,,,,,,,1152000.0,25300000.0,5498000.0,0.0,-2000000.0,920000.0,1000.0,-2016000.0,-4258000.0,-15000.0,-1466000.0,44000.0,,102000.0,469000.0,18883000.0,,2424000.0,,2649000.0,2572000.0,2497000.0,1775000.0,28722000.0,156476000.0,22631000.0,43111000.0,,47504000.0,12415000.0,-16226000.0,-16999000.0,,,,21832000.0,-17043000.0,,258000.0,563000.0,-2000.0,-2000.0,28000.0,,,,,2997000.0,262000.0,,0.001,5000000.0,0.0,0.0,2599000.0,,93000.0,,,,-16999000.0,14555000.0,7834000.0,13000.0,16334000.0,,1092000.0,-238619000.0,4789000.0,2073000.0,,,127754000.0,,,,93000.0,47407000.0,1000.0,0.0,532000.0,,,,31510.0,
2021-06-30,2021-08-10,10-Q,"FULCRUM THERAPEUTICS, INC.",FULC,CIK0001680581,USD,4498000.0,,,669000.0,7211000.0,-9000.0,369133000.0,2546000.0,4721160.0,,137879000.0,128511000.0,4000.0,13000.0,68780000.0,68771000.0,,,56779000.0,56779000.0,57871000.0,,0.001,200000000.0,32706863.0,32659740.0,33000.0,-19653000.0,,,,48000000.0,,,1662000.0,9900000.0,,,,,,,,,,,700000.0,,,-0.6,,,,,,,1972000.0,26100000.0,6685000.0,,,,,,,,,34000.0,,166000.0,469000.0,18301000.0,,2424000.0,,2649000.0,2572000.0,2497000.0,1193000.0,26989000.0,137879000.0,22510000.0,68771000.0,,,,,-19648000.0,,,,24063000.0,-19682000.0,,11000.0,531000.0,-5000.0,-5000.0,42000.0,,,,,,,,0.001,5000000.0,0.0,0.0,2304000.0,,,,,,,14956000.0,7745000.0,,17378000.0,,1092000.0,-258267000.0,4381000.0,2546000.0,,,110890000.0,,,,242000.0,,1000.0,21.0,657000.0,,,,32636.0,
2021-09-30,2021-11-04,10-Q,"FULCRUM THERAPEUTICS, INC.",FULC,CIK0001680581,USD,3742000.0,,,1172000.0,7829000.0,-87000.0,509638000.0,2658000.0,4982833.0,,255547000.0,246187000.0,3000.0,90000.0,174959000.0,174872000.0,,,65473000.0,65473000.0,66565000.0,,0.001,200000000.0,40545949.0,40525985.0,41000.0,-20794000.0,,,,164200000.0,,,1642000.0,6131000.0,,,,,,,,,,,600000.0,,,-0.57,,,,,,,3126000.0,33200000.0,8628000.0,,,,,,,,,54000.0,,390000.0,469000.0,17705000.0,,2424000.0,,2649000.0,2572000.0,2497000.0,597000.0,24938000.0,255547000.0,20597000.0,174872000.0,,,,,-20716000.0,,,,25705000.0,-20770000.0,,38000.0,519000.0,-78000.0,-78000.0,57000.0,,,,,,,,0.001,5000000.0,0.0,0.0,4674000.0,,,,,,,15578000.0,7749000.0,,17077000.0,,1092000.0,-278983000.0,4935000.0,2658000.0,,,230609000.0,,,,2403000.0,135451000.0,1000.0,0.0,1168000.0,,,,36606.0,
