end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNet,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,Assets,AssetsCurrent,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedInventory,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashFDICInsuredAmount,CommitmentsAndContingencies,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ContractWithCustomerLiability,ConversionOfStockSharesConverted1,ConversionOfStockSharesIssued1,ConvertibleDebtCurrent,ConvertibleNotesPayable,CostOfGoodsAndServicesSold,CostOfRevenue,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionConvertedInstrumentWarrantsOrOptionsIssued1,DebtConversionOriginalDebtAmount1,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentConvertibleIfConvertedValueInExcessOfPrincipal,DebtInstrumentFaceAmount,DebtInstrumentInterestRateDuringPeriod,DeferredRevenueNoncurrent,DeferredRevenueRevenueRecognized1,DeferredTaxAssetsNet,DeferredTaxAssetsOther,DeferredTaxAssetsValuationAllowanceCurrent,Depreciation,DerivativeGainLossOnDerivativeNet,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectOnFutureEarningsOffsetAmount,FinanceLeaseLiabilityCurrent,FinanceLeaseRightOfUseAsset,GainsLossesOnExtinguishmentOfDebt,Goodwill,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInventoriesAndOtherOperatingAssets,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherNoncurrentAssets,IncrementalCommonSharesAttributableToCallOptionsAndWarrants,InterestExpense,InterestPaid,InterestPaidNet,InventoryAdjustments,InventoryNet,InventoryValuationReserves,LeaseAndRentalExpense,LeaseDepositLiability,LegalFees,LeveragedLeasesBalanceSheetDeferredTaxesArisingFromLeveragedLeases,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansAndLeasesReceivableRelatedPartiesAdditions,LoansPayableCurrent,LoansReceivableFairValueDisclosure,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesIssued1,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseLiabilityNoncurrent,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAssets,OtherNonoperatingIncomeExpense,PaymentsToAcquireInvestments,PaymentsToAcquireOilAndGasEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,ProceedsFromContributedCapital,ProceedsFromLongTermCapitalLeaseObligations,ProceedsFromNotesPayable,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSecuredNotesPayable,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,SaleOfStockPercentageOfOwnershipAfterTransaction,SellingGeneralAndAdministrativeExpense,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,StockholdersEquity,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,SupplementalDeferredPurchasePrice,UnearnedPremiums,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic
2019-07-31,2019-10-18,10-Q,"BLOOMIOS, INC.",BLMS,CIK0001138608,USD,206.0,,0.0,,,,2669648.0,,,,,,,0.0,,,,,0.0,950000000.0,12508011.0,12508011.0,125.0,,,,,,,,,,,,,,,,,562590.0,,,,,,,0.0,,,,,,,,,,,-956.0,-956.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,206.0,,206.0,,,,,,,,-956.0,,,,,,956.0,-956.0,,-2679000.0,,,0.0,,,,,,,,,,,,956.0,-956.0,,,-2670597.0,0.0,,,0.0,,,,,,-206.0,,,,,,12508011.0,,
2019-10-31,2020-03-05,10-Q,"BLOOMIOS, INC.",BLMS,CIK0001138608,USD,,,0.0,,,,2670472.0,,,,,,,0.0,,,,,0.0,950000000.0,12508011.0,12508011.0,125.0,,,,,,,,,,,,,,,,,562800.0,,,,,,,0.0,,,,,,,,,,,-619.0,-619.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,-619.0,,,,,,619.0,-619.0,,-2680000.0,,,0.0,,,,,,,,,,,,619.0,-619.0,,,-2670597.0,0.0,,,0.0,,,,,,0.0,,,,,,12508011.0,,
2020-01-31,2020-07-09,10-K,"BLOOMIOS, INC.",BLMS,CIK0001138608,USD,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-2680000.0,,,0.0,,,,,,,,,,,,,-9427.0,,,,0.0,,,,,,,,,,,,,,,,,
2020-04-30,2020-07-27,10-Q,"BLOOMIOS, INC.",BLMS,CIK0001138608,USD,,,0.0,,,,2679899.0,0.0,,0.0,0.0,,,,,,0.0,,0.0,950000000.0,12508011.0,12508011.0,125.0,,,,,,,,,,,,,,,,,562800.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,-2680000.0,,0.0,0.0,,,,,,,,,,,,,,,,-2680024.0,,,,,,,,,,0.0,,,,,,,,
2020-07-31,2020-10-01,10-Q,"BLOOMIOS, INC.",BLMS,CIK0001138608,USD,,,0.0,,,,2691124.0,,,0.0,0.0,,,,,,0.0,,0.0,950000000.0,12508011.0,12508011.0,125.0,,,,,,,,,,,,,,,,,564900.0,,,,,,,0.0,,,,,,,,,,,-11225.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,-2690000.0,,0.0,0.0,,,,,,,,,,,,,,,,-2691249.0,,,,,,,,,,0.0,,,,,,,,
2020-10-31,2020-11-03,10-Q,"BLOOMIOS, INC.",BLMS,CIK0001138608,USD,,,0.0,,,,2691399.0,,,0.0,0.0,,,,,,0.0,,0.0,950000000.0,12508011.0,12508011.0,125.0,,,,,,,,,,,,,,,,,565100.0,,,,,,,0.0,,,,,,,,,,,-275.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,-275.0,,,,,,,,,-2691000.0,,0.0,0.0,,,,,,,,,,,,,,,,-2691524.0,,,,,,,,,,0.0,,,,,,12508011.0,,
2020-12-31,2021-04-15,10-K,"BLOOMIOS, INC.",BLMS,CIK0001138608,USD,,1747852.0,36274.0,73501.0,14235.0,14235.0,3059920.0,11225.0,,3193657.0,450711.0,195681.0,,72205.0,71160.0,,,,1e-05,945000000.0,12508011.0,12508011.0,125.0,600000.0,,,202300.0,1011500.0,914759.0,,,,,,,,,149966.0,149966.0,0.0,-14235.0,,232271.0,600000.0,120800.0,,-0.09,,0.21,0.35,,114675.0,258019.0,0.0,300000.0,401545.0,,,-1170666.0,0.0,0.0,,-36274.0,1388237.0,,14235.0,-292232.0,,-64511.0,,70974.0,0.0,,0.0,195681.0,0.0,146013.0,143344.0,36860.0,143344.0,4457673.0,3193657.0,3483329.0,120800.0,,50000.0,831000.0,1952821.0,-2702687.0,821026.0,-1170666.0,,150000.0,310000.0,202300.0,831000.0,1464377.0,-1062832.0,143344.0,4324061.0,908053.0,64511.0,,,2302687.0,1e-05,5000000.0,0.0,0.0,,,1452500.0,,,18728.0,-1170666.0,2070416.0,,-4324061.0,,,,110520.0,,,390000.0,0.63,,-1264016.0,,,,149966.0,,12508011.0,12508011.0,
2021-03-31,2021-05-17,10-Q,"BLOOMIOS, INC.",BLMS,CIK0001138608,USD,,1949235.0,103685.0,84990.0,,,4418258.0,,,3959587.0,1272881.0,204834.0,,890106.0,817901.0,250000.0,,,1e-05,950000000.0,12624678.0,12624678.0,137.0,600000.0,,1011500.0,980078.0,165000.0,1126244.0,,,1358350.0,,,,,,,,0.0,-17859.0,,96106.0,,100800.0,,-0.13,,,0.21,,111028.0,,0.0,300000.0,1035788.0,,,-1568475.0,0.0,0.0,,-17411.0,212872.0,,3624.0,13142.0,,,,30544.0,0.0,,0.0,,,129735.0,139393.0,217352.0,,5433728.0,3959587.0,4984335.0,,,50000.0,,778109.0,-43528.0,83320.0,-1568475.0,,310000.0,836331.0,,,1081592.0,-45804.0,,-5892536.0,-1237433.0,68447.0,,,43528.0,,,,,0.0,,798109.0,-20000.0,,26120.0,,2017838.0,,-5892536.0,2162032.0,,,210166.0,,1.25,740305.0,,1.61,-1474141.0,,,,139014.0,,12515789.0,12515789.0,
2021-06-30,2021-08-19,10-Q,"BLOOMIOS, INC.",BLMS,CIK0001138608,USD,,1994188.0,95870.0,99946.0,18278.0,,4718255.0,,,3897491.0,1058941.0,,,604682.0,,250000.0,,116667.0,1e-05,945000000.0,12624678.0,12624678.0,137.0,300000.0,,,777778.0,,1267366.0,,,,,,,,,,,0.0,,1146650.0,91604.0,,91500.0,0.03,,0.02,,,,114675.0,241093.0,312583.0,300000.0,1188647.0,,,432298.0,0.0,,,,,,,,,,,42649.0,,,150000.0,308783.0,,99735.0,,153630.0,,4639334.0,3897491.0,4362916.0,,,50000.0,,,,,432298.0,,,0.0,831000.0,150000.0,975709.0,212938.0,126418.0,5460238.0,1146650.0,67621.0,,,,1e-05,5000000.0,310000.0,310000.0,,,,,,21931.0,,2179836.0,,-5460238.0,2456013.0,,,226072.0,,,,,,-741843.0,,,,135551.0,24824912.0,24824912.0,12642678.0,12642678.0
2021-09-30,2021-11-15,10-Q,"BLOOMIOS, INC.",BLMS,CIK0001138608,USD,,1957104.0,257767.0,127018.0,20595.0,,4718255.0,,,4204016.0,945948.0,,,303982.0,,250000.0,,116667.0,1e-05,945000000.0,12662134.0,12662134.0,137.0,300000.0,,,,,1353743.0,,,,,,,,,,,0.0,,1208853.0,85806.0,,91500.0,-0.02,,,,,,114675.0,236537.0,0.0,300000.0,860582.0,,,-296209.0,0.0,,,,,,,,,,,56956.0,,,150000.0,323574.0,,101528.0,,166828.0,,5159966.0,4204016.0,4888104.0,,,50000.0,150000.0,,,,-296267.0,,831000.0,0.0,1247778.0,,1017735.0,-157153.0,121862.0,5756445.0,1208853.0,67621.0,,,,1e-05,5000000.0,,,,,,,,38660.0,-296209.0,2603910.0,,-5756445.0,2214325.0,385722.0,,209026.0,,,,,,-955950.0,-82100.0,,,198434.0,,,12662134.0,12662134.0
