end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AdvertisingExpense,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,CostOfGoodsSold,CostOfRevenue,CostsAndExpenses,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,ForeignCurrencyTransactionGainLossBeforeTax,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationTaxCredits,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToOfficersAndStockholders,IncreaseDecreaseInDueToOfficersAndStockholdersCurrent,IncreaseDecreaseInPrepaidExpense,IndefiniteLivedLicenseAgreements,InterestPaid,InterestPaidNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableToBankCurrent,ManagementFeeExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OccupancyNet,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherCostAndExpenseOperating,OtherCostOfServices,OtherGeneralAndAdministrativeExpense,PrepaidExpenseCurrent,ProceedsFromBankDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalAndContractServicesExpense,ProfessionalFees,ProfitLoss,RepaymentsOfBankDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,ShareBasedCompensationArrangementByShareBasedPaymentAwardSharesIssuedInPeriod,SharePrice,ShortTermBorrowings,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteStockSplitConversionRatio1,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesConversionOfUnits,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesShareBasedCompensation,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2012-01-31,2012-03-16,10-Q,HEALTH ADVANCE INC.,HADV,CIK0001531477,USD,2508.0,,,114308.0,,,,7303.0,7303.0,2303.0,2303.0,,,,,0.001,100000000.0,2292000.0,2292000.0,2292.0,,,69.0,,,,,,128694.0,,,16889.0,0.0,,,0.0,2071.0,31.0,,,,,,,,,,,,,,,,,,,,,19397.0,7303.0,,,,,,,,,-34215.0,3600.0,34246.0,-34215.0,,13500.0,,,5000.0,,,,,,15075.0,-34215.0,,,,100.0,,,,,-12094.0,,,,,,,,,,,,22920000.0
2012-04-30,2012-06-14,10-Q,HEALTH ADVANCE INC.,HADV,CIK0001531477,USD,5041.0,,,120308.0,,,,299.0,299.0,299.0,299.0,,,,,0.001,100000000.0,2142000.0,2142000.0,2292.0,,,0.0,,,,,,148608.0,,,21266.0,0.0,,,-116.0,2998.0,0.0,,,,,,,,,,,,,,,,,,,,,26307.0,299.0,,,,,,,,,-19914.0,3600.0,19798.0,-19798.0,,11000.0,,,0.0,,,,,,2200.0,-19914.0,,,,0.0,,,,,-26008.0,,,,,,,,,,,,22920000.0
2012-07-31,2012-11-13,10-K,HEALTH ADVANCE INC.,HADV,CIK0001531477,USD,9633.0,,,142148.0,24000.0,,,2366.0,2366.0,1202.0,1202.0,-7641.0,,,,0.001,100000000.0,24520000.0,24520000.0,2452.0,,,69.0,,9650.0,,9650.0,,177333.0,,,25466.0,0.0,0.15,1.0,55.0,5980.0,31.0,,,,,,,8850.0,16373.0,,5633.0,,,,23836.0,,,,15000.0,,,35099.0,2366.0,35099.0,,,33046.0,,,-40687.0,,-109156.0,14400.0,109242.0,-109211.0,,44000.0,,,1164.0,,16000.0,17046.0,,,44862.0,-109156.0,,,,100.0,,,,-32733.0,-32733.0,,,,160000.0,1500000.0,,,16000.0,15000.0,,,22598900.0
2012-10-31,2012-12-18,10-Q,HEALTH ADVANCE INC.,HADV,CIK0001531477,USD,8994.0,,,148148.0,,,,824.0,824.0,159.0,,-1043.0,,,,0.001,100000000.0,2452000.0,2452000.0,2452.0,,,,,,,,,188436.0,-11103.0,,29666.0,-0.0005,,,1.0,1142.0,,,,,,0.0,,,,,-638.0,,,,-498.0,,0.0,,,,,38660.0,824.0,38660.0,,,4200.0,,,-5243.0,,-11103.0,3600.0,11104.0,-11104.0,,6000.0,,,665.0,,,4200.0,,,362.0,-11103.0,,,,,,,,,-37836.0,,,,,,,,,,,,24520000.0
2013-01-31,2013-03-25,10-Q,HEALTH ADVANCE INC.,HADV,CIK0001531477,USD,11854.0,,,132080.0,,,,447.0,,281.0,281.0,,,,,0.001,100000000.0,24520000.0,24520000.0,24520.0,,,,,,,,,223873.0,-35436.0,,30866.0,-0.0014,,,-129.0,5707.0,,,,,,,,,,,,,,,,,,,,,,42720.0,447.0,,,,,,,,,-35436.0,3600.0,35307.0,-35307.0,,21000.0,,,166.0,,,,,,5000.0,,,,,,,,,,-42273.0,,,,,,,,,,,,24520000.0
2013-04-30,2013-06-19,10-Q,HEALTH ADVANCE INC.,HADV,CIK0001531477,USD,14453.0,,,138080.0,,,,226.0,,226.0,226.0,,,,,0.001,100000000.0,24520000.0,24520000.0,24520.0,,,,,,,,,239675.0,-35602.0,,29848.0,-0.0015,,,-129.0,5873.0,,,,,,,,,,,,,,,,,,,,,,44301.0,226.0,,,,,,,,,-35602.0,3600.0,35473.0,-35473.0,,,,,,,,,,,5000.0,,,,,,,,,-44075.0,,,,,,,,,,,,,24520000.0
2013-07-31,2013-10-23,10-K,HEALTH ADVANCE INC.,HADV,CIK0001531477,USD,29389.0,,,144080.0,24000.0,,,526.0,526.0,526.0,526.0,-676.0,,,,0.001,500000000.0,24520000.0,24520000.0,24520.0,,,,,49157.0,0.0,49157.0,,268361.0,-91028.0,,34398.0,-0.0037,0.38,1.0,-363.0,14550.0,,,,0.0,,,,9120.0,34591.0,,19756.0,,,,1164.0,,,,15000.0,14400.0,,63787.0,526.0,,,,30432.0,,,-31108.0,,-91028.0,14400.0,90665.0,-85665.0,,,24000.0,2400.0,,,21500.0,8932.0,,,20715.0,-91028.0,,,,,,,,-63261.0,-58261.0,,,,,,,,,,,,24520000.0
2013-10-31,2013-12-13,10-Q,HEALTH ADVANCE INC.,HADV,CIK0001531477,USD,24595.0,,,150080.0,6000.0,,,1591.0,,1591.0,1591.0,1065.0,,,,0.001,500000000.0,24520000.0,24520000.0,24520.0,24520.0,,0.0,,,,,,282702.0,-19341.0,,44598.0,-0.0008,,,-165.0,3746.0,0.0,,,,0.0,,,,,,206.0,,,,0.0,,,,0.0,3600.0,,69193.0,1591.0,,,,14200.0,,,-13135.0,,-19341.0,3600.0,19176.0,,,,6000.0,600.0,,0.0,4000.0,10200.0,,,5830.0,-19341.0,,,,0.0,,,,-72602.0,,,,,,,,,,,,,24520000.0
2014-01-31,2014-03-17,10-Q,HEALTH ADVANCE INC.,HADV,CIK0001531477,USD,29750.0,,,156080.0,,,,211.0,,211.0,211.0,,,,,0.001,500000000.0,24520000.0,24520000.0,24520.0,24520.0,,,,,,,,299323.0,-16621.0,,48684.0,-0.0007,,,-44.0,1222.0,,-16621.0,,,,,,,,,,,,,,,,,,,,78434.0,211.0,,,,,,,,,-16621.0,3600.0,16577.0,,,,,,,,,,,,5755.0,,,,,,,,,-78223.0,,,,,,,,,,,,,24520000.0
2014-04-30,2014-06-16,10-Q,HEALTH ADVANCE INC.,HADV,CIK0001531477,USD,33340.0,,,162080.0,,,,,,,,,,,,0.001,500000000.0,24520000.0,24520000.0,24520.0,24520.0,,,,,,,,316395.0,-17072.0,,53955.0,-0.0007,,,,1881.0,,-17072.0,,,,,,,,,,,,,,,,,,,,87295.0,,,,,,,,,,-17072.0,3600.0,17072.0,,,,,,,,,,,,5591.0,,,,,,,,,-87295.0,,,,,,,,,,,,,24520000.0
2014-07-31,2014-11-12,10-K,HEALTH ADVANCE INC.,HADV,CIK0001531477,USD,46178.0,40594.0,5584.0,168080.0,24000.0,,,0.0,,,0.0,-526.0,,,,0.001,500000000.0,24520000.0,24520000.0,24520.0,24520.0,,,,71608.0,0.0,71608.0,,340441.0,-72080.0,,59135.0,-0.0029,0.38,1.0,-209.0,8458.0,,-72080.0,,0.0,,0.0,,9120.0,27390.0,,11205.0,5584.0,,,,,,0.0,,14400.0,,105341.0,0.0,,28.0,,30765.0,30765.0,,-31291.0,-31291.0,-72080.0,14400.0,71871.0,,188442.0,,24000.0,2400.0,,28.0,6000.0,24737.0,24737.0,,25013.0,-72080.0,-28.0,-340441.0,,,,,,-105341.0,,,,,,,,,,6000.0,,,24520000.0
