end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableCurrentAndNoncurrent,AccountsReceivableNet,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AssetImpairmentCharges,AssetManagementFees1,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,ChangeInUnrealizedGainLossOnFairValueHedgingInstruments1,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleDebt,ConvertibleDebtCurrent,ConvertibleDebtNoncurrent,ConvertibleNotesPayable,CostOfGoodsAndServicesSold,CostOfGoodsSold,CurrentFederalTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtCurrent,DebtInstrumentAnnualPrincipalPayment,DebtInstrumentFaceAmount,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentIncreaseDecreaseForPeriodNet,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountCurrent,DebtInstrumentUnamortizedDiscountPremiumNet,DeferredRevenue,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceCurrent,Depreciation,DerivativeFairValueOfDerivativeLiability,DerivativeFairValueOfDerivativeNet,DerivativeGainLossOnDerivativeNet,DerivativeGainOnDerivative,DerivativeInstrumentsInHedgesLiabilitiesAtFairValue,DerivativeLiabilities,DerivativeLiabilitiesCurrent,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EmployeeRelatedLiabilitiesCurrent,FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationIssues,FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationPeriodIncreaseDecrease,FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationSettlements,FairValueOptionChangesInFairValueGainLoss1,GainLossOnRepurchaseOfDebtInstrument,GainsLossesOnExtinguishmentOfDebt,GainsLossesOnExtinguishmentOfDebtBeforeWriteOffOfDeferredDebtIssuanceCost,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDerivativeLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherLoans,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidExpense,InterestAndDebtExpense,InterestExpense,InterestExpenseOther,InterestPaid,InterestPaidNet,InterestPayableCurrent,InventoryNet,InvestmentAdvisoryManagementAndAdministrativeFees,InvestmentIncomeAmortizationOfDiscount,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,ManagementFeeExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,NonoperatingGainsLosses,NonoperatingIncomeExpense,OfficersCompensation,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLeasePayments,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAssetsNoncurrent,PaymentsForPurchaseOfOtherAssets1,PaymentsForRent,PaymentsToAcquireProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfessionalAndContractServicesExpense,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,ReimbursementRevenue,RelatedPartyTransactionDueFromToRelatedParty,RepaymentsOfConvertibleDebt,RepaymentsOfDebt,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,SalesRevenueNet,SecurityDeposit,ServicingFees,ShareBasedCompensation,SharesIssuedPricePerShare,SharesOutstanding,StockholdersEquity,StockholdersEquityOtherShares,StockIssued1,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2014-08-31,2014-11-24,10-Q,"BEMAX, INC.",BMXC,CIK0001613895,USD,,,,,,,3600.0,,,,,1493.0,1493.0,,,4000.0,-2507.0,1493.0,,,0.001,75000000.0,4000000.0,4000000.0,400.0,,,,,,,4807.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,-7309.0,,4802.0,,0.0,,,,,,,,,,,4807.0,,,0.0,0.0,,,,,,2300.0,,,,,,,,,,0.0,,,,,,,,1493.0,4802.0,,0.0,,,,-2507.0,,-4807.0,-2000.0,,,,,4807.0,,,,4807.0,-4807.0,,,,,,,,,,,,,0.0,,,,,-4807.0,,,,,,,,0.0,,0.0,,,,,1498.0,-3309.0,,,,4000.0,,,,,,,4000000.0,
2014-11-30,2015-01-13,10-Q,"BEMAX, INC.",BMXC,CIK0001613895,USD,,,,,,,62233.0,,,,,59192.0,59192.0,,,59192.0,55192.0,59192.0,,,0.001,75000000.0,5175000.0,5175000.0,518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8361.0,,4802.0,,0.0,,,,,,,,,,,1051.0,,,,0.0,,,,,,2300.0,,,,,,,,,,0.0,,,,,,,,59192.0,4802.0,,58750.0,,,,-3558.0,,-1051.0,,,,,,1051.0,,,,,,,,,,,,,,,,,,58750.0,,,,,-5858.0,,,,,,,8360.0,0.0,,0.0,,,,,,-54390.0,,,,,,,,,,,5175000.0,
2015-02-28,2015-04-14,10-Q,"BEMAX, INC.",BMXC,CIK0001613895,USD,,459150.0,407722.0,,,,62233.0,,,,,563948.0,563448.0,500.0,,155726.0,,155726.0,,,,,,,518.0,,,,,-456950.0,,,,,,,,,,,,,,507722.0,,,,,,,,,,,,,,-478511.0,,12836.0,,0.0,,,,,,,,,,,13200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,563948.0,979708.0,,,,,,,,-470150.0,,,,,,13200.0,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,,,,-476008.0,0.0,,0.0,,,,,,-415760.0,,,,,,,,,,,5175000.0,
2015-05-31,2015-08-10,10-K,"BEMAX, INC.",BMXC,CIK0001613895,USD,2672.0,,407722.0,,,,36875.0,,,,,58637.0,58137.0,500.0,58137.0,58137.0,54137.0,58137.0,,,0.0001,500000000.0,258750000.0,258750000.0,25875.0,,0.0,,,-456950.0,95000.0,,,,,,,,,,,,,507722.0,,0.0,165264.0,165264.0,165264.0,,,,,,,,,,,17336.0,,0.0,,,,,,,,,,,26619.0,5000.0,486070.0,0.0,0.0,-486070.0,2672.0,-407722.0,507722.0,,14834.0,0.0,,93476.0,,,,,,,0.0,,0.0,,,,,,58637.0,20008.0,,58750.0,73584.0,-500.0,-500.0,93476.0,-18947.0,-21619.0,,,,,15266.0,26619.0,-21619.0,,,,,,,,,500.0,,,,,,,,58750.0,0.0,14834.0,,,-483569.0,500.0,,,,,,-24121.0,0.0,,100000.0,,,,,,38629.0,,,,,,,,,,,258750000.0,
2015-08-31,2015-10-13,10-Q,"BEMAX, INC.",BMXC,CIK0001613895,USD,,,,,,,,,,,,,,,,57624.0,-513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,10113.0,,,,,,2200.0,,,,7400.0,,,513.0,,,,,,,,,,,,,,,,,,,-513.0,,,,-513.0,-10113.0,,,,,,10113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258750000.0,
2015-11-30,2016-01-14,10-Q,"BEMAX, INC.",BMXC,CIK0001613895,USD,,,,,,,36876.0,,,,,306061.0,305561.0,500.0,,45673.0,,115738.0,,,,,,,25879.0,,207750.0,,,,88513.0,,,,,,,,,,,134148.0,-134148.0,351041.0,,,,,,,,,,,,,351041.0,,,38236.0,,0.0,,,,,,,,,,,3510.0,11806.0,,,,,,,,,,,,,,,,,,,,,1845.0,189823.0,,,,,306061.0,464724.0,1500.0,,,,,,,5796.0,,,,,,6010.0,5796.0,,,,,,,,,,,,,,,,,,,,,1000.0,,500.0,,,,,,-221418.0,100319.0,,100319.0,,,,,,-158663.0,,,,,,,,,,,258750000.0,
2016-02-29,2016-04-12,10-Q,"BEMAX, INC.",BMXC,CIK0001613895,USD,,,,,,,,,,,,,,,,85316.0,,,,,,,,,,,,,,,187361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,8654.0,58758.0,,,,,,,,,,,,,,,,1714.0,,,,,,,,,,,,,1500.0,,,,,,,43186.0,,,-1714.0,,,13858.0,44900.0,,,,,,,,,,,,,,,,,,,,,3704.0,,,,,,,,,239119.0,,246119.0,,,,,,,,,,,,,,,,,258792500.0,
2016-05-31,2016-07-06,10-K,"BEMAX, INC.",BMXC,CIK0001613895,USD,319795.0,,372622.0,1845.0,,,36875.0,11102.0,,,1500.0,306061.0,305561.0,500.0,115738.0,,57601.0,115738.0,,,0.0001,850000000.0,258792500.0,258792500.0,25879.0,,73602.0,,,629440.0,476797.0,221417.0,,,-134148.0,73602.0,207750.0,,,,-134148.0,134148.0,,507722.0,,221417.0,221417.0,220742.0,221417.0,,,,128333.0,,,,351041.0,,,11236.0,,0.0,,0.34,27000.0,,,,,,-358374.0,,21846.0,97041.0,649241.0,0.0,0.0,-649251.0,-2672.0,35100.0,0.0,479374.0,18000.0,1845.0,189823.0,-150154.0,,,,11102.0,,,0.0,,1845.0,189823.0,,,,464724.0,306061.0,464724.0,6000.0,207754.0,186400.0,0.0,,-150154.0,-128799.0,-197296.0,,,-254187.0,500.0,65967.0,40150.0,56891.0,,1000.0,,,,,,476797.0,0.0,0.0001,50000000.0,0.0,0.0,,,183500.0,4.0,207750.0,2900.0,,12304.0,-163171.0,500.0,,,,,,-221417.0,538738.0,,573838.0,,9000.0,,0.0001,,-158663.0,,302750.0,42500.0,,42500.0,,,4.0,,,258792500.0,
2016-08-31,2016-09-30,10-Q,"BEMAX, INC.",BMXC,CIK0001613895,USD,,,,,,,36876.0,44254.0,,,1500.0,321173.0,320673.0,500.0,,115730.0,-8.0,115730.0,,,0.0001,500000000.0,258792500.0,258792500.0,25879.0,,302750.0,,,110000.0,110880.0,,,,,,302750.0,,,,-245666.0,188895.0,,,,,,,,,,,336777.0,385977.0,,449432.0,410269.0,,,42736.0,,0.0,,,,,,,,,-71192.0,,22559.0,-18758.0,,,,,,,,59228.0,4500.0,4938.0,15120.0,-93800.0,,,,,27210.0,,,,6783.0,204943.0,4500.0,-80253.0,,,321173.0,573643.0,1500.0,,120000.0,,,,-120008.0,-93808.0,,,-42691.0,500.0,,32359.0,-51117.0,,,,,,,1000.0,,,,,,,,,120000.0,,,,,8300.0,,500.0,,38236.0,8.0,,,-315225.0,428899.0,,92122.0,,,,,,-252470.0,,,,,,,,,,,258792500.0,
2016-11-30,2017-01-13,10-Q,"BEMAX, INC.",BMXC,CIK0001613895,USD,,,,,12863.0,,43838.0,82115.0,,,,336782.0,336282.0,500.0,,14454.0,,14454.0,,,,500000000.0,259196500.0,259196500.0,25920.0,295746.0,162466.0,295746.0,410269.0,,5297.0,,,,,,342750.0,,,,133230.0,133280.0,,401710.0,,,,,,,401712.0,,47145.0,,,401710.0,401710.0,,,47236.0,,0.0,,,,,,,,,,,4025.0,17734.0,,,,,,,,,,,,,,,,,6079.0,,,,12863.0,321828.0,,,,624275.0,336782.0,624275.0,1500.0,,,,,,,-42026.0,,,-53135.0,,,6625.0,11109.0,,,,,,,,,,,,,,,,,,,,,1100.0,,500.0,,47236.0,,,,-357251.0,23031.0,,23031.0,,,,,,-287493.0,,,,,,,,,,,258843687.0,
