end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdministrativeFeesExpense,Assets,AssetsCurrent,CapitalizedComputerSoftwareNet,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CostMaintenance,CurrentIncomeTaxExpenseBenefit,DeferredIncomeTaxAssetsNet,DeferredIncomeTaxExpenseBenefit,DeferredRevenueCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Deposits,Depreciation,DepreciationAndAmortization,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationDeductions,EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,EquipmentExpense,FairValueOfAssetsAcquired,FiniteLivedIntangibleAssetsAccumulatedAmortization,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInOtherReceivables,IntangibleAssetsNetExcludingGoodwill,InterestExpense,InterestExpenseDebt,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermLoansPayable,MarketingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestBearingDepositLiabilities,NonoperatingIncomeExpense,NotesPayableCurrent,OfficersCompensation,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseExpense,OperatingLossCarryforwards,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossTax,OtherCostAndExpenseOperating,OtherDepreciationAndAmortization,OtherGeneralAndAdministrativeExpense,OtherGeneralExpense,OtherLiabilitiesCurrent,OtherNonoperatingIncomeExpense,PaymentsToAcquireMachineryAndEquipment,PaymentsToAcquireOtherProductiveAssets,PaymentsToAcquireProductiveAssets,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromMinorityShareholders,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RelatedPartyTransactionDueFromToRelatedParty,RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,SalesRevenueServicesNet,SellingAndMarketingExpense,StockGrantedDuringPeriodValueSharebasedCompensationForfeited,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,TaxesPayableCurrent,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2017-06-30,2017-08-15,10-Q,Migom Global Corp.,MGOM,CIK0001697412,USD,,,,,,,,,,7910.0,7910.0,,7910.0,,,,,,0.001,75000000.0,5000000.0,5000000.0,5000.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,212.0,,-582.0,,,,,,,,,,,,,,,,,,,,,7910.0,7910.0,,,,,,,-1130.0,,,,,1712.0,-1712.0,,,,,,0.0,,,,974.0,-582.0,,,,,,,,,,,,,,,,1500.0,,,,,,,,1277.0,,,,,,,6277.0,,,,974.0,,5000000.0,5000000.0
2017-09-30,2017-11-20,10-Q,Migom Global Corp.,MGOM,CIK0001697412,USD,,1500.0,,,,,16515.0,,,32025.0,28966.0,,28966.0,,,,,,0.001,75000000.0,6835000.0,6835000.0,6835.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,1055.0,,600.0,,,,,,,,,,,,,,,,,,,,3000.0,6233.0,32025.0,,3474.0,,,,,1165.0,,,,,4055.0,1765.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,3000.0,,3059.0,,,,,,2442.0,5820.0,,5820.0,,,,25792.0,,,,1259.0,,5416685.0,5416685.0
2017-12-31,2018-04-09,10-K,Migom Global Corp.,MGOM,CIK0001697412,USD,798.0,798.0,,380.0,,20835.0,,,,34503.0,31643.0,,31643.0,17723.0,,,,,0.001,75000000.0,7315000.0,7315000.0,7315.0,,,,,-974.0,,,1682.0,2865.0,,,380.0,,3474.0,0.0,,,0.8,,,,,3064.0,,-974.0,,,-1020.0,-974.0,-2202.0,,,,,,,,2500.0,-974.0,,,,,,,4980.0,34503.0,4980.0,,,25650.0,-3240.0,-4687.0,-1891.0,,,,,8685.0,-2865.0,,,,,,,,,,,,3240.0,,3240.0,,,,,,,,23150.0,,,,,5621.0,,3240.0,2860.0,,,,-2500.0,1373.0,5820.0,,,,,29523.0,,,23150.0,23150.0,798.0,,7315000.0,
2018-03-31,2018-05-11,10-Q,Migom Global Corp.,MGOM,CIK0001697412,USD,2000.0,,,785.0,,20835.0,,,,27311.0,24856.0,,24856.0,-6787.0,,,,,0.001,75000000.0,7315000.0,7315000.0,7315.0,,,,2854.0,,,,,-1763.0,1763.0,,405.0,,3474.0,0.0,,,,,,,,1251.0,,,,,2854.0,1763.0,1202.0,1202.0,,,,,,,,,,,,,,,6182.0,27311.0,,,,,,-6787.0,-8394.0,,,,,8394.0,-8394.0,,7021.0,,,,,,,,,,,,,,,,,,,,,,,,,7143.0,,3240.0,2455.0,,,,,-7021.0,,,,,,21129.0,,,,,708.0,-1763.0,7315000.0,
2018-06-30,2018-08-13,10-Q,Migom Global Corp.,MGOM,CIK0001697412,USD,2239.0,,,1190.0,,20835.0,,,,10616.0,8566.0,,8566.0,,,,,,0.001,75000000.0,7315000.0,7315000.0,7315.0,,,,5111.0,,,,,-5111.0,5111.0,,,,3224.0,0.0,,,,,,,,10772.0,,34.0,,,,,,,,,,,,,,,,,,,,,5463.0,10616.0,,,,,,,-15977.0,,,,,15943.0,15943.0,,24337.0,,,,,,,,,,,,,,,,,,,,,,,,,5171.0,,3240.0,2050.0,,,,,-22997.0,,,,,,5153.0,,,,,,,7315000.0,
2018-09-30,2018-11-13,10-Q,Migom Global Corp.,MGOM,CIK0001697412,USD,2000.0,,,1595.0,,20835.0,,,,6062.0,4417.0,,4417.0,,,,,,0.001,75000000.0,7315000.0,7315000.0,7315.0,,,,5954.0,,,,,-5954.0,5954.0,,,,3224.0,0.0,,,,,,,,740.0,,297.0,,,,,,,,,,,,,,,,,,,,,5224.0,6062.0,,,,,,,-4315.0,,,,,4018.0,-4018.0,,28354.0,,,,,,,,,,,,,,,,,,,,,,,,,3278.0,,3240.0,1645.0,,,,,-27312.0,,,,,,838.0,,,,,,,7315000.0,
2018-12-31,2019-04-01,10-K,Migom Global Corp.,MGOM,CIK0001697412,USD,4250.0,4250.0,4250.0,2000.0,,20835.0,,,,7379.0,6139.0,1240.0,6139.0,-25504.0,,,6139.0,-25504.0,0.001,75000000.0,7315000.0,7315000.0,7315.0,,,,5931.0,,,,,5931.0,5931.0,,1620.0,,3224.0,0.0,,0.21,,,,,,14014.0,-29287.0,331.0,331.0,331.0,5931.0,6905.0,3451.0,3451.0,,-707.0,,,,,,-707.0,,,,,,,7474.0,7379.0,7474.0,,,-250.0,,-25254.0,-29618.0,,,,,35162.0,-29287.0,,,,,,,,,,,,,,,,,,,,,,,,,,-250.0,21148.0,,3240.0,1240.0,,,,250.0,-28245.0,5875.0,,,,,-94.0,,,,,,-5931.0,7315000.0,
2019-03-31,2019-05-15,10-Q,Migom Global Corp.,MGOM,CIK0001697412,USD,,1015.0,,2405.0,,20835.0,,,,3870.0,3035.0,,3035.0,-3104.0,,,,-4104.0,0.001,75000000.0,7315000.0,7315000.0,7315.0,,,,,,,,,,-5954.0,,405.0,,7224.0,0.0,0.21,0.21,,,,,,1130.0,-4274.0,-4274.0,,,,,-3235.0,-3235.0,,,,,,,,,,,,,,,8239.0,3870.0,,,,4000.0,,-7104.0,-4274.0,,,,,4274.0,-4274.0,,-32519.0,,,47.0,,,,,,,,,,,,,,,,,,13817.0,,7224.0,4000.0,3141.0,,3240.0,835.0,,,,4000.0,-32519.0,,,,,,9499.0,,,,,,,7315000.0,
2019-06-30,2019-08-13,10-Q,Migom Global Corp.,MGOM,CIK0001697412,USD,,2249.0,,2810.0,,20835.0,,,,4636.0,4206.0,430.0,18025.0,,,,,,0.001,75000000.0,7315000.0,7315000.0,7315.0,-6469.0,,,,,,,,,8187.0,,,,13224.0,0.0,,,,,,,,657.0,,,,,,,,,,,,,,,,,,,,,,,15473.0,4636.0,,,,,,,-6469.0,,,,,6469.0,-6469.0,,38987.0,,,,,,657.0,,,,,,,,,,,,,,,,,,,5812.0,,3240.0,430.0,,,,,-38987.0,,,,,,3030.0,,,,,,,7333000.0,
2019-09-30,2019-11-06,10-Q,Migom Global Corp.,MGOM,CIK0001697412,USD,2000.0,,,3240.0,,20835.0,,,,4752.0,4752.0,,4752.0,,,,4752.0,,0.001,75000000.0,7315000.0,7315000.0,7315.0,-3205.0,,,,,,,,,-8951.0,,,,17224.0,0.0,,,,,,,,482.0,,,,,,,,,,,,,,,,,,,,,,,19224.0,4752.0,,,,,,,-3205.0,,,,,3205.0,-3205.0,,-42622.0,,,,,,52.0,,,,,,,,,,,,,,,,,,,3153.0,-3205.0,3240.0,,,,,,-42622.0,,,,,,-175.0,,,,,,,7315000.0,
