end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,AdditionalPaidInCapital,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AreaOfLand,Assets,AssetsCurrent,AssetsNoncurrent,CapitalizedComputerSoftwareGross,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsAndShortTermInvestments,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfRevenue,CostsAndExpenses,CostsAndExpensesRelatedParty,CurrentIncomeTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionOriginalDebtAmount1,DeferredTaxAssetsNet,DeferredTaxAssetsNetCurrent,DeferredTaxAssetsValuationAllowance,DepositAssetsPresentValueOfExpectedRecoveries,Deposits,DepositsAssetsCurrent,Depreciation,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,FixturesAndEquipmentGross,FurnitureAndFixturesGross,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInDeposits,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidExpensesOther,IntangibleAssetsNetExcludingGoodwill,InterestPaid,InterestPaidNet,InventoryAdjustments,InventoryNet,InventoryNoncurrent,InventoryWriteDown,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LineOfCreditFacilityDecreaseForgiveness1,LoansPayableCurrent,LossContingencyLossInPeriod,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwardsValuationAllowance,OtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParent,OtherPrepaidExpenseCurrent,PaymentsForDeposits,PaymentsForOtherOperatingActivities,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireOtherProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfLoansHeldForInvestment,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PublicUtilitiesInventory,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfRelatedPartyDebt,RestrictedStockSharesIssuedNetOfSharesForTaxWithholdings,RetainedEarningsAccumulatedDeficit,Revenues,SaleLeasebackTransactionMonthlyRentalPayments,SharesIssuedPricePerShare,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,TaxesPayableCurrent,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WorkersCompensationLiabilityCurrent
2016-06-30,2016-08-03,10-Q,GSG GROUP INC.,GSGG,CIK0001668523,USD,,0.0,,,,-2567.0,0.0,,,2448.0,1791.0,4292.0,,692.0,692.0,,,,,0.001,,75000000.0,4500000.0,4500000.0,0.001,,599.0,,,,,0.0,,,0.0,-873.0,873.0,,,,,,,0.0,,,,,,,3321.0,3501.0,,,,180.0,,,,,,,,,,,,,,,,53.0,,,,,499.0,,4292.0,,2359.0,2359.0,,2359.0,,,,,,180.0,,3321.0,,-873.0,,,,,,,,600.0,,,,,180.0,,2448.0,499.0,,,,,4100.0,,,1933.0,,,,,4500000.0,4500000.0,,
2017-03-31,2017-05-15,10-Q,GSG GROUP INC.,GSGG,CIK0001668523,USD,,,,,-1332.0,,14040.0,,30.0,10050.0,2203.0,7847.0,3173.0,103.0,103.0,,,,-750.0,0.001,,75000000.0,6060000.0,6060000.0,6060.0,,339.0,339.0,,,,,,,,-11351.0,11351.0,,,,459.0,,-0.004,0.0,-0.004,,,0.34,,2659.0,-26586.0,3461.0,-23125.0,,,-23125.0,,,0.0,-7862.0,,,,,,,339.0,,,600.0,,,0.0,,,,,,23336.0,10050.0,23336.0,,,23336.0,-23125.0,20977.0,,-21727.0,,-23125.0,,-26586.0,33386.0,-11351.0,,,,,,,,,,,,20977.0,,9180.0,2015.0,2100.0,,0.0,,-33386.0,3800.0,200.0,,-13286.0,,,,7862.0,6060000.0,6060000.0,,
2017-06-30,2017-08-14,10-Q,GSG GROUP INC.,GSGG,CIK0001668523,USD,2797.0,,,,,,27326.0,,30.0,7166.0,7166.0,,,1020.0,,,,,,0.001,,75000000.0,6060000.0,6060000.0,6060.0,,,,,,,,,,,,,,,,,16698.0,,0.0,,,,,,,-12329.0,,,,,-12329.0,,,,,,,,,,,,,,,,,,,,,,,19495.0,7166.0,19495.0,,,,,,,,,-12329.0,,-12329.0,,,,6146.0,,,,,,,,,,,,,,,,,,-45715.0,,,,-12329.0,,,,,,6060000.0,,
2017-09-30,2017-11-14,10-Q,GSG GROUP INC.,GSGG,CIK0001668523,USD,8231.0,,,,,,27326.0,,30.0,4653.0,4653.0,,,1171.0,,,,,,0.001,,75000000.0,6060000.0,6060000.0,6060.0,,,,,,,,,,,,,,,,,46089.0,,0.0,,,,,,,37338.0,,,,,-37338.0,,,,,,,,,,,,,,,,,,,,,,,54320.0,4653.0,54320.0,,,,,,,,,-37338.0,,-37338.0,,,,3482.0,,,,,,,,,,,,,,,,,,-83053.0,,,,-49667.0,,,,,,6060000.0,,
2017-12-31,2019-02-27,10-K,GSG GROUP INC.,GSGG,CIK0001668523,USD,72380.0,,-70341.0,72380.0,,,3086.0,,,5518.0,5518.0,,,5369.0,5369.0,4516.0,5369.0,5369.0,4516.0,0.001,0.001,75000000.0,30300000.0,30300000.0,30300.0,,,339.0,,46089.0,-89986.0,,,,,-3489.0,3489.0,,149.0,149.0,459.0,,,0.0,,,,,,,-93447.0,3461.0,,,,,,,,,,,,8766.0,,-149.0,,,,600.0,,,,,,,,339.0,72380.0,5518.0,72380.0,,,,,84487.0,,-79971.0,,-89986.0,,-93447.0,-89986.0,-3489.0,,149.0,,,,,,,134392.0,,-49905.0,,-89986.0,,,,,49905.0,,-100248.0,3800.0,,,-66862.0,,,,,,30300000.0,,
2018-03-31,2019-04-16,10-Q,GSG GROUP INC.,GSGG,CIK0001668523,USD,976.0,,,,,,3086.0,,,200.0,,,,200.0,200.0,-5169.0,,,-5169.0,0.001,,75000000.0,30300000.0,30300000.0,30300.0,,,,,,,,,,,,,,,,,79605.0,,0.0,,,,,,,-13519.0,,,-13519.0,,-13519.0,,,,,,,,,-71404.0,,,-71404.0,149.0,149.0,,,,,,,,,80581.0,200.0,80581.0,,,,-13519.0,79605.0,,-84774.0,,-13519.0,,-13519.0,,,,,,,,,,,,,84973.0,84973.0,,,,,,-5368.0,,-113767.0,,,,-80381.0,,,,,,30300000.0,,
2018-06-30,2019-04-16,10-Q,GSG GROUP INC.,GSGG,CIK0001668523,USD,851.0,,,,,,3086.0,,,200.0,200.0,,,200.0,200.0,,,,,0.001,,75000000.0,30300000.0,30300000.0,30300.0,,,,,,,,,,,,,,,,,80623.0,,0.0,,,,,,,-839.0,,,,-839.0,-893.0,,,,,,,,,,,,,,,,,,,,,,,81474.0,200.0,81474.0,,,,,,,,,-839.0,,-839.0,,,,,,,,,,,,,,,,,,,,,,-114660.0,,,,-81274.0,,,,,,30300000.0,,
2018-09-30,2019-04-16,10-Q,GSG GROUP INC.,GSGG,CIK0001668523,USD,1445.0,,,,,,3086.0,,,200.0,200.0,,,200.0,200.0,,,,,0.001,,75000000.0,30300000.0,30300000.0,30300.0,,,,,,,,,,,,,,,,,80623.0,,0.0,,,,,,,-594.0,,,,-594.0,-594.0,,,,,,,,,,,,,,,,,,,,,,,82068.0,200.0,82068.0,,,,,,,,,-594.0,,-594.0,,,,,,,,,,,,,,,,,,,,,,-115254.0,,,,-81868.0,,,,,,30300000.0,,
2018-12-31,2019-08-23,10-K,GSG GROUP INC.,GSGG,CIK0001668523,USD,,,2039.0,2039.0,,,3086.0,,,200.0,,,,200.0,200.0,-5169.0,,200.0,,0.001,0.001,75000000.0,30300000.0,30300000.0,30300.0,0.0,,,,,-15600.0,,,,0.0,15600.0,-15600.0,0.0,,,0.0,80623.0,,0.0,,,,,,,15600.0,0.0,,,-15600.0,,0.0,,,,,,,-70341.0,,,0.0,,,0.0,,,,,,,,,82662.0,200.0,82662.0,,,,,80623.0,,-85792.0,,-15600.0,,-15600.0,,-15600.0,,,149.0,,,,,,0.0,,85991.0,,-15600.0,,,,,,,-115848.0,0.0,,,-82462.0,,,0.0,,,30300000.0,30300000.0,
2019-03-31,2019-11-21,10-Q,GSG GROUP INC.,GSGG,CIK0001668523,USD,,,,2633.0,,,3086.0,,,200.0,,,,,200.0,0.0,,,,,0.001,75000000.0,30300000.0,30300000.0,30300.0,0.0,,,,0.0,,,,,,,,,,,0.0,80623.0,,0.0,,,,,,,594.0,0.0,,-594.0,-594.0,,,0.0,,,0.0,594.0,,,,,0.0,594.0,,0.0,,,0.0,,,,,,83256.0,200.0,83623.0,,,,,0.0,,0.0,,-594.0,,-594.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,,0.0,,-116442.0,0.0,,,-83056.0,,,,,,30300000.0,30300000.0,
