end,filed,form,Name,Ticker,CIK,Currency,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountConverted1,CostOfGoodsAndServicesSold,DeferredFederalIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Deposits,Depreciation,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationOtherAdjustments,FiniteLivedIntangibleAssetsNet,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfLongLivedAssetsToBeDisposedOf,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncreaseDecreaseDueFromOtherRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherNoncurrentAssetsAndLiabilitiesNet,IncreaseDecreaseInPrepaidExpensesOther,InterestExpense,InterestExpenseDebt,InterestPaid,InterestPaidNet,InventoryNet,LegalFees,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LoansPayable,LoansPayableCurrent,LongTermDebt,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear,LongTermLoansPayable,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableCurrent,NotesPayableRelatedPartiesNoncurrent,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherSellingGeneralAndAdministrativeExpense,PaymentsForRent,PaymentsToAcquireIntangibleAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockAdditionalSeriesParOrStatedValuePerShare,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidRent,ProceedsFromIssuanceOfCommonStock,ProceedsFromRepaymentsOfRelatedPartyDebt,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockConsiderationReceivedPerTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,SecurityDeposit,ShareBasedCompensation,StockholdersEquity,StockholdersEquityNoteSubscriptionsReceivable,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AccountsPayableAndOtherAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,RepaymentsOfDebt,StockIssuedDuringPeriodSharesConversionOfUnits,StockIssuedDuringPeriodValueEmployeeBenefitPlan
2010-12-31,2011-01-20,10-Q,"BlueOne Card, Inc.",BCRD,CIK0001496690,USD,,,,,,,,,,,112245.0,,,,,,,0.0,,,,,,,,,5800.0,,,0.0,,,,,,0.0,,-9285.0,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3485.0,,,,9285.0,,-9285.0,,,9285.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,121800000.0,,,,,,
2011-03-31,2011-06-14,10-K,"BlueOne Card, Inc.",BCRD,CIK0001496690,USD,5165.0,,0.0,115137.0,115137.0,115137.0,115137.0,,,,,0.001,500000000.0,121800000.0,121800000.0,121800.0,,,,,,,,,,-84038.0,,0.0,72210.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,77375.0,115137.0,77375.0,0.0,,,,,,,,,,,,,,,,-8448.0,,,0.0,,,,,,,,,,0.001,0.001,25000000.0,,,0.0,,,,,,,,,,,,,,,,37762.0,,,,,,,,,,,,,,
2011-06-30,2011-07-25,10-Q,"BlueOne Card, Inc.",BCRD,CIK0001496690,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,2011-11-18,10-Q,"BlueOne Card, Inc.",BCRD,CIK0001496690,USD,18594.0,,0.0,0.0,,0.0,,,,,,0.001,500000000.0,121800000.0,121800000.0,121800.0,,,,,,,,,,140394.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18594.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,25000000.0,,,0.0,,,,,,,,,,,,,,,,-18594.0,,,,,,,,,,,,,,
2011-12-31,2012-02-21,10-Q,"BlueOne Card, Inc.",BCRD,CIK0001496690,USD,18594.0,,71050.0,4001920.0,3201794.0,0.0,,,,,0.0,0.001,500000000.0,165000000.0,,165000.0,,327777.0,,,,,,,,-258814.0,0.0,9064.0,0.0,0.0,,,,800126.0,,22223.0,,-118420.0,,0.0,0.0,,,,,,,,,-6090.0,,,,3192730.0,,,,,4024684.0,4001920.0,18594.0,4006090.0,,,,,,,,,,,,,,,,-118420.0,,,4006090.0,134553.0,,-112330.0,,,134553.0,,,,0.001,,25000000.0,,,0.0,,,,,,,,,,350000.0,,,,,,-22461.0,,,,,,,,154452717.0,,,,,,
2020-12-31,2021-02-09,10-Q,"BlueOne Card, Inc.",BCRD,CIK0001496690,USD,13496.0,35811.0,1022192.0,681189.0,506490.0,400213.0,,,400213.0,,,0.001,500000000.0,9870075.0,9870075.0,9870.0,,,,,,,,10526.0,,,,,83879.0,-0.01,,,,,73573.0,,,,-91548.0,,,,,,,,,,,1054.0,1054.0,,,,5144.0,55000.0,16500.0,38500.0,169032.0,681189.0,109468.0,,71657.0,12093.0,71657.0,16766.0,12212.0,,13762.0,13231.0,12699.0,2987.0,59564.0,59564.0,,,,-91548.0,-1054.0,12093.0,,,90494.0,-90494.0,11777.0,,,11777.0,,,,0.001,25000000.0,292000.0,292000.0,292.0,106277.0,,,,,174699.0,,-505197.0,,,,,,,,512157.0,15000.0,,,1000.0,415000.0,,,,8530352.0,,,,,1000.0
2021-03-31,2021-06-21,10-K,"BlueOne Card, Inc.",BCRD,CIK0001496690,USD,27498.0,46337.0,1042172.0,659747.0,495574.0,340502.0,,,340502.0,340502.0,0.0,0.001,500000000.0,9890075.0,9890075.0,9890.0,,,-76897.0,76897.0,76897.0,76897.0,20000.0,38836.0,,,,,100211.0,-0.06,0.21,-0.21,,,216473.0,,,,-275892.0,,,,8317.0,20000.0,43934.0,,,,146372.0,3597.0,2455.0,,3597.0,,17231.0,38500.0,38500.0,,216379.0,659747.0,159921.0,,68670.0,12212.0,68670.0,,12212.0,14321.0,13762.0,13231.0,12699.0,,56458.0,,670179.0,-19500.0,-310177.0,-275892.0,-3597.0,12212.0,,,272295.0,-272295.0,38591.0,603000.0,,8700.0,,19500.0,,0.001,25000000.0,292000.0,292000.0,292.0,155072.0,5759.0,680000.0,,210510.0,164173.0,9821.0,-608986.0,,,,,,,1000.0,443368.0,,,,1000.0,680000.0,,-76897.0,,4615160.0,27498.0,,,,
2021-06-30,2021-08-05,10-Q,"BlueOne Card, Inc.",BCRD,CIK0001496690,USD,21171.0,56862.0,1042172.0,574717.0,421069.0,264769.0,,,264769.0,-75733.0,0.0,0.001,500000000.0,9890075.0,9890075.0,9890.0,,,,,,,20000.0,10525.0,,,,,133293.0,-0.01,,,,,85394.0,,0.0,,-108782.0,,,,-6327.0,,33082.0,,,,1228.0,724.0,681.0,,724.0,,5327.0,22000.0,22000.0,,240131.0,574717.0,186799.0,,65667.0,12335.0,65667.0,2444.0,12699.0,,14321.0,13762.0,13231.0,9210.0,53332.0,,-3003.0,,-72730.0,-108782.0,-724.0,,,,108058.0,-108058.0,,,,17337.0,,,,0.001,25000000.0,292000.0,292000.0,292.0,156300.0,5759.0,,,210510.0,153648.0,3003.0,-717768.0,,,,,,,,334586.0,,,,,,,,,9890075.0,,,,,
2021-09-30,2021-11-12,10-Q,"BlueOne Card, Inc.",BCRD,CIK0001496690,USD,22777.0,67388.0,1166110.0,573881.0,430759.0,270823.0,,,270823.0,,0.0,0.001,500000000.0,9952075.0,9952075.0,9952.0,,12328.0,,,,,20000.0,10525.0,,,,,161207.0,-0.02,,,,,138856.0,7422.0,,,-152336.0,,,,,,,,,,,434.0,434.0,,,,3131.0,5500.0,5500.0,,267631.0,573881.0,217456.0,,63647.0,13472.0,63646.0,2444.0,12699.0,,14321.0,13762.0,13231.0,7189.0,50175.0,,,,,-152336.0,-434.0,,,,159324.0,-151902.0,,,,17337.0,,,,0.001,25000000.0,292000.0,292000.0,292.0,159936.0,5759.0,,,210510.0,143122.0,,-870104.0,19750.0,,,,,,,306250.0,,,,,124000.0,,,,9928162.0,,,,,
2021-12-31,2022-02-04,10-Q,"BlueOne Card, Inc.",BCRD,CIK0001496690,USD,,77914.0,1166110.0,486330.0,353733.0,167127.0,,,167127.0,,0.0,0.001,500000000.0,9952075.0,9952075.0,9952.0,,42450.0,,,,,20000.0,10526.0,,,,,194075.0,-0.01,,,,,124077.0,10000.0,,,-134865.0,,,,,,,,,,,829.0,613.0,,,,1622.0,,,,314945.0,486330.0,267965.0,,60593.0,13613.0,60593.0,2444.0,12699.0,,14321.0,13762.0,13231.0,4136.0,46980.0,,,,,-134865.0,-829.0,,,,144036.0,-134036.0,,,,18337.0,,,,0.001,25000000.0,292000.0,292000.0,292.0,186606.0,5759.0,,,210510.0,132597.0,,-1004969.0,52450.0,,,,,,,171385.0,,,,,,,,,9952075.0,40277.0,,,,
