end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccruedLiabilitiesAndOtherLiabilities,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentForAmortization,Assets,AssetsCurrent,AssetsNoncurrent,BusinessAcquisitionPercentageOfVotingInterestsAcquired,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountIssued1,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,CostOfGoodsAndServicesSold,CostOfGoodsSold,CurrentIncomeTaxExpenseBenefit,DebtConversionConvertedInstrumentRate,DebtConversionOriginalDebtAmount1,DebtInstrumentConvertibleStockPriceTrigger,DebtInstrumentIncreaseAccruedInterest,DeferredIncomeTaxLiabilities,DeferredRevenue,DeferredTaxAssetsTaxDeferredExpense,Depreciation,DepreciationAndAmortization,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,FixturesAndEquipmentGross,FurnitureAndFixturesGross,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInInventories,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInOtherDeferredLiability,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseRelatedParty,InterestIncomeExpenseNet,InterestIncomeOther,InterestPaidNet,InventoryNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,NetCashProvidedByUsedInDiscontinuedOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingGainsLosses,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherExpenses,OtherGeneralAndAdministrativeExpense,OtherNoncashIncomeExpense,OtherNonoperatingIncome,PaymentsToAcquireFurnitureAndFixtures,PaymentsToAcquireProductiveAssets,PrepaidExpenseCurrent,PriorPeriodReclassificationAdjustment,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOtherAccumulatedDepreciation,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,RevenueFromRelatedParties,Revenues,SalesCommissionsAndFees,SalesRevenueGoodsGross,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions,StockholdersEquity,StockIssuedDuringPeriodSharesRestrictedStockAwardGross,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,ValuationAllowanceDeferredTaxAssetChangeInAmount,ValuationAllowancesAndReservesAdjustments,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2014-10-31,2015-01-12,10-K,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,,,536.0,,,31908.0,7927.0,23981.0,,7927.0,7927.0,-17890.0,,,0.001,75000000.0,4000000.0,4000000.0,4000.0,,,,,52530.0,,,,,,3894.0,,,,959.0,,0.0057,,8000.0,8000.0,,38777.0,26616.0,,3894.0,,,,-16350.0,,,-21800.0,,16350.0,,,,3894.0,,,,,,,,5198.0,31908.0,,1304.0,,1275.0,,-24940.0,5775.0,22722.0,,,12161.0,26616.0,,,11202.0,,,8000.0,16940.0,,,,,,1275.0,,,24940.0,23981.0,-959.0,,22710.0,,,91307.0,3180.0,91307.0,,26710.0,,,,,,,,,4000000.0
2015-01-31,2015-03-13,10-Q,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,,,643.0,39000.0,,50810.0,27042.0,23768.0,,27042.0,27042.0,19114.0,,,0.001,75000000.0,5000000.0,5000000.0,5000.0,,,,,31131.0,,,,,,3894.0,,,,213.0,,-0.0042,,8000.0,8000.0,,-991.0,2.0,,3894.0,,,,,,,,,,,,,,,,,2.0,,,,5309.0,50810.0,,1415.0,,40111.0,,213.0,-21209.0,-21209.0,,,20220.0,-21211.0,,,20220.0,,2.0,,,,,,40000.0,,111.0,,,24940.0,23768.0,,5550.0,1501.0,,,30141.0,,30141.0,0.0,45501.0,,,,,,,,,5000000.0
2015-04-30,2015-06-11,10-Q,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,,,750.0,39000.0,,26483.0,2928.0,23555.0,,2928.0,2928.0,,,,0.001,75000000.0,4000000.0,4000000.0,5000.0,,,,,22651.0,,,,,,3894.0,,,,213.0,,0.0,,8000.0,8000.0,,12667.0,3.0,,,,,,,,,,,,,,,,,,,3.0,,,,5309.0,26483.0,,1415.0,,,,,,-24326.0,,,36996.0,-24329.0,,,36996.0,,3.0,,,,,,,,,,,,23555.0,,23741.0,-22826.0,,,35317.0,,35317.0,,21174.0,,,,,,,,,5000000.0
2015-07-31,2015-09-18,10-Q,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,,,857.0,39000.0,,27750.0,4408.0,23342.0,,4408.0,4407.0,,,,0.001,75000000.0,5000000.0,5000000.0,5000.0,,,,,15642.0,,,,,,3894.0,,,,213.0,,0.0,,8000.0,8000.0,,3737.0,,,,,,,,,,,,,,,,,,,,,,,,5309.0,27750.0,,1415.0,,,,,,1267.0,,,2470.0,1267.0,,,2470.0,,0.0,,,,,,,,,,,,23342.0,,,-21559.0,,,19379.0,,19379.0,,22441.0,,,,,,,,,5000000.0
2015-10-31,2016-01-25,10-K,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,,,1714.0,39000.0,,24235.0,2491.0,21744.0,,2491.0,2491.0,-5436.0,,,0.001,750000000.0,5000000.0,5000000.0,5000.0,,,,,89727.0,,,,,,3894.0,,,,1278.0,,-0.0096,,8000.0,8000.0,,16112.0,,,,,,,,,,,,,,,,,,,,,,,,5309.0,24235.0,,1415.0,,40111.0,,2237.0,-47784.0,-47784.0,,,63896.0,-47784.0,,,63896.0,,,,,,,,40000.0,,111.0,,,,21744.0,-3196.0,,-25074.0,,,105839.0,,105839.0,,18926.0,,,,40000.0,40000.0,,,,5000000.0
2016-01-31,2016-03-16,10-Q,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,,,1821.0,39000.0,,22064.0,533.0,21531.0,,533.0,533.0,-1972.0,,,0.0,750000000.0,141000000.0,141000000.0,5000.0,,,,,6496.0,,,,,,3894.0,,,,,,-0.0155,,8000.0,8000.0,,2512.0,,,,,,,,,,,,,,,,,,,,,,,,5309.0,22064.0,,1415.0,,,,213.0,-2185.0,-2185.0,,,4698.0,-2185.0,,,4698.0,,0.0,,,,,,,,,,,,21531.0,-3409.0,,-27245.0,,,9008.0,,9008.0,,16755.0,,,,,,,,,141000.0
2016-04-30,2016-05-27,10-Q,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,,,1928.0,39000.0,,21784.0,466.0,21318.0,,466.0,466.0,,,,0.001,750000000.0,141000000.0,141000000.0,5000.0,,,,,5535.0,,,,,,3894.0,,,,,,-0.002,,8000.0,8000.0,,1336.0,,,,,,,,,,,,,,,,,,,,,,,,5309.0,21784.0,,1415.0,,,,,,-280.0,,,1616.0,-280.0,,,1616.0,,0.0,,,,,,,,,,,,21318.0,-3622.0,,-27525.0,,,6871.0,,6871.0,,16475.0,,,,,,,,,141000.0
2016-07-31,2016-09-14,10-Q,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,,,2035.0,39000.0,,21315.0,210.0,21105.0,,210.0,210.0,,,,0.001,750000000.0,141000000.0,141000000.0,5000.0,,,,,10930.0,,,,,,3894.0,,,,,,-0.0033,,8000.0,8000.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,5309.0,21315.0,,1415.0,,,,,,-469.0,,,483.0,-469.0,,,483.0,,0.0,,,,,,,,,,,,21105.0,-3835.0,,-27994.0,,,10944.0,,10944.0,,16006.0,,,,,,,,,141000.0
2016-10-31,2017-02-14,10-K,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,,,2143.0,39000.0,,21207.0,315.0,20892.0,,315.0,315.0,-2176.0,,,0.001,750000000.0,141000000.0,141000000.0,5000.0,,,,,35526.0,,,,,,,,3894.0,,,,0.0,,8000.0,,,6104.0,,,-3894.0,,,,,,,,,,,,,-3894.0,,,,,,,,1415.0,21207.0,,1415.0,,,,852.0,-3028.0,866.0,,,9132.0,-3028.0,,,9132.0,,,,,,,,,,,,,,20892.0,-4048.0,,-24208.0,,,41630.0,,41630.0,,-17499.0,,,,,,,,,141000000.0
2017-01-31,2017-03-17,10-Q,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,,,2250.0,39000.0,,20884.0,206.0,20679.0,,206.0,206.0,-110.0,,,0.001,75000000.0,141000.0,141000.0,5000.0,,,,,9165.0,,,,,,,,,,,,-0.0023,,8000.0,,,2690.0,,,,,,,,,,,,,,,,,,,,,,,,1415.0,20884.0,,1415.0,,,,213.0,-323.0,-323.0,,,3013.0,-323.0,,,3013.0,,,,,,,,,,,,,,20679.0,-4261.0,,-24530.0,,,11855.0,,11855.0,,19470.0,,,,,,,,,141000.0
