end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccountsReceivableNet,AccountsReceivableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AdvertisingExpense,AllowanceForDoubtfulAccountsReceivable,Assets,AssetsCurrent,BankOverdrafts,CapitalUnitsAuthorized,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConcentrationRiskPercentage,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,CostOfGoodsSold,CurrentFederalTaxExpenseBenefit,CustomerDepositsCurrent,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtCurrent,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentDecreaseForgiveness,DebtInstrumentFaceAmount,DebtInstrumentIncreaseDecreaseOtherNet,DebtInstrumentInterestRateAtPeriodEnd,DebtInstrumentInterestRateStatedPercentageRateRangeMaximum,DebtInstrumentInterestRateStatedPercentageRateRangeMinimum,DeferredCostsCurrent,DeferredRevenueCurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositsAssetsNoncurrent,Depreciation,DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationOtherAdjustments,GainContingencyUnrecordedAmount,GainLossRelatedToLitigationSettlement,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInDeferredCharges,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidTaxes,InterestExpense,InterestExpenseOther,InterestPaid,InventoryFinishedGoods,InventoryNet,InventoryWriteDown,InvestmentIncomeNonoperating,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LineOfCreditFacilityAmountOutstanding,LineOfCreditFacilityInterestRateAtPeriodEnd,LineOfCreditFacilityMaximumBorrowingCapacity,LongTermDebtNoncurrent,LossContingencyDamagesSoughtValue,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesNoncurrent,NotesReduction,OfficersCompensation,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherCostAndExpenseOperating,OtherNoncashExpense,OtherNonoperatingIncomeExpense,PaidInKindInterest,PartnersCapital,PartnersCapitalAccountContributions,PaymentsToAcquireProductiveAssets,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,PrepaidTaxes,ProceedsFromContributedCapital,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromLinesOfCredit,ProceedsFromNotesPayable,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromShortTermDebt,ProfessionalAndContractServicesExpense,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentTransfersAndChanges,PropertyPlantAndEquipmentUsefulLifeMaximum,RelatedPartyTransactionAmountsOfTransaction,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RepaymentsOfShortTermDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,RevenueFromRelatedParties,SalesCommissionsAndFees,SalesRevenueNet,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesStockSplits,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensation,SubsidiaryOrEquityMethodInvesteeCumulativePercentageOwnershipAfterAllTransactions,TreasuryStockSharesRetired,UnrecordedUnconditionalPurchaseObligationBalanceOnFifthAnniversary,UnrecordedUnconditionalPurchaseObligationBalanceOnFirstAnniversary,UnrecordedUnconditionalPurchaseObligationBalanceOnFourthAnniversary,UnrecordedUnconditionalPurchaseObligationBalanceOnSecondAnniversary,UnrecordedUnconditionalPurchaseObligationBalanceOnThirdAnniversary,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2010-09-30,2010-10-25,10-Q,"FUEL DOCTOR HOLDINGS, INC.",FDOC,CIK0001459188,USD,,,,,,,,,107653.0,,,,,,82122.0,,,,,,,,,207053.0,207053.0,,,,,,,,,,,,,,,,,,,,,,-0.06,,,,,109368.0,36412.0,-500317.0,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,9000.0,,,,,,,,,,,,,,-500317.0,421.0,,,,,120074.0,537150.0,-500738.0,,,,,,,,,421.0,,,,,,,,,,,,,,,,,,,,,,,,34891.0,-500317.0,,,,,,,,47778.0,,,6932.0,243465.0,,,,,,,,,,,,,,,,,,,,
2010-12-31,2011-03-31,10-K,"FUEL DOCTOR HOLDINGS, INC.",FDOC,CIK0001459188,USD,334181.0,64444.0,72261.0,,94352.0,1062.0,3352668.0,,967870.0,,1497093.0,1490105.0,,,11640.0,-13918.0,0.0001,215000000.0,8000000.0,8000000.0,800.0,,,,753996.0,,,,,,,,,,,,,,,,,,3210.0,1062.0,,2501.0,-0.31,,,,,,26150.0,,,,,,,,70265.0,,47379.0,158796.0,,,,210.0,793721.0,,,1726.0,8752.0,,,,1404478.0,,,,,1104024.0,1497093.0,495478.0,608546.0,,,,101732.0,,4840.0,3088971.0,-4840.0,-3098049.0,-2485136.0,-8329.0,,,608546.0,,,2502957.0,-2476807.0,,,,,,,1535087.0,,423.0,,393069.0,2480190.0,4840.0,0.0001,43000000.0,0.0,0.0,,1726.0,1726.0,,,2479790.0,,,,,506814.0,,,101732.0,,,,3778.0,,,,,,,,-2960399.0,,,780146.0,,393069.0,393069.0,,,,,,,,,,,,,,,,,
2011-03-31,2011-05-12,10-Q,"FUEL DOCTOR HOLDINGS, INC.",FDOC,CIK0001459188,USD,,,,,,,,,349681.0,,,,,,75973.0,64091.0,,,,,,,,210614.0,,,,,,,,,,,,,,,,,,,,331.0,,,-0.05,,,,,,133393.0,,,,,,,,-169914.0,,50410.0,-6065.0,,,,,-156807.0,,,,3043.0,,600.0,,,,,,,,,,,,,,,,,564365.0,-1530.0,-498744.0,-429493.0,-3037.0,,,,,,559849.0,-426456.0,,,,,,,210168.0,,6.0,,,,1530.0,,,,,,,,,,,,,565000.0,,,,,,,,,,,,,,,635.0,,,,,344007.0,,,,,,,,,,,,,,,,,,,,
2011-06-30,2011-08-10,10-Q,"FUEL DOCTOR HOLDINGS, INC.",FDOC,CIK0001459188,USD,,,,,,,,,356594.0,,,,,,213309.0,,,,,,,,,241005.0,188425.0,,,,,,,,,,,,,,,,,,,,,,-0.09,,,,,,33293.0,,,,,,,,,,,,,,,,,,,,11193.0,,,,,52580.0,,,,,,,,,,,,,,,,,-723754.0,-11180.0,,,,,,745867.0,-712574.0,,,,,,,389273.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274298.0,,,,,,,,,,,,,,,,,,,,
2011-09-30,2011-11-21,10-Q,"FUEL DOCTOR HOLDINGS, INC.",FDOC,CIK0001459188,USD,382710.0,,18627.0,,286616.0,7647.0,19030.0,,294107.0,,1562015.0,1520790.0,,,4797.0,,0.0001,215000000.0,12473600.0,12473600.0,1247.0,,,177539.0,177539.0,,,,,,213000.0,,,,,,,,233338.0,,,,7244.0,,23877.0,,-0.08,,,,,160182.0,15732.0,-784760.0,,-0.08,23877.0,0.0,,,,,,,,,,,,,,,17502.0,,,,947227.0,,23872.0,,4928.0,1835127.0,1562015.0,1400895.0,434232.0,,,,101732.0,,41628.0,,,,-760893.0,6370.0,,410000.0,332500.0,,75400.0,782995.0,-767263.0,,,,,,,488888.0,,5.0,,-273112.0,,,0.0001,43000000.0,0.0,0.0,,,13656.0,,,,,,,,,,,,,194443.0,-784760.0,33981.0,,,,,,,,-293389.0,,53780.0,193271.0,,-273112.0,-273112.0,,,,,,,,,,,,,,,,,
2011-12-31,2012-05-22,10-K,"FUEL DOCTOR HOLDINGS, INC.",FDOC,CIK0001459188,USD,474413.0,74040.0,36980.0,,60907.0,9821.0,1258559.0,,1249706.0,0.0,1574013.0,1536772.0,29962.0,,495.0,-11145.0,0.0001,215000000.0,12950332.0,12950332.0,1296.0,,202000.0,,597667.0,,42613.0,101732.0,,,,,,26000.0,,0.04,0.11,0.03,,,,,5434.0,8759.0,,1856.0,-0.27,,,,,,177488.0,,,,,,,,116355.0,,-35281.0,11153.0,42613.0,,,2224.0,-610759.0,,,5856.0,37176.0,,,793719.0,793719.0,,,70000.0,,1384541.0,1574013.0,1384541.0,,442000.0,,,,,41628.0,2367577.0,-36788.0,-2341934.0,-3761507.0,-37152.0,26000.0,442000.0,,,,2831460.0,-2653972.0,,,,,,,1581754.0,,24.0,20346.0,,,36788.0,0.0001,43000000.0,0.0,0.0,,147582.0,,,202000.0,1227500.0,,442000.0,,,872319.0,29962.0,,26000.0,,,,31807.0,,5.0,,,460453.0,,,-1070383.0,,,775155.0,,189472.0,,,,,,,122078.0,,165000.0,210000.0,,,1000000.0,110000.0,700000.0,200000.0,500000.0,
2012-03-31,2012-06-18,10-Q,"FUEL DOCTOR HOLDINGS, INC.",FDOC,CIK0001459188,USD,344084.0,55530.0,21803.0,,107845.0,11993.0,1487479.0,,395.0,,1527959.0,1492890.0,,,1038.0,543.0,0.0001,215000000.0,13252323.0,13252323.0,1326.0,,,154765.0,,,,202000.0,,,,,,,,,,,,,,,5434.0,2172.0,,1856.0,-0.02,,,,,,66650.0,,,,,,1600.0,,-103379.0,,-15177.0,28428.0,-42613.0,,,,-147333.0,,-51915.0,,19532.0,,376.0,,784382.0,,,,,1407513.0,1527959.0,1407513.0,,,,,,,41628.0,369486.0,,-368943.0,-297976.0,-19532.0,,883520.0,,,,345094.0,-278444.0,,,,,,,344699.0,,,,,,,0.0001,43000000.0,0.0,0.0,,95667.0,,,,,,,,-16072.0,,-29962.0,441520.0,,,,,29635.0,,,,26000.0,,,,-1368359.0,,,221415.0,,120446.0,,,,,,,,,,,,,,,,,,
2012-06-30,2012-10-09,10-Q,"FUEL DOCTOR HOLDINGS, INC.",FDOC,CIK0001459188,USD,343534.0,91657.0,15935.0,45000.0,175486.0,14163.0,1520369.0,,36381.0,0.0,1478694.0,1445795.0,6652.0,,,,0.0001,215000000.0,14352332.0,14352332.0,1436.0,1.0,,91722.0,91722.0,,,,,,,1.0,,,,,,,,,,,5434.0,,,1856.0,-0.02,,,100000.0,,,22010.0,,,,,,,,,,,,,,,,,,,,21102.0,,,772952.0,772952.0,,,,,1621587.0,1478694.0,1621587.0,,992767.0,0.1,1000000.0,,,41628.0,,,,-296339.0,-21102.0,,992767.0,,,,297247.0,-275237.0,118272.0,29568.0,29568.0,59136.0,,,260866.0,,,,,,,0.0001,43000000.0,0.0,0.0,,46789.0,,,,,,,,,,,,,,,,27465.0,,,,,,,,-1664698.0,,,113732.0,,-142893.0,,,,,,,,,,,,,,,,,,
2012-09-30,2012-11-19,10-Q,"FUEL DOCTOR HOLDINGS, INC.",FDOC,CIK0001459188,USD,236377.0,94385.0,45284.0,,104132.0,16337.0,1523751.0,,-4053.0,0.0,1374999.0,1344274.0,,,6964.0,,0.0001,215000000.0,14732363.0,14732363.0,1474.0,1.0,,73025.0,73025.0,,,,,,,,,,,,,,,2882.0,,,5434.0,,,1855.0,-0.01,,,,166661.0,,32721.0,,,,,,,,,,,,,,,,,,,,29226.0,,,705406.0,705406.0,,,,,1615898.0,1374999.0,1615898.0,,,,,,,41628.0,,,,-101354.0,137435.0,,1176267.0,,,,271510.0,-238789.0,108675.0,15525.0,31050.0,62100.0,,,275563.0,,,,,,,0.0001,43000000.0,0.0,0.0,,21501.0,,,,,,,,,,,,,,,,25291.0,,,,,,,,-1766124.0,,,105746.0,,-240899.0,,,,,,,,,,,,,,,,,,
2021-03-31,2021-05-13,10-Q,"FUEL DOCTOR HOLDINGS, INC.",FDOC,CIK0001459188,USD,1718.0,,,,,,1523746.0,,,,0.0,,,,,,0.0001,290000000.0,36739363.0,36739363.0,3674.0,,,,,703.0,,,,,,,,,,,,,,,1172.0,1172.0,,,,9198.0,0.0,0.35,0.21,,,1694.0,,,,,,,,-703.0,-3222.0,6570.0,,,,,,,,,,,,,,,,,,,,15916.0,0.0,15916.0,,,,,,,,,,,-3348.0,,5000.0,,,,,3348.0,-3348.0,,,,,,1543336.0,,,,,,,,0.0001,10000000.0,,,,,,,,,,,,,,,,,,1654.0,-3348.0,,,,,,,,,-1543336.0,,,,,-15916.0,,,,,,,,,,,,,,,,,,36739363.0
