end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdvancesToAffiliate,AdvertisingExpense,AllowanceForDoubtfulAccountsReceivableCurrent,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,AssetsNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConstructionInProgressGross,CostOfRevenue,DebtConversionConvertedInstrumentRate,DebtInstrumentFaceAmount,DebtInstrumentUnamortizedDiscountCurrent,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DerivativeCostOfHedge,DerivativeFairValueOfDerivativeLiability,DerivativeGainLossOnDerivativeNet,DerivativeLiabilitiesCurrent,DerivativeLiabilitiesNoncurrent,DerivativeLossOnDerivative,DueToOfficersOrStockholdersCurrent,EarningsPerShareBasicAndDiluted,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersIntoLevel3,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDueToOfficersAndStockholdersCurrent,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseOther,InterestExpenseRelatedParty,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,InventoryNet,InventoryValuationReserves,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LiabilityForUncertainTaxPositionsCurrent,LoansPayableCurrent,LongTermNotesPayable,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherCostAndExpenseOperating,OtherIncome,OtherLongTermNotesPayable,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,PaymentsOfLoanCosts,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfDebt,ProceedsFromPaymentsForOtherFinancingActivities,ProductWarrantyAccrualClassifiedCurrent,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentAdditions,PropertyPlantAndEquipmentNet,ReceivablesNetCurrent,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SellingAndMarketingExpense,SharesIssued,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2018-03-31,2018-10-18,10-Q,"HFactor, Inc.",HWTR,CIK0001144546,USD,19062.0,,,,,-44093.0,,,,,0.0,,,0.0,0.0,0.0,,,,0.0,0.001,200000000.0,44093276.0,44093276.0,44093.0,,,,,,,,,,,,,,,,475.0,-0.0002,,,,,,0.0,985.0,,50.0,6232.0,,,985.0,,985.0,0.0,10632.0,,,,,80928.0,0.0,30169.0,50759.0,,,,,0.0,,0.0,-7267.0,,,,,,6525.0,6282.0,-6282.0,,4282.0,,,,,,0.001,10000000.0,0.0,0.0,,,,0.0,,,2000.0,-7267.0,,,,0.0,0.0,-80928.0,0.0,,,-80928.0,,,44093276.0
2018-06-30,2018-10-18,10-Q,"HFactor, Inc.",HWTR,CIK0001144546,USD,9862.0,,,,,-44093.0,,,,,0.0,,,0.0,0.0,,,,,,0.001,200000000.0,44093276.0,44093276.0,44093.0,,,,,,,,,,,,,,,,485.0,-0.0001,,,,,,,,,,,,,996.0,,,,11629.0,,,,,86234.0,0.0,21976.0,64259.0,,,,,,,,-5306.0,,,,,,6525.0,4310.0,-4310.0,,2310.0,,,,,,0.001,10000000.0,0.0,0.0,,,,,,,2000.0,,,,,,0.0,-86234.0,0.0,,,-86234.0,,,44093276.0
2018-09-30,2018-11-20,10-Q,"HFactor, Inc.",HWTR,CIK0001144546,USD,9107.0,,,,,-44093.0,,,,,0.0,,,0.0,0.0,,,,,,0.001,200000000.0,44093276.0,44093276.0,44093.0,,,,,,,,,,,,,,,,485.0,-0.0002,,,,,,,,,,,,,1280.0,,,,12908.0,,,,0.0,94666.0,0.0,22500.0,72166.0,,,,,,,,-8433.0,,,,,,6525.0,7153.0,-7153.0,,7153.0,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,0.0,,,,,,0.0,-94666.0,0.0,,,-94666.0,,,44093276.0
2018-12-31,2019-04-15,10-K,"HFactor, Inc.",HWTR,CIK0001144546,USD,26200.0,,,,,-44093.0,25607.0,,,,,,,,0.0,,,,,,0.001,200000000.0,44093276.0,44093276.0,44093.0,,,,,,,,,,,,,,,,485.0,-0.001,,,,,,,38977.0,,60.0,4700.0,,,4699.0,,4699.0,,14347.0,,,,,117398.0,,41032.0,76366.0,,,,,,,,-43737.0,,,,,,6525.0,39038.0,-39038.0,,25538.0,,,,,,0.001,10000000.0,,,,,,,,,13500.0,-43737.0,,,,,,-117398.0,,,,-117398.0,-117398.0,,44093276.0
2019-03-31,2019-05-13,10-Q,"HFactor, Inc.",HWTR,CIK0001144546,USD,32501.0,,,,,-44093.0,,,,,,,,,,,,,,,0.001,200000000.0,44093276.0,44093276.0,44093.0,,,,,,,,,,,,,,,,485.0,-0.0002,,,,,,,6300.0,,,1490.0,,,1490.0,,1490.0,,15837.0,,,,,125188.0,,48823.0,76366.0,,,,,,,,-7790.0,,,,,,6525.0,6300.0,-6300.0,,4300.0,,,,,,0.001,10000000.0,,,,,,,,,2000.0,-7790.0,,,,,,-125188.0,,,,-125188.0,-125188.0,,44093276.0
2019-06-30,2019-08-13,10-Q,"HFactor, Inc.",HWTR,CIK0001144546,USD,17990.0,,,,,-44093.0,,,,,,,,,0.0,,,,,,0.001,200000000.0,44093276.0,44093276.0,44093.0,,,,,,,,,,,,,,,,545.0,-0.0003,,,,,,,,,,,,,2034.0,,,,17870.0,,,,,139169.0,,36405.0,102764.0,,,,,,,,-13981.0,,,,,,6525.0,11947.0,-11947.0,,9947.0,,,,,,0.001,10000000.0,,,,,,,,,2000.0,,,,,,0.0,-139169.0,0.0,,,-139169.0,-139169.0,,44093276.0
2019-09-30,2019-11-13,10-Q,"HFactor, Inc.",HWTR,CIK0001144546,USD,16773.0,,,,,-44093.0,,,,,,,,,0.0,,,,,,0.001,200000000.0,44093276.0,44093276.0,44093.0,,,,,,,,,,,,,,,,2296.0,-0.0002,,,,,,,,,,,,,2060.0,,,,19931.0,,,,,146220.0,,39000.0,107220.0,,,,,,,,-7051.0,,,,,,6525.0,4991.0,-4991.0,,3491.0,,,,,,0.001,10000000.0,,,,,,,,,1500.0,,,,,,0.0,-146220.0,0.0,,,-146220.0,-146220.0,,44093276.0
2019-12-31,2021-02-02,10-K,"HFactor, Inc.",HWTR,CIK0001144546,USD,24401.0,24401.0,,109689.0,,-44093.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.001,200000000.0,44093276.0,44093276.0,44093.0,,,,,,,,,,,,,0.0,0.0,,2469.0,-9e-05,,,,,,0.0,29055.0,,1984.0,7729.0,,,7730.0,,1490.0,0.0,22076.0,3030.0,,,,156166.0,0.0,48946.0,107220.0,,,100695.0,,0.0,0.0,0.0,-38768.0,,,,,,6525.0,31038.0,-31038.0,,18038.0,,100695.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,0.0,,,13000.0,-38768.0,,,,,0.0,-156166.0,0.0,,,-156166.0,-156166.0,,44093276.0
2020-03-31,2021-02-18,10-Q,"HFactor, Inc.",HWTR,CIK0001144546,USD,27701.0,,,109888.0,,-44093.0,,,,,,,,,0.0,,,0.0,,,0.001,200000000.0,44093276.0,44093276.0,44093.0,,,,,,,,,,,,,,,,2668.0,-0.0001,,,,,,0.0,3300.0,,199.0,2123.0,,,2008.0,,2008.0,0.0,24199.0,,,,,161788.0,,54568.0,107220.0,,,,,0.0,0.0,0.0,-5622.0,,,,,,6525.0,3614.0,-3614.0,,2114.0,,,,,,0.001,10000000.0,,,,,,0.0,,,1500.0,-5622.0,,,,,0.0,-161788.0,0.0,,,-161788.0,-161788.0,,44093276.0
2020-06-30,2021-02-22,10-Q,"HFactor, Inc.",HWTR,CIK0001144546,USD,31353.0,,,,,-44093.0,,,,0.0,0.0,,,0.0,0.0,,,,,,0.001,200000000.0,44093276.0,44093276.0,44093.0,,,,,,,,,,0.0,,,,,,2668.0,-0.0001,,,,,,,,,,,,,2237.0,2237.0,,,26321.0,3488.0,,,,167562.0,0.0,60342.0,107220.0,,,,,,,,-5775.0,,,,,,6525.0,3538.0,-3538.0,,2038.0,,,0.0,-2237.0,,0.001,10000000.0,0.0,0.0,0.0,,,,,,1500.0,,,,,,0.0,-167562.0,0.0,,,-167563.0,-167562.0,,44093276.0
