end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesNoncurrent,AccountsPayableCurrent,AccountsPayableTradeCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,AdvertisingExpense,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,AssetsFairValueDisclosure,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConcentrationRiskPercentage1,ConvertibleNotesPayableCurrent,CostOfRevenue,CostOfServices,DebtInstrumentConvertibleBeneficialConversionFeature,DeferredIncomeTaxExpenseBenefit,DeferredRevenue,DeferredRevenueCurrent,DeferredRevenuePeriodIncreaseDecrease,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositsAssetsCurrent,Depreciation,DepreciationNonproduction,DerivativeGainLossOnDerivativeNet,DerivativeLiabilities,DerivativeLiabilitiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,FairValueAssumptionsExpectedDividendRate,FairValueAssumptionsExpectedVolatilityRate,FairValueAssumptionsRiskFreeInterestRate,FederalIncomeTaxExpenseBenefitContinuingOperations,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInDeposits,IncreaseDecreaseInDerivativeLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseDebt,InterestPaid,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesFairValueDisclosure,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherLiabilitiesCurrent,PaidInKindInterest,PaymentsToAcquireInvestments,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockSharesSubscribedButUnissuedSubscriptionsReceivable,PrepaidExpenseCurrent,PriorPeriodReclassificationAdjustment,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromLoans,ProceedsFromOtherEquity,ProceedsFromRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentNet,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromRelatedParties,Revenues,SecurityDeposit,SharePrice,SharesIssued,StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2013-04-30,2013-06-04,10-Q,"BLACKPOLL FLEET INTERNATIONAL, INC.",BPOL,CIK0001562201,USD,,,,,,,21170.0,,,,21675.0,21675.0,,14135.0,,0.03,75000000.0,3730000.0,3730000.0,3730.0,,,,,,,,,,,,,,,,,,,5783.0,0.0,0.0,,,,,,,,,1960.0,,,,,,,,,,,,,,,,,,,5783.0,21675.0,,,,,,-1960.0,,,1960.0,-1960.0,,,,,,,7540.0,,,,,,,,,,,-9008.0,,,,,,,,15892.0,,,,,3645899.0,3645899.0
2013-07-31,2013-08-29,10-Q,"BLACKPOLL FLEET INTERNATIONAL, INC.",BPOL,CIK0001562201,USD,200.0,,,,,,21170.0,,,,5949.0,5949.0,,409.0,,,75000000.0,3730000.0,,3730.0,,,,,,,,,,,,,,,,,,,8583.0,-0.01,,-0.01,,,,,,,,18726.0,,-18726.0,,,,,,,,,,,,,,,,,8783.0,5949.0,,,,,,-18726.0,,,18726.0,-18726.0,,,,,,,5540.0,,,,,,,,,,,-27734.0,,,,,,,,-2834.0,,,,3730000.0,,3730000.0
2013-10-31,2014-01-07,10-K,"BLACKPOLL FLEET INTERNATIONAL, INC.",BPOL,CIK0001562201,USD,,,,,,21170.0,21170.0,21170.0,,,7429.0,7429.0,,3889.0,789.0,0.001,250000000.0,3730000.0,3730000.0,3730.0,,,,,,,,,,12000.0,12000.0,-12000.0,,,,,,,14383.0,0.0,,,,,,,,,-11000.0,31571.0,,-31571.0,,,,,,,,,,,,-3540.0,3540.0,,,,14383.0,7429.0,14383.0,,35900.0,,-35111.0,-31571.0,,14383.0,31571.0,-31571.0,,,,,,,3540.0,,21900.0,,,14000.0,,14000.0,-31571.0,,,-31854.0,,,,0.03,730000.0,-1000.0,-6954.0,-6954.0,,730000.0,21900.0,3525493.0,,3525493.0
2014-01-31,2014-03-17,10-Q,"BLACKPOLL FLEET INTERNATIONAL, INC.",BPOL,CIK0001562201,USD,,5684.0,,,,34914.0,,,,0.0,19539.0,19539.0,,18000.0,14111.0,0.001,75000000.0,3730000.0,3730000.0,3730.0,0.1,,0.0,,,13000.0,13000.0,13000.0,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,10935.0,5000.0,-5935.0,0.0,0.0,5684.0,0.0,,13000.0,,,,0.0,0.0,,-2001.0,0.0,,0.0,18684.0,19539.0,18684.0,,0.0,-639.0,14750.0,-5935.0,,,10935.0,-5935.0,,,,639.0,,,1539.0,,,0.0,,,,,,,639.0,-37789.0,5000.0,5000.0,,,,,855.0,855.0,,,,3730000.0,3730000.0,3730000.0
2014-04-30,2014-06-18,10-Q,"BLACKPOLL FLEET INTERNATIONAL, INC.",BPOL,CIK0001562201,USD,,1901.0,,,,34914.0,,,,,58074.0,53689.0,,53689.0,,,,3730000.0,3730000.0,3730.0,,,0.0,,,,,13000.0,,,,,,,0.0,,,,,-0.04,-0.04,-0.04,,,,,,,,151493.0,0.0,-151493.0,0.0,,,,,,,,,,,,,0.0,,,208712.0,58074.0,208712.0,,,,,-151493.0,,,151493.0,-151493.0,,40232.0,,,,,,,,,,,,,,4385.0,,-189282.0,,0.0,,,,,-150638.0,,,,,3730000.0,3730000.0,3730000.0
2014-07-31,2014-09-22,10-Q,"BLACKPOLL FLEET INTERNATIONAL, INC.",BPOL,CIK0001562201,USD,,3250.0,,,25474.0,72376.0,,,6337.0,,76772.0,23202.0,,13202.0,,0.001,250000000.0,3730000.0,3730000.0,3730.0,,,2890356.0,3226500.0,,,,,,,,,50000.0,,0.0,0.0,,,,0.35,,0.34,,,,,,,,219479.0,351864.0,132385.0,0.0,,,,,,,,,,,,,0.0,,,,76772.0,58254.0,,,,,132385.0,,,219479.0,132385.0,,29528.0,,,,,10000.0,54154.0,,,,,,,,3570.0,,-57626.0,,3242220.0,50000.0,,,,18518.0,,,,,384250.0,,373000.0
2014-10-31,2015-03-03,10-K,"BLACKPOLL FLEET INTERNATIONAL, INC.",BPOL,CIK0001562201,USD,,8906.0,,0.0,76631.0,75733.0,,,,,407128.0,403694.0,,71795.0,67906.0,0.001,250000000.0,373000.0,373000.0,373.0,,505832.0,772100.0,4160300.0,0.0,62400.0,,62400.0,,121000.0,121000.0,-121000.0,50000.0,359.0,,,,0.0,,-0.09,,-0.09,0.34,0.3763,0.055,,,,-112000.0,621407.0,300948.0,-320459.0,,,8906.0,,,,,-50000.0,,,-76631.0,,278359.0,,5832.0,,,407128.0,683297.0,,566390.0,-3794.0,-494690.0,-320459.0,0.0,,,,320000.0,29528.0,5832.0,,3794.0,0.0,281899.0,,,,37500.0,,,,,3434.0,639.0,-352313.0,,1073048.0,,,,-9000.0,-276169.0,,,,,3730000.0,,3730000.0
2015-01-31,2015-05-06,10-Q,"BLACKPOLL FLEET INTERNATIONAL, INC.",BPOL,CIK0001562201,USD,,796.0,29528.0,478865.0,6889.0,105958.0,,,,15048.0,565168.0,561869.0,,23004.0,-48791.0,0.001,250000000.0,3730000.0,3730000.0,3730.0,,494772.0,72149.0,,18534.0,-62400.0,,0.0,,,,,50000.0,135.0,,,,,,0.02,,0.02,,,,,,,,233784.0,352105.0,93225.0,0.0,0.0,-8110.0,478865.0,,,,,,10018.0,69741.0,,-271899.0,25096.0,,30.0,,565168.0,714530.0,,180000.0,0.0,-228791.0,93225.0,182545.0,,,118321.0,,29528.0,,0.0,,,10000.0,,,180000.0,,,,,,3299.0,,-259088.0,,424254.0,,,,,-149362.0,,,,,3730000.0,,3730000.0
2015-04-30,2015-06-15,10-Q,"BLACKPOLL FLEET INTERNATIONAL, INC.",BPOL,CIK0001562201,USD,,391056.0,29528.0,1392894.0,0.0,106948.0,,,,,1486387.0,1483224.0,,30330.0,,0.001,250000000.0,3730000.0,3730000.0,3730.0,,510661.0,186950.0,,,,,0.0,,,,,50000.0,,135.0,,,50034.0,,0.13,,0.13,,,,,,,,484206.0,1022189.0,469255.0,0.0,,,,,,,,,,,,,18559.0,,,,1486387.0,1166494.0,,,,,469255.0,185215.0,,484341.0,537848.0,,29528.0,,,,1000.0,10000.0,,,,,,,,,3163.0,,210167.0,,1209139.0,,,,,319893.0,,,,,3730000.0,,3730000.0
2015-07-31,2015-11-03,10-Q,"BLACKPOLL FLEET INTERNATIONAL, INC.",BPOL,CIK0001562201,USD,,232410.0,29528.0,1571901.0,0.0,110305.0,,,0.0,,1642434.0,1639406.0,0.0,17505.0,,0.001,250000000.0,373000.0,373000.0,373.0,,527028.0,1850991.0,,,,,0.0,,,,,50000.0,,135.0,-12548.0,62582.0,62582.0,,0.76,,0.69,,,,,,,,245988.0,560816.0,282977.0,0.0,,,,,,,,,,,,,19168.0,,,,1642434.0,1039564.0,62582.0,,,,282977.0,188016.0,,246123.0,314693.0,,29528.0,,,,1000.0,0.0,,,,,,,,,3028.0,,493144.0,,2411807.0,,,,,602870.0,,,,,423184.0,,373000.0
