end,filed,form,Name,Ticker,CIK,Currency,AccountsAndOtherReceivablesNetCurrent,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableTradeCurrent,AccountsReceivableGross,AccountsReceivableNet,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdvancesOnInventoryPurchases,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulAccountsReceivable,AmortizationOfIntangibleAssets,AssetImpairmentCharges,Assets,AssetsCurrent,AssetsNoncurrent,CapitalLeasesFutureMinimumPaymentsDue,CapitalLeasesFutureMinimumPaymentsDueCurrent,CapitalLeasesFutureMinimumPaymentsDueInFiveYears,CapitalLeasesFutureMinimumPaymentsDueInFourYears,CapitalLeasesFutureMinimumPaymentsDueInThreeYears,CapitalLeasesFutureMinimumPaymentsDueInTwoYears,CapitalLeasesFutureMinimumPaymentsDueThereafter,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashFDICInsuredAmount,CashUninsuredAmount,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsAndServicesSold,CustomerDepositsCurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositsAssetsNoncurrent,Depreciation,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,FinanceLeaseLiability,FinanceLeaseLiabilityCurrent,FinanceLeaseLiabilityNoncurrent,FinanceLeaseRightOfUseAssetAccumulatedAmortization,FinanceLeaseRightOfUseAssetAmortization,FinanceLeaseRightOfUseAssetBeforeAccumulatedAmortization,FiniteLivedIntangibleAssetsNet,FurnitureAndFixturesGross,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpenseImpairmentLosses,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationPriorYearIncomeTaxes,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncomeTaxReconciliationTaxExemptIncome,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInDeposits,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidSupplies,InterestExpense,InterestIncomeOther,InterestPaidNet,InventoryFinishedGoods,InventoryNet,InventoryNoncurrent,InventoryRawMaterials,InventoryRealEstateMortgageLoansHeldInInventory,InventoryValuationReserves,InventoryWriteDown,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LoansPayableCurrent,LongTermLoansPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoAndThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesRentExpenseMinimumRentals,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAssetsNoncurrent,OtherIncome,OtherInventoryInTransit,OtherInventoryMaterialsSuppliesAndMerchandiseUnderConsignment,OtherOperatingIncomeExpenseNet,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,ProceedsFromOtherDebt,ProceedsFromRelatedPartyDebt,ProfessionalFees,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOther,ProvisionForDoubtfulAccounts,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,SaleOfStockPricePerShare,SalesRevenueNet,SellingAndMarketingExpense,ShareBasedCompensation,SharePrice,SharesIssued,ShippingHandlingAndTransportationCosts,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,Supplies,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2017-11-30,2018-01-12,10-Q,Reviv3 Procare Company,RVIV,CIK0001718500,USD,16882.0,103214.0,,,18897.0,16882.0,3080.0,4997462.0,21784.0,6816.0,2015.0,,,776295.0,754927.0,21368.0,,,,,,,,97000.0,347880.0,,250000.0,,0.0001,100000000.0,40505047.0,40505047.0,4050.0,67618.0,45014.0,,,14849.0,608.0,210.0,0.0,,,,,,,,,,,5759.0,,47956.0,68291.0,-101298.0,,,,,,,,,,,,,,,,,,,1042.0,27.0,,114774.0,364265.0,,249491.0,102414.0,,,,148438.0,776295.0,148438.0,,,,,,,-101298.0,-1015.0,168574.0,-100283.0,,163905.0,41976.0,,121929.0,,,,,,,,11496.0,,,,,0.0001,20000000.0,0.0,0.0,4116.0,,,,,,,88545.0,,6519.0,3840.0,,,-4373655.0,135909.0,,,135909.0,25257.0,,,,,627857.0,445755.0,,,283400.0,21784.0,,40262456.0
2018-02-28,2018-04-13,10-Q,Reviv3 Procare Company,RVIV,CIK0001718500,USD,39348.0,69014.0,,,42916.0,39348.0,3992.0,4997462.0,129089.0,8235.0,3568.0,,,719781.0,695670.0,,,,,,,,,14000.0,256835.0,,250000.0,,0.0001,100000000.0,40505047.0,40505047.0,4050.0,135236.0,135610.0,,,14849.0,913.0,210.0,0.0,,,,,,,,,,,5759.0,,60274.0,84018.0,-112910.0,,,,,,,,,,,,,,,,,,,965.0,33.0,,108072.0,267398.0,,159326.0,51845.0,,,,204834.0,719781.0,204834.0,,,,,,,-112910.0,-932.0,195996.0,-111978.0,,142917.0,20988.0,,121929.0,,,,,24111.0,,,11496.0,,,,,0.0001,20000000.0,0.0,0.0,3000.0,,,,,,,90720.0,,9262.0,7495.0,,,-4486565.0,219254.0,,,219254.0,36767.0,,,,,514947.0,514947.0,,,,129089.0,,40505047.0
2018-05-31,2018-08-10,10-K,Reviv3 Procare Company,RVIV,CIK0001718500,USD,29991.0,79759.0,386.0,41320.0,32733.0,29991.0,4905.0,4997461.0,3413.0,30515.0,2742.0,,,609514.0,586316.0,,,,,,,,,0.0,227870.0,-189003.0,250000.0,,0.0001,100000000.0,40505047.0,40505047.0,4051.0,576246.0,16200.0,289600.0,289600.0,14849.0,3029.0,210.0,-0.01,0.34,0.21,0.09,,,,,,,,5759.0,,221159.0,356972.0,-342539.0,8000.0,125500.0,-116500.0,,13800.0,,,-30800.0,,16790.0,-750.0,-4046.0,,,197305.0,,-2496.0,-12722.0,3812.0,118.0,,113134.0,321537.0,,208403.0,64485.0,,5562.0,78503.0,96169.0,609514.0,96169.0,,,,283610.0,-4123.0,-468490.0,-342539.0,-3694.0,695817.0,-338845.0,,36266.0,36266.0,,14635.0,,6782.0,289600.0,289600.0,23198.0,,,6782.0,,,,4123.0,0.0001,20000000.0,0.0,0.0,3505.0,,283400.0,,,,210.0,352945.0,,8349.0,7495.0,1962.0,,-4488167.0,933218.0,,,933218.0,91198.0,32089.0,,,37423.0,513345.0,513345.0,,20000.0,283400.0,3413.0,,40257592.0
2018-08-31,2018-10-12,10-Q,Reviv3 Procare Company,RVIV,CIK0001718500,USD,27495.0,100255.0,156.0,60490.0,30237.0,27495.0,5817.0,4997461.0,26483.0,7669.0,2742.0,,,582902.0,560616.0,,,,,,,,,167000.0,141236.0,-86634.0,,,0.0001,100000000.0,40505047.0,40505047.0,4051.0,63776.0,62396.0,,,14849.0,913.0,210.0,0.0,,,,,,,,,,,5759.0,,104099.0,77404.0,-93304.0,,,,,,,,,,20495.0,-2496.0,46196.0,,,36064.0,,27366.0,23070.0,272.0,21.0,,81587.0,357601.0,,276014.0,35850.0,,969.0,25066.0,162861.0,582902.0,162861.0,,,,,,-86634.0,-93304.0,-251.0,170457.0,-93053.0,,,,,,,6782.0,,,22286.0,,,,,,,,0.0001,20000000.0,0.0,0.0,7801.0,,283400.0,,,,,49486.0,,7437.0,7495.0,,,-4581471.0,141180.0,,,,9203.0,,,,,420041.0,420041.0,280.0,20000.0,,26483.0,,40505047.0
2018-11-30,2019-01-14,10-Q,Reviv3 Procare Company,RVIV,CIK0001718500,USD,35548.0,63468.0,543.0,20256.0,38587.0,35548.0,6948.0,5306384.0,15752.0,7417.0,3039.0,,,786695.0,762923.0,,,,,,,,,167000.0,382053.0,,,,0.0001,100000000.0,41277547.0,41277547.0,4128.0,159616.0,52015.0,,,14849.0,1130.0,210.0,0.0,,,,,,,,,,,5759.0,,28227.0,80543.0,-58039.0,,,,,,,,,,,,,,,,,,,,25.0,,55327.0,320681.0,,265354.0,35850.0,,,23880.0,115693.0,786695.0,115693.0,,,,,,,-58039.0,25.0,138607.0,-58064.0,,,,,,,,,,23772.0,,,,,,,,0.0001,20000000.0,0.0,0.0,8889.0,,,,,,,70694.0,,8923.0,10112.0,297.0,,-4639510.0,240159.0,,,,32269.0,,,,,671002.0,671002.0,,5000.0,304000.0,15752.0,,40649936.0
2019-02-28,2019-04-10,10-Q,Reviv3 Procare Company,RVIV,CIK0001718500,USD,38521.0,171267.0,3004.0,127977.0,44049.0,38521.0,8530.0,5306384.0,,7344.0,5528.0,,,916736.0,866776.0,,,,,,,,,129200.0,400494.0,,,,0.0001,100000000.0,41277547.0,41277547.0,4128.0,158846.0,58647.0,,,14849.0,1582.0,3210.0,0.0,,,,,,,,,,,,,58212.0,122216.0,-3568.0,,,,,,,,,,,,,,,,,,,106.0,49.0,,229746.0,427761.0,,198015.0,117104.0,,,23666.0,249302.0,916736.0,236424.0,,,,,,,-3568.0,-57.0,125727.0,-3511.0,,,,,,,,,,49960.0,,,,,,,,0.0001,20000000.0,0.0,0.0,,,,,,,,37732.0,,35111.0,,297.0,,-4643078.0,281062.0,,,,22439.0,,,,,667434.0,667434.0,,,,,,41277547.0
2019-05-31,2019-07-17,10-K,Reviv3 Procare Company,RVIV,CIK0001718500,USD,79588.0,32471.0,3454.0,14610.0,82365.0,79588.0,10838.0,5311383.0,,29694.0,2777.0,,,741464.0,693338.0,,,,,,,,,102454.0,346179.0,118309.0,,,0.0001,100000000.0,41285881.0,41285881.0,4129.0,553017.0,16203.0,333000.0,333000.0,14849.0,5933.0,210.0,0.0,0.21,,0.09,,,,,,,474.0,,,267125.0,439653.0,-149975.0,43500.0,,-31500.0,,1500.0,,,-13500.0,,-47286.0,55048.0,,,,-58510.0,,-512.0,-3413.0,471.0,136.0,471.0,69256.0,264578.0,,195322.0,13176.0,,-1551.0,94869.0,64094.0,741464.0,52184.0,11910.0,,,307710.0,-14361.0,-175040.0,-149975.0,-335.0,589293.0,-149640.0,,,,,,,6782.0,1100000.0,,48126.0,,3450.0,,,474.0,474.0,13887.0,0.0001,20000000.0,0.0,0.0,2993.0,,309000.0,,,,,198344.0,,32803.0,,5452.0,,-4638142.0,992670.0,,,,94130.0,5000.0,,,,677370.0,677370.0,,5000.0,309000.0,,,40926376.0
2019-08-31,2019-10-02,10-Q,Reviv3 Procare Company,RVIV,CIK0001718500,USD,37604.0,87039.0,6142.0,67765.0,38039.0,37604.0,13608.0,5311383.0,,10294.0,435.0,,474.0,749279.0,695167.0,,,,,,,,,87273.0,337515.0,-8664.0,250000.0,,0.0001,100000000.0,41285881.0,41285881.0,4129.0,45153.0,63363.0,,,14849.0,2770.0,7859.0,0.0,,,,,,,,,,,,,97965.0,80529.0,-100609.0,,,,,,,,,,101727.0,-44326.0,,,,44929.0,,7547.0,,117.0,40.0,117.0,74180.0,309508.0,,235328.0,556.0,,769.0,23666.0,172518.0,749279.0,161561.0,,,,6696.0,-9230.0,-6130.0,-100609.0,2265.0,183403.0,-102874.0,,14635.0,14635.0,,,,3300.0,,,54112.0,2342.0,,,2342.0,,,9230.0,0.0001,20000000.0,0.0,0.0,10540.0,,,,,,7649.0,28399.0,,39263.0,,-2342.0,,-4738751.0,125682.0,,,,46745.0,,,,,576761.0,576761.0,,,,,,41285881.0
2019-11-30,2020-01-07,10-Q,Reviv3 Procare Company,RVIV,CIK0001718500,USD,,167107.0,2109.0,152212.0,53260.0,52825.0,16377.0,5311383.0,,20899.0,435.0,,,752097.0,699326.0,,,,,,,,,98330.0,344532.0,,250000.0,,0.0001,100000000.0,41285881.0,41285881.0,4129.0,169714.0,17511.0,,,16277.0,2770.0,7787.0,0.0,,,,,,,,,,,,,113025.0,158838.0,-30374.0,,,,,,,,,,,,,,,,,,,519.0,30.0,,49680.0,301969.0,,252289.0,556.0,,,22470.0,205710.0,752097.0,195705.0,,,,,,,-30374.0,-489.0,188723.0,-29885.0,,282705.0,90808.0,97662.0,,94235.0,,,,52771.0,,2670.0,,,,,,0.0001,20000000.0,0.0,0.0,,,,,,,,9073.0,,36494.0,,,,-4769125.0,328552.0,,,,45726.0,,,,,546387.0,546387.0,,,,,,41285881.0
2020-02-29,2020-04-07,10-Q,Reviv3 Procare Company,RVIV,CIK0001718500,USD,,63714.0,2636.0,48173.0,60362.0,59927.0,18836.0,5311383.0,,7624.0,435.0,,,817802.0,548384.0,,,,,,,,,0.0,142690.0,,250000.0,,0.0001,100000000.0,41285881.0,41285881.0,4129.0,45736.0,16203.0,,,16278.0,2459.0,210.0,0.0,,,,219962.0,68941.0,151021.0,,,,,,,64703.0,112144.0,-41599.0,,,,,,,,,,,,,,,,,,,513.0,25.0,,40671.0,344477.0,,303806.0,580.0,,,0.0,313014.0,817802.0,152368.0,,,,,,,-41599.0,-488.0,153255.0,-41111.0,219105.0,260002.0,91665.0,73246.0,,95091.0,,,,269418.0,,0.0,,,,,,0.0001,20000000.0,0.0,0.0,1290.0,,,,,,,43431.0,,34035.0,,,,-4810724.0,157880.0,,,,37497.0,,,,,504788.0,504788.0,,,,,,41285881.0
