end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccruedIncomeTaxesCurrent,AdditionalPaidInCapitalCommonStock,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfRevenue,DeferredCompensationLiabilityCurrent,DeferredIncomeTaxExpenseBenefit,DeferredRevenue,DeferredRevenueCurrent,DeferredTaxAssetsLiabilitiesNetNoncurrent,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsValuationAllowance,DepositsAssetsCurrent,DepositsAssetsNoncurrent,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxCreditsAndAdjustments,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInSecurityDeposits,InterestExpense,InterestExpenseRelatedParty,InterestPaid,InterestPaidNet,InventoryNet,LeaseAndRentalExpense,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseExpense,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsDueThereafter,OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,OperatingLossCarryforwards,OtherExpenses,OtherPrepaidExpenseCurrent,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidRent,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,Revenues,SecurityDeposit,SecurityDeposit,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,SharePrice,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,ValuationAllowancesAndReservesAdjustments,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2016-03-31,2016-05-13,10-Q,"ACRO BIOMEDICAL CO., LTD.",ACBM,CIK0001622996,USD,,3283.0,,61480.0,11742.0,11742.0,,7742.0,,,0.001,100000000.0,15720000.0,15720000.0,15720.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3283.0,11742.0,3283.0,,,,,-6350.0,,6350.0,,,,,,,,,,,,,,0.001,25000000.0,0.0,0.0,,4000.0,,,,,6332.0,,,,-68741.0,,,,,18.0,,,,8459.0,,,,,,47160000.0
2016-06-30,2016-08-03,10-Q,"ACRO BIOMEDICAL CO., LTD.",ACBM,CIK0001622996,USD,,11007.0,,61480.0,2341.0,2341.0,,2141.0,,,0.001,100000000.0,15720000.0,15720000.0,15720.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11007.0,2341.0,11007.0,,,,,-17125.0,,17125.0,,,,,,,,,,,,,,0.001,25000000.0,0.0,0.0,,200.0,,,,,17107.0,,,,-85866.0,,,,,18.0,,,,-8666.0,,,,,,47160000.0
2016-09-30,2016-12-16,10-K,"ACRO BIOMEDICAL CO., LTD.",ACBM,CIK0001622996,USD,7326.0,,,30040.0,2533.0,2533.0,,2533.0,-24742.0,,0.001,100000000.0,47160000.0,47160000.0,47160.0,,,,,,,0.0,31278.0,91993.0,31278.0,,,10000.0,10000.0,0.0,0.34,,-43428.0,,,0.0,,0.0,-14766.0,14766.0,,6501.0,,,,,,,-2185.0,,,,0.0,,,,,17326.0,2533.0,17326.0,,10000.0,,-34742.0,-43428.0,,43428.0,43428.0,,,,,,,,,,,,,0.001,25000000.0,0.0,0.0,,,,,10000.0,10000.0,42373.0,,,,-91993.0,,,,,1055.0,,,,-14793.0,,,,,,47160000.0
2016-12-31,2017-02-14,10-Q,"ACRO BIOMEDICAL CO., LTD.",ACBM,CIK0001622996,USD,14597.0,,,61480.0,2391.0,2391.0,,2391.0,-142.0,,0.001,100000000.0,15720000.0,15720000.0,15720.0,,,,,,,,,,,,,10000.0,10000.0,0.0,,,-7413.0,,,0.0,,0.0,2520.0,-2520.0,7271.0,7271.0,,,,,,,,,,,0.0,,,,2520.0,24597.0,2391.0,24597.0,,,,-142.0,-7413.0,,7413.0,-7413.0,,,,,,,,,,,,,0.001,25000000.0,0.0,0.0,,,,,,,7351.0,,,,-99406.0,,,,,62.0,,,,-22206.0,,,,,,47160000.0
2017-03-31,2017-05-22,10-Q,"ACRO BIOMEDICAL CO., LTD.",ACBM,CIK0001622996,USD,9567.0,,,58412.0,2000.0,2000.0,,,,,0.001,100000000.0,47160000.0,47160000.0,47160.0,,,,,,,,,,,,,,8710.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,18277.0,2000.0,18277.0,,,,,-22443.0,,22443.0,-22443.0,,,,,,,,,,,,,0.001,25000000.0,0.0,0.0,,2000.0,,,,,21792.0,,,,-121849.0,,,,,22443.0,,,,-16277.0,,,,,,47160000.0
2017-06-30,2017-08-11,10-Q,"ACRO BIOMEDICAL CO., LTD.",ACBM,CIK0001622996,USD,4400.0,,,58412.0,2500.0,2500.0,,,,,0.001,100000000.0,47160000.0,47160000.0,47160.0,,,,,,,,,,,,,,26264.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30664.0,2500.0,30664.0,,,,,-11887.0,,11887.0,-11887.0,,,,,,,,,,,,,0.001,25000000.0,0.0,0.0,,2500.0,,,,,11887.0,,,,-133736.0,,,,,11887.0,,,,-28164.0,,,,,,47160000.0
2017-09-30,2018-01-16,10-K,"ACRO BIOMEDICAL CO., LTD.",ACBM,CIK0001622996,USD,600.0,,,557912.0,548310.0,548310.0,,36810.0,34277.0,,0.001,100000000.0,47660000.0,47660000.0,47660.0,459000.0,,,0.0,,,0.0,32042.0,94241.0,32042.0,,,,36379.0,0.0,0.34,51000.0,-2248.0,-2248.0,,0.0,,0.0,764.0,-764.0,,50404.0,,,,,,481000.0,30500.0,,,,0.0,0.0,481000.0,,,36979.0,548310.0,36979.0,497621.0,497621.0,-463344.0,-463344.0,-2248.0,,53248.0,-2248.0,,,,,,,,,,94241.0,,481000.0,0.001,25000000.0,0.0,0.0,0.0,30500.0,,500000.0,,,52382.0,,2379.0,,-94241.0,510000.0,510000.0,,,53248.0,,1.0,,511331.0,,500000.0,,500000.0,,47173699.0
2017-12-31,2018-02-14,10-Q,"ACRO BIOMEDICAL CO., LTD.",ACBM,CIK0001622996,USD,66624.0,,,557912.0,764534.0,759542.0,,8542.0,-28268.0,,0.001,100000000.0,47660000.0,47660000.0,47660.0,1300500.0,,,,64981.0,,0.0,32042.0,,4765.0,,,,41371.0,0.0,0.34,144500.0,80227.0,80227.0,,0.0,,0.0,-27277.0,27277.0,,66024.0,,64981.0,,64981.0,,234500.0,5000.0,-4992.0,,,0.0,0.0,715500.0,,2520.0,172976.0,764534.0,172976.0,4992.0,,-33260.0,-28268.0,80227.0,,64273.0,80227.0,,,,,,,,,,14014.0,,,0.001,25000000.0,0.0,0.0,,35500.0,,,4992.0,,58405.0,,,,-14014.0,1445000.0,1445000.0,39000.0,4992.0,64273.0,,,,591558.0,,,,,,47660000.0
2018-03-31,2018-08-01,10-Q,"ACRO BIOMEDICAL CO., LTD.",ACBM,CIK0001622996,USD,18242.0,,28559.0,557912.0,867923.0,862931.0,,471831.0,,,0.001,100000000.0,47660000.0,47660000.0,47660.0,1767600.0,,,64818.0,64818.0,,,,,,,,,95294.0,0.0,,196400.0,,98011.0,,28559.0,,,,,,,,,,,,,,,,,,,300600.0,,7533.0,206913.0,867923.0,206913.0,,,,,69452.0,,98389.0,98011.0,,,,,,,,,,,,,0.001,25000000.0,0.0,0.0,,90500.0,,,,,,,,,55438.0,1964000.0,1964000.0,,4992.0,98389.0,,,,661010.0,,,,,,47660000.0
2018-06-30,2018-08-14,10-Q,"ACRO BIOMEDICAL CO., LTD.",ACBM,CIK0001622996,USD,3876.0,,88476.0,557912.0,1010107.0,1005115.0,,4615.0,,,0.001,100000000.0,47660000.0,47660000.0,47660.0,1959100.0,,,,,,,,,,,,,140436.0,0.0,,239900.0,,176226.0,,59917.0,,,,,,,,,,,,,,,,,,,900000.0,,7552.0,232788.0,1010107.0,232788.0,,,,,116309.0,,63674.0,176226.0,,,,,,,,,,,,20000.0,0.001,25000000.0,0.0,0.0,0.0,80500.0,,,,,,,,,171747.0,2199000.0,,,4992.0,63674.0,,,,777319.0,,,,,,47660000.0
