end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccumulatedAmortizationOfNoncurrentDeferredFinanceCosts,AccumulatedOtherComprehensiveIncomeLossBeforeTax,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AdjustmentsToAdditionalPaidInCapitalOther,AdvertisingExpense,AmortizationExpensePerDollarOfGrossRevenue,AmortizationOfDebtDiscountPremium,AmortizationOfIntangibleAssets,AssetImpairmentCharges,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommonStockAdditionalSeriesSharesAuthorized,CommonStockAdditionalSeriesSharesIssued,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ComprehensiveIncomeNetOfTax,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DebtConversionOriginalDebtAmount1,DebtCurrent,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentConvertibleNumberOfEquityInstruments,DebtInstrumentFaceAmount,DebtInstrumentFairValue,DebtInstrumentInterestRateStatedPercentage,DeferredCompensationLiabilityCurrent,DeferredFederalIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromAffiliates,DueToOfficersOrStockholders,DueToOfficersOrStockholdersCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectOfExchangeRateOnCashAndCashEquivalents,FairValueAssumptionsExpectedVolatilityRate,FairValueAssumptionsRiskFreeInterestRate,FiniteLivedIntangibleAssetsAcquired,GainLossOnComponentsExcludedFromAssessmentOfForeignCurrencyCashFlowHedgeEffectiveness,GainLossOnNonRecourseDebt,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,GroundLeasesAccumulatedAmortization,ImpairedFinancingReceivableUnpaidPrincipalBalance,ImpairmentChargeOnReclassifiedAssets,ImpairmentOfIntangibleAssetsFinitelived,ImpairmentOfInvestments,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInInventories,IncreaseDecreaseInInventoryForLongTermContractsOrPrograms,IncreaseDecreaseInPrepaidExpense,IndefiniteLivedIntangibleAssetsExcludingGoodwill,InterestExpense,InterestPaid,InterestPayableCurrent,InventoryFinishedGoods,InventoryNet,InventoryWriteDown,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesIssued1,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NumberOfReportingUnits,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetImpairmentCharges,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossBeforeReclassificationAndTax,OtherExpenses,OtherIntangibleAssetsNet,OtherNoncashIncome,OtherNotesPayableCurrent,OtherSalesRevenueNet,OtherSignificantNoncashTransactionValueOfConsiderationGiven1,PaymentsForAdvanceToAffiliate,PaymentsToAcquireIntangibleAssets,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRepaymentsOfOtherDebt,ProceedsFromRepaymentsOfShortTermDebt,ProductionRelatedImpairmentsOrCharges,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentSalvageValue,RepaymentsOfNotesPayable,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,SalariesAndWages,SaleLeasebackTransactionHistoricalCost,SaleOfStockPricePerShare,SalesRevenueGoodsNet,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,ShareBasedCompensationArrangementByShareBasedPaymentAwardSharesIssuedInPeriod,SharePrice,ShortTermBankLoansAndNotesPayable,ShortTermBorrowings,ShortTermDebtPercentageBearingFixedInterestRate,ShortTermNonBankLoansAndNotesPayable,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesShareBasedCompensation,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensation,StockIssuedDuringPeriodValueShareBasedCompensationGross,ValuationAllowanceAmount,WeightedAverageNumberOfSharesOutstandingBasic
2009-12-31,2010-04-15,10-K,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-301123.0,,,,,,,,,,,,,,
2010-06-30,2010-08-13,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,,,,,,,,,,,,24167.0,,,,,,,,,3806.0,90000000.0,251050.0,,,,75000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21505.0,,,,,,,,,,,,,,,-3150.0,,,85587.0,,,,,,,,,,,,,,,,,155350.0,,,,,,-3150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17833236.0
2010-09-30,2010-11-22,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,,,,,,,,,,,,,,,,,,,933.0,,,,,,,,75000000.0,,,,,-66487.0,,,,3354.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,21060.0,-947.0,,,,,,,,,,,,,,4864.0,,,84764.0,,,,,,,,,,,-54299.0,-4864.0,,,,,48488.0,-49435.0,,,-12188.0,,,,,,,,,,,,,,,,,,,,8483.0,,,,,,18945.0,,,2407.0,,,,,,,,,,,,,,,,,,,,,,,18475280.0
2010-12-31,2011-05-23,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,384509.0,384509.0,,,,-68019.0,-68019.0,1598026.0,1598026.0,523103.0,,,,,48541.0,34967.0,87791.0,87791.0,33.0,33.0,29.0,,,,,0.001,,90000000.0,19731258.0,19731258.0,,19731.0,-659500.0,,,,3353.0,,,30000.0,,,,,,,,,,,,,4858.0,4858.0,,,-0.03,,,-11670.0,,,,,,,39730.0,-947.0,,,,34967.0,,,,102431.0,-2011.0,897.0,,,,17893.0,,,87758.0,87758.0,,336050.0,,682364.0,87791.0,682364.0,121338.0,,-109639.0,-632742.0,-17893.0,,243770.0,49227.0,,613902.0,-614849.0,,,-26758.0,,,,,,,,,,,,,,,,,,114678.0,,,,,,,-2144311.0,490664.0,,,2406.0,,,,,243770.0,49227.0,,,-594573.0,,,,,,,,,,67500.0,298550.0,,,18247696.0
2011-03-31,2011-05-23,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,,,,,,,,,101631.0,,,,,,,,,,82.0,49.0,,,,,,,,,,,,-122874.0,,,,-2060.0,,,,,,,,,,,,,,,,,,,,-0.01,,,-488.0,,,,,,,5060.0,2060.0,,,,,,,,52014.0,,,,,,5195.0,,,89818.0,,,49617.0,,,,,8486.0,,-7949.0,-109580.0,-5195.0,,,,,106445.0,-104385.0,,,-13294.0,,,,,,,,,,,,,,,,,9000.0,-514.0,,,,,,,,101385.0,,,,,20000000.0,,,,,,,,,,,,,,,,,,,,,19731258.0
2011-06-30,2011-08-22,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,-462958.0,,,,-698.0,-698.0,,,,,,,,,,,,,,,,,,,-0.02,,,,,,,,,,4763.0,698.0,,,,,,,,,,,,,,5342.0,,,90516.0,,,,620.0,,,,,,,-458297.0,-5342.0,,,,,453653.0,-452955.0,,,-4661.0,,-5342.0,,,,,,,,,,,,,,,,,,,,,,,,448890.0,,,,,,,,,,,,,,,,,,,,,,,,,,26453408.0
2011-09-30,2011-11-21,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,306850.0,,,,,-62700.0,,2618420.0,,,,,,,,287201.0,87201.0,3929.0,3929.0,,3929.0,,,,0.001,1520.0,90000000.0,41170397.0,41170397.0,,41170.0,-138463.0,,9950.0,,-874.0,,,,,,,,,,,,,,,,,4610.0,,,-0.005,,,,,,,,,,4335.0,874.0,,,,,,,,,,,,,200000.0,1321.0,,,-83272.0,83272.0,,,,565756.0,287201.0,565756.0,,,,-161737.0,-1321.0,,,44346.0,,161290.0,-160416.0,,,23274.0,,,,,,,,,,,,,,,,,,,,,,,,,-2873925.0,156955.0,,,,,,,,,,,,-310141.0,,,,,,,,,,,,,,32545123.0
2011-12-31,2012-05-31,10-K,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,296429.0,,,,,-69218.0,,2861253.0,875884.0,73748.0,,,,,85288.0,233682.0,27082.0,82.0,82.0,49.0,82.0,,,,0.001,,200000000.0,65440397.0,65440397.0,,65440.0,-1076475.0,,8200.0,,,,246613.0,246613.0,,,,,,,,,,,169572.0,,,4751.0,,49158.0,-0.02,-0.34,0.0,2578.0,,,,,,,14669.0,,,,,,,,,89585.0,,,,,206600.0,10374.0,,,,,83508.0,701011.0,4104.0,419704.0,233682.0,419704.0,20774.0,,-23302.0,-899186.0,-10374.0,,19666.0,1522.0,,888812.0,-888812.0,,,-1199.0,1199.0,,,,,,73748.0,,,,,,,27000.0,11480.0,,8200.0,-1387.0,,,-176090.0,,,,-2873925.0,788855.0,,,,,,,,,,,,-186022.0,152679.0,,,,,,206600.0,10000.0,,,10000.0,,,36262003.0
2012-03-31,2012-07-25,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,300843.0,,,,,-75732.0,,2901103.0,6689.0,,,,,,,248630.0,42030.0,15030.0,15030.0,14948.0,15030.0,,,,0.001,,90000000.0,67090397.0,67090397.0,,67090.0,-14228.0,,24334.0,,,,,,,,,,,,,,,,177286.0,,,4861.0,,,-0.0001,,,-33.0,,,,,,,1300.0,,,,,,,,,6689.0,,,,,206600.0,734.0,,,,,,,599.0,407380.0,248630.0,407380.0,16006.0,,-1025.0,-7714.0,-734.0,,20960.0,56382.0,,6980.0,-6980.0,,,-6514.0,-6514.0,,,,,,,,,,,,,27000.0,,,16006.0,,,,,,,,-2873925.0,5680.0,,,,,,,,,,,,-158750.0,41500.0,,,,,,,,,,,,,67190397.0
2012-06-30,2012-08-13,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,130780.0,,,,,-69157.0,,3292105.0,,,,,,,,233820.0,27220.0,220.0,220.0,,220.0,,,,0.001,,90000000.0,67190397.0,67190397.0,,67190.0,-178022.0,,47150.0,,,,,,,,,,,,,,,,361883.0,,,,,,-0.003,,,,,,,,,,3189.0,,,,,,,,,,,,,,206600.0,163323.0,,528.0,,,,,0.0,179490.0,233820.0,179490.0,,,,-184597.0,-163323.0,,,1560.0,,21274.0,-21274.0,,,6575.0,,,,,,,,,,,,,,27000.0,,,,,,,,,,,-2873925.0,18085.0,,,,18085.0,,,,,,,,54330.0,,,,,,,,,,,,,,67190397.0
