end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetCurrent,AccruedIncomeTaxesCurrent,AccruedLiabilitiesAndOtherLiabilities,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdjustmentsToAdditionalPaidInCapitalOther,AllowanceForDoubtfulAccountsReceivableCurrent,AmortizationOfDebtDiscountPremium,AmortizationOfIntangibleAssets,Assets,AssetsCurrent,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedFinancialLiabilities,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLiabilities,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ConversionOfStockAmountIssued1,ConvertibleDebtNoncurrent,CostOfGoodsAndServicesSold,CurrentIncomeTaxExpenseBenefit,CustomerDepositsCurrent,DebtConversionOriginalDebtAmount1,DebtInstrumentUnamortizedDiscountNoncurrent,DeferredIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,DepositAssets,DepreciationDepletionAndAmortization,DerivativeLiabilitiesNoncurrent,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectOfExchangeRateOnCashAndCashEquivalents,FiniteLivedIntangibleAssetsNet,GainLossOnSaleOfDerivatives,GainLossOnSaleOfPropertyPlantEquipment,GeneralAndAdministrativeExpense,Goodwill,GrossProfit,IncomeLossAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccountsReceivableAndOtherOperatingAssets,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInDerivativeLiabilities,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInIncomeTaxes,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPropertyAndOtherTaxesPayable,InterestExpenseDebt,InterestIncomeExpenseNet,InterestPaid,InterestPaidNet,InterestPayableCurrent,InventoryNet,InventoryWriteDown,InvestmentIncomeInterest,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LoansPayableToBankCurrent,MinorityInterest,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NonoperatingIncomeExpense,NotesAndLoansReceivableNetCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccountsPayableAndAccruedLiabilities,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeLossBeforeTax,OtherGeneralAndAdministrativeExpense,OtherNoncashExpense,OtherNonoperatingIncomeExpense,OtherOperatingIncome,PaidInKindInterest,PaymentsForProceedsFromLoansReceivable,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,ProceedsFromBankDebt,ProceedsFromCollectionOfLoansReceivable,ProceedsFromContributionsFromParent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfMachineryAndEquipment,ProfitLoss,PropertyPlantAndEquipmentNet,RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,RepaymentsOfBankDebt,RepaymentsOfOtherShortTermDebt,ResearchAndDevelopmentExpense,ResearchAndDevelopmentInProcess,RetainedEarningsAccumulatedDeficit,RetainedEarningsAppropriated,Revenues,SaleOfStockPricePerShare,SalesAndExciseTaxPayableCurrent,SellingExpense,ShareBasedCompensation,StockholdersEquity,StockholdersEquityBeforeTreasuryStock,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2009-12-31,2010-03-31,10-K,"HEALTHTECH SOLUTIONS, INC./UT",HLTT,CIK0001307624,USD,,,,,,,,,,,,,,,,,,,,,,,,,2624780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-16,10-Q,"HEALTHTECH SOLUTIONS, INC./UT",HLTT,CIK0001307624,USD,,,,,,,,,,,,,,,,,,,,,,,,,333762.0,,,,,,,,,,,,,,-1202001.0,,,,,,,,,,,,,,0.0,,,,,,,,,242169.0,,686980.0,,,337643.0,39275.0,,,,,,,,,,,,,,,,,,63315.0,,,,,,,1779.0,,,,,,,,,,267613.0,30755.0,,,289538.0,397442.0,,,,,,,,1737.0,,,,,,,,,,,,,,,,,,298368.0,,,,,,,,,1888981.0,,,47369.0,,,,,,,,,,,,,19484029.0
2010-09-30,2010-11-12,10-Q,"HEALTHTECH SOLUTIONS, INC./UT",HLTT,CIK0001307624,USD,,,,,,,,,,,,,,,,,,,,,,,,,2321495.0,,,,,,,,,371419.0,43433.0,414852.0,,,-1033194.0,,,,,,,,,,,,,,0.01,,,,,,,,,208715.0,,483383.0,-17457.0,,200417.0,24708.0,,,,,,,,,,,,,,,,,,59398.0,,,,,,,2381.0,,,,,,,,,,158252.0,17457.0,,,249144.0,234239.0,,,239143.0,,,,,23195.0,,,,,,,,,,,,,,,,,,175709.0,,,,,,,,,1516577.0,,,40429.0,,,,,,,,,,19484029.0,,19484029.0,
2010-12-31,2011-04-13,10-K,"HEALTHTECH SOLUTIONS, INC./UT",HLTT,CIK0001307624,USD,,368062.0,,2199189.0,27253.0,,1805479.0,,3294543.0,,,4598.0,,,21341214.0,14911345.0,,,,,,,,,3692174.0,,,,,,,,19484.0,,,,,,,,17664.0,,,,,,,,,,,,,,,,,,1049161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675516.0,,,5109585.0,21341214.0,,,4551000.0,,,,,,,,6371400.0,,,,134884.0,,,,,,,,,,,,,,,973066.0,,,,,,,,,,5380708.0,,,,,,7877721.0,1565971.0,,,10722.0,,,14563198.0,,16231629.0,,,,,,,,,
2011-06-30,2011-08-15,10-Q,"HEALTHTECH SOLUTIONS, INC./UT",HLTT,CIK0001307624,USD,,1041578.0,,3419057.0,27793.0,,2093321.0,,3294543.0,,,4689.0,,,17864426.0,10723262.0,,,,,,,,,385403.0,,,,,,,,19484.0,-64198.0,-6270.0,-70468.0,,,-1389135.0,,27800.0,,,,,,,583333.0,,,,,0.0,,,,,,1055418.0,,,301834.0,,502119.0,,,110955.0,27438.0,,,,,,,,,,,,,,,,,,77052.0,,,,,1512304.0,,21135.0,1352325.0,17864426.0,,,,,,,,73725.0,-11738.0,,5027750.0,354064.0,148055.0,,203507.0,53388.0,,,,,18817.0,,,,,,,,,378748.0,,,,,,,,,83517.0,5502413.0,,,,16146.0,,7839328.0,1565971.0,1891254.0,,51647.0,36084.0,,14812647.0,,16512101.0,,,,,,,,,19484029.0
2011-09-30,2011-11-14,10-Q,"HEALTHTECH SOLUTIONS, INC./UT",HLTT,CIK0001307624,USD,,471593.0,,3281456.0,55137.0,,2241721.0,,3294543.0,,,4734.0,,,22461829.0,15379844.0,,,,,,,,,3453275.0,,,,,,,,19484.0,427912.0,48563.0,476475.0,,,-1203002.0,,20316.0,,,,,,,589044.0,,,,,0.01,,,,,,1058336.0,,,249579.0,,647503.0,-31558.0,,365510.0,54440.0,,,,,,,,,,,,,,,,,,99361.0,,,,,1545184.0,,3778.0,5473253.0,22461829.0,,,4686000.0,,,,,279512.0,1668431.0,,6716600.0,311664.0,335839.0,,163210.0,165405.0,,,,,125254.0,,,,,,,,,383329.0,,,,,,,,,311070.0,5434605.0,,,,18215.0,,8118840.0,1565971.0,1850505.0,,76997.0,43870.0,,15240559.0,,16988576.0,,,,,,19484029.0,,19484029.0,
2020-06-30,2020-09-04,10-K,"HEALTHTECH SOLUTIONS, INC./UT",HLTT,CIK0001307624,USD,5500.0,,25708.0,,,,,,,9722.0,65548.0,,,,0.0,,,,,,,,,,,,191.0,,0.001,200000000.0,9701269.0,9701269.0,9701.0,,,,,,,,,,,,13550.0,,13550.0,,,,,13303.0,0.0,,,,,,,0.0,,41340.0,,,0.0,0.0,,,,,4500.0,20892.0,,,,,,,12102.0,,,,,,,,0.0,,,,,,,,0.0,44511.0,,,,,,,-109153.0,,,,109153.0,0.0,54000.0,,,0.0,19158.0,,0.0,,,,,,,,,,,,,,,,,,,,,20892.0,,,19933.0,19000.0,-54212.0,,0.0,,,,,43507.0,,,,,,,,,,,
2020-09-30,2020-10-23,10-Q,"HEALTHTECH SOLUTIONS, INC./UT",HLTT,CIK0001307624,USD,1000.0,,6094.0,,,,,49919.0,,9723.0,0.0,,,9723.0,0.0,,,,,,,,,,,,,,0.001,200000000.0,9701269.0,9701269.0,9701.0,,,,,,,-3850.0,,,,,13119.0,,13119.0,,,,,5849.0,0.0,,0.21,-0.26,0.05,,,0.0,,30000.0,,,0.0,-158564.0,,,,,-4500.0,16782.0,,,,,,,6069.0,,,,,,,,-3112.0,,,,,,,,0.0,12943.0,,,,,,,-158564.0,,,,155452.0,-155452.0,72351.0,,,0.0,7126.0,,-3112.0,,,,,,,,,,,,,,,,,,,,,,,,96603.0,12000.0,-72563.0,,0.0,,,,,-115057.0,,,,,,,-3850.0,,0.0,,
2020-12-31,2021-03-02,10-K,"HEALTHTECH SOLUTIONS, INC./UT",HLTT,CIK0001307624,USD,,80169.0,,,,0.0,,866251.0,,38889.0,270442.0,,9277.0,,164922.0,138996.0,,,,,,,,,128996.0,,128996.0,128996.0,0.001,200000000.0,9701269.0,9701269.0,9701.0,,,,,305684.0,,0.0,,,325824.0,-111000.0,111265.0,0.0,111265.0,,,337874.0,,0.0,-0.61,0.0,0.21,-0.26,0.05,,25926.0,-2773.0,,115403.0,0.0,,,-732208.0,,0.0,,43769.0,,,,,,,2773.0,-105754.0,,,3792.0,,,10000.0,,,-19577.0,,,3792.0,,,,727519.0,164922.0,83961.0,643558.0,,0.0,895442.0,-235000.0,-531446.0,-732208.0,,-22350.0,,709858.0,-709858.0,427000.0,,,,129733.0,,,,6508.0,,,0.001,2000000.0,156837.0,156837.0,157.0,,10000.0,,,270442.0,625000.0,,,,,,,,235000.0,348773.0,,-1438706.0,,,,,,,-562597.0,-562597.0,-562597.0,,,,-235000.0,-111000.0,,1198321.0,,
2021-03-31,2021-05-24,10-Q,"HEALTHTECH SOLUTIONS, INC./UT",HLTT,CIK0001307624,USD,,96559.0,,,,,,870809.0,,9722.0,4558.0,,27303.0,,22497.0,6294.0,,,,,,,,,6294.0,,6294.0,-122702.0,0.001,200000000.0,9701269.0,9701269.0,9701.0,,,,,357599.0,,,,,323909.0,-74000.0,185000.0,,185000.0,,,356047.0,,49119.0,-0.03,,0.21,-0.26,0.05,,16203.0,7215.0,,119822.0,,,,-293877.0,,,,96559.0,,,,,-80169.0,,-7215.0,,,,11297.0,,,-10000.0,,,-38600.0,,,15088.0,,,,874413.0,22497.0,160766.0,713646.0,,,103677.0,,-226380.0,-293877.0,,,,262493.0,-262493.0,111000.0,,,,30000.0,,-31385.0,,,,,0.001,2000000.0,156837.0,156837.0,157.0,,,,,4558.0,50000.0,,49119.0,,,,,,,84948.0,,-1732582.0,,,,,,,-851916.0,,,,,,,74000.0,,9701269.0,,
